Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsThrownAway,RunPassOptionPercentage
Kenny Pickett,PHI,QB,4,4,4,1,,2,0.5,0.5,0.0846,4,,,79,19.75,0.0759,19.75,111,,,No,Yes,2,0.5,1.863,0.0343,Yes,,3,0.75,,,0.5,0.25,3.275,2.55,27.75,95.8,Yes,Yes,2,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.95,3.95,5,,
Desmond Ridder,LV,QB,6,6,6,0.1667,2,1,0.1667,0.2,-0.1983,6,,,22,3.6667,,-0.5,133,1,1,No,No,1,0.1667,3.5793,-0.4299,No,0.6667,4,0.6667,0.1667,0.1667,0.5,0.1667,4.0333,2.2,26.6,42.4,No,No,1,3.88,3.88,3.88,3.88,3.88,3.88,3.88,2.88,2.88,2.88,2.88,4.1,3.1,5,1,
Will Levis,TEN,QB,30,29,29,0.5517,3,14,0.4828,0.5357,0.1167,29,41,0.0345,472,16.2759,0.2352,15.069,810,5,3,Yes,No,12,0.4138,11.0957,0.0312,No,0.4138,21,0.7241,0.2069,0.2414,0.9655,0.3793,2.7931,2.5,28.8276,94.4,No,No,14,35.88,35.88,35.88,35.88,35.88,38.88,38.88,32.88,32.88,32.88,32.88,40.6,37.6,12,,
Trey Lance,DAL,QB,6,6,6,0.3333,,2,0.3333,0.3333,-0.1586,6,,,63,10.5,0.4603,3,138,,1,No,No,3,0.5,3.1998,-0.0333,No,0.6667,2,0.3333,0.1667,,0.5,,3.6667,2.3,23,34,Yes,Yes,2,1.52,1.52,1.52,1.52,1.52,1.52,1.52,0.52,0.52,0.52,0.52,2.15,1.15,4,,
Malik Willis,GB,QB,8,8,8,0.75,,5,0.625,0.625,0.1404,8,,,164,20.5,0.1951,20.5,178,,,No,Yes,3,0.375,3.1911,-0.0239,No,0.25,4,0.5,,0.375,0.875,0.25,2.8875,2.7667,22.25,106.3,No,Yes,5,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,8.2,8.2,7,,
Davis Mills,HST,QB,1,1,1,1,,1,1,1,0.4296,1,,,17,17,0.0588,17,16,,,No,No,,,0.4183,-0.4183,Yes,,,,,,1,1,3,,16,118.8,Yes,Yes,1,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.85,0.85,4,,
Cooper Rush,DAL,QB,19,19,19,0.4737,4,5,0.2632,0.3529,-0.0552,19,36,0.0526,160,8.4211,0.2062,9.4737,465,1,,No,No,4,0.2105,6.7919,-0.1469,Yes,0.4211,15,0.7895,0.0526,0.2105,0.7895,0.2105,2.6474,2.775,27.8333,79.7,No,Yes,5,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,12,12,12,1,
Jalen Hurts,PHI,QB,28,28,28,0.4643,8,9,0.3214,0.4167,-0.0145,28,19,0.0357,275,9.8214,0.2582,11.9643,605,3,,No,No,12,0.4286,14.3862,-0.0852,No,0.3929,19,0.6786,,0.1786,0.5357,0.2143,3.5536,2.5333,25.2083,105.5,No,No,9,23,23,23,23,23,23,23,23,23,23,23,25.75,25.75,15,4,
Tyrod Taylor,NYJ,QB,2,2,2,1,,1,0.5,0.5,-0.0541,2,,,20,10,0.05,20,35,1,,No,Yes,1,0.5,0.6986,0.1507,No,,,,0.5,0.5,1,0.5,2.6,2.1,17.5,125,No,Yes,1,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5,5,2,,
Michael Penix,ATL,QB,9,9,9,0.6667,,4,0.4444,0.4444,-0.0522,9,,,83,9.2222,,9.2222,187,,,No,Yes,3,0.3333,3.1437,-0.016,Yes,0.3333,4,0.4444,,0.1111,0.7778,0.4444,2.6,2.3,20.7778,77.5,No,No,4,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,4.15,4.15,5,,
