Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,IncompletionsThrownAway,IncompletionsBatted,DropsYardsLost,DropsPercentage,TouchdownsTotal,PressuredTotal,PressuredPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadCheckdownPercentage,AverageTimeToPressure,HeroThrowPercentage
Tua Tagovailoa,MIA,QB,144,144,144,0.8264,103,0.7153,0.8162,-0.0168,144,712,4.9444,0.8553,5.8819,349,1,No,No,40.9152,-0.0689,No,0.0694,0.1181,0.6875,0.6111,2.2222,2.5662,100.2,No,Yes,44,63.48,63.48,63.48,63.48,63.48,66.48,66.48,62.48,62.48,62.48,62.48,70.6,69.6,11,8,7,1,20,0.0556,9,31,0.2153,,,0.0278,0.1389,2.271,0.0208
Caleb Williams,CHI,QB,165,165,165,0.8303,123,0.7455,0.8581,0.0292,165,892,5.4061,0.8251,5.6182,442,1,No,Yes,45.2317,-0.165,Yes,0.0848,0.097,0.7758,0.5636,2.1642,2.8333,92.3,No,No,47,50.68,50.68,50.68,50.68,50.68,53.68,53.68,49.68,49.68,49.68,49.68,59.6,58.6,17,11,6,3,42,0.0606,4,18,0.1091,2,0.0121,0.0121,0.0848,2.5222,0.0121
Jared Goff,DET,QB,127,126,126,0.8095,97,0.7698,0.8115,-0.0139,126,814,6.4603,0.8022,8.0476,356,,No,No,35.404,-0.1064,No,0.0317,0.127,0.8016,0.6032,2.204,2.918,119.6,No,Yes,56,79.26,80.26,79.76,80.26,80.26,83.26,82.76,80.26,80.26,80.26,79.76,88.4,88.4,17,11,3,1,-3,0.0159,10,22,0.1746,,,0.0079,0.0556,2.4,0.0159
Kyler Murray,ARZ,QB,184,184,184,0.8207,138,0.75,0.8683,0.0475,184,1135,6.1685,0.7066,6.6848,570,1,No,No,57.3195,-0.0996,No,0.0326,0.0815,0.6359,0.5707,2.381,3.4132,100.7,No,Yes,64,72.4,72.4,72.4,72.4,72.4,75.4,75.4,71.4,71.4,71.4,71.4,83.75,82.75,17,12,11,6,45,0.038,7,39,0.212,1,0.0054,,0.1467,2.4333,0.0109
Tanner McKee,PHI,QB,11,11,11,0.9091,10,0.9091,0.9091,0.1457,11,98,8.9091,0.3776,10.7273,73,,No,Yes,3.2903,-0.0264,No,,0.0909,1,0.4545,2.3091,6.6364,134.1,No,Yes,5,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,8.9,8.9,2,,,,,,1,3,0.2727,,,,,2.2333,
Josh Johnson,BLT,QB,1,1,1,1,1,1,1,0.4296,1,16,16,,16,16,,No,No,0.2975,-0.2975,No,,,1,,2.3,16,118.8,No,No,1,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,6,,,,,,,,,,,,,,
Daniel Jones,NYG,QB,124,124,124,0.8548,92,0.7419,0.8729,0.0613,124,696,5.6129,0.5963,5.5726,446,1,No,No,35.4644,-0.1005,No,0.0645,0.0887,0.7984,0.5484,2.2331,3.7797,89.3,No,Yes,37,34.84,34.84,34.84,34.84,34.84,37.84,37.84,33.84,33.84,33.84,33.84,41.8,40.8,10,3,6,,46,0.0887,2,23,0.1855,,,0.0081,0.0645,2.4565,
Jacoby Brissett,NE,QB,45,45,45,0.8,31,0.6889,0.8293,0.0012,45,239,5.3111,0.7364,5.7556,105,,No,No,16.443,-0.0543,Yes,,0.1111,0.6889,0.5556,2.6933,2.5,89,No,No,11,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,15.95,15.95,8,1,3,,,0.0667,1,14,0.3111,,,,0.1333,2.4571,
Joe Flacco,IND,QB,73,72,72,0.75,48,0.6667,0.7536,-0.0632,72,355,4.9306,0.6141,4.2361,273,2,No,No,22.4413,-0.1589,No,0.0556,0.1944,0.75,0.4583,2.3819,3.9565,75.9,No,Yes,20,20.2,20.2,20.2,20.2,20.2,23.2,23.2,18.2,18.2,18.2,18.2,23.75,21.75,8,5,3,,19,0.0556,2,11,0.1528,1,0.0139,0.0556,0.1111,2.6636,
C.J. Stroud,HST,QB,144,144,144,0.7847,102,0.7083,0.7926,-0.0241,144,841,5.8403,0.7562,5.6319,411,2,Yes,No,44.5204,-0.1286,No,0.0486,0.1528,0.6944,0.5208,2.3674,3.0221,86.6,No,Yes,44,43.64,43.64,43.64,43.64,43.64,46.64,46.64,41.64,41.64,41.64,41.64,52.05,50.05,17,5,6,2,14,0.0347,3,26,0.1806,,,0.0139,0.0972,2.2769,0.0069
