Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,IncompletionsThrownAway,IncompletionsBatted,DropsYardsLost,DropsPercentage,TouchdownsTotal,PressuredTotal,PressuredPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadCheckdownPercentage,AverageTimeToPressure,HeroThrowPercentage
Michael Penix,ATL,QB,27,27,27,0.7407,15,0.5556,0.7826,0.0147,27,149,5.5185,0.5168,3.8519,135,1,No,Yes,8.5341,0.0543,No,,0.1111,0.6667,0.4815,2.4074,5.625,55.9,No,No,7,4.96,4.96,4.96,4.96,4.96,4.96,4.96,3.96,3.96,3.96,3.96,6.45,5.45,5,1,3,,27,0.1111,,10,0.3704,,,,0.037,2.36,
Drew Lock,NYG,QB,49,49,49,0.7143,31,0.6327,0.7727,-0.0555,49,222,4.5306,0.8063,3.102,106,2,No,No,17.3744,-0.0689,No,0.0408,0.1633,0.6735,0.5102,2.6306,2.3556,63.5,No,Yes,14,10.88,10.88,10.88,10.88,10.88,10.88,10.88,8.88,8.88,8.88,8.88,13.1,11.1,7,1,2,2,5,0.0612,1,14,0.2857,,,0.0612,0.102,2.45,
Jameis Winston,CLV,QB,91,91,91,0.7802,61,0.6703,0.7738,-0.0183,91,596,6.5495,0.5185,5.5055,422,3,No,No,26.1801,-0.0899,No,0.0549,0.1209,0.7692,0.4945,2.2429,4.9535,78.8,No,Yes,32,28.84,28.84,28.84,28.84,28.84,31.84,31.84,25.84,25.84,25.84,25.84,34.8,31.8,12,6,1,4,16,0.044,2,18,0.1978,1,0.011,0.033,0.0769,2.2222,0.011
Tommy DeVito,NYG,QB,15,15,15,0.9333,13,0.8667,0.8667,0.1108,15,115,7.6667,0.4261,7.6667,99,,No,No,4.2908,-0.0194,No,0.0667,0.0667,1,0.7333,2.2333,6.6,98.6,No,Yes,7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,5.75,5.75,3,1,,,,,,4,0.2667,1,0.0667,,,2.625,
Derek Carr,NO,QB,77,76,76,0.8421,61,0.8026,0.8592,0.0327,76,530,6.9737,0.6962,7.1711,230,1,No,No,19.0948,-0.0802,Yes,0.0526,0.0921,0.7237,0.6447,2.0316,3.2394,103.4,No,Yes,23,32.2,32.2,32.2,32.2,32.2,35.2,35.2,31.2,31.2,31.2,31.2,37.5,36.5,10,3,3,2,,,3,13,0.1711,1,0.0132,0.0132,0.0921,2.0692,
Bryce Young,CAR,QB,99,99,99,0.7374,65,0.6566,0.7473,-0.0699,99,455,4.596,0.6396,4.596,312,,No,Yes,28.8192,-0.0891,No,0.0505,0.1717,0.7374,0.5152,2.2626,3.4286,75.9,No,Yes,20,18.2,18.2,18.2,18.2,18.2,21.2,21.2,18.2,18.2,18.2,18.2,22.75,22.75,14,1,8,,3,0.0303,,20,0.202,,,0.0202,0.0606,2.34,0.0101
Jordan Love,GB,QB,123,123,123,0.813,89,0.7236,0.8584,0.018,123,688,5.5935,0.8416,5.8374,223,2,No,Yes,33.3901,-0.1007,No,0.1138,0.0976,0.7073,0.5285,2.1488,1.9391,95.2,No,No,41,49.52,49.52,49.52,49.52,49.52,52.52,52.52,47.52,47.52,47.52,47.52,56.4,54.4,15,4,3,5,26,0.065,6,21,0.1707,,,0.0081,0.1382,2.5238,
Mitchell Trubisky,BUF,QB,11,11,11,0.9091,9,0.8182,0.8182,-0.0295,11,105,9.5455,1.0381,11.3636,15,,Yes,No,2.6176,-0.1471,No,,0.0909,0.8182,0.7273,1.9545,1.3636,136.7,No,Yes,2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,9.25,9.25,9,,,,,,1,1,0.0909,,,,,2.7,
Tim Boyle,NYG,QB,18,18,18,0.6667,10,0.5556,0.75,-0.0724,18,88,4.8889,0.7841,4.8889,52,,No,No,4.1829,-0.1768,No,0.1111,0.2222,0.7778,0.3333,1.9222,3.25,68.8,No,Yes,3,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,4.4,4.4,3,2,2,,13,0.1111,,1,0.0556,,,,,4.6,
Mason Rudolph,TEN,QB,70,70,70,0.7714,47,0.6714,0.7576,-0.044,70,418,5.9714,0.6459,6.4714,281,1,Yes,No,24.451,-0.0922,No,0.0429,0.1714,0.6714,0.5286,2.6,4.2576,96,No,Yes,24,31.72,31.72,31.72,31.72,31.72,34.72,34.72,30.72,30.72,30.72,30.72,35.9,34.9,8,6,3,1,3,0.0429,4,18,0.2571,1,0.0143,0.0286,0.1,2.3333,
