Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsThrownAway,InterceptionsTotal,RunPassOptionPercentage
Desmond Ridder,LV,QB,8,8,8,0.25,1,1,0.125,0.1429,-0.31,8,,,22,2.75,0.0455,-2.875,172,,No,Yes,3,0.375,2.7772,0.0279,Yes,0.625,5,0.625,0.125,0.125,0.75,,2.5875,2.0333,24.5714,,No,No,1,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-1.12,-1.12,-1.12,-1.12,0.1,-0.9,5,1,1,
Jalen Hurts,PHI,QB,26,26,26,0.5,5,12,0.4615,0.52,0.076,26,19,0.0385,351,13.5,0.1425,12.3462,646,3,No,No,7,0.2692,11.3243,-0.1663,No,0.4231,16,0.6154,0.1154,0.1538,0.8077,0.2692,3.1,2.6286,25.84,99,No,No,12,24.04,24.04,24.04,24.04,24.04,27.04,27.04,22.04,22.04,22.04,22.04,27.55,25.55,15,1,2,
Cooper Rush,DAL,QB,21,21,21,0.4762,1,5,0.2381,0.35,-0.1311,21,31,0.0952,138,6.5714,0.2174,4.4286,445,,No,No,6,0.2857,8.077,-0.0989,No,0.381,10,0.4762,0.1429,0.0952,0.8095,0.2857,2.8048,2.6833,22.25,34.6,No,No,5,4.52,4.52,4.52,4.52,4.52,4.52,4.52,3.52,3.52,3.52,3.52,5.9,4.9,12,1,1,
Davis Mills,HST,QB,3,3,3,0.6667,,1,0.3333,0.3333,-0.169,3,,,20,6.6667,0.05,6.6667,58,,Yes,No,,,1.0652,-0.3551,No,0.3333,1,0.3333,,,1,,2.6333,,19.3333,57.6,Yes,Yes,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,4,,,
Malik Willis,GB,QB,6,6,6,0.6667,1,4,0.6667,0.6667,0.2303,6,,,136,22.6667,0.3382,22.6667,155,,Yes,Yes,2,0.3333,2.2683,-0.0447,No,0.3333,4,0.6667,,,1,0.5,2.7667,2.7,25.8333,109.7,No,Yes,4,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,6.8,6.8,7,,,
Dorian Thompson-Robinson,CLV,QB,6,6,6,0.3333,1,,,0.2,-0.269,6,17,0.1667,,,,,122,,No,No,2,0.3333,2.7685,-0.1281,No,0.5,4,0.6667,,,0.6667,0.1667,3.25,3.05,24.4,39.6,No,No,,,,,,,,,,,,,,,7,1,,
Lamar Jackson,BLT,QB,44,44,44,0.5455,7,18,0.4091,0.4091,-0.0274,44,,,455,10.3409,0.1143,10.2273,1124,2,Yes,No,12,0.2727,23.2179,-0.255,Yes,0.4545,31,0.7045,0.0227,0.1591,0.6818,0.3409,3.6341,3.0583,25.5455,84.9,No,No,18,25.2,25.2,25.2,25.2,25.2,28.2,28.2,24.2,24.2,24.2,24.2,29.75,28.75,17,,1,
Kenny Pickett,PHI,QB,2,2,2,1,1,2,1,1,0.6104,2,,,71,35.5,0.1408,45.5,65,1,No,No,,,0.7158,-0.3579,No,,2,1,,1,1,1,2.65,,32.5,158.3,No,Yes,2,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,7.55,7.55,5,,,
Joshua Dobbs,SF,QB,4,4,4,1,,4,1,1,0.5358,4,,,110,27.5,0.2,32.5,88,1,No,No,,,1.0867,-0.2717,Yes,,2,0.5,,,1,,2.15,,22,158.3,No,Yes,4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,9.5,9.5,2,,,
Mac Jones,JAX,QB,15,15,15,0.3333,1,2,0.1333,0.2,-0.2608,15,23,0.0667,93,6.2,0.5054,1.5333,357,1,No,No,3,0.2,5.7225,-0.1815,Yes,0.6667,9,0.6,0.1333,0.1333,0.9333,0.2,2.7867,2.6333,23.8,35.6,No,No,2,5.72,5.72,5.72,5.72,5.72,5.72,5.72,3.72,3.72,3.72,3.72,6.65,4.65,10,,2,
Anthony Richardson,IND,QB,33,33,33,0.6364,3,10,0.303,0.4516,0.0183,33,102,0.1212,333,10.0909,0.2853,6.6061,809,1,No,No,11,0.3333,13.7004,-0.0818,No,0.2727,21,0.6364,0.1212,0.2727,0.7879,0.2424,2.9818,2.7091,25.2812,41.6,No,No,10,14.32,14.32,14.32,14.32,14.32,17.32,17.32,11.32,11.32,11.32,11.32,17.65,14.65,11,1,3,
