Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,InterceptionsTotal,PressuredTotal,PressuredPercentage,TowThrowPercentage,AverageTimeToPressure,TouchdownsTotal,IncompletionsThrownAway
Jake Haener,NO,QB,3,3,3,0.6667,1,0.3333,0.6667,0.297,3,20,0.3333,36,12,0.0278,12,96,Yes,No,1.3067,-0.4356,No,0.3333,3,1,0.3333,1,0.6667,3.1,32,79.9,No,Yes,1,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.8,1.8,8,,,,,,,,
Josh Allen,BUF,QB,16,16,16,0.25,4,0.25,0.25,-0.2237,16,,,85,5.3125,0.1412,2.5,403,No,No,9.4355,-0.0272,No,0.75,7,0.4375,0.0625,0.4375,0.125,3.9937,25.1875,23.2,No,No,4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,1.4,1.4,1.4,1.4,3.25,2.25,17,1,1,9,0.5625,0.125,2.9667,,
Deshaun Watson,CLV,QB,4,4,4,0.25,1,0.25,0.3333,-0.0489,4,,,16,4,,4,108,Yes,Yes,1.9492,0.2627,No,0.5,2,0.5,,0.75,,3.4,27,43.8,No,No,1,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,7,,,3,0.75,,2.9333,,
Skylar Thompson,MIA,QB,2,2,2,1,1,0.5,0.5,-0.03,2,,,17,8.5,0.0588,8.5,36,No,No,0.5606,-0.2803,No,,1,0.5,,1,0.5,2.2,18,79.2,No,No,1,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.85,0.85,3,1,,,,,,,
Spencer Rattler,NO,QB,10,10,10,0.6,5,0.5,0.6667,0.1549,10,20,0.1,140,14,0.25,14,197,No,No,3.6827,0.0317,No,0.2,4,0.4,0.3,0.8,0.5,2.71,21.6,95.8,No,No,5,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,7,7,7,,,4,0.4,0.1,2.55,,
Michael Penix,ATL,QB,5,5,5,0.8,3,0.6,0.6,0.0704,5,,,58,11.6,0.1379,15.6,94,No,No,1.7292,-0.3458,No,,1,0.2,0.2,0.6,0.4,2.58,18.8,140,No,Yes,3,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.9,6.9,5,,,,,,,1,
Drew Lock,NYG,QB,4,4,4,,,,,-0.5359,4,,,,,,,75,No,No,1.4489,-0.3622,No,1,1,0.25,,1,,2.675,18.75,39.6,No,No,,,,,,,,,,,,,,,7,1,,,,,,,
Joe Milton,NE,QB,2,2,2,1,2,1,1,0.5443,2,,,67,33.5,0.3134,43.5,46,No,No,1.3541,-0.177,Yes,,1,0.5,0.5,0.5,1,4.5,23,158.3,No,Yes,2,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,7.35,7.35,1,,,1,0.5,,2.8,1,
Jameis Winston,CLV,QB,14,14,14,0.5,7,0.5,0.5,0.0647,14,,,221,15.7857,0.2127,16.8571,390,Yes,No,5.8735,-0.0624,No,0.5,8,0.5714,0.2857,0.6429,0.3571,3.0071,27.8571,105.7,No,No,6,19.84,19.84,19.84,19.84,19.84,19.84,19.84,18.84,18.84,18.84,18.84,22.05,21.05,12,3,1,5,0.3571,0.1429,2.46,3,
Will Levis,TEN,QB,12,12,12,0.4167,4,0.3333,0.4545,-0.0403,12,22,0.0833,137,11.4167,0.1387,12.6667,245,No,Yes,4.6746,-0.2229,No,0.5,6,0.5,0.1667,0.75,0.3333,2.8333,22.2727,82.3,No,Yes,4,16.48,16.48,16.48,16.48,16.48,16.48,16.48,15.48,15.48,15.48,15.48,17.85,16.85,12,1,1,2,0.1667,0.25,3.35,3,1
