targets,interception_touchdowns,draft_season,forced_fumbles,missed_tackles,catch_rate,team_name,tackles,jersey_number,snap_counts_offball,snap_counts_box,sacks,snap_counts_pass_rush,player_game_count,eligible_season,snap_counts_dl,grades_tackle,yards,receptions,grades_coverage_defense,hurries,interceptions,snap_counts_coverage,snap_counts_dl_over_t,snap_counts_dl_a_gap,fumble_recoveries,grades_run_defense,snap_counts_corner,hits,penalties,batted_passes,team,stops,declined_penalties,total_pressures,position,fumble_recovery_touchdowns,longest,snap_counts_slot,missed_tackle_rate,grades_defense,yards_per_reception,grades_defense_penalty,safeties,player,franchise_id,snap_counts_defense,yards_after_catch,snap_counts_dl_b_gap,pass_break_ups,qb_rating_against,snap_counts_run_defense,tackles_for_loss,assists,grades_pass_rush_defense,player_id,snap_counts_fs,touchdowns,snap_counts_dl_outside_t
0,0,2008,1,14,,MIA,39,93,6,5,5,401,17,2008,610,28.2,0,0,63.5,27,0,13,137,15,0,85.9,0,7,0,5,MIA,37,0,39,DI,0,,0,22.2,82.3,,89.9,0,Calais Campbell,17,616,0,234,0,0,202,7,10,66.2,4364,0,0,224
1,0,2010,1,5,100,PHI,13,55,2,1,4,178,12,2010,322,30,5,1,52.6,14,0,16,34,0,0,79.9,0,3,1,0,PHI,13,0,21,ED,0,5,1,22.7,79.3,5,65,0,Brandon Graham,24,324,8,6,0,87.5,130,3,4,72.7,5538,0,0,282
2,0,2010,0,0,50,BUF,2,27,32,5,0,2,2,2010,1,80,4,1,65.9,0,0,29,0,0,0,60,0,0,0,0,BUF,0,0,0,S,0,4,1,0,67.6,4,90.6,0,Kareem Jackson,4,33,0,0,0,56.3,2,0,1,57.1,5545,25,0,1
0,0,2010,0,0,,HST,3,52,1,0,0,53,7,2010,91,74.5,0,0,60.9,3,0,3,3,0,0,55.3,0,0,0,0,HST,2,0,3,ED,0,,0,0,51.3,,83.8,0,Jerry Hughes,13,92,0,2,0,0,36,0,2,48.9,5556,1,0,86
0,0,2010,1,1,,DAL,11,93,0,0,2,120,17,2010,264,61.2,0,0,79.3,3,0,0,0,174,0,37.6,0,1,1,0,DAL,9,0,6,DI,0,,0,5.9,53.1,,63.3,0,Linval Joseph,9,264,0,90,0,0,144,0,5,77.5,5571,0,0,0
0,0,2011,0,3,,BUF,9,40,0,0,6,249,16,2011,332,53.3,0,0,69.9,30,0,13,0,0,1,65.5,0,4,2,0,BUF,13,0,40,ED,0,,0,21.4,85.5,,47.2,0,Von Miller,4,332,0,0,0,0,70,0,2,84.5,6154,0,0,332
0,0,2011,0,6,,NO,21,94,2,1,4,341,17,2011,563,44.6,0,0,73.6,21,1,8,150,3,0,54.5,0,3,1,4,NO,21,0,28,ED,0,,1,15.8,57.4,,78.1,0,Cameron Jordan,20,565,0,23,0,0,216,3,11,54.3,6176,0,0,387
0,0,2011,0,5,,PIT,53,97,1,1,10,501,18,2011,837,64,0,0,61.8,38,0,0,319,29,0,79.6,0,12,0,10,PIT,47,0,60,DI,0,,0,6.8,90.1,,87.4,0,Cameron Heyward,25,838,0,457,0,0,337,7,15,85.9,6183,0,0,32
0,0,2011,0,1,,CIN,0,74,0,0,0,41,4,2011,90,25.2,0,0,,0,0,0,13,1,0,52.7,0,0,0,0,CIN,0,0,0,DI,0,,0,33.3,51.1,,80.2,0,Lawrence Guy Sr.,7,90,0,73,0,0,49,0,2,52.5,6385,0,0,3
2,0,2011,0,0,100,WAS,1,57,8,7,0,1,4,2011,0,73.2,-4,2,79.8,0,0,4,0,0,0,63.2,0,0,0,0,WAS,1,0,0,LB,0,2,0,0,86.2,-2,68.6,0,Nick Bellore,32,8,3,0,0,79.2,3,1,0,60,6515,0,0,0
