targets,yards_per_coverage_snap,draft_season,missed_tackles,catch_rate,team_name,tackles,coverage_percent,jersey_number,dropped_ints,player_game_count,eligible_season,grades_tackle,yards,receptions,forced_incompletion_rate,grades_coverage_defense,interceptions,snap_counts_coverage,grades_run_defense,snap_counts_pass_play,penalties,forced_incompletes,team,coverage_snaps_per_target,stops,declined_penalties,position,longest,missed_tackle_rate,grades_defense,yards_per_reception,grades_defense_penalty,player,franchise_id,yards_after_catch,avg_depth_of_target,pass_break_ups,qb_rating_against,coverage_snaps_per_reception,assists,grades_pass_rush_defense,player_id,touchdowns
5,0.9,2024,0,20,NE,2,100,35,0,1,2024,75.2,11,1,60,81.7,0,12,60.9,12,0,3,NE,2.4,1,0,CB,11,0,80.6,11,74.4,Miles Battle,19,8,16.2,2,39.6,12,0,,84301,0
0,0,2023,0,,TB,0,22.2,58,0,3,2023,,0,0,,65.1,0,2,60,9,0,0,TB,,0,0,ED,,,70.2,,72.5,Markees Watts,30,0,,0,0,,0,60.9,84537,0
17,0.8,2024,3,82.4,NYG,11,89.9,53,0,13,2024,57.9,153,14,0,50.4,1,196,68.1,218,0,0,NYG,11.2,4,0,LB,27,15,58.9,10.9,81.8,Darius Muasau,21,80,4.9,0,99.3,13.6,6,51.1,86008,1
2,0,2024,0,0,NO,0,100,36,0,4,2024,72.5,0,0,50,65.3,0,13,63.6,13,0,1,NO,5.5,0,0,CB,,,66.2,,81.7,Rico Payton,20,0,23,1,39.6,,0,,86957,0
0,0,2023,0,,TB,0,100,21,0,1,2023,,0,0,,60.7,0,1,,1,0,0,TB,,0,0,CB,,,70.6,,89.4,Keenan Isaac,30,0,,0,0,,0,,86972,0
0,0,2020,2,,CHI,1,1.5,91,0,17,2020,27.9,0,0,,60.8,0,3,36.8,205,1,0,CHI,,4,0,DI,,66.7,45.5,,66.3,Chris Williams,6,0,,0,0,,0,61.1,87178,0
0,0,2023,0,,DEN,0,50,45,0,2,2023,,0,0,,60.7,0,1,,2,1,0,DEN,,0,0,TE,,,70,,60,Nate Adkins,10,0,,0,0,,0,60,87625,0
0,0,2024,0,,MIN,0,9.1,59,0,2,2024,67.4,0,0,,62.3,0,2,65.2,22,0,0,MIN,,0,0,ED,,,68.3,,77.4,Gabriel Murphy,18,0,,0,0,,0,62.7,89099,0
0,0,2024,0,,LA,0,100,21,0,2,2024,26.6,0,0,,65.3,0,6,44.2,6,0,0,LA,,0,0,CB,,,54.2,,79.4,Charles Woods,26,0,,0,0,,0,,89148,0
46,1,2020,4,78.3,NE,35,92.5,23,1,13,2020,53.8,387,36,4.3,34.8,0,406,59.7,439,2,2,NE,8.2,11,0,S,56,9.3,44.3,10.8,84.7,Kyle Dugger,19,170,8.2,0,141.3,10.5,4,69,90621,6
0,0,2023,0,,DET,0,7.7,96,0,2,2023,68.6,0,0,,60,0,1,42.5,13,0,0,DET,,0,0,DI,,,37.9,,75.1,Brodric Martin,11,0,,0,0,,0,53,91288,0
