targets,grades_pass_block,grades_offense,yards_after_contact,explosive,grades_pass_route,draft_season,elu_rush_mtf,breakaway_attempts,designed_yards,team_name,yprr,breakaway_percent,grades_pass,fumbles,first_downs,elusive_rating,jersey_number,breakaway_yards,player_game_count,eligible_season,total_touches,scramble_yards,yco_attempt,yards,grades_run_block,receptions,zone_attempts,scrambles,grades_run,penalties,attempts,elu_yco,elu_recv_mtf,team,declined_penalties,ypa,drops,position,grades_hands_fumble,longest,routes,player,franchise_id,rec_yards,gap_attempts,run_plays,avoided_tackles,grades_offense_penalty,player_id,touchdowns
29,46,71.5,670,22,70.1,2022,33,11,928,WAS,0.76,27.3,,2,54,48.7,08,253,17,2022,247,0,3,928,57.3,24,116,0,70.9,1,223,670,7,WAS,0,4.2,1,HB,70,40,237,Brian Robinson,32,181,100,292,33,90.7,57120,10
75,57.7,62,636,26,47.5,2022,36,11,876,NYJ,1.26,26.3,,6,38,59.5,20,230,16,2022,266,0,3.04,876,67.5,57,124,0,68.7,2,209,636,16,NYJ,0,4.2,8,HB,30,42,384,Breece Hall,22,483,82,233,36,40,97636,5
39,59.2,69.6,601,22,63.3,2021,40,7,801,NE,0.62,18.4,,7,40,60.5,38,147,15,2021,240,0,2.9,801,71.3,33,83,0,70.3,4,207,601,10,NE,1,3.9,1,HB,28.1,33,273,Rhamondre Stevenson,19,168,119,225,40,60,98689,7
36,69.6,66.6,611,27,54.5,2020,38,10,931,LAC,0.67,31.8,,0,49,53.3,27,296,14,2020,236,0,3,931,68.9,32,81,0,67.1,0,204,611,4,LAC,0,4.6,2,HB,90.8,61,227,J.K. Dobbins,27,153,120,229,38,87.3,57366,9
85,15.7,81.6,590,21,80.6,2023,32,10,907,MIA,1.45,31.5,,1,37,49.6,28,286,17,2023,281,0,2.91,907,40.4,78,121,0,82.8,1,203,590,16,MIA,1,4.5,1,HB,83.9,61,408,De'Von Achane,17,592,69,249,32,66.9,124305,6
50,35.1,58.4,546,18,40.6,2024,34,10,839,NYG,0.92,31.3,,4,39,55.6,29,263,17,2024,230,0,2.84,839,40,38,99,0,69.6,0,192,546,11,NYG,0,4.4,6,HB,29.8,45,310,Tyrone Tracy,21,284,81,234,34,89.7,84226,5
37,47.4,85.9,603,18,90.7,2019,42,5,803,DET,2.16,11.1,70.4,2,52,79.9,05,89,15,2019,228,0,3.14,803,60,36,124,0,80.1,1,192,603,16,DET,0,4.2,0,HB,68.1,21,158,David Montgomery,11,341,64,201,42,40.9,45719,12
0,,81.6,445,24,,2020,14,4,370,PHI,,12.1,71,10,74,15.9,01,100,19,2020,136,454,2.42,824,60.1,0,22,48,91.1,5,184,210,0,PHI,0,4.5,0,QB,56.4,44,0,Jalen Hurts,24,0,34,599,25,61.3,40291,19
0,,90.6,666,32,58.4,2024,18,5,357,WAS,0,11.6,84.7,5,64,42.8,05,119,20,2024,96,669,3.64,1026,60.5,0,25,87,90,2,183,219,0,WAS,1,5.6,0,QB,75.5,46,1,Jayden Daniels,32,0,41,497,51,90.8,97993,7
11,25.3,68.1,628,20,36.8,2023,46,8,766,JAX,0.42,31.6,,3,38,106.8,04,242,15,2023,175,0,3.74,766,59.2,7,67,0,74.6,0,168,628,4,JAX,0,4.6,2,HB,27.5,65,129,Tank Bigsby,15,54,98,195,46,86.1,123974,7
0,,94.9,518,40,,2018,19,12,621,BLT,,26.4,93.3,11,54,32.6,08,273,19,2018,113,414,3.24,1035,60.9,0,47,47,90.4,8,160,219,0,BLT,0,6.5,0,QB,44.2,48,0,Lamar Jackson,3,0,33,572,45,42.2,46416,4
14,44.5,72.7,512,23,53.4,2022,35,12,789,SF,0.54,36.9,,3,38,77.5,24,291,12,2022,164,0,3.35,789,67.3,11,110,0,76.1,0,153,512,3,SF,0,5.2,0,HB,43.4,38,170,Jordan Mason,28,91,41,175,35,85.7,62946,3
52,29.7,88.5,467,13,72.9,2022,59,6,573,SEA,1.33,22.7,,1,28,110.4,09,130,11,2022,199,0,3.05,573,68.7,46,81,0,91.3,2,153,467,13,SEA,1,3.7,1,HB,78,28,224,Kenneth Walker III,29,299,68,180,59,22.8,97199,7
50,19.3,60.7,372,16,70.7,2021,17,6,558,JAX,1,19,,1,31,32.8,01,106,15,2021,189,0,2.48,558,57.7,39,62,0,62.8,0,150,372,8,JAX,0,3.7,2,HB,76.9,22,254,Travis Etienne Jr.,15,254,85,165,17,88.3,57185,2
68,68.4,61.7,351,13,63.7,2021,23,4,542,DEN,1.2,12.5,,2,30,37.3,33,68,18,2021,200,0,2.4,542,42.3,54,74,0,60.5,1,146,351,8,DEN,0,3.7,4,HB,63.4,20,300,Javonte Williams,10,360,68,174,23,58.4,77803,4
57,69.2,73.8,453,12,69.3,2022,24,5,614,TB,1.31,23.1,,3,35,60,01,142,17,2022,198,0,3.12,614,63.2,53,74,0,73.7,0,145,453,14,TB,0,4.2,0,HB,49,56,311,Rachaad White,30,407,65,191,24,90.4,131633,3
13,59.6,86.4,494,18,67.7,2022,36,9,644,ATL,0.95,27.5,,0,43,105.8,25,177,17,2022,150,0,3.61,644,49.4,13,101,0,85.7,0,137,494,8,ATL,0,4.7,0,HB,90.1,25,93,Tyler Allgeier,2,88,33,165,36,81.6,83639,3
47,74.2,77.5,452,16,66.8,2023,32,5,569,SEA,1.08,22.8,,0,32,81.3,26,130,17,2023,177,0,3.35,569,62.6,42,61,0,78.8,0,135,452,11,SEA,0,4.2,0,HB,90.2,51,284,Zach Charbonnet,29,308,64,167,32,90.7,97630,8
45,41.1,61.4,316,7,62.2,2019,14,3,420,LV,1.35,13.8,,1,25,39.9,22,58,14,2019,168,0,2.39,420,58,36,79,0,62.3,0,132,316,14,LV,0,3.2,3,HB,75,24,218,Alexander Mattison,23,294,51,160,14,87.8,45817,4
0,,91.9,385,19,,2018,4,1,217,BUF,,3.3,84.1,8,64,7.5,17,21,20,2018,84,419,2.94,636,60.1,0,7,47,93.6,3,131,133,0,BUF,0,4.9,0,QB,37.4,30,0,Josh Allen,4,7,25,485,24,80.7,46601,14
47,22.4,64.3,390,14,70.9,2022,30,4,517,PIT,1.42,13.9,,2,29,76,30,72,16,2022,164,0,3.2,517,52.5,42,84,0,68.3,0,122,390,9,PIT,0,4.2,1,HB,59.2,22,232,Jaylen Warren,25,329,33,155,30,89.4,98692,1
18,23.1,70.4,364,12,61.4,2024,30,5,478,BUF,1.69,19.2,,1,27,70.9,22,92,20,2024,137,0,3.03,478,59.7,17,50,0,73.1,2,120,364,2,BUF,1,4,0,HB,55,23,112,Ray Davis,4,189,68,154,30,29.1,101072,4
29,44.3,72.6,469,14,65.6,2020,36,7,538,NE,1.26,31,,2,23,120.3,04,167,17,2020,143,0,3.91,538,57.5,23,47,0,75.5,0,120,469,8,NE,0,4.5,1,HB,55.3,45,164,Antonio Gibson,19,206,68,133,36,89,78050,1
26,27.2,65.2,294,16,51.3,2023,26,5,494,DEN,0.52,18,,1,25,56.6,38,89,17,2023,140,0,2.56,494,60.5,25,83,0,70.3,0,115,294,5,DEN,0,4.3,0,HB,70,21,146,Jaleel McLaughlin,10,76,26,141,26,85.7,138346,1
24,71.9,62.1,317,10,54,2019,24,4,437,NYG,0.73,22.4,,2,24,60.7,26,98,15,2019,134,0,2.81,437,41.2,21,53,0,64.5,1,113,317,5,NYG,1,3.9,1,HB,50.2,43,164,Devin Singletary,21,119,56,139,24,86,40485,4
16,33.9,72.6,309,17,59.8,2020,21,8,483,MIN,0.54,38.9,,1,22,50.7,27,188,16,2020,123,0,2.83,483,60,14,60,0,76.3,0,109,309,1,MIN,0,4.4,0,HB,69.3,58,126,Cam Akers,18,68,47,121,21,84.2,57206,2
4,49.1,64.5,287,6,50.4,2018,14,1,387,LAC,0.09,11.1,,0,18,33.5,04,43,12,2018,111,0,2.66,387,67.5,3,59,0,65.7,0,108,287,0,LAC,0,3.6,0,HB,88.4,43,66,Gus Edwards,27,6,48,139,14,81.4,46027,4
15,60.5,82.9,307,13,63.4,2023,27,7,508,GB,0.65,24.6,,0,27,76.1,31,125,18,2023,118,0,2.9,508,62.6,12,64,0,86.3,1,106,307,4,GB,0,4.8,1,HB,88.5,21,109,Emanuel Wilson,12,71,39,130,27,30.4,154173,4
42,45.1,71.2,364,13,59.7,2022,24,7,565,CLV,0.74,45.1,,0,25,101.8,34,255,14,2022,141,0,3.5,565,57.7,37,57,0,80.3,0,104,364,17,CLV,0,5.4,1,HB,90.1,66,304,Jerome Ford,8,225,42,127,24,92.8,83601,3
9,47.3,57.5,273,5,38.6,2018,20,2,332,CLV,0.36,10.2,,1,17,52.5,24,34,8,2018,107,0,2.68,332,59.4,5,68,0,62.5,0,102,273,1,CLV,0,3.3,2,HB,65.4,19,87,Nick Chubb,8,31,31,115,20,82.5,45783,3
54,42.3,69.8,252,9,72.6,2017,13,5,456,WAS,1.59,34.6,,3,21,50.6,30,158,15,2017,146,0,2.55,456,52.4,47,44,0,69,0,99,252,16,WAS,0,4.6,2,HB,28.9,50,283,Austin Ekeler,32,450,46,161,13,91.9,12164,4
1,,78.3,203,19,90.3,2024,0,1,71,DEN,1,6.8,73.8,2,45,0,10,32,18,2024,44,402,2.11,473,60,1,7,53,81.2,9,96,15,0,DEN,1,4.9,0,QB,91.6,32,2,Bo Nix,10,2,5,415,11,49.4,97790,4
