comp_pct_diff,pa_grades_pass,no_screen_grades_offense,pa_qb_rating,no_screen_qb_rating,pa_completions,pa_thrown_aways,pa_dropbacks_percent,ypa_diff,no_screen_drops,screen_completion_percent,npa_bats,no_screen_thrown_aways,pa_grades_run,screen_pressure_to_sack_rate,pa_drop_rate,screen_grades_offense,dropbacks,npa_thrown_aways,no_screen_def_gen_pressures,screen_grades_hands_fumble,pa_touchdowns,npa_ypa,draft_season,screen_avg_time_to_throw,screen_thrown_aways,npa_sacks,npa_aimed_passes,no_screen_completions,no_screen_positive_epa_percent,screen_spikes,pa_first_downs,pa_big_time_throws,team_name,pa_spikes,pa_sack_percent,screen_dropbacks_percent,no_screen_epa,npa_avg_time_to_throw,screen_bats,screen_grades_run_block,jersey_number,no_screen_bats,npa_grades_offense,screen_def_gen_pressures,pa_pressure_to_sack_rate,screen_sack_percent,no_screen_btt_rate,npa_btt_rate,screen_interceptions,no_screen_passing_snaps,no_screen_grades_hands_fumble,screen_scrambles,screen_grades_pass,npa_qb_rating,no_screen_grades_pass,pa_avg_time_to_throw,screen_twp_rate,player_game_count,npa_accuracy_percent,eligible_season,npa_drops,screen_yards,no_screen_drop_rate,no_screen_grades_offense_penalty,npa_passing_snaps,screen_drop_rate,screen_epa,screen_grades_offense_penalty,npa_spikes,screen_hit_as_threw,no_screen_aimed_passes,screen_drops,screen_ypa,npa_twp_rate,screen_accuracy_percent,npa_hit_as_threw,pa_accuracy_percent,pa_def_gen_pressures,screen_avg_depth_of_target,pa_sacks,screen_passing_snaps,no_screen_grades_run,no_screen_first_downs,pa_ypa,npa_scrambles,npa_pressure_to_sack_rate,pa_twp_rate,no_screen_twp_rate,npa_grades_hands_fumble,screen_completions,screen_btt_rate,npa_grades_run,no_screen_interceptions,npa_grades_run_block,no_screen_sacks,penalties,no_screen_big_time_throws,npa_drop_rate,npa_attempts,screen_qb_rating,npa_grades_offense_penalty,pa_bats,pa_attempts,npa_def_gen_pressures,no_screen_avg_time_to_throw,pa_yards,npa_positive_epa_percent,team,no_screen_scrambles,pa_turnover_worthy_plays,pa_aimed_passes,declined_penalties,pa_grades_offense,screen_positive_epa_percent,no_screen_dropbacks,no_screen_dropbacks_percent,npa_sack_percent,pa_positive_epa_percent,pa_grades_run_block,no_screen_turnover_worthy_plays,position,npa_epa,no_screen_avg_depth_of_target,pa_grades_hands_fumble,no_screen_completion_percent,pa_hit_as_threw,pa_grades_offense_penalty,npa_dropbacks_percent,npa_grades_pass,screen_grades_run,screen_first_downs,npa_completion_percent,no_screen_grades_run_block,no_screen_hit_as_threw,screen_turnover_worthy_plays,npa_avg_depth_of_target,npa_dropbacks,player,pa_drops,pa_btt_rate,franchise_id,screen_big_time_throws,screen_aimed_passes,npa_touchdowns,screen_attempts,screen_dropbacks,no_screen_yards,pa_scrambles,pa_completion_percent,pa_avg_depth_of_target,pa_interceptions,no_screen_accuracy_percent,no_screen_spikes,pa_dropbacks,npa_big_time_throws,no_screen_sack_percent,pa_epa,no_screen_attempts,pa_passing_snaps,npa_completions,screen_touchdowns,npa_first_downs,no_screen_touchdowns,player_id,npa_yards,no_screen_ypa,npa_turnover_worthy_plays,npa_interceptions,no_screen_pressure_to_sack_rate,screen_sacks,no_screen_grades_pass_route,screen_grades_pass_route,npa_grades_pass_route,pa_grades_pass_route,screen_grades_pass_block,no_screen_grades_pass_block,npa_grades_pass_block,pa_grades_pass_block,screen_grades_hands_drop,pa_grades_hands_drop,npa_grades_hands_drop,no_screen_grades_hands_drop,pa_grades_defense_penalty,pa_grades_screen_block,screen_grades_run_defense,npa_grades_defense_penalty,pa_grades_run_defense,screen_grades_screen_block,pa_grades_defense,no_screen_grades_screen_block,npa_grades_defense,screen_grades_defense,screen_grades_defense_penalty,no_screen_grades_run_defense,no_screen_grades_defense,npa_grades_screen_block,no_screen_grades_defense_penalty,npa_grades_run_defense,no_screen_grades_overall_tackle,pa_grades_overall_tackle,pa_grades_tackle,npa_grades_coverage_defense,npa_grades_overall_tackle,screen_grades_coverage_defense,npa_grades_tackle,screen_grades_tackle,no_screen_grades_tackle,pa_grades_coverage_defense,screen_grades_overall_tackle,no_screen_grades_coverage_defense
3.49,84,84.9,102.4,95.1,123,9,25.2,1.69,19,82.4,8,28,80.4,50,3.9,60.1,770,22,250,85.1,8,6.5,2017,1.46,3,43,447,372,52.3,0,80,7,KC,0,2.1,12.9,0.14,2.83,6,,15,4,77.4,4,7.5,2,3.9,3.3,0,723,62.6,0,59.7,91.6,79.1,2.73,1,19,76.3,2017,17,438,4.9,90.5,621,3.8,0,80.6,2,1,530,3,4.8,2.7,96.3,9,78,53,-3.2,4,102,88.1,248,8.2,43,21.4,2,2.8,64.2,75,0,84.7,13,60.4,45,0,24,5,488,86.7,90.1,2,176,201,3.01,1439,49.3,KC,51,4,164,0,88.2,46.5,671,87.1,7.5,58.2,,20,QB,0.1,8.6,72.1,64.9,1,83.3,74.8,71.7,,25,66.4,60.4,9,1,6.9,576,Patrick Mahomes,5,3.8,16,0,81,23,91,99,4169,8,69.9,7.2,3,73.8,2,194,17,6.7,0.2,573,204,324,0,193,31,11765,3168,7.3,17,10,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.7,90.2,90.8,100.3,100.4,104,11,29.1,1.45,19,86.2,11,23,91,22.2,9.6,68.1,736,17,250,85.2,7,7,2024,1.58,5,33,408,325,52.5,0,74,3,WAS,0,8.4,13.6,0.2,2.78,3,,05,12,82.3,9,22.5,2,4.1,4.2,1,677,71.3,1,67.9,99.4,85.2,3.35,0,20,76.7,2024,11,517,5.5,90.5,548,3.6,-0.14,80.7,2,0,462,3,5.5,1.8,97.7,1,82.1,80,-3.7,18,104,90.1,230,8.5,48,18.4,0.9,1.8,65,81,0,80.7,9,60.5,49,0,22,3.5,439,88.7,90,4,155,179,3.16,1312,49.6,WAS,86,2,140,0,93.2,44,636,86.4,6.3,55.6,,12,QB,0.16,9.8,90.2,65,0,83.8,70.9,77,58.3,20,68.8,60.5,1,0,7.8,522,Jayden Daniels,11,1.7,32,0,86,23,94,100,3873,39,67.1,7.5,3,74.5,2,214,19,7.7,0.15,500,233,302,1,176,29,97993,3078,7.7,10,7,19.6,2,58.4,,,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.57,78.7,94.1,104.2,108.8,88,7,19.4,0.92,26,85.4,5,21,65.4,0,4.3,66.9,725,16,245,80,5,7.4,2020,1.49,2,39,496,425,53,0,48,7,CIN,0,6.4,5.8,0.14,2.53,1,,09,7,94.1,3,16.7,0,5.8,5.5,1,728,54.1,0,67.3,109.6,93.1,3.12,0,17,79.6,2020,23,256,5.8,58.5,624,2.8,-0.36,77.7,1,0,574,1,6.2,1.8,94.7,7,79.3,54,-3,9,47,75.8,252,8.3,17,20.1,2.6,2.1,54.6,35,0,74.5,8,60.1,48,0,38,5.8,525,98.8,66.8,3,127,194,2.72,1052,52.9,CIN,22,4,116,0,79.9,42.9,683,94.2,6.7,50.4,,15,QB,0.11,8.4,65.3,69.6,1,25.2,80.6,93.1,58.3,12,70.9,60.1,8,0,7.5,584,Joe Burrow,4,5.1,7,0,38,38,41,42,4662,5,69.3,8.5,1,78.6,1,141,31,7,0.12,611,151,372,2,216,41,28022,3866,7.6,11,8,19.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.24,80.8,80,102.8,86.3,113,7,26.5,1.55,22,89.6,5,21,63.2,0,2.6,67.5,702,15,272,82.6,7,6.8,2023,1.7,1,54,405,317,43.5,0,75,8,HST,0,4.8,9.7,-0.01,2.88,2,,07,4,75.6,1,14.8,0,4.8,4.1,0,670,73.2,0,66.9,82.1,77.6,3.4,0,19,70.1,2023,20,338,6.5,59,548,1.6,-0.2,79.3,1,0,490,1,5,2.7,95.3,8,77.9,61,-3.7,9,71,73.3,216,8.3,27,25.5,3.1,3.1,66.7,60,0,75.1,13,60,63,0,27,7,434,87.7,55.3,1,159,212,3.16,1322,40.1,HST,45,6,149,0,81.6,36.8,634,90.3,10.5,50.5,,21,QB,-0.08,10.4,89.8,60.3,2,83.1,73.5,72.9,,13,60.8,60,10,0,8.6,516,C.J. Stroud,3,4.8,13,0,64,14,67,68,3916,18,71.1,9.1,3,69.2,1,186,19,9.9,0.13,526,193,264,0,154,21,129759,2932,7.4,15,10,23.2,0,53.9,60,57.7,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.11,62.4,68.1,95.4,83.7,61,9,17.4,2.39,19,86.1,10,32,71.8,27.3,3.2,60.9,682,29,230,85.8,4,5.9,2024,1.65,6,56,422,264,42.2,0,43,4,CHI,0,10.1,15.8,-0.09,2.93,2,,18,10,67.2,11,27.3,2.8,4.7,3.9,0,628,77.2,0,60.5,86.2,63.7,3.5,0,17,72.7,2024,17,628,6.7,44.8,613,0,-0.08,81,4,0,411,0,6.2,2.6,93.5,2,76.8,44,-3.1,12,113,80.4,169,8.3,38,28.4,2.3,3,76.6,87,0,78.8,6,60.2,65,0,24,5.5,467,99.2,44.1,2,95,197,3.29,788,40.7,CHI,48,3,82,0,65.6,38,574,84.2,9.9,45.4,,19,QB,-0.1,10.7,86.6,57.3,2,81.5,82.6,63.3,,21,62.1,60.2,4,0,8.3,563,Caleb Williams,2,3.9,6,0,93,16,101,108,2913,10,64.2,7,2,68.9,4,119,20,11.3,-0.01,461,128,290,2,147,18,144622,2753,6.3,16,4,28.3,3,60,,,60,,70.7,60.9,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.7,77.8,86,117.4,105.6,104,3,22.8,2.08,21,90.5,10,7,58.6,0,3.7,70.4,680,5,164,85.1,9,7.5,2018,1.64,1,32,429,336,53.8,0,68,3,TB,0,5.8,14.4,0.17,2.78,1,,06,10,84.2,4,31,0,4.2,4,1,619,33.5,0,69.5,105.3,83.8,2.79,0,18,78.6,2018,19,696,5.9,68.1,558,2.3,0.3,80.6,1,0,469,2,7.3,3.4,94.6,5,81.2,29,-3.6,9,102,70.9,226,9.6,41,23,3.1,3.9,35.7,86,0,71.8,15,60,41,0,22,5.6,450,110.4,66.7,1,138,139,2.97,1319,52.6,TB,46,5,133,0,78.9,55.1,582,85.6,6.1,58.7,,24,QB,0.18,9.5,67.1,68.2,1,82.4,77.2,81.8,,31,70.7,60,6,0,7.6,525,Baker Mayfield,4,2.1,30,0,93,34,95,98,3989,5,75.4,6.7,3,76.1,1,155,19,7,0.23,493,163,318,5,189,38,46518,3366,8.1,19,13,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.08,69.9,78.7,102.9,88.6,116,11,28,0.35,26,90.4,14,20,58,0,4.9,65.9,674,12,191,65.2,14,6.6,2024,1.64,3,23,390,304,43.8,0,58,5,DEN,0,1.6,15,-0.01,2.92,1,,10,15,78.1,3,6.3,0,4.4,4.1,0,606,92.2,1,65.7,89.5,73.9,3.13,0,18,75.9,2024,23,515,7.9,45.4,512,3.4,0.06,80.8,1,0,455,3,5.5,2,97.8,2,78.7,48,-4.4,3,106,81.7,184,6.9,38,15.8,1.5,2.1,91.9,85,0,84.7,12,60,26,0,23,7.8,419,107.2,41.2,2,170,146,3.22,1173,43.5,DEN,52,3,155,0,71,45.5,573,85,4.7,45.5,,13,QB,-0.04,10.4,77.4,61.4,2,83.2,72,73,58.3,20,65.2,60,4,0,8.3,485,Bo Nix,6,2.8,10,0,90,16,94,101,3404,15,68.2,6.9,5,72.5,1,189,18,4.5,0.12,495,200,273,5,146,25,97790,2746,6.9,10,7,13.6,0,90.3,,60,90.6,,,,,,64.7,,64.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.55,88,80.9,128.2,100.7,119,9,28.1,2.92,20,88.6,5,29,83.8,12.5,4.8,66.7,672,24,255,83.1,16,7,2018,1.92,4,44,381,324,50.6,0,75,15,MIN,0,6.9,10.9,0.05,2.99,0,,14,8,71.5,8,19.7,1.4,6.1,4.2,0,649,52.2,1,66.7,90.1,77.5,3.3,0,18,74,2018,15,359,5.8,28.3,518,1.6,0.01,79.6,1,0,466,1,5.1,4.1,95.5,9,82.8,66,-4,13,76,83.3,219,9.9,18,22.3,2.9,4.2,50.3,62,0,75.5,13,60.1,56,0,34,5.3,420,92.8,20.9,3,165,197,3.22,1634,47.6,MIN,28,6,151,0,91,45.2,599,89.1,9.1,56.1,,27,QB,-0.02,11.2,72.4,62.9,2,83.4,71.9,69.2,58.3,13,63.6,60.1,11,0,9.3,483,Sam Darnold,6,8.2,18,0,66,20,70,73,4205,11,72.1,9.3,3,73.8,1,189,19,9.3,0.22,515,207,267,1,157,35,29048,2930,8.2,21,10,22,1,55.2,,,55.2,61.3,,,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.19,70.5,83.1,88,92.6,75,4,18.3,-1.36,13,88.8,11,19,62.1,0,3.8,69.4,652,18,245,83.7,3,7.7,2013,1.83,3,41,435,336,49.8,0,41,2,SEA,0,7.6,12.3,0.04,2.75,3,,07,10,83.1,6,19.1,0,5.2,5.1,1,620,60.4,0,68.6,94.4,82.6,3.11,0,17,78.9,2013,11,498,3.7,44,578,1.4,-0.12,79.9,2,0,463,1,6.2,2.6,97.3,4,76.5,47,-2.6,9,84,62.6,205,6.4,22,20.1,2.4,2.9,65.6,71,0,62.1,14,60,50,0,28,3.2,470,87.4,42.2,2,108,204,2.95,688,50.1,SEA,24,3,102,0,71.6,43.8,572,87.7,7.7,44.5,,18,QB,0.06,9.2,61.4,67.5,0,81.4,81.7,82.8,,16,70.6,60,4,0,7.7,533,Geno Smith,3,1.7,29,0,74,18,80,80,3822,2,69.4,7.4,2,75.4,2,119,26,8.7,-0.13,498,126,332,0,180,21,7820,3632,7.7,15,13,20.4,0,58.9,,,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.18,74.2,77.5,93.2,89.9,104,7,25.8,0.07,36,85.5,4,16,65.6,0,7.1,68.2,643,11,173,83.8,7,6.7,2005,1.59,2,36,403,303,44.4,0,54,6,NYJ,0,2.4,12.4,0,2.53,2,,08,6,74.9,5,10.3,0,4.8,4.5,1,599,74.2,1,68.1,89.5,75.9,2.98,0,17,73.2,2005,31,334,10.6,18,505,4.4,-0.27,79.9,0,0,480,3,4.4,2.2,94.4,5,75.2,39,-2.4,4,85,73.3,184,6.7,15,25.9,0.6,2,78.2,65,0,68.8,10,60.6,40,0,26,10.5,423,88.3,11.1,4,161,139,2.8,1082,42.3,NYJ,15,1,149,0,76.4,41.3,563,87.6,7.5,48.8,,12,QB,-0.07,8.7,69.2,59.6,1,82.8,74.2,73.9,58.3,15,62.4,60.6,6,0,7.6,477,Aaron Rodgers,8,3.4,22,0,72,21,76,80,3563,1,64.6,6.4,2,70.6,0,166,20,7.1,0.08,508,179,264,2,145,26,2241,2815,7,11,9,23.1,0,60,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
