grades_offense,twp_rate,btt_rate,spikes,dropbacks,thrown_aways,draft_season,team_name,grades_pass,hit_as_threw,first_downs,jersey_number,sack_percent,bats,sacks,player_game_count,eligible_season,completions,yards,accuracy_percent,scrambles,interceptions,drop_rate,grades_run,qb_rating,completion_percent,penalties,attempts,team,declined_penalties,passing_snaps,pressure_to_sack_rate,ypa,drops,position,grades_hands_fumble,avg_time_to_throw,big_time_throws,player,positive_epa_percent,franchise_id,avg_depth_of_target,turnover_worthy_plays,epa,aimed_passes,player_id,touchdowns,def_gen_pressures
83.1,2.6,4.5,2,652,22,2013,SEA,82.4,4,221,07,7.7,13,50,17,2013,407,4320,78.4,24,15,3.3,62.6,93.2,70.4,10,578,SEA,1,704,19.9,7.5,14,QB,65.2,2.82,28,Geno Smith,49.1,29,7.6,18,0.02,537,7820,21,251
91.9,2.6,7,1,634,30,2018,BUF,84.1,5,218,17,3,10,19,19,2018,365,4367,74.2,47,6,5.2,93.6,102.6,64.6,3,565,BUF,0,686,9,7.7,20,QB,37.4,2.86,43,Josh Allen,50.3,4,8.7,18,0.25,519,46601,32,211
67.6,2.6,3.9,4,682,38,2024,CHI,63.5,4,190,18,10,12,68,17,2024,351,3541,73.4,48,6,5.1,80.4,87.8,62.5,9,562,CHI,1,741,28.2,6.3,19,QB,81.6,3.03,24,Caleb Williams,41.5,6,8.1,19,-0.09,504,144622,20,241
82.1,2.4,4.7,1,614,24,2019,ARZ,77.9,3,205,01,4.9,10,30,17,2019,372,3851,75.9,40,11,2.6,81.8,93.5,68.8,6,541,ARZ,0,656,16.7,7.1,10,QB,66.8,2.84,27,Kyler Murray,51.6,1,7.4,16,0.09,503,38334,21,180
91.2,2.4,5.7,3,618,17,2020,LAC,90.2,8,196,10,7.3,10,45,18,2020,346,4112,75.7,31,7,8.2,72.4,97.3,64.6,1,536,LAC,0,662,21.5,7.7,31,QB,59.2,2.87,33,Justin Herbert,44.7,27,9.2,16,0.09,498,28237,24,209
94.9,1.6,6.3,6,597,15,2018,BLT,93.3,10,239,08,4.4,11,26,19,2018,350,4601,77,47,5,4.9,90.4,119.9,67.3,8,520,BLT,0,635,11.2,8.8,18,QB,44.2,3.2,35,Lamar Jackson,52.6,3,9.3,10,0.32,478,46416,45,232
75.8,3.2,3.4,0,492,17,2020,GB,74.3,10,169,10,3.3,9,16,16,2020,288,3601,74.4,13,14,8.3,58,92.7,62.9,6,458,GB,1,528,9.3,7.9,26,QB,75.8,2.76,17,Jordan Love,48.8,12,9.2,17,0.09,422,40306,25,172
82.4,3,3.1,5,537,11,2022,SF,76.3,2,199,13,5.8,9,31,15,2022,300,3864,74.1,44,12,5.4,90.2,96.1,65.9,2,455,SF,0,567,15.5,8.5,17,QB,63.7,2.99,15,Brock Purdy,50.8,28,9,17,0.14,428,77672,20,200
74.3,4.6,2.7,4,485,15,2012,ATL,72.3,7,163,18,5.6,15,27,14,2012,303,3508,76.7,3,16,4.1,65.8,88.6,66.9,2,453,ATL,0,521,17.3,7.7,13,QB,46.5,2.54,13,Kirk Cousins,48.5,2,8,24,0,412,7102,18,156
81.6,3.2,4.6,1,556,36,2020,PHI,71,2,198,01,9.2,9,51,19,2020,313,3629,80.4,48,6,3.7,91.1,104.7,69.2,5,452,PHI,0,590,22.9,8,12,QB,56.4,3.23,22,Jalen Hurts,48.9,24,8.1,19,0.15,404,40291,23,223
70.2,2.6,2.6,2,435,9,2020,MIA,70.2,0,166,01,4.8,6,21,11,2020,291,2867,79.8,7,7,4.6,51.3,101.4,72.9,3,399,MIA,1,460,21,7.2,14,QB,39.5,2.3,11,Tua Tagovailoa,52.2,17,6.1,12,0.14,382,60326,19,100
74.4,2.5,6.6,0,450,32,2023,CAR,75.1,2,132,09,6.4,2,29,14,2023,234,2403,71.6,37,9,6,59.5,82.2,60.9,9,384,CAR,0,477,16.9,6.3,15,QB,62.6,2.94,27,Bryce Young,41.3,5,9,12,-0.1,348,123943,15,172
79.5,1.6,6.3,2,426,32,2012,PIT,77.5,3,131,03,8.7,10,37,12,2012,234,2752,78.6,22,5,6.4,68.7,97.7,64.1,3,365,PIT,1,444,23.1,7.5,16,QB,57,2.84,24,Russell Wilson,43.7,25,8.4,7,0.01,318,7077,18,160
72,2.2,1.9,4,389,20,2019,MIN,67.5,3,110,13,7.5,5,29,10,2019,216,2070,77.7,16,7,10,79,79.4,63.3,5,341,MIN,0,418,20,6.1,24,QB,80.1,2.71,7,Daniel Jones,42.9,18,7.5,9,-0.12,309,39395,8,145
70.1,3.5,3.7,1,422,17,2024,NE,64.9,5,132,10,8.1,4,34,13,2024,225,2276,74.6,45,10,3,82.9,88.1,66.6,2,338,NE,0,461,21.5,6.7,7,QB,48.6,2.82,14,Drake Maye,47.2,19,7.4,16,-0.03,311,143969,15,158
52.9,3.4,2.4,1,326,7,2017,DAL,59.8,2,92,10,4,13,13,11,2017,187,1844,70.5,4,5,7,24,83.8,60.7,0,308,DAL,0,352,17.3,6,14,QB,26,2.35,8,Cooper Rush,40.8,9,7.5,12,-0.16,285,12324,12,75
60.7,2.4,1.5,3,346,21,2019,LV,61.7,2,110,15,8.4,9,29,10,2019,203,2013,76.8,11,10,2.4,46.1,81,66.3,1,306,LV,0,370,24,6.6,5,QB,47.7,2.63,5,Gardner Minshew,43.6,23,6.2,9,-0.16,271,41401,9,121
54.9,4.4,4.7,0,362,14,2023,TEN,54.6,6,95,08,11.3,3,41,12,2023,190,2091,73.4,20,12,6.9,58.2,81.4,63.1,5,301,TEN,0,384,30.4,6.9,14,QB,30.1,2.74,15,Will Levis,38.7,31,9.1,17,-0.21,278,83542,13,135
73.4,5.2,3.5,1,329,8,2015,CLV,69.5,4,108,05,7.3,10,24,9,2015,181,2121,70.7,8,12,6.2,84.3,80.6,61.1,5,296,CLV,1,347,23.3,7.2,12,QB,83.5,2.67,11,Jameis Winston,45.3,8,9.7,18,-0.1,273,9434,13,103
67.9,4.7,4.5,2,317,6,2016,DAL,67.2,4,88,04,6.6,6,21,8,2016,185,1978,72.4,6,8,4.6,59.6,86,64.7,3,286,DAL,0,344,21.4,6.9,9,QB,56,2.63,14,Dak Prescott,44.5,9,8.3,16,-0.08,268,10769,11,98
76.8,3.9,4.4,1,317,10,2021,JAX,73.8,1,103,16,5.7,2,18,10,2021,172,2045,70,13,7,9,75.6,85.2,60.6,1,284,JAX,0,332,20,7.2,17,QB,70.7,2.63,13,Trevor Lawrence,44.2,15,9.9,13,-0.04,270,77632,11,90
85.6,2.5,5.4,0,300,20,2014,NO,86.7,3,94,04,2.7,3,8,10,2014,189,2145,78.7,8,5,5,48.6,101,67.7,4,279,NO,0,319,8.5,7.7,10,QB,60.6,2.64,16,Derek Carr,45,20,8.6,8,0.11,253,8671,15,94
62.2,4.7,6.8,2,299,12,2023,IND,59.8,11,82,05,4.7,3,14,11,2023,126,1814,60.2,21,12,11.3,65.1,61.6,47.7,4,264,IND,1,317,12.2,6.9,16,QB,28.2,2.95,19,Anthony Richardson,37.1,14,12.3,15,-0.11,236,124393,8,115
65,3.2,2.9,0,290,12,2021,JAX,62.1,2,82,10,4.8,6,14,10,2021,171,1672,72.7,14,8,2.8,75.4,79.2,65.3,3,262,JAX,0,309,18.4,6.4,5,QB,81.5,2.67,8,Mac Jones,44.1,15,7.7,10,-0.03,242,60323,7,76
71.6,3.8,3,0,270,11,2008,IND,70.7,1,88,15,6.7,3,18,7,2008,162,1761,73,3,7,4.7,55.4,90.5,65.3,3,248,IND,1,290,23.1,7.1,8,QB,79.9,2.62,8,Joe Flacco,45.9,14,9.2,11,0.03,233,4332,12,78
61.2,3.6,4.6,1,256,11,2023,LV,58.2,4,80,12,3.9,4,10,9,2023,154,1612,71.3,3,4,3.1,74.6,86.7,63.4,2,243,LV,0,276,12,6.6,5,QB,66.8,2.74,12,Aidan O'Connell,46.9,23,8.3,10,0.03,223,60516,8,83
52,4.9,2.4,1,264,13,2024,NO,49.4,6,67,18,8.3,5,22,7,2024,130,1317,69,14,5,7.1,71.3,70.4,57,1,228,NO,0,284,22.4,5.8,10,QB,27.1,2.78,6,Spencer Rattler,37.5,20,8.2,14,-0.29,203,97408,4,98
62.5,2.9,2.4,3,256,15,2018,TEN,61.5,4,85,11,4.3,2,11,8,2018,146,1530,77,13,9,7,65.3,80.1,64,4,228,TEN,0,276,12.4,6.7,11,QB,48.6,2.7,6,Mason Rudolph,48,31,7.6,8,-0.01,204,46569,9,89
63.1,1.7,3.5,0,270,10,2017,CLV,63.4,6,54,04,12.2,2,33,7,2017,137,1148,76.8,21,3,9.9,57.6,79,63.4,2,216,CLV,0,290,28,5.3,15,QB,56.9,3.05,8,Deshaun Watson,37.8,8,7.1,5,-0.25,198,11767,5,118
53.6,5.1,3.1,1,204,7,2019,NYG,48.2,3,53,02,5.9,7,12,7,2019,107,1071,71.2,10,5,7.8,90.7,75.5,59.1,4,181,NYG,0,216,15.4,5.9,9,QB,40.3,2.81,6,Drew Lock,40.7,21,7.3,11,-0.21,163,39517,6,78
71,2.8,3.4,1,197,8,2021,PIT,65.7,4,51,02,8.1,2,16,8,2021,106,1106,78.2,18,1,7.8,76.8,92.8,65.4,4,162,PIT,0,215,20.3,6.8,9,QB,63.2,3.08,6,Justin Fields,43.1,25,7.8,6,0.02,147,82118,5,79
59.1,3,2.9,1,188,11,2016,NE,58.5,5,45,07,9.6,1,18,7,2016,95,826,70.6,9,1,5.9,56.7,74.2,59,2,161,NE,0,200,22,5.1,6,QB,37.3,2.89,5,Jacoby Brissett,39.4,19,7.3,6,-0.23,143,10725,2,82
68.1,4.3,3.6,0,175,6,2011,CAR,67.4,0,52,14,4,3,7,6,2011,106,989,77.5,6,6,9.4,58,82,66.3,0,160,CAR,0,185,14,6.2,11,QB,58.2,2.54,6,Andy Dalton,40.6,5,7,8,-0.23,151,6187,7,50
67.3,4.9,0.7,1,168,7,2020,MIA,61.6,2,52,18,8.9,3,15,5,2020,86,831,77.5,15,3,7.5,78.5,80.1,64.7,2,133,MIA,0,182,25.4,6.2,7,QB,35.3,2.66,1,Tyler Huntley,40.5,17,8.2,9,-0.13,120,46448,3,59
45.3,4.9,0.8,0,133,12,2023,CLV,39.3,1,23,17,6,2,8,6,2023,61,440,67,6,6,11.6,73.1,39.5,51.7,5,118,CLV,0,142,18.2,3.7,8,QB,29,2.75,1,Dorian Thompson-Robinson,32.3,8,5.7,7,-0.59,103,83574,0,44
87.9,1.7,9,0,114,3,2024,ATL,87.6,3,36,09,3.5,1,4,5,2024,61,775,70.4,4,3,11.6,51.3,78.9,58.1,0,105,ATL,0,120,12.1,7.4,8,QB,34.9,2.66,10,Michael Penix Jr.,47.4,2,10.6,2,0.1,98,82134,3,33
45.7,4.8,4.5,1,102,5,2022,LV,49,3,25,10,9.8,1,10,5,2022,52,458,72,6,2,3.7,47.3,73.6,61.2,1,85,LV,0,105,22.2,5.4,2,QB,29.9,2.72,4,Desmond Ridder,42.2,23,7.9,5,-0.07,75,55086,2,45
70.3,1.3,3.4,0,71,1,2022,GB,65.3,0,24,02,11.3,0,8,6,2022,40,550,83,8,0,9.1,71.2,124.8,74.1,2,54,GB,0,77,34.8,10.2,4,QB,52.5,2.97,2,Malik Willis,42.3,12,7.5,1,0.21,53,60341,3,23
54.8,4.9,3.6,1,55,3,2018,NYG,54,0,12,12,3.6,1,2,3,2018,27,276,64.4,2,1,6.9,62.4,68.4,54,0,50,NYG,0,61,11.1,5.5,2,QB,81.8,2.36,2,Tim Boyle,40,21,7.7,3,-0.35,45,21956,1,18
56.7,5.6,0,1,52,0,2017,SF,61.1,0,19,05,3.8,1,2,2,2017,32,361,75.6,3,2,5.9,44.7,87.3,68.1,0,47,SF,0,54,16.7,7.7,2,QB,24.8,2.65,0,Joshua Dobbs,51.9,28,7.4,3,0.07,45,11890,2,12
71.8,2.1,2.2,0,47,0,2023,PHI,70,0,17,16,4.3,1,2,2,2023,30,323,75,0,0,9.1,64.2,117.2,66.7,0,45,PHI,0,47,10.5,7.2,3,QB,80.7,2.39,1,Tanner McKee,55.3,24,7.4,1,0.2,44,131770,4,19
51.3,1.6,0,0,55,3,2023,NYG,52.2,0,16,15,10.9,0,6,2,2023,31,257,78,4,0,3.1,53.5,85.1,70.5,0,44,NYG,0,62,30,5.8,1,QB,82.3,2.59,0,Tommy DeVito,45.5,21,5.8,1,-0.06,41,60545,0,20
90.1,0,8.2,1,51,1,2015,WAS,90.8,0,24,18,5.9,0,3,3,2015,34,364,88.1,4,0,8.1,65.1,131.3,77.3,0,44,WAS,0,57,23.1,8.3,3,QB,83.3,3.13,4,Marcus Mariota,62.7,32,9.8,0,0.37,42,9435,4,13
65.7,3.5,6.3,0,51,2,2022,PHI,63,2,12,07,7.8,2,4,5,2022,25,291,70.3,3,1,3.8,66,84.5,58.1,0,43,PHI,0,57,20,6.8,1,QB,82.9,2.84,3,Kenny Pickett,35.3,24,8.9,2,-0.16,37,60515,2,20
64.4,2,0,0,47,1,2021,DAL,65.8,1,14,19,8.5,1,4,3,2021,25,266,68.4,2,1,3.8,55.5,69.8,61,0,41,DAL,0,50,26.7,6.5,1,QB,81.8,2.9,0,Trey Lance,38.3,9,7.8,1,-0.28,38,91399,0,15
70.8,2.2,2.4,0,45,1,2014,LA,71.5,0,16,11,6.7,0,3,1,2014,27,334,72.5,1,1,6.9,53.6,97,65.9,0,41,LA,0,46,15,8.1,2,QB,80.1,2.63,1,Jimmy Garoppolo,53.3,26,4.8,1,0.01,40,8697,2,20
57.2,1.9,4.8,0,51,1,2023,NO,56.7,1,10,03,11.8,0,6,6,2023,18,226,62.2,5,1,21.7,59.4,62.6,46.2,0,39,NO,0,54,22.2,5.8,5,QB,81.8,2.92,2,Jake Haener,33.3,20,9,1,-0.25,37,60596,1,27
68.5,0,0,0,39,0,2021,HST,64,1,9,10,5.1,1,2,4,2021,20,212,61.8,1,0,4.8,74.7,72.9,55.6,0,36,HST,0,41,25,5.9,1,QB,79.6,2.35,0,Davis Mills,33.3,13,7.6,0,-0.19,34,52269,0,8
39.7,7.3,0,0,40,1,2022,MIA,41.8,1,8,19,15,0,6,2,2022,21,187,74.2,1,0,8.7,55.3,78.7,63.6,0,33,MIA,0,41,35.3,5.7,2,QB,20.3,2.78,0,Skylar Thompson,37.5,17,7.6,3,-0.38,31,60417,0,17
41,10.8,8.8,0,33,1,2022,CLV,43.7,0,8,02,3,0,1,1,2022,16,170,60,1,2,11.1,57.9,51.8,51.6,1,31,CLV,0,37,11.1,5.5,2,QB,78.8,2.68,3,Bailey Zappe,36.4,8,8.1,4,-0.57,30,60396,1,9
41.1,12.1,0,0,33,3,2016,SF,44.5,0,8,17,6.1,0,2,2,2016,17,199,70.4,1,2,10.5,54.4,60.3,56.7,1,30,SF,0,33,16.7,6.6,2,QB,20.4,2.78,0,Brandon Allen,33.3,28,8.1,4,-0.62,27,10835,1,12
95.8,0,9.4,0,32,2,2024,NE,94.9,0,15,19,0,0,0,1,2024,22,241,81.5,2,0,0,72.6,111.4,75.9,1,29,NE,0,35,0,8.3,0,QB,79.8,3.33,3,Joe Milton III,59.4,19,10.5,0,0.31,27,82151,1,11
50.9,3.6,0,0,28,1,2017,BUF,49.5,0,7,11,0,0,0,5,2017,19,179,76,1,0,0,55.2,117.3,73.1,0,26,BUF,0,28,0,6.9,0,QB,80.9,2.29,0,Mitch Trubisky,46.4,4,6.2,1,0.28,25,11757,2,6
74.5,0,0,0,24,1,2011,NYJ,78.4,0,9,02,0,0,0,2,2011,17,119,81,2,0,0,49.2,128.6,77.3,0,22,NYJ,0,27,0,5.4,0,QB,25.6,2.69,0,Tyrod Taylor,62.5,22,4.8,0,0.56,21,6332,3,8
50.7,0,0,0,25,0,2016,KC,51.1,1,5,11,16,0,4,2,2016,12,118,66.7,1,0,0,57.9,80.6,63.2,0,19,KC,0,26,30.8,6.2,0,QB,77.1,2.61,0,Carson Wentz,24,16,5.2,0,-0.4,18,10636,0,13
27,10.5,0,0,19,0,2022,SEA,27.6,1,1,06,21.1,0,4,1,2022,5,24,46.2,1,1,16.7,58.3,14.6,35.7,0,14,SEA,0,19,33.3,1.7,1,QB,74.8,3.12,0,Sam Howell,15.8,29,6.6,2,-0.95,13,97599,0,12
45.8,0,0,0,12,0,2018,BUF,46.2,1,1,14,0,1,0,1,2018,3,28,44.4,0,0,25,,39.6,27.3,0,11,BUF,0,12,0,2.5,1,QB,72.4,2.34,0,Mike White,16.7,4,9.9,0,-0.89,9,46453,0,2
74.1,0,0,0,11,0,2023,DET,72.8,0,3,02,9.1,0,1,3,2023,6,62,77.8,1,0,14.3,63.8,86.3,66.7,0,9,DET,0,11,20,6.9,1,QB,74.1,2.82,0,Hendon Hooker,36.4,11,5.6,0,-0.3,9,60593,0,5
74.7,0,0,0,10,0,2015,LAC,72.9,0,2,08,30,0,3,4,2015,3,28,80,2,0,25,63.7,75.4,60,0,5,LAC,0,10,100,5.6,1,QB,71.4,3.12,0,Taylor Heinicke,30,27,6.2,0,-1.07,5,9896,0,3
71.8,20,0,0,4,0,2017,NO,39.5,0,1,07,0,0,0,4,2017,2,21,50,0,1,0,89.9,26,50,0,4,NO,0,5,0,5.3,0,TE,49.9,3.65,0,Taysom Hill,25,20,13.5,1,-1.05,4,12112,0,2
57.8,0,0,0,4,0,2008,BLT,61.8,0,1,17,25,0,1,3,2008,2,17,66.7,0,0,0,54,81.3,66.7,0,3,BLT,0,4,50,5.7,0,QB,71.3,2.63,0,Josh Johnson,25,3,18,0,-0.65,3,4474,0,2
64.4,0,0,0,2,0,2023,CHI,62,0,1,17,0,0,0,2,2023,2,11,100,0,0,0,61.6,89.6,100,0,2,CHI,0,2,,5.5,0,QB,71.7,1.5,0,Tyson Bagent,50,6,0.5,0,0.48,2,169628,0,0
76.1,0,0,0,2,0,2017,MIN,75.5,0,2,12,0,0,0,2,2017,2,38,100,0,0,0,60.5,118.8,100,0,2,MIN,0,2,0,19,0,QB,69.1,2.15,0,Nick Mullens,100,18,12,0,2.82,2,12282,0,1
79.9,0,0,0,2,0,2016,DEN,71.8,0,1,09,0,0,0,2,2016,2,18,100,0,0,0,,104.2,100,0,2,DEN,0,2,,9,0,P,63.6,1.75,0,Riley Dixon,50,10,5,0,0.98,2,10862,0,0
85.9,0,0,0,2,0,2019,DET,70.4,0,2,05,0,0,0,2,2019,2,23,100,0,0,0,80.1,154.2,100,1,2,DET,0,2,,11.5,0,HB,68.1,1.9,0,David Montgomery,100,11,4,0,1.3,2,45719,1,0
47.9,0,0,0,2,0,2012,CAR,50.7,0,0,10,0,0,0,2,2012,0,0,0,0,0,,,39.6,0,0,2,CAR,0,2,,0,0,P,63.6,2.15,0,Johnny Hekker,0,5,10.5,0,-2.26,2,7252,0,0
75.5,0,0,0,2,0,2018,DEN,78.4,0,2,14,0,0,0,2,2018,2,30,100,0,0,0,,158.3,100,1,2,DEN,0,2,0,15,0,WR,54.6,2.9,0,Courtland Sutton,100,10,9,0,2.85,2,48164,1,1
45.6,0,0,0,2,0,2023,ARZ,61.5,0,0,15,0,0,0,1,2023,2,8,100,0,0,0,43.1,83.3,100,0,2,ARZ,0,2,,4,0,QB,19.9,1.3,0,Clayton Tune,50,1,1,0,-0.65,2,77652,0,0
44.6,50,0,0,2,0,2012,DAL,44.8,0,0,05,0,0,0,2,2012,1,4,50,0,0,0,,56.3,50,0,2,DAL,0,2,,2,0,P,63.6,1.95,0,Bryan Anger,0,9,6.5,1,-2.43,2,7072,0,0
86.7,0,0,0,1,1,2024,NYG,60,0,0,01,0,0,0,1,2024,0,0,,0,0,,50.7,39.6,0,6,1,NYG,1,1,0,0,0,WR,61.8,4.3,0,Malik Nabers,0,21,,0,-0.44,0,146759,0,1
60,0,0,0,1,0,2016,TEN,51.2,0,0,83,0,0,0,1,2016,0,0,0,0,0,,,39.6,0,0,1,TEN,0,1,,0,0,WR,78.3,3.2,0,Tyler Boyd,0,31,25,0,-0.48,1,10689,0,0
64.4,50,0,0,1,0,2013,CHI,36.8,0,0,13,0,0,0,1,2013,0,0,0,0,1,,,0,0,4,1,CHI,0,2,,0,0,WR,49.6,5.5,0,Keenan Allen,0,6,19,1,-6.32,1,7857,0,0
63.8,0,0,0,1,0,2021,TB,60,0,0,02,0,0,0,1,2021,1,5,100,0,0,0,61.3,87.5,100,0,1,TB,0,1,,5,0,QB,70.4,1,0,Kyle Trask,100,30,-3,0,0.3,1,39987,0,0
