touchbacks,attempts_with_hangtime,draft_season,percent_returned,fair_catches,team_name,jersey_number,player_game_count,eligible_season,average_net_yards,yards,average_hangtime,total_net_yards,penalties,attempts,inside_twenties,out_of_bounds,team,average_yards_per_return,total_hangtime,declined_penalties,returns,position,long,blocks,average_yards_per_attempt,player,franchise_id,grades_punter,return_yards,downeds,player_id,snaps
7,63,2009,46,15,NYJ,06,16,2009,40.89,2972,4.24,2576,0,63,20,6,NYJ,8.8,267.43,0,29,P,75,0,47.17,Thomas Morstead,22,62.2,256,6,5088,63
3,62,2012,53.2,20,DAL,05,17,2012,42,3005,4.41,2604,0,62,25,1,DAL,10.3,273.42,0,33,P,62,0,48.47,Bryan Anger,9,76.4,341,5,7072,62
3,73,2012,35.6,20,CAR,10,17,2012,42.47,3338,4.11,3100,0,73,24,4,CAR,6.8,300.32,0,26,P,65,1,45.73,Johnny Hekker,5,53.3,178,20,7252,74
6,60,2013,43.3,15,BUF,08,20,2013,40.48,2819,4.26,2429,0,60,30,5,BUF,10.4,255.31,0,26,P,65,1,46.98,Sam Martin,4,67.8,270,8,7947,61
2,52,2013,48.1,12,WAS,10,17,2013,43.04,2436,4.2,2238,0,52,25,5,WAS,6.3,218.39,0,25,P,74,0,46.85,Tress Way,32,52.3,158,8,8358,52
1,24,2014,41.7,8,SF,40,7,2014,40.04,1082,4.16,961,0,24,9,2,SF,10.1,99.83,0,10,P,56,0,45.08,Pat O'Donnell,28,57.2,101,3,8826,24
0,1,2014,100,0,PIT,09,1,2014,43,43,3.73,43,0,1,0,0,PIT,0,3.73,0,1,K,43,0,43,Chris Boswell,25,60,0,0,8990,1
1,13,2014,38.5,5,ARZ,10,4,2014,39.08,559,4.12,508,0,13,2,1,ARZ,6.2,53.55,0,5,P,54,0,43,Michael Palardy,1,48.6,31,1,9277,13
4,47,2015,46.8,14,ATL,13,16,2015,38.74,2206,4.49,1821,0,47,14,3,ATL,13.9,211.01,0,22,P,65,0,46.94,Bradley Pinion,2,83,305,4,9598,47
5,81,2016,38.3,26,DEN,09,18,2016,42.07,3789,4.43,3408,0,81,36,8,DEN,9.1,359.1,0,31,P,65,0,46.78,Riley Dixon,10,75.2,281,11,10862,81
4,68,2017,47.1,25,IND,08,17,2017,42.6,3382,4.42,2897,0,68,27,5,IND,12.7,300.62,0,32,P,65,0,49.74,Rigoberto Sanchez,14,78.4,405,2,12130,68
1,21,2017,42.9,9,NYG,38,4,2017,39.48,988,4.29,829,0,21,9,2,NYG,15.4,90.11,0,9,P,66,0,47.05,Matt Haack,21,61.7,139,0,12212,21
0,2,2017,50,1,PIT,05,1,2017,37.5,103,4.65,75,0,2,1,0,PIT,28,9.3,0,1,P,58,0,51.5,Cameron Johnston,25,61.6,28,0,12255,2
7,89,2018,44.9,17,CLV,13,17,2018,41.74,4387,4.38,3715,0,89,38,14,CLV,13.3,389.52,0,40,P,84,0,49.29,Corey Bojorquez,8,83.7,532,11,27626,89
3,68,2018,41.2,19,JAX,09,17,2018,44.76,3355,4.33,3044,0,68,36,17,JAX,9,294.72,0,28,P,73,0,49.34,Logan Cooke,15,90.2,251,1,29214,68
8,82,2020,31.7,25,HST,06,19,2020,44.18,3915,4.64,3623,0,82,43,10,HST,5.1,380.67,0,26,P,69,1,47.74,Tommy Townsend,13,76.1,132,13,33007,83
5,56,2019,39.3,11,MIA,16,16,2019,41.23,2639,4.51,2309,0,56,23,14,MIA,10.5,252.5,0,22,P,64,1,47.13,Jake Bailey,17,82,230,4,33963,57
4,46,2019,45.7,14,DET,03,15,2019,46.15,2339,4.53,2123,0,46,24,2,DET,6.5,208.56,0,21,P,68,0,50.85,Jack Fox,11,80.6,136,5,34735,46
9,76,2018,40.8,22,SEA,04,17,2018,43.32,3756,4.53,3292,0,76,33,7,SEA,9.2,344.59,0,31,P,68,0,49.42,Michael Dickson,29,93.7,284,7,35381,76
8,65,2019,40,14,LV,06,17,2019,43.75,3298,4.25,2844,0,65,30,10,LV,11.3,276.43,0,26,P,71,2,50.74,AJ Cole,23,93.5,294,7,36038,67
4,77,2018,39,26,LAC,16,18,2018,41.88,3583,4.62,3225,0,77,30,9,LAC,9.3,355.92,0,30,P,67,0,46.53,JK Scott,27,83.8,278,8,38809,77
5,70,2020,42.9,18,PIT,08,17,2020,42.16,3262,4.38,2951,0,70,32,7,PIT,7,306.59,0,30,P,71,0,46.6,Corliss Waitman,25,69.8,211,10,39620,70
0,22,2019,40.9,6,SF,03,9,2019,37.91,994,4.37,834,0,22,11,0,SF,17.8,96.11,0,9,P,58,1,45.18,Mitch Wishnowsky,28,64.8,160,7,44663,23
9,67,2020,43.3,9,PHI,10,21,2020,42.42,3251,4.24,2842,0,67,29,8,PHI,7.9,283.98,0,29,P,70,1,48.52,Braden Mann,24,63.9,229,12,44664,68
1,38,2020,42.1,13,ARZ,12,13,2020,44.32,1887,4.38,1684,0,38,21,2,ARZ,11.4,166.58,0,16,P,63,0,49.66,Blake Gillikin,1,75,183,6,45045,38
7,73,2022,65.8,9,TEN,04,17,2022,39.67,3691,4.12,2896,0,73,22,3,TEN,13.6,300.6,0,48,P,75,2,50.56,Ryan Stonehouse,31,56.1,655,6,52045,75
5,58,2022,37.9,17,GB,19,18,2022,40.38,2682,4.53,2342,0,58,26,6,GB,10.9,262.47,0,22,P,74,0,46.24,Daniel Whelan,12,75.4,240,8,57639,58
7,59,2022,37.3,17,BLT,11,18,2022,40.93,2732,4.42,2415,0,59,24,7,BLT,8,260.76,0,22,P,70,0,46.31,Jordan Stout,3,63.3,177,6,57649,59
8,70,2023,45.7,17,NE,17,17,2023,41.73,3486,4.37,2921,0,70,36,3,NE,12.7,305.68,0,32,P,75,0,49.8,Bryce Baringer,19,77.6,405,10,60274,70
1,27,2022,37,8,TB,16,8,2022,38.93,1169,4.11,1051,0,27,10,2,TB,9.8,110.9,0,10,P,57,0,43.3,Trenton Gill,30,47.9,98,6,60295,27
2,56,2019,30.4,25,NYG,06,13,2019,40.59,2448,4.23,2273,0,56,28,7,NYG,7.9,237.15,0,17,P,67,0,43.71,Jamie Gillan,21,62.5,135,5,63303,56
0,3,2023,0,2,ARZ,38,1,2023,39,117,3.94,117,0,3,0,1,ARZ,,11.83,0,0,K,44,0,39,Chad Ryland,1,55.9,0,0,77083,3
6,59,2022,49.2,10,MIN,17,18,2022,40.98,2736,4.35,2418,0,59,28,9,MIN,6.8,256.4,0,29,P,66,1,46.37,Ryan Wright,18,73.1,198,5,77591,60
0,13,2022,46.2,3,TB,05,4,2022,36.46,589,3.9,474,0,13,5,1,TB,19.2,50.71,0,6,P,67,0,45.31,Jake Camarda,30,47.6,115,3,82636,13
13,72,2022,40.3,23,KC,14,20,2022,41.26,3515,4.34,2971,0,72,27,0,KC,9.8,312.68,0,29,P,72,0,48.82,Matt Araiza,16,60.8,284,7,82642,72
0,7,2023,28.6,2,SEA,34,1,2023,38.29,281,4.23,268,0,7,3,2,SEA,6.5,29.61,0,2,P,53,1,40.14,Ty Zentner,29,60.8,13,1,99465,8
3,75,2024,37.3,27,NO,43,17,2024,40.4,3303,4.19,3030,0,75,42,8,NO,7.6,314.23,0,28,P,64,0,44.04,Matthew Hayball,20,60.3,213,9,100813,75
3,65,2023,41.5,11,LA,42,18,2023,42.68,3037,4.35,2774,0,65,37,14,LA,7.5,283,0,27,P,68,0,46.72,Ethan Evans,26,81.4,203,10,112090,65
5,53,2024,49.1,16,CIN,08,15,2024,42.91,2602,4.29,2274,0,53,28,2,CIN,8.8,227.51,0,26,P,80,0,49.09,Ryan Rehkow,7,71.2,228,4,122074,53
4,82,2024,50,23,CHI,19,17,2024,41.57,3911,4.32,3409,0,82,38,5,CHI,10.3,353.96,0,41,P,68,0,47.7,Tory Taylor,6,65.7,422,9,129481,82
1,12,2024,50,4,TB,05,5,2024,35.5,522,4.17,426,0,12,3,0,TB,12.7,50.05,0,6,P,56,0,43.5,Jack Browning,30,57.3,76,1,146137,12
