Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,TargetsContestedTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Bucky Irving,TB,RB,4,No,No,No,4,No,No,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keaton Mitchell,BLT,RB,2,No,No,No,2,No,No,1,13,1,1,1,0.5,-1,1,1,1,1,-1,-5.819,1,1.4826,1.4826,0.5,,,,,,,,,,,,,,,,,,,,
DJ Moore,CHI,WR,7,No,No,No,6,No,No,,17,1,1,1,0.1667,36,,1,,,36,-13.75,,4.5849,4.5849,0.2,1,0.1667,0.8333,1,,,,,,,,,,,,,,,,
Tyjae Spears,TEN,RB,4,No,Yes,No,3,No,No,0.6667,13,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,
Josh Oliver,MIN,TE,4,No,No,No,3,No,No,,15,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Nick Chubb,HST,RB,3,No,Yes,No,2,No,No,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Carter,ARZ,RB,4,No,No,No,4,Yes,Yes,0.75,13,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,
Isaiah Bond,CLV,WR,8,No,No,No,8,No,No,,16,1,,,0.125,52,,1,,,52,-15,,2.2842,2.2842,0.125,,0.5,0.5,1,,,,,,,,,,,,,,,,
Isaiah Davis,NYJ,RB,6,No,No,Yes,3,No,No,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colby Parkinson,LA,TE,4,No,No,No,3,Yes,Yes,,15,1,,,0.3333,-3,,1,1,1,-3,-5.8652,,1.2255,1.2255,0.3333,,0.3333,0.3333,,0.3333,1,,,,,,,,,,,,,,
Jacory Croskey-Merritt,WAS,RB,2,No,No,No,2,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome Odunze,CHI,WR,5,Yes,No,Yes,4,No,No,,12,2,,,0.5,35,,1,,,17.5,-11.0137,,6.1294,6.1294,0.6667,1,0.25,0.75,,,,,,,,,,,,,,,,,
Brenden Bates,CLV,TE,3,No,No,No,2,No,No,,9,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Quinshon Judkins,CLV,RB,5,Yes,No,No,5,No,No,1,14,1,1,1,0.2,2,1,,,,2,-6.3947,1,1.303,1.303,0.2,,,,,,,,,,,,,,,,,,,,
Devaughn Vele,NO,WR,4,No,No,No,4,No,No,,13,,,,,,,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,
Josh Downs,IND,WR,11,No,Yes,No,11,No,No,,16,1,,,0.0909,2,,,,,2,-5.3344,,1.4126,1.4126,0.1111,,0.7273,0.2727,,,,,,,,,,,,,,,,,
Tetairoa McMillan,CAR,WR,11,No,No,No,10,No,No,,17,5,1,0.2,0.5,53,1,5,,,10.6,-8.2378,0.2,7.2978,7.2978,0.5556,,0.2,0.8,,,,,,,,,,,,,,,,,
Foster Moreau,NO,TE,3,No,No,Yes,2,No,No,,11,1,,,0.5,5,,1,,,5,-6.48,,1.3755,1.3755,0.3333,,0.5,,,0.5,,,,,,,,,,,,,,,
KeAndre Lambert-Smith,LAC,WR,2,No,Yes,No,2,No,Yes,,10,1,1,1,0.5,2,1,1,,,2,-5.3344,1,1.388,1.388,1,,,1,,,,,,,,,,,,,,,,,
Isaiah Hodgins,NYG,WR,4,Yes,Yes,No,4,No,No,,7,,,,,,,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,4,Yes,Yes,No,2,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gage Larvadain,CLV,WR,4,No,No,No,4,No,No,,13,1,,,0.25,27,,,,,27,-11.9133,,1.0519,1.0519,0.25,,,1,1,,,,,,,,,,,,,,,,
Trayveon Williams,CLV,RB,2,No,No,No,2,No,No,0.5,6,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,
David Sills,ATL,WR,4,No,No,No,3,No,No,,17,1,1,1,0.3333,-1,1,1,1,1,-1,-6.1699,1,1.4507,1.4507,0.25,1,0.6667,0.3333,,,,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,2,No,Yes,No,2,No,No,,12,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,14,No,No,No,14,No,Yes,,15,7,1,0.1429,0.5,109,1,7,,,15.5714,-10.224,0.1429,14.2569,14.2569,0.5,,0.2143,0.7857,2,,,,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,8,No,No,No,6,No,No,,13,,,,,,,,,,,,,3.8651,3.8651,,,0.5,0.3333,,0.1667,,,,,,,,,,,,,,,
Tahj Washington,MIA,WR,3,Yes,No,No,3,No,No,,6,1,,,0.3333,44,,,,,44,-15,,1.3815,1.3815,0.3333,,0.6667,0.3333,1,,,,,,,,,,,,,,,,
Tanner Conner,MIA,TE,3,No,Yes,Yes,3,No,No,,9,1,,,0.3333,20,,1,,,20,-11.7623,,1.4789,1.4789,0.3333,,0.3333,0.3333,1,0.3333,,,,,,,,,,,,,,,
Quintin Morris,JAX,TE,4,No,Yes,No,3,No,No,,13,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Mack Hollins,NE,WR,5,No,Yes,No,5,No,No,,15,2,1,0.5,0.4,57,,1,,,28.5,-11.2553,,4.8628,4.8628,0.4,1,0.2,0.8,1,,1,1,,,,,,,,,,,,,
Juwan Johnson,NO,TE,8,No,No,No,7,No,No,,17,,,,,,,,,,,,,,,,,0.5714,0.2857,,0.1429,,,,,,,,,,,,,,,
David Montgomery,DET,RB,2,No,No,No,2,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dareke Young,SEA,WR,1,No,No,No,1,No,Yes,,9,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Jack Bech,LV,WR,4,No,No,No,4,No,No,,16,1,,,0.25,5,,,,,5,-6.3628,,1.2763,1.2763,0.3333,,0.25,0.75,,,,,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,3,No,No,No,1,No,No,,15,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,4,No,No,No,4,No,No,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Bourne,SF,WR,7,No,No,No,7,No,Yes,,16,2,1,0.5,0.2857,3,1,2,,,1.5,-6.1098,0.5,2.5829,2.5829,0.2857,,0.2857,0.7143,,,,,,,,,,,,,,,,,
Tyler Badie,DEN,RB,6,No,Yes,No,6,No,Yes,0.8333,16,,,,,,,,,,,,,,,,,,,,0.1667,,,,,,,,,,,,,,,
Jalen Brooks,ARZ,WR,2,No,No,No,2,Yes,Yes,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Kevin Austin,NO,WR,1,No,No,No,1,No,No,,8,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Bhayshul Tuten,JAX,RB,1,No,Yes,No,1,No,No,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casey Washington,ATL,WR,1,No,No,No,1,No,No,,7,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Kenneth Gainwell,PIT,RB,5,No,No,No,5,No,No,0.8,17,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,
Marquise Brown,KC,WR,4,No,No,No,4,No,No,,16,2,,,0.5,57,,2,,,28.5,-13.3326,,5.652,5.652,0.5,,0.5,0.5,1,,,,,,,,,,,,,,,,
John Metchie,NYJ,WR,7,No,No,No,7,No,No,,16,2,,,0.2857,32,,1,,,16,-10.4233,,3.8287,3.8287,0.2857,,0.2857,0.7143,,,1,1,,,,,,,,,,,,,
Jalen Nailor,MIN,WR,13,No,No,No,13,No,No,,17,5,3,0.6,0.3846,79,1,5,,,15.8,-9.5931,0.2,9.4307,9.4307,0.3846,2,0.6154,0.3846,1,,,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,8,Yes,Yes,No,8,No,No,,15,1,,,0.125,16,,1,,,16,-10.0952,,3.8636,3.8636,0.125,,0.875,0.125,,,1,1,,,,,,,,,,,,,
Jake Ferguson,DAL,TE,9,Yes,Yes,No,9,No,No,,17,1,,,0.1111,26,,1,,,26,-11.1524,,3.6422,3.6422,0.1111,,0.6667,0.1111,1,0.2222,,,,,,,,,,,,,,,
Davante Adams,LA,WR,4,No,No,No,3,No,No,,14,1,,,0.3333,4,,1,,,4,-6.0498,,1.3768,1.3768,0.3333,,0.6667,0.3333,,,,,,,,,,,,,,,,,
Jerry Jeudy,CLV,WR,17,No,No,No,17,No,No,,17,7,3,0.4286,0.4118,116,1,5,,,16.5714,-9.908,0.1429,14.0538,14.0538,0.5,2,0.2941,0.7059,2,,,,,,,,,,,,,,,,
Nico Collins,HST,WR,7,No,Yes,No,7,No,No,,15,1,,,0.1429,14,,,,,14,-9.8134,,1.6375,1.6375,0.1667,,0.2857,0.7143,,,,,,,,,,,,,,,,,
Ronnie Rivers,LA,RB,1,No,No,No,1,Yes,Yes,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Arroyo,SEA,TE,5,No,No,No,5,Yes,Yes,,13,3,1,0.3333,0.6,36,,,,,12,-9.2568,,5.791,5.791,0.75,1,,0.4,1,0.6,,,,,,,,,,,,,,,
Bam Knight,ARZ,RB,2,No,No,No,1,No,No,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaret Patterson,LAC,RB,1,No,Yes,No,1,No,Yes,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samaje Perine,CIN,RB,4,No,No,No,3,No,No,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Whyle,GB,TE,2,No,No,No,2,No,No,,8,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,
Travis Etienne,JAX,RB,5,No,Yes,No,2,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Whittington,LA,WR,1,No,No,No,1,Yes,Yes,,17,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Darius Slayton,NYG,WR,3,Yes,Yes,No,3,No,No,,14,,,,,,,,,,,,,1.1692,1.1692,,,0.3333,0.6667,,,,,,,,,,,,,,,,,
Emari Demercado,ARZ,RB,3,No,No,No,3,Yes,Yes,0.6667,13,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,
Elijah Mitchell,KC,RB,1,No,Yes,No,1,No,No,1,1,1,,,1,22,,,,,22,-11.9429,,3.7471,3.7471,1,,,,1,,,1,,,,,,,,,,,,,
Rasheen Ali,BLT,RB,3,No,No,No,1,No,No,1,15,1,,,1,14,,,,,14,-9.9318,,1.9177,1.9177,1,,,,,,,,,,,,,,,,,,,,
Miles Sanders,DAL,RB,2,No,Yes,No,2,No,No,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Dissly,LAC,TE,1,No,Yes,No,1,No,Yes,,9,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Jamari Thrash,CLV,WR,2,Yes,No,No,2,No,No,,9,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,
