Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsContestedTotal,ReceptionsContested,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,AlignmentInlineRoutesPercentage
James Conner,ARZ,RB,24,No,No,No,18,No,Yes,0.9444,0.0556,3,8,8,1,0.4444,8,1,38,70,26,-32,1,,4,4,0.5,-4,,126,2.1111,4.75,-0.7503,4.75,8.75,3.25,4,12.6225,12.6225,0.3333,9.8,17.8,13.8,21.8,17.8,17.8,13.8,17.8,17.8,17.8,13.8,17.8,17.8,,,1,,,4,0.5,,
Shedrick Jackson,LV,WR,12,No,No,No,11,No,Yes,,0.3636,5,4,4,1,0.3636,4,1,56,6,1,52,1,0.6364,3,,,13,1,158.3,5.0909,14,5.5554,14,1.5,0.25,2,6.6647,6.6647,0.3333,11.6,15.6,13.6,15.6,15.6,15.6,13.6,15.6,15.6,15.6,13.6,15.6,15.6,,,,1,1,,,,
Kyle Williams,NE,WR,106,Yes,No,Yes,97,No,Yes,,0.9588,17,10,10,1,0.1031,10,1,209,85,6,127,3,0.0412,8,,,12.7,2,158.3,2.1546,20.9,12.1796,20.9,8.5,0.6,7,16.4354,16.4354,0.0943,38.9,48.9,43.9,48.9,48.9,51.9,46.9,48.9,48.9,48.9,43.9,48.9,48.9,,,,2,2,,,,
Jonathan Mingo,DAL,WR,20,No,No,No,18,No,Yes,,0.7222,6,1,1,1,0.0556,1,1,25,4,,21,,0.2778,,,,21,1,118.8,1.3889,25,13.7607,25,4,,1,1.971,1.971,0.05,2.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,,,,,,,,,
Cooper Kupp,SEA,WR,260,No,No,No,233,No,Yes,0.0043,0.5107,16,47,47,1,0.2017,47,1,593,300,135,296,2,0.4807,36,4,0.0851,6.2979,2,132.9,2.5451,12.617,5.6775,12.617,6.383,2.8723,26,76.5308,76.5308,0.1808,70.3,117.3,93.8,117.3,117.3,120.3,95.8,116.3,116.3,116.3,92.8,117.3,116.3,5,5,7,1,1,10,0.2128,2,0.0043
Steven Sims,ARZ,WR,2,No,No,No,1,No,Yes,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Tremble,CAR,TE,170,No,No,No,142,No,Yes,0.0282,0.1268,17,27,27,1,0.1901,27,1,249,174,82,81,2,0.3239,23,1,0.037,3,,129.8,1.7535,9.2222,2.9322,9.2222,6.4444,3.037,10,45.8086,45.8086,0.1588,36.9,63.9,50.4,63.9,77.4,66.9,53.4,63.9,63.9,63.9,50.4,77.4,63.9,2,2,4,1,1,6,0.2222,,0.5211
Ja'Marr Chase,CIN,WR,379,No,No,Yes,368,Yes,Yes,0.0082,0.6766,16,125,125,1,0.3397,125,1,1412,655,223,774,8,0.3125,112,23,0.184,6.192,6,135.1,3.837,11.296,4.3104,11.296,5.24,1.784,73,206.5233,206.5233,0.3298,188.2,313.2,250.7,313.2,313.2,316.2,252.7,312.2,312.2,312.2,249.7,313.2,312.2,17,17,13,3,3,22,0.176,3,0.0027
Adam Trautman,DEN,TE,167,No,No,No,97,No,Yes,0.0103,0.0825,17,20,20,1,0.2062,20,1,195,107,36,96,1,0.299,12,,,4.8,,124,2.0103,9.75,3.0957,9.75,5.35,1.8,11,31.0824,31.0824,0.1198,25.5,45.5,35.5,45.5,55.5,48.5,38.5,45.5,45.5,45.5,35.5,55.5,45.5,3,3,1,1,1,4,0.2,,0.6082
Trevor Etienne,CAR,RB,13,No,No,No,11,No,Yes,0.2727,0.0909,17,3,3,1,0.2727,3,1,13,11,8,2,,0.6364,,,,0.6667,,84.7,1.1818,4.3333,-1.8368,4.3333,3.6667,2.6667,1,4.34,4.34,0.2308,1.3,4.3,2.8,5.8,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,1,1,,,,2,0.6667,,
D'Andre Swift,CHI,RB,187,Yes,Yes,Yes,143,No,Yes,0.8392,0.0629,16,34,34,1,0.2378,34,1,299,360,81,-70,1,0.035,18,14,0.4118,-2.0588,,113.1,2.0909,8.7941,2.87,8.7941,10.5882,2.3824,12,56.6908,56.6908,0.1818,35.9,69.9,52.9,86.9,69.9,72.9,55.9,69.9,69.9,69.9,52.9,69.9,69.9,,,1,,,4,0.1176,,0.0629
Ben Sims,MIN,TE,20,Yes,No,Yes,12,No,Yes,,0.1667,9,3,3,1,0.25,3,1,30,3,2,27,,0.1667,1,,,9,,108.3,2.5,10,1.4933,10,1,0.6667,2,4.7884,4.7884,0.15,3,6,4.5,6,7.5,6,4.5,6,6,6,4.5,7.5,6,1,1,,,,,,1,0.6667
Tahj Brooks,CIN,RB,13,No,Yes,No,11,Yes,Yes,1,,12,1,1,1,0.0909,1,1,9,11,1,-2,,,1,1,1,-2,,104.2,0.8182,9,2.802,9,11,1,,1.5182,1.5182,0.0769,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,,,,,,,,
Robbie Chosen,WAS,WR,23,No,No,Yes,20,No,Yes,,0.9,3,5,5,1,0.25,5,1,53,5,3,48,,0.1,5,,,9.6,,110.8,2.65,10.6,2.5443,10.6,1,0.6,2,7.3549,7.3549,0.2174,5.3,10.3,7.8,10.3,10.3,10.3,7.8,10.3,10.3,10.3,7.8,10.3,10.3,1,1,,,,,,,
Kayshon Boutte,NE,WR,216,Yes,No,Yes,200,No,Yes,,0.905,14,33,33,1,0.165,33,1,551,41,19,526,6,0.095,28,,,15.9394,9,158.3,2.755,16.697,7.0024,16.697,1.2424,0.5758,27,62.6557,62.6557,0.1528,91.1,124.1,107.6,124.1,124.1,127.1,110.6,124.1,124.1,124.1,107.6,124.1,124.1,10,10,2,4,4,1,0.0303,2,
Hunter Long,JAX,TE,76,No,No,No,57,No,Yes,0.0175,0.1754,9,12,12,1,0.2105,12,1,85,34,8,52,2,0.2456,7,,,4.3333,,135.8,1.4912,7.0833,0.5913,7.0833,2.8333,0.6667,5,23.1359,23.1359,0.1579,20.5,32.5,26.5,32.5,38.5,32.5,26.5,32.5,32.5,32.5,26.5,38.5,32.5,1,1,3,2,2,,,,0.5614
Sal Cannella,CLV,TE,11,No,No,Yes,9,Yes,Yes,,0.2222,2,2,2,1,0.2222,2,1,11,6,3,5,,0.1111,1,,,2.5,,89.6,1.2222,5.5,-0.846,5.5,3,1.5,1,2.8018,2.8018,0.1818,1.1,3.1,2.1,3.1,4.1,3.1,2.1,3.1,3.1,3.1,2.1,4.1,3.1,,,,,,,,,0.6667
Dalton Kincaid,BUF,TE,125,Yes,No,No,110,No,Yes,,0.2,12,39,39,1,0.3545,39,1,571,269,80,305,5,0.5,30,6,0.1538,7.8205,3,158.3,5.1909,14.641,6.5527,14.641,6.8974,2.0513,27,66.2939,66.2939,0.312,87.1,126.1,106.6,126.1,145.6,129.1,109.6,126.1,126.1,126.1,106.6,145.6,126.1,6,6,6,2,2,1,0.0256,,0.3
Jakobi Meyers,JAX,WR,304,No,No,No,284,No,Yes,,0.5563,16,75,75,1,0.2641,75,1,835,289,100,552,3,0.4437,64,6,0.08,7.36,3,126.4,2.9401,11.1333,3.779,11.1333,3.8533,1.3333,43,117.1582,117.1582,0.2467,100.5,175.5,138,175.5,175.5,178.5,140,174.5,174.5,174.5,137,175.5,174.5,11,11,7,3,3,9,0.12,1,
Hunter Henry,NE,TE,311,Yes,No,Yes,261,No,Yes,0.0268,0.1533,17,60,60,1,0.2299,60,1,768,344,79,431,7,0.4943,43,4,0.0667,7.1833,3,157.6,2.9425,12.8,5.2416,12.8,5.7333,1.3167,42,116.5311,116.5311,0.1929,118.8,178.8,148.8,178.8,208.8,181.8,151.8,178.8,178.8,178.8,148.8,208.8,178.8,12,12,14,2,2,1,0.0167,1,0.3257
Jahmyr Gibbs,DET,RB,279,Yes,Yes,Yes,214,No,Yes,0.8411,0.0514,17,77,77,1,0.3598,77,1,616,626,118,-13,5,0.1075,49,17,0.2208,-0.1688,,121.6,2.8785,8,1.7795,8,8.1299,1.5325,28,117.719,117.719,0.276,91.6,168.6,130.1,207.1,168.6,171.6,133.1,168.6,168.6,168.6,130.1,168.6,168.6,4,4,12,,,29,0.3766,,
Cody White,SEA,WR,30,Yes,No,Yes,30,No,Yes,,0.5333,9,3,3,1,0.1,3,1,90,59,53,31,1,0.4667,2,,,10.3333,,158.3,3,30,21.2917,30,19.6667,17.6667,2,5.0362,5.0362,0.1,15,18,16.5,18,18,18,16.5,18,18,18,16.5,18,18,1,1,,,,2,0.6667,,
Tay Martin,WAS,WR,6,No,No,No,4,No,Yes,,1,3,2,2,1,0.5,2,1,23,5,3,18,,,2,,,9,,114.6,5.75,11.5,3.8613,11.5,2.5,1.5,1,2.6494,2.6494,0.3333,2.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,,,,,,,,,
Zavier Scott,MIN,RB,40,Yes,No,Yes,33,No,Yes,0.6364,0.1818,11,14,14,1,0.4242,14,1,98,104,44,3,1,0.1212,8,5,0.3571,0.2143,1,119.6,2.9697,7,1.0019,7,7.4286,3.1429,7,23.657,23.657,0.35,15.8,29.8,22.8,36.8,29.8,29.8,22.8,29.8,29.8,29.8,22.8,29.8,29.8,1,1,3,1,1,2,0.1429,,0.0606
Gabe Davis,BUF,WR,80,Yes,No,No,69,No,Yes,,0.8986,6,12,12,1,0.1739,12,1,129,32,17,106,1,0.0725,8,,,8.8333,,139.2,1.8696,10.75,2.9092,10.75,2.6667,1.4167,8,23.2912,23.2912,0.15,18.9,30.9,24.9,30.9,30.9,33.9,27.9,30.9,30.9,30.9,24.9,30.9,30.9,5,5,4,1,1,1,0.0833,,0.029
Ian Thomas,LV,TE,78,No,No,No,35,No,Yes,,0.0857,15,13,13,1,0.3714,13,1,114,73,29,41,,0.2,9,1,0.0769,3.1538,,103.2,3.2571,8.7692,2.0748,8.7692,5.6154,2.2308,5,19.3757,19.3757,0.1667,11.4,24.4,17.9,24.4,30.9,27.4,20.9,24.4,24.4,24.4,17.9,30.9,24.4,,,,,,1,0.0769,,0.7143
Zay Flowers,BLT,WR,267,No,Yes,Yes,259,Yes,Yes,0.0039,0.61,17,86,86,1,0.332,86,1,1211,466,105,750,5,0.3861,68,16,0.186,8.7209,11,138.1,4.6757,14.0814,6.3439,14.0814,5.4186,1.2209,48,144.1679,144.1679,0.3221,148.1,234.1,191.1,234.1,234.1,237.1,191.1,231.1,231.1,231.1,188.1,234.1,231.1,8,8,7,1,1,20,0.2326,2,
Michael Wilson,ARZ,WR,357,No,No,No,331,No,Yes,,0.7069,17,78,78,1,0.2356,78,1,1006,286,122,730,7,0.2931,67,2,0.0256,9.359,8,148.7,3.0393,12.8974,5.1965,12.8974,3.6667,1.5641,51,142.4239,142.4239,0.2185,142.6,220.6,181.6,220.6,220.6,223.6,184.6,220.6,220.6,220.6,181.6,220.6,220.6,20,20,8,3,3,9,0.1154,3,
Xavier Hutchinson,HST,WR,231,No,No,No,212,No,Yes,,0.8019,17,35,35,1,0.1651,35,1,428,152,54,278,3,0.1981,33,1,0.0286,7.9429,2,146.2,2.0189,12.2286,4.7565,12.2286,4.3429,1.5429,19,59.5781,59.5781,0.1515,60.8,95.8,78.3,95.8,95.8,98.8,81.3,95.8,95.8,95.8,78.3,95.8,95.8,3,3,5,1,1,4,0.1143,,
Simi Fehoko,ARZ,WR,12,Yes,No,No,8,No,Yes,,0.875,7,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Hockenson,MIN,TE,230,No,No,Yes,182,No,Yes,,0.1209,15,51,51,1,0.2802,51,1,438,211,78,234,3,0.4066,29,6,0.1176,4.5882,2,122.1,2.4066,8.5882,1.7526,8.5882,4.1373,1.5294,22,83.4635,83.4635,0.2217,61.8,112.8,87.3,112.8,138.3,115.8,90.3,112.8,112.8,112.8,87.3,138.3,112.8,5,5,8,2,2,4,0.0784,,0.4725
Stone Smartt,NYJ,TE,27,Yes,No,No,19,No,Yes,,0.1579,8,7,7,1,0.3684,7,1,52,26,22,26,,0.5789,7,,,3.7143,,97.6,2.7368,7.4286,1.2308,7.4286,3.7143,3.1429,3,9.6016,9.6016,0.2593,5.2,12.2,8.7,12.2,15.7,12.2,8.7,12.2,12.2,12.2,8.7,15.7,12.2,4,4,,,,1,0.1429,,0.2632
Tim Patrick,JAX,WR,82,No,No,No,68,No,Yes,,0.5735,16,15,15,1,0.2206,15,1,187,56,9,141,3,0.4265,8,1,0.0667,9.4,2,158.2,2.75,12.4667,4.839,12.4667,3.7333,0.6,10,29.6581,29.6581,0.1829,36.7,51.7,44.2,51.7,51.7,54.7,47.2,51.7,51.7,51.7,44.2,51.7,51.7,4,4,6,2,2,1,0.0667,,
Josh Reynolds,NYJ,WR,78,No,No,Yes,74,No,Yes,,0.7973,5,11,11,1,0.1486,11,1,101,16,9,85,,0.2027,10,,,7.7273,,104.9,1.3649,9.1818,1.8209,9.1818,1.4545,0.8182,4,17.4288,17.4288,0.141,10.1,21.1,15.6,21.1,21.1,24.1,18.6,21.1,21.1,21.1,15.6,21.1,21.1,2,2,,,,1,0.0909,1,
Noah Gray,KC,TE,160,No,No,No,103,No,Yes,0.0291,0.1262,16,21,21,1,0.2039,21,1,178,114,35,64,,0.3786,16,3,0.1429,3.0476,,102,1.7282,8.4762,1.9654,8.4762,5.4286,1.6667,9,33.8645,33.8645,0.1313,17.8,38.8,28.3,38.8,49.3,41.8,31.3,38.8,38.8,38.8,28.3,49.3,38.8,3,3,1,,,1,0.0476,,0.466
Brian Thomas,JAX,WR,252,No,No,No,230,No,Yes,,0.7565,14,48,48,1,0.2087,48,1,707,192,34,522,2,0.2435,44,,,10.875,6,132.6,3.0739,14.7292,6.4437,14.7292,4,0.7083,33,80.5271,80.5271,0.1905,82.7,130.7,106.7,130.7,130.7,133.7,109.7,130.7,130.7,130.7,106.7,130.7,130.7,5,5,2,1,1,4,0.0833,1,
Chimere Dike,TEN,WR,227,No,No,No,198,No,Yes,0.0051,0.2828,17,48,48,1,0.2424,48,1,423,218,35,207,4,0.7121,39,21,0.4375,4.3125,3,131.2,2.1364,8.8125,2.3378,8.8125,4.5417,0.7292,20,94.1366,94.1366,0.2115,66.3,114.3,90.3,114.3,114.3,117.3,93.3,114.3,114.3,114.3,90.3,114.3,114.3,4,4,10,2,2,3,0.0625,1,
DeAndre Hopkins,BLT,WR,102,No,Yes,Yes,93,Yes,Yes,,0.6667,17,22,22,1,0.2366,22,1,330,72,43,260,2,0.3333,19,,,11.8182,3,149.1,3.5484,15,6.5195,15,3.2727,1.9545,15,38.0624,38.0624,0.2157,45,67,56,67,67,70,59,67,67,67,56,67,67,9,9,,1,1,,,1,
Jonathan Taylor,IND,RB,291,No,No,No,214,No,Yes,0.8318,0.0794,17,46,46,1,0.215,46,1,378,440,95,-62,2,0.0888,19,11,0.2391,-1.3478,,115.4,1.7664,8.2174,2.3449,8.2174,9.5652,2.0652,15,72.0435,72.0435,0.1581,49.8,95.8,72.8,118.8,95.8,98.8,75.8,95.8,95.8,95.8,72.8,95.8,95.8,2,2,4,,,8,0.1739,,
Troy Franklin,DEN,WR,275,No,No,No,254,No,Yes,,0.5472,17,65,65,1,0.2559,65,1,709,208,88,514,6,0.4528,50,19,0.2923,7.9077,7,142.9,2.7913,10.9077,3.4187,10.9077,3.2,1.3538,32,115.9727,115.9727,0.2364,105.9,170.9,138.4,170.9,170.9,173.9,140.4,169.9,169.9,169.9,137.4,170.9,169.9,8,8,14,5,5,11,0.1692,1,
Laquon Treadwell,IND,WR,10,No,No,No,8,No,Yes,,0.625,9,,,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Goodson,IND,RB,16,No,No,No,14,No,Yes,0.7857,0.1429,11,2,2,1,0.1429,2,1,8,10,2,-2,,0.0714,1,,,-1,,83.3,0.5714,4,-1.819,4,5,1,,3.0232,3.0232,0.125,0.8,2.8,1.8,3.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,,,,,,,,,
Jordan Mason,MIN,RB,120,Yes,No,Yes,81,No,Yes,0.8025,0.0617,16,14,14,1,0.1728,14,1,51,104,34,-53,,0.0247,7,7,0.5,-3.7857,,81.8,0.6296,3.6429,-2.0038,3.6429,7.4286,2.4286,1,21.824,21.824,0.1167,5.1,19.1,12.1,26.1,19.1,19.1,12.1,19.1,19.1,19.1,12.1,19.1,19.1,,,1,,,1,0.0714,,0.1111
Tre Tucker,LV,WR,328,No,No,No,309,No,Yes,,0.7961,17,57,57,1,0.1845,57,1,696,302,103,403,5,0.1942,47,11,0.193,7.0702,7,146.8,2.2524,12.2105,4.9068,12.2105,5.2982,1.807,32,97.9317,97.9317,0.1738,99.6,156.6,128.1,156.6,156.6,159.6,131.1,156.6,156.6,156.6,128.1,156.6,156.6,5,5,6,2,2,8,0.1404,1,0.0097
Michael Pittman,IND,WR,330,No,No,No,308,No,Yes,0.0032,0.6851,17,80,80,1,0.2597,80,1,784,292,112,520,7,0.2922,70,5,0.0625,6.5,2,136.7,2.5455,9.8,2.6569,9.8,3.65,1.4,47,136.9396,136.9396,0.2424,120.4,200.4,160.4,200.4,200.4,203.4,163.4,200.4,200.4,200.4,160.4,200.4,200.4,10,10,8,3,3,6,0.075,2,0.0195
Tim Jones,JAX,WR,6,No,Yes,No,5,No,Yes,,0.6,4,1,1,1,0.2,1,1,15,11,9,4,,0.4,1,,,4,,118.8,3,15,8.9502,15,11,9,1,1.42,1.42,0.1667,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,,,,,,2,2,,
Malik Washington,MIA,WR,209,Yes,No,Yes,191,No,Yes,0.0366,0.4974,17,46,46,1,0.2408,46,1,317,269,111,67,3,0.466,36,20,0.4348,1.4565,,117.1,1.6597,6.8913,1.032,6.8913,5.8478,2.413,16,84.1311,84.1311,0.2201,49.7,95.7,72.7,95.7,95.7,98.7,75.7,95.7,95.7,95.7,72.7,95.7,95.7,4,4,10,2,2,12,0.2609,,
Greg Dortch,ARZ,WR,132,No,No,No,125,No,Yes,0.024,0.256,12,29,29,1,0.232,29,1,206,200,30,13,3,0.72,22,13,0.4483,0.4483,1,130.7,1.648,7.1034,1.4604,7.1034,6.8966,1.0345,10,49.5265,49.5265,0.2197,38.6,67.6,53.1,67.6,67.6,70.6,56.1,67.6,67.6,67.6,53.1,67.6,67.6,2,2,7,1,1,10,0.3448,,
Terrell Jennings,NE,RB,4,No,No,No,2,No,Yes,1,,6,1,1,1,0.5,1,1,9,7,3,2,,,,,,2,,104.2,4.5,9,2.6053,9,7,3,,1.3529,1.3529,0.25,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,,,,,,,,
Tip Reiman,ARZ,TE,25,No,No,No,15,No,Yes,,0.0667,4,3,3,1,0.2,3,1,18,9,6,9,,0.0667,2,,,3,,91.7,1.2,6,0.0462,6,3,2,1,4.4453,4.4453,0.12,1.8,4.8,3.3,4.8,6.3,4.8,3.3,4.8,4.8,4.8,3.3,6.3,4.8,,,,,,1,0.3333,,0.8667
Tyrell Shavers,BUF,WR,122,Yes,No,No,94,No,Yes,,0.6383,17,15,15,1,0.1596,15,1,245,89,12,180,1,0.2872,9,,,12,2,141,2.6064,16.3333,8.0968,16.3333,5.9333,0.8,10,25.8051,25.8051,0.123,30.5,45.5,38,45.5,45.5,48.5,41,45.5,45.5,45.5,38,45.5,45.5,2,2,,1,1,,,2,0.0745
Javonte Williams,DAL,RB,272,Yes,No,Yes,187,No,Yes,0.893,0.0428,16,35,35,1,0.1872,35,1,137,204,68,-67,2,0.0642,9,5,0.1429,-1.9143,,102,0.7326,3.9143,-1.9324,3.9143,5.8286,1.9429,7,62.848,62.848,0.1287,24.7,59.7,42.2,77.2,59.7,62.7,44.2,58.7,58.7,58.7,41.2,59.7,58.7,,,8,,,6,0.1714,,
Courtland Sutton,DEN,WR,354,No,No,No,301,No,Yes,,0.8007,17,74,74,1,0.2458,74,1,1017,257,119,775,7,0.1993,59,1,0.0135,10.473,8,150.3,3.3787,13.7432,5.6081,13.7432,3.473,1.6081,52,131.6906,131.6906,0.209,143.7,217.7,180.7,217.7,217.7,220.7,183.7,217.7,217.7,217.7,180.7,217.7,217.7,16,16,7,3,3,7,0.0946,1,
Audric Estime,NO,RB,74,No,Yes,No,55,No,Yes,0.9273,0.0545,6,12,12,1,0.2182,12,1,103,107,37,-4,,0.0182,5,3,0.25,-0.3333,,102.4,1.8727,8.5833,2.4497,8.5833,8.9167,3.0833,3,17.225,17.225,0.1622,10.3,22.3,16.3,28.3,22.3,25.3,19.3,22.3,22.3,22.3,16.3,22.3,22.3,,,,,,4,0.3333,,
Charlie Kolar,BLT,TE,67,No,Yes,Yes,50,Yes,Yes,,0.08,17,10,10,1,0.2,10,1,142,53,9,91,2,0.08,6,,,9.1,,158.3,2.84,14.2,6.2398,14.2,5.3,0.9,9,17.7257,17.7257,0.1493,26.2,36.2,31.2,36.2,41.2,39.2,34.2,36.2,36.2,36.2,31.2,41.2,36.2,2,2,2,1,1,1,0.1,,0.84
Zach Ertz,WAS,TE,190,No,Yes,No,162,No,Yes,0.0062,0.1111,13,50,50,1,0.3086,50,1,504,136,34,377,4,0.5679,39,1,0.02,7.54,2,135.3,3.1111,10.08,2.6038,10.08,2.72,0.68,25,86.7489,86.7489,0.2632,74.4,124.4,99.4,124.4,149.4,127.4,102.4,124.4,124.4,124.4,99.4,149.4,124.4,14,14,6,2,2,3,0.06,1,0.3148
Darnell Washington,PIT,TE,167,No,No,No,116,No,Yes,,0.1638,16,31,31,1,0.2672,31,1,364,233,99,132,1,0.1552,18,3,0.0968,4.2581,,126.3,3.1379,11.7419,5.1492,11.7419,7.5161,3.1935,16,50.5795,50.5795,0.1856,41.4,72.4,56.9,72.4,87.9,75.4,58.9,71.4,71.4,71.4,55.9,87.9,71.4,5,5,6,1,1,11,0.3548,,0.681
Davis Allen,LA,TE,156,No,No,No,114,No,Yes,,0.2895,17,24,24,1,0.2105,24,1,208,155,37,66,3,0.1579,15,2,0.0833,2.75,,142.4,1.8246,8.6667,2.1459,8.6667,6.4583,1.5417,12,41.9925,41.9925,0.1538,38.8,62.8,50.8,62.8,74.8,65.8,53.8,62.8,62.8,62.8,50.8,74.8,62.8,1,1,5,2,2,1,0.0417,,0.5526
Keon Coleman,BUF,WR,197,Yes,No,No,170,No,Yes,,0.8059,13,38,38,1,0.2235,38,1,404,102,27,336,4,0.1882,31,1,0.0263,8.8421,3,146.1,2.3765,10.6316,3.0258,10.6316,2.6842,0.7105,25,66.4241,66.4241,0.1929,63.4,101.4,82.4,101.4,101.4,104.4,84.4,100.4,100.4,100.4,81.4,101.4,100.4,7,7,6,3,3,,,,0.0059
Lil'Jordan Humphrey,DEN,WR,94,No,No,No,72,No,Yes,,0.6111,10,13,13,1,0.1806,13,1,156,36,10,120,1,0.375,10,,,9.2308,1,142.3,2.1667,12,4.5391,12,2.7692,0.7692,9,21.3261,21.3261,0.1383,21.6,34.6,28.1,34.6,34.6,37.6,31.1,34.6,34.6,34.6,28.1,34.6,34.6,3,3,1,1,1,1,0.0769,,0.0139
Jordan Addison,MIN,WR,230,Yes,No,Yes,196,No,Yes,,0.8061,14,42,42,1,0.2143,42,1,610,143,52,478,3,0.1939,37,1,0.0238,11.381,6,142.6,3.1122,14.5238,6.209,14.5238,3.4048,1.2381,26,72.756,72.756,0.1826,79,121,100,121,121,124,103,121,121,121,100,121,121,6,6,7,2,2,3,0.0714,2,
Tyler Lockett,LV,WR,190,No,No,No,174,No,Yes,,0.3103,17,32,32,1,0.1839,32,1,291,83,20,216,1,0.6897,23,3,0.0938,6.75,2,115,1.6724,9.0938,2.0141,9.0938,2.5938,0.625,14,50.4755,50.4755,0.1684,35.1,67.1,51.1,67.1,67.1,70.1,54.1,67.1,67.1,67.1,51.1,67.1,67.1,4,4,1,1,1,1,0.0312,,
Jakobie Keeney-James,GB,WR,5,Yes,No,Yes,5,No,Yes,,0.6,1,2,2,1,0.4,2,1,15,,10,15,,0.4,2,,,7.5,,97.9,3,7.5,0.2124,7.5,,5,,2.8359,2.8359,0.4,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,1,1,,,,,,,
De'Von Achane,MIA,RB,246,No,No,No,194,No,Yes,0.6237,0.1134,16,67,67,1,0.3454,67,1,488,551,128,-64,4,0.2474,36,21,0.3134,-0.9552,,116.9,2.5155,7.2836,1.1028,7.2836,8.2239,1.9104,23,110.3571,110.3571,0.2724,72.8,139.8,106.3,173.3,139.8,142.8,109.3,139.8,139.8,139.8,106.3,139.8,139.8,3,3,7,1,1,20,0.2985,1,0.0155
Mike Evans,TB,WR,121,No,No,No,103,No,Yes,,0.7476,8,30,30,1,0.2913,30,1,368,40,16,343,3,0.2524,23,,,11.4333,3,151.1,3.5728,12.2667,4.0624,12.2667,1.3333,0.5333,23,58.3162,58.3162,0.2479,54.8,84.8,69.8,84.8,84.8,87.8,72.8,84.8,84.8,84.8,69.8,84.8,84.8,11,11,4,3,3,1,0.0333,,
Xavier Smith,LA,WR,92,No,No,No,76,No,Yes,,0.3026,16,18,18,1,0.2368,18,1,303,108,22,195,,0.6974,10,2,0.1111,10.8333,3,118.8,3.9868,16.8333,8.9523,16.8333,6,1.2222,11,29.7713,29.7713,0.1957,30.3,48.3,39.3,48.3,48.3,51.3,42.3,48.3,48.3,48.3,39.3,48.3,48.3,,,3,,,1,0.0556,1,
Kenneth Walker,SEA,RB,146,No,No,No,109,No,Yes,0.8073,0.0734,17,31,31,1,0.2844,31,1,282,334,97,-52,,0.1009,15,8,0.2581,-1.6774,,104.6,2.5872,9.0968,3.2115,9.0968,10.7742,3.129,12,46.0975,46.0975,0.2123,28.2,59.2,43.7,74.7,59.2,62.2,46.7,59.2,59.2,59.2,43.7,59.2,59.2,,,2,,,8,0.2581,,0.0183
