Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsContestedTotal,ReceptionsContested,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,AlignmentInlineRoutesPercentage
Keleki Latu,BUF,TE,25,Yes,No,No,17,No,Yes,,0.1176,5,4,4,1,0.2353,4,1,35,23,15,12,,0.3529,2,,,3,,103.1,2.0588,8.75,2.7106,8.75,5.75,3.75,3,5.6303,5.6303,0.16,3.5,7.5,5.5,7.5,9.5,7.5,5.5,7.5,7.5,7.5,5.5,9.5,7.5,1,1,,,,2,0.5,,0.5294
Jamari Thrash,CLV,WR,66,No,Yes,Yes,61,No,Yes,,0.3443,9,10,10,1,0.1639,10,1,107,6,4,101,,0.6557,7,,,10.1,1,111.3,1.7541,10.7,3.2253,10.7,0.6,0.4,5,14.4067,14.4067,0.1515,10.7,20.7,15.7,20.7,20.7,23.7,18.7,20.7,20.7,20.7,15.7,20.7,20.7,,,1,1,,,,,
Matthew Golden,GB,WR,160,Yes,No,Yes,145,No,Yes,,0.5862,14,29,29,1,0.2,29,1,361,104,13,257,,0.3793,23,5,0.1724,8.8621,6,118.5,2.4897,12.4483,4.9619,12.4483,3.5862,0.4483,16,44.6837,44.6837,0.1812,36.1,65.1,50.6,65.1,65.1,68.1,53.6,65.1,65.1,65.1,50.6,65.1,65.1,3,3,1,,,5,0.1724,,0.0345
Will Dissly,LAC,TE,54,No,No,No,42,No,Yes,,0.1667,9,11,11,1,0.2619,11,1,97,66,17,31,,0.0714,6,1,0.0909,2.8182,,103.4,2.3095,8.8182,2.512,8.8182,6,1.5455,5,16.5789,16.5789,0.2037,9.7,20.7,15.2,20.7,26.2,20.7,15.2,20.7,20.7,20.7,15.2,26.2,20.7,1,1,1,,,1,0.0909,,0.7619
Miles Sanders,DAL,RB,27,No,Yes,No,17,No,Yes,1,,4,8,8,1,0.4706,8,1,30,44,19,-14,,,2,2,0.25,-1.75,,82.3,1.7647,3.75,-2.2621,3.75,5.5,2.375,,12.8285,12.8285,0.2963,3,11,7,15,11,11,7,11,11,11,7,11,11,,,1,,,2,0.25,,
Charlie Jones,CIN,WR,6,No,No,No,5,Yes,Yes,,0.8,14,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasheen Ali,BLT,RB,45,No,Yes,Yes,36,Yes,Yes,0.8889,,15,9,9,1,0.25,9,1,68,83,27,-15,1,0.0556,5,4,0.4444,-1.6667,,135.2,1.8889,7.5556,1.8911,7.5556,9.2222,3,2,14.6375,14.6375,0.2,12.8,21.8,17.3,26.3,21.8,21.8,17.3,21.8,21.8,21.8,17.3,21.8,21.8,,,1,,,2,0.2222,,0.0556
KhaDarel Hodge,ATL,WR,22,Yes,No,No,20,No,Yes,,0.9,11,3,3,1,0.15,3,1,31,8,4,23,,0.1,,,,7.6667,,109.7,1.55,10.3333,2.9465,10.3333,2.6667,1.3333,2,4.7236,4.7236,0.1364,3.1,6.1,4.6,6.1,6.1,6.1,4.6,6.1,6.1,6.1,4.6,6.1,6.1,,,,,,1,0.3333,,
Elijah Mitchell,KC,RB,3,No,No,No,3,No,Yes,0.6667,,1,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.K. Dobbins,DEN,RB,80,Yes,No,No,41,No,Yes,0.9512,,10,11,11,1,0.2683,11,1,37,58,15,-21,,0.0488,6,3,0.2727,-1.9091,,80.7,0.9024,3.3636,-2.5155,3.3636,5.2727,1.3636,,16.3772,16.3772,0.1375,3.7,14.7,9.2,20.2,14.7,14.7,9.2,14.7,14.7,14.7,9.2,14.7,14.7,,,,,,2,0.1818,,
