Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentInlineRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AlignmentBackfieldRoutesPercentage
Brashard Smith,KC,RB,7,Yes,Yes,Yes,7,No,No,0.1429,17,0.1429,,0.7143
John FitzPatrick,GB,TE,6,Yes,Yes,No,5,No,No,1,15,,,
Tank Bigsby,PHI,RB,4,No,Yes,No,4,No,No,,16,,0.5,0.5
Cedrick Wilson,MIA,WR,9,No,Yes,No,8,No,No,,10,0.375,0.625,
Luke Schoonmaker,DAL,TE,10,Yes,Yes,No,7,No,No,0.5714,17,0.2857,0.1429,
Nate Adkins,DEN,TE,2,No,Yes,No,1,No,No,1,9,,,
Tre Harris,LAC,WR,22,No,Yes,No,21,No,No,,17,0.4286,0.5714,
Jack Stoll,NO,TE,4,No,Yes,Yes,2,No,No,0.5,15,0.5,,
Darius Cooper,PHI,WR,7,No,Yes,No,7,No,No,,13,0.4286,0.5714,
Shane Zylstra,DET,TE,9,Yes,Yes,No,7,No,No,0.2857,5,0.5714,0.1429,
Jalen Royals,KC,WR,6,Yes,Yes,Yes,6,No,No,,7,0.3333,0.6667,
Malik Heath,GB,WR,3,No,Yes,No,3,No,No,,11,0.3333,0.6667,
Jayden Higgins,HST,WR,16,Yes,Yes,No,15,No,No,,17,0.2667,0.7333,
Skyy Moore,SF,WR,2,Yes,Yes,Yes,2,No,No,,17,,1,
Travis Homer,CHI,RB,1,Yes,Yes,No,1,No,No,,8,,,1
David Martin-Robinson,TEN,TE,2,No,Yes,No,2,No,No,0.5,15,0.5,,
Xavier Restrepo,TEN,WR,2,No,Yes,No,2,No,No,,2,,1,
Woody Marks,HST,RB,16,Yes,Yes,No,10,No,No,,16,,0.1,0.9
James Proche,TEN,WR,10,No,Yes,No,10,No,No,,9,0.6,0.4,
Puka Nacua,LA,WR,18,No,Yes,No,18,No,No,,16,0.3889,0.6111,
Aaron Jones,MIN,RB,21,Yes,No,No,18,No,No,0.0556,12,,0.0556,0.8889
Luke Farrell,SF,TE,11,Yes,Yes,Yes,7,No,No,0.7143,17,0.1429,0.1429,
Luke Musgrave,GB,TE,11,No,Yes,Yes,10,No,No,0.4,17,0.6,,
Christian Kirk,HST,WR,12,Yes,Yes,No,12,No,No,,13,0.75,0.1667,0.0833
Mitchell Evans,CAR,TE,8,Yes,Yes,Yes,4,No,No,0.75,17,0.25,,
Jalen McMillan,TB,WR,8,Yes,Yes,Yes,8,No,No,,4,0.375,0.625,
D'Ernest Johnson,NE,RB,3,No,Yes,No,3,No,No,,6,,0.3333,0.6667
Theo Johnson,NYG,TE,39,No,Yes,No,33,No,No,0.2727,15,0.6061,0.1212,
Jahan Dotson,PHI,WR,28,No,Yes,No,27,No,No,,17,0.5556,0.4444,
DeVonta Smith,PHI,WR,33,No,Yes,No,33,No,No,,17,0.5758,0.4242,
Giovanni Ricci,DET,TE,2,Yes,No,No,1,No,No,1,3,,,
Jameson Williams,DET,WR,38,Yes,Yes,No,38,No,No,,17,0.2632,0.7368,
Brian Robinson,SF,RB,1,Yes,Yes,Yes,1,No,No,,17,,,1
Alvin Kamara,NO,RB,21,No,Yes,No,13,No,No,,11,0.1538,,0.8462
Gunner Olszewski,NYG,WR,6,Yes,Yes,No,6,No,No,,16,0.5,0.5,
Jimmy Horn,CAR,WR,6,Yes,Yes,Yes,6,No,No,,13,0.6667,0.3333,
Tucker Fisk,LAC,TE,8,No,Yes,No,5,No,No,0.8,10,,0.2,
Ray-Ray McCloud,NYG,WR,3,No,Yes,Yes,3,No,No,,6,0.3333,0.6667,
Eric Saubert,SEA,TE,2,Yes,Yes,Yes,1,No,No,1,11,,,
DeMario Douglas,NE,WR,16,No,Yes,No,15,No,No,,17,0.8,0.2,
Cade Otton,TB,TE,31,Yes,Yes,Yes,28,No,No,0.2143,16,0.6071,0.1786,
Malik Nabers,NYG,WR,9,No,Yes,Yes,9,No,No,,4,0.4444,0.5556,
Xavier Weaver,ARZ,WR,18,No,Yes,No,18,No,No,,9,0.4444,0.5556,
Colson Yankoff,WAS,TE,2,No,Yes,No,1,No,No,1,14,,,
Dylan Laube,LV,RB,2,Yes,Yes,Yes,1,No,No,,17,,,1
Taysom Hill,NO,TE,11,Yes,Yes,No,11,No,No,0.0909,13,0.5455,0.2727,0.0909
Blake Corum,LA,RB,3,No,Yes,No,1,No,No,,17,,,1
Julian Hill,MIA,TE,12,No,Yes,No,4,No,No,0.75,14,,0.25,
Tyquan Thornton,KC,WR,20,Yes,Yes,No,20,No,No,,14,0.35,0.65,
Breece Hall,NYJ,RB,29,No,Yes,Yes,19,No,No,,16,,,1
Trent Sherfield,ARZ,WR,2,No,Yes,No,2,No,No,,12,1,,
Evan Hull,NO,RB,7,Yes,Yes,No,2,No,No,,6,,,1
DK Metcalf,PIT,WR,25,No,Yes,Yes,25,No,No,,15,0.32,0.68,
Parker Washington,JAX,WR,26,No,Yes,No,26,No,No,,16,0.4615,0.5385,
Mark Andrews,BLT,TE,31,No,Yes,No,29,No,No,0.1724,17,0.6552,0.1724,
Braxton Berrios,HST,WR,1,No,Yes,No,1,No,No,,4,1,,
Thomas Fidone,NYG,TE,1,Yes,Yes,No,1,No,No,1,2,,,
Travis Hunter,JAX,WR,14,No,Yes,No,14,No,No,,7,0.5714,0.4286,
