Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentInlineRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AlignmentBackfieldRoutesPercentage
Mason Tipton,NO,WR,13,No,Yes,No,12,No,No,,13,0.25,0.75,
Jalin Hyatt,NYG,WR,9,No,Yes,Yes,9,No,No,,8,0.2222,0.7778,
David Njoku,CLV,TE,23,No,Yes,No,20,No,No,0.55,12,0.2,0.25,
Brock Bowers,LV,TE,48,No,Yes,No,46,No,No,0.2609,12,0.5435,0.1739,0.0217
Terrance Ferguson,LA,TE,5,No,Yes,No,5,No,No,0.2,13,0.8,,
Brandin Cooks,BUF,WR,25,No,Yes,No,25,No,No,,15,0.32,0.68,
A.J. Brown,PHI,WR,28,No,Yes,No,28,No,No,,15,0.0714,0.9286,
Luke McCaffrey,WAS,WR,7,Yes,Yes,Yes,7,No,No,,9,0.4286,0.5714,
Brock Wright,DET,TE,9,No,Yes,No,7,No,No,0.4286,11,0.4286,0.1429,
Ryan Miller,TB,WR,1,No,Yes,No,1,No,No,,13,,1,
Gunnar Helm,TEN,TE,23,No,Yes,Yes,18,No,No,0.5,16,0.4444,0.0556,
Justin Jefferson,MIN,WR,59,No,Yes,Yes,59,No,No,,17,0.2542,0.7288,0.0169
Rashid Shaheed,SEA,WR,28,Yes,Yes,Yes,28,No,No,,18,0.3571,0.6429,
Greg Dulcich,MIA,TE,9,No,Yes,No,8,No,No,0.125,10,0.625,0.25,
Johnny Mundt,JAX,TE,9,No,Yes,No,6,No,No,0.8333,16,,0.1667,
Durham Smythe,CHI,TE,1,Yes,Yes,No,1,No,No,,17,,,1
Xavier Legette,CAR,WR,25,Yes,Yes,Yes,24,No,No,,15,0.375,0.625,
Alex Bachman,LV,WR,1,Yes,Yes,Yes,1,No,No,,13,1,,
Dalevon Campbell,CAR,WR,1,Yes,Yes,No,1,No,No,,2,1,,
Austin Trammell,JAX,WR,4,No,Yes,No,4,No,No,,6,0.25,0.75,
Tony Pollard,TEN,RB,32,No,Yes,No,21,No,No,,17,0.1905,,0.8095
Drake Dabney,GB,TE,3,No,Yes,Yes,2,No,No,0.5,2,0.5,,
Ray Davis,BUF,RB,1,No,Yes,No,1,No,No,,17,,,1
DeeJay Dallas,JAX,RB,2,No,Yes,No,2,No,No,,5,,0.5,0.5
Ladd McConkey,LAC,WR,52,No,Yes,Yes,51,No,No,,16,0.5882,0.4118,
JuJu Smith-Schuster,KC,WR,23,Yes,Yes,Yes,23,No,No,,17,0.4348,0.5652,
Romeo Doubs,GB,WR,19,No,Yes,No,19,No,No,,16,0.2105,0.7895,
Chig Okonkwo,TEN,TE,39,No,Yes,No,33,No,No,0.3333,17,0.3333,0.303,0.0303
Lucas Krull,DEN,TE,1,No,Yes,Yes,1,No,No,1,3,,,
Tyler Johnson,NYJ,WR,18,No,Yes,Yes,18,No,No,,12,0.2778,0.7222,
James Cook,BUF,RB,14,No,Yes,No,10,No,No,,17,0.2,,0.8
Treylon Burks,WAS,WR,9,No,Yes,No,8,No,No,,8,0.25,0.75,
Jared Wiley,KC,TE,2,Yes,Yes,Yes,1,No,No,,4,,1,
Isaiah Likely,BLT,TE,23,No,Yes,No,20,No,No,0.1,14,0.85,0.05,
Dalton Schultz,HST,TE,25,Yes,Yes,No,22,No,No,0.4091,17,0.5455,,0.0455
Anthony Gould,IND,WR,1,No,Yes,No,1,No,No,,11,1,,
George Kittle,SF,TE,14,Yes,Yes,Yes,13,No,No,0.7692,11,0.2308,,
Keenan Allen,LAC,WR,35,No,Yes,No,35,No,No,,17,0.4286,0.5714,
CeeDee Lamb,DAL,WR,23,Yes,Yes,No,23,No,No,,14,0.3913,0.6087,
Noah Fant,CIN,TE,7,No,Yes,No,5,No,No,0.6,15,0.4,,
Kene Nwangwu,NYJ,RB,1,No,Yes,No,1,No,No,,10,,,1
Brenden Bates,CLV,TE,5,No,Yes,No,3,No,No,0.6667,9,0.3333,,
Rome Odunze,CHI,WR,18,Yes,Yes,No,17,No,No,,12,0.4118,0.5882,
Jacory Croskey-Merritt,WAS,RB,10,No,Yes,No,6,No,No,,17,0.1667,,0.8333
Isaiah Davis,NYJ,RB,31,No,Yes,Yes,22,No,No,,16,0.0909,,0.9091
Colby Parkinson,LA,TE,10,No,Yes,No,7,No,No,0.8571,15,,0.1429,
Isaiah Bond,CLV,WR,32,No,Yes,No,32,No,No,,16,0.4688,0.5312,
Josh Oliver,MIN,TE,14,No,Yes,Yes,12,No,No,1,15,,,
Nick Chubb,HST,RB,5,No,Yes,Yes,3,No,No,,15,,,1
Michael Carter,ARZ,RB,18,No,Yes,No,13,No,No,,13,,0.0769,0.9231
Tyjae Spears,TEN,RB,25,No,Yes,No,17,No,No,0.1176,13,0.0588,,0.8235
DJ Moore,CHI,WR,23,Yes,Yes,No,23,No,No,,17,0.3043,0.6957,
Keaton Mitchell,BLT,RB,4,No,Yes,No,4,No,No,,13,,,1
Bucky Irving,TB,RB,6,Yes,Yes,Yes,4,No,No,,10,,,1
Zamir White,LV,RB,4,Yes,Yes,Yes,2,No,No,,5,,,1
David Sills,ATL,WR,17,Yes,Yes,No,17,No,No,,17,0.4118,0.5882,
Trayveon Williams,CLV,RB,9,No,Yes,No,8,No,No,,6,,0.125,0.875
Devin Singletary,NYG,RB,11,Yes,Yes,No,4,No,No,,17,,0.25,0.75
Gage Larvadain,CLV,WR,11,No,Yes,No,11,No,No,,13,0.6364,0.3636,
Isaiah Hodgins,NYG,WR,12,Yes,Yes,No,12,No,No,,7,0.5,0.5,
Tyler Allgeier,ATL,RB,6,Yes,Yes,No,3,No,No,,17,,,1
KeAndre Lambert-Smith,LAC,WR,6,No,Yes,No,6,No,No,,10,0.1667,0.8333,
Foster Moreau,NO,TE,7,No,Yes,No,4,No,No,0.75,11,,0.25,
Josh Downs,IND,WR,21,Yes,Yes,No,20,No,No,,16,0.8,0.2,
Tetairoa McMillan,CAR,WR,32,Yes,Yes,Yes,31,No,No,,17,0.3226,0.6774,
Devaughn Vele,NO,WR,23,No,No,No,22,No,No,0.0455,13,0.4545,0.5,
Quinshon Judkins,CLV,RB,13,No,Yes,Yes,10,No,No,0.1,14,,0.1,0.8
Andrew Ogletree,IND,TE,1,No,Yes,No,1,No,No,1,15,,,
