Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage
Zay Jones,ARZ,WR,51,No,No,No,50,3,No,Yes,1,0.3333,0.06,64,,0.3,0.7,2,21.3333,1,39.6,-11.4706,,8.9229,8.9229,0.0811,8,,1,1,1,,,
Jaylin Noel,HST,WR,64,No,No,Yes,62,8,No,Yes,1,0.125,0.129,114,1,0.6129,0.371,6,14.25,2,39.6,-9.2439,0.125,23.8083,23.8083,0.1481,17,0.0161,,,3,,,
Andrei Iosivas,CIN,WR,175,No,No,Yes,164,23,No,No,16,0.6957,0.1402,220,7,0.561,0.4329,15,9.5652,3,39.6,-7.8232,0.3043,46.8891,46.8891,0.1655,17,0.0061,10,2,5,,,
Hunter Renfrow,CAR,WR,57,No,No,Yes,54,8,No,No,3,0.375,0.1481,117,,0.8333,0.1667,4,14.625,1,39.6,-9.7467,,17.6965,17.6965,0.2,6,,1,1,1,,,
Isaac TeSlaa,DET,WR,97,Yes,Yes,Yes,90,10,No,No,2,0.2,0.1111,156,,0.2333,0.7556,9,15.6,1,39.6,-10.0025,,27.1025,27.1025,0.1449,17,,2,5,4,0.0111,,
Allen Lazard,NYJ,WR,55,No,No,No,48,7,No,Yes,1,0.1429,0.1458,165,1,0.375,0.625,3,23.5714,4,39.6,-10.3028,0.1429,17.0891,17.0891,0.175,10,,1,3,2,,,
Darnell Mooney,ATL,WR,163,No,Yes,No,154,39,No,No,15,0.3846,0.2532,634,7,0.461,0.539,31,16.2564,12,39.6,-9.8452,0.1795,90.425,90.425,0.3047,15,,9,5,5,,,
Kalif Raymond,DET,WR,62,Yes,Yes,Yes,56,4,No,No,1,0.25,0.0714,39,1,0.5,0.5,1,9.75,1,39.6,-7.8694,0.25,11.0643,11.0643,0.0889,15,,,,1,,,
Jeremy Ruckert,NYJ,TE,73,Yes,Yes,No,54,5,No,No,3,0.6,0.0926,27,2,0.1852,0.1296,5,5.4,,39.6,-6.6854,0.4,7.9579,7.9579,0.0893,17,0.0185,1,1,2,0.6667,,
Jalen Coker,CAR,WR,78,No,No,No,77,7,No,No,,,0.0909,93,,0.6494,0.3506,6,13.2857,,39.6,-9.6372,,14.4367,14.4367,0.1321,11,,,1,1,,,
Raheem Mostert,LV,RB,25,No,Yes,No,13,,No,No,,,,,,,,,,,,,,,,,12,1,,,,,,
Zach Horton,DET,TE,1,Yes,Yes,Yes,1,,No,No,,,,,,,,,,,,,,,,,2,1,,,,,,
Arian Smith,NYJ,WR,64,Yes,Yes,No,61,7,No,No,3,0.4286,0.1148,178,,0.5246,0.4754,5,25.4286,4,39.6,-11.3549,,14.7556,14.7556,0.1591,16,,3,2,,,,
Marvin Mims,DEN,WR,80,No,Yes,No,78,14,No,No,1,0.0714,0.1795,386,1,0.3333,0.641,12,27.5714,9,39.6,-11.4862,0.0714,29.4238,29.4238,0.2121,15,0.0256,1,1,1,,,
Dallas Goedert,PHI,TE,135,No,No,No,126,20,No,No,8,0.4,0.1587,228,5,0.4841,0.127,13,11.4,2,39.6,-8.9835,0.25,40.096,40.096,0.1887,15,,4,1,2,0.3889,,
Roschon Johnson,CHI,RB,1,No,No,Yes,1,,No,No,,,,,,,,,,,,,,,,,6,1,,,,,,
Cedric Tillman,CLV,WR,105,No,No,Yes,95,15,No,No,4,0.2667,0.1579,195,,0.3263,0.6737,10,13,3,39.6,-8.6191,,34.1002,34.1002,0.2,13,,3,2,,,,
Calvin Ridley,TEN,WR,57,No,No,No,54,17,No,No,7,0.4118,0.3148,223,4,0.2037,0.7963,16,13.1176,1,39.6,-9.0171,0.2353,32.3567,32.3567,0.3778,7,,4,1,1,,,
Harold Fannin,CLV,TE,152,No,No,No,139,30,Yes,Yes,16,0.5333,0.2158,223,6,0.446,0.1223,19,7.4333,1,39.6,-7.5661,0.2,48.1461,48.1461,0.2804,16,0.0144,11,1,3,0.4173,1,0.0333
Terry McLaurin,WAS,WR,87,No,Yes,No,82,20,No,No,5,0.25,0.2439,303,1,0.2317,0.7683,19,15.15,6,39.6,-9.0192,0.05,50.2652,50.2652,0.3125,10,,5,3,3,,,
Chris Godwin,TB,WR,73,No,No,No,69,15,No,No,7,0.4667,0.2174,200,2,0.5652,0.4348,8,13.3333,2,39.6,-8.7224,0.1333,26.2191,26.2191,0.25,9,,5,1,3,,,
Devin Neal,NO,RB,46,No,No,Yes,31,2,No,No,1,0.5,0.0645,-7,1,,0.0323,,-3.5,,39.6,-5.1779,0.5,2.6311,2.6311,0.0571,9,0.9677,,,,,,
