Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage
Ricky Pearsall,SF,WR,77,No,Yes,No,72,13,No,No,2,0.1538,0.1806,203,1,0.1944,0.8056,10,15.6154,4,39.6,-9.5045,0.0769,41.5979,41.5979,0.2407,9,,1,3,3,,1,0.0769
Pharaoh Brown,ARZ,TE,9,No,No,Yes,7,,No,No,,,,,,0.1429,,,,,,,,,,,7,0.1429,,,,0.7143,,
Chris Olave,NO,WR,155,No,Yes,No,147,47,No,Yes,15,0.3191,0.3197,867,9,0.3946,0.6054,40,18.4468,19,39.6,-10.131,0.1915,101.4062,101.4062,0.3852,16,,13,8,7,,2,0.0426
Jalin Hyatt,NYG,WR,33,No,No,No,30,6,No,No,2,0.3333,0.2,182,,0.1667,0.8333,5,30.3333,4,39.6,-12.0723,,11.3992,11.3992,0.2069,8,,2,,,,,
David Njoku,CLV,TE,109,No,No,Yes,92,10,No,No,3,0.3,0.1087,79,2,0.337,0.163,5,7.9,1,39.6,-7.2809,0.2,15.7238,15.7238,0.1235,12,,1,,1,0.5,,
Brock Bowers,LV,TE,104,No,Yes,No,95,16,No,No,5,0.3125,0.1684,141,3,0.5263,0.1789,12,8.8125,3,39.6,-8.1174,0.1875,44.0409,44.0409,0.2078,12,,4,6,7,0.2947,1,0.0625
Terrance Ferguson,LA,TE,62,No,No,No,58,13,No,No,4,0.3077,0.2241,260,2,0.4828,0.2759,11,20,7,39.6,-11.7138,0.1538,34.2261,34.2261,0.2321,13,,2,4,2,0.2414,,
Brandin Cooks,BUF,WR,95,No,No,No,85,11,No,No,3,0.2727,0.1294,270,3,0.4588,0.5412,8,24.5455,8,39.6,-11.0497,0.2727,21.8188,21.8188,0.1429,15,,2,1,1,,,
A.J. Brown,PHI,WR,138,No,No,No,135,39,No,No,12,0.3077,0.2889,625,2,0.1778,0.8222,34,16.0256,12,39.6,-9.425,0.0513,84.7151,84.7151,0.3482,15,,11,1,4,,,
Luke McCaffrey,WAS,WR,24,No,No,No,23,4,Yes,Yes,,,0.1739,88,,0.5217,0.4783,3,22,2,39.6,-11.3423,,6.9114,6.9114,0.2353,9,,,1,1,,,
Brock Wright,DET,TE,51,Yes,No,No,32,4,No,No,2,0.5,0.125,7,1,0.3125,0.2188,1,1.75,,39.6,-5.8105,0.25,5.8866,5.8866,0.1081,11,0.0312,1,,,0.4375,1,0.25
Samori Toure,NO,WR,2,No,Yes,No,2,1,No,No,,,0.5,25,,1,,1,25,1,39.6,-11.4887,,1.57,1.57,0.5,1,,,,,,,
Ryan Miller,TB,WR,7,No,Yes,No,4,2,No,No,,,0.5,36,,,1,1,18,1,39.6,-10.8245,,3.3662,3.3662,0.3333,13,,,,,,,
Gunnar Helm,TEN,TE,94,No,Yes,No,74,10,No,Yes,7,0.7,0.1351,110,3,0.3514,0.0946,9,11,,39.6,-8.8002,0.3,21.6489,21.6489,0.1429,16,0.0135,5,3,3,0.5405,,
Justin Jefferson,MIN,WR,160,Yes,Yes,Yes,154,46,No,No,14,0.3043,0.2987,667,9,0.2727,0.7208,38,14.5,11,39.6,-9.2137,0.1957,107.2409,107.2409,0.3566,17,0.0065,7,11,13,,,
Rashid Shaheed,SEA,WR,136,No,No,No,127,26,No,No,7,0.2692,0.2047,428,1,0.3543,0.6457,20,16.4615,11,39.6,-9.7965,0.0385,52.0399,52.0399,0.25,18,,6,4,3,,1,0.0385
Greg Dulcich,MIA,TE,37,No,Yes,Yes,34,5,No,No,2,0.4,0.1471,30,,0.2059,0.2059,4,6,,39.6,-6.9255,,10.8206,10.8206,0.1667,10,0.0294,2,,2,0.5588,,
Johnny Mundt,JAX,TE,46,No,Yes,No,35,9,No,No,7,0.7778,0.2571,64,5,0.0571,0.1429,5,7.1111,,39.6,-7.4488,0.5556,14.0515,14.0515,0.2093,16,,3,,,0.8,2,0.2222
Durham Smythe,CHI,TE,33,Yes,Yes,Yes,22,2,No,No,2,1,0.0909,10,1,0.2273,0.1818,2,5,,39.6,-6.5799,0.5,2.6503,2.6503,0.0769,17,0.0455,1,,,0.5455,,
Xavier Legette,CAR,WR,123,No,No,No,117,23,No,No,11,0.4783,0.1966,323,2,0.3675,0.6325,16,14.0435,4,39.6,-9.2888,0.087,52.7701,52.7701,0.2644,15,,5,5,5,,,
Tyreek Hill,MIA,WR,23,No,No,Yes,23,7,No,No,3,0.4286,0.3043,151,1,0.3913,0.6087,4,21.5714,3,39.6,-10.802,0.1429,13.7384,13.7384,0.35,4,,2,,,,,
Demarcus Robinson,SF,WR,69,No,No,No,68,13,No,No,4,0.3077,0.1912,223,3,0.4118,0.5735,7,17.1538,4,39.6,-9.6103,0.2308,28.4436,28.4436,0.2364,14,,1,2,2,0.0147,,
Tory Horton,SEA,WR,35,No,No,No,32,9,Yes,Yes,2,0.2222,0.2812,210,1,0.1562,0.8438,8,23.3333,4,39.6,-10.5889,0.1111,21.3683,21.3683,0.3462,8,,2,2,2,,,
Travis Kelce,KC,TE,189,No,No,No,170,25,No,No,6,0.24,0.1471,251,5,0.4471,0.2059,15,10.04,5,39.6,-7.8921,0.2,46.3278,46.3278,0.1773,17,0.0059,1,1,2,0.3412,1,0.04
Cole Kmet,CHI,TE,143,Yes,Yes,Yes,106,14,No,No,5,0.3571,0.1321,188,2,0.2453,0.2264,7,13.4286,4,39.6,-9.2164,0.1429,26.0814,26.0814,0.1359,16,0.0283,3,1,1,0.5,,
Rhamondre Stevenson,NE,RB,73,No,Yes,Yes,48,5,No,No,3,0.6,0.1042,75,2,,0.0833,2,15,2,39.6,-10.8724,0.4,9.6565,9.6565,0.0847,14,0.9167,2,1,,,,
Kaleb Johnson,PIT,RB,6,No,No,No,4,1,No,Yes,1,1,0.25,-3,1,0.25,,,-3,,39.6,-6.1191,1,1.6225,1.6225,0.1667,10,0.75,,,,,,
Brenton Strange,JAX,TE,120,No,Yes,No,102,13,No,No,8,0.6154,0.1275,110,4,0.3039,0.098,9,8.4615,1,39.6,-8.0124,0.3077,21.0461,21.0461,0.1383,12,,4,,4,0.598,,
Derius Davis,LAC,WR,24,No,Yes,No,22,1,No,No,,,0.0455,30,,0.1818,0.7727,1,30,1,39.6,-9.194,,3.0067,3.0067,0.0556,11,0.0455,,,,,,
Kylen Granson,PHI,TE,31,No,Yes,No,22,2,No,No,1,0.5,0.0909,41,1,0.5,0.1364,1,20.5,1,39.6,-11.4009,0.5,3.4297,3.4297,0.1,17,0.0455,1,,,0.3182,,
Konata Mumpfield,LA,WR,68,No,No,Yes,65,11,No,No,4,0.3636,0.1692,197,2,0.2923,0.7077,7,17.9091,3,39.6,-9.9531,0.1818,23.7661,23.7661,0.193,17,,3,,1,,,
Deven Thompkins,ATL,WR,1,No,Yes,No,1,,No,No,,,,,,1,,,,,,,,,,,7,,,,,,,
Kimani Vidal,LAC,RB,81,No,Yes,No,52,5,No,No,2,0.4,0.0962,21,2,0.0192,0.0192,3,4.2,1,39.6,-7.4209,0.4,8.8838,8.8838,0.082,13,0.9423,,,2,0.0192,1,0.2
RJ Harvey,DEN,RB,84,No,Yes,No,66,11,No,No,4,0.3636,0.1667,29,4,0.0909,0.1212,4,2.6364,,39.6,-6.7191,0.3636,19.178,19.178,0.1667,17,0.7727,,,2,0.0152,,
Mason Tipton,NO,WR,48,No,No,No,47,5,No,No,2,0.4,0.1064,101,,0.3191,0.6809,4,20.2,3,39.6,-10.108,,12.4875,12.4875,0.1429,13,,2,1,1,,,
Savion Williams,GB,WR,7,Yes,Yes,No,6,,No,No,,,,,,0.1667,0.6667,,,,,,,,,,12,0.1667,,,,,,
James Cook,BUF,RB,66,Yes,Yes,No,53,7,No,No,3,0.4286,0.1321,31,1,0.0189,,2,4.4286,,39.6,-6.9377,0.1429,13.7175,13.7175,0.1273,17,0.9811,1,,,,,
Treylon Burks,WAS,WR,49,No,Yes,No,47,11,No,No,4,0.3636,0.234,218,,0.1915,0.766,8,19.8182,5,39.6,-10.2611,,30.1796,30.1796,0.3056,8,0.0213,4,4,4,0.0213,,
Michael Bandy,DEN,WR,6,No,No,No,6,,No,No,,,,,,1,,,,,,,,,,,4,,,,,,,
Jared Wiley,KC,TE,5,No,No,No,3,,No,No,,,,,,,0.3333,,,,,,,,,,4,,,,,0.6667,,
Isaiah Likely,BLT,TE,72,No,Yes,Yes,60,9,No,No,3,0.3333,0.15,90,2,0.7333,0.1333,5,10,1,39.6,-8.2178,0.2222,23.1267,23.1267,0.1579,14,,1,2,4,0.1333,,
Jimmy Holiday,KC,WR,1,No,No,No,1,,No,No,,,,,,1,,,,,,,,,,,1,,,,,,,
Dalton Schultz,HST,TE,164,No,No,Yes,143,21,No,Yes,7,0.3333,0.1469,227,2,0.4126,0.0909,18,10.8095,5,39.6,-9.1304,0.0952,46.206,46.206,0.1591,17,,5,2,4,0.4965,,
Anthony Gould,IND,WR,10,No,No,No,9,,Yes,Yes,,,,,,0.8889,0.1111,,,,,,,,,,11,,,,,,,
George Kittle,SF,TE,76,No,No,No,68,10,No,No,6,0.6,0.1471,76,3,0.2647,0.1029,6,7.6,,39.6,-7.2451,0.3,19.3477,19.3477,0.1923,11,0.0147,4,1,1,0.6176,,
Zaire Mitchell-Paden,NO,TE,7,No,Yes,Yes,3,1,No,No,1,1,0.3333,8,1,,,,8,,39.6,-7.7205,1,3.55,3.55,0.2,8,0.6667,1,1,1,0.3333,,
Keenan Allen,LAC,WR,134,No,Yes,No,131,36,No,No,15,0.4167,0.2748,459,7,0.3359,0.6641,26,12.75,9,39.6,-8.7555,0.1944,69.8858,69.8858,0.3243,17,,6,6,8,,,
CeeDee Lamb,DAL,WR,131,No,No,Yes,125,35,No,No,18,0.5143,0.28,632,9,0.304,0.696,29,18.0571,10,39.6,-9.9808,0.2571,102.1507,102.1507,0.3365,14,,10,7,6,,,
Noah Fant,CIN,TE,71,No,No,Yes,63,5,No,No,2,0.4,0.0794,26,1,0.3492,0.0952,4,5.2,,39.6,-6.9348,0.2,7.9314,7.9314,0.0909,15,0.0317,1,,1,0.5238,,
Kene Nwangwu,NYJ,RB,7,Yes,Yes,No,5,1,No,No,,,0.2,-6,,0.2,0.2,1,-6,,39.6,-5.0893,,1.3542,1.3542,0.1429,10,0.6,,,,,1,1
Travis Vokolek,ARZ,TE,2,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,3,,,,,1,,
Nick Vannett,LA,TE,3,No,No,Yes,2,,No,No,,,,,,,0.5,,,,,,,,,,5,,,,,0.5,,
Alex Bachman,LV,WR,3,No,No,No,3,1,No,No,,,0.3333,5,,,1,,5,,39.6,-6.3628,,1.3673,1.3673,1,13,,,,,,,
Dalevon Campbell,CAR,WR,1,Yes,Yes,No,1,,No,No,,,,,,1,,,,,,,,,,,2,,,,,,,
Austin Trammell,JAX,WR,18,No,No,No,17,4,Yes,Yes,1,0.25,0.2353,79,1,0.5882,0.4118,3,19.75,3,39.6,-10.2913,0.25,8.7493,8.7493,0.3636,6,,,1,1,,,
Malik Turner,SF,WR,3,No,Yes,Yes,3,,No,No,,,,,,,1,,,,,,,,,,3,,,,,,,
Tony Pollard,TEN,RB,127,No,Yes,No,83,7,No,No,3,0.4286,0.0843,8,3,0.0843,0.0241,2,1.1429,,39.6,-6.2826,0.4286,10.1772,10.1772,0.0769,17,0.8916,,,,,1,0.1429
Drake Dabney,GB,TE,7,Yes,Yes,Yes,5,1,No,No,,,0.2,8,,0.2,0.2,,8,,39.6,-7.7205,,1.8727,1.8727,0.2,2,,,,1,0.6,,
Ray Davis,BUF,RB,17,Yes,Yes,No,10,3,No,No,1,0.3333,0.3,14,1,,,,4.6667,,39.6,-6.934,0.3333,4.4626,4.4626,0.2143,17,1,,,,,,
DeeJay Dallas,JAX,RB,7,No,Yes,No,3,1,No,No,1,1,0.3333,-1,1,,,,-1,,39.6,-5.819,1,1.554,1.554,0.2,5,1,,,,,,
Ladd McConkey,LAC,WR,152,No,Yes,No,148,34,No,Yes,12,0.3529,0.2297,525,5,0.6757,0.3041,19,15.4412,11,39.6,-9.3849,0.1471,72.9256,72.9256,0.2764,16,,8,6,7,0.0203,,
JuJu Smith-Schuster,KC,WR,115,No,No,No,107,7,No,No,3,0.4286,0.0654,44,1,0.4393,0.5514,6,6.2857,,39.6,-6.7751,0.1429,21.6727,21.6727,0.0795,17,,2,,3,0.0093,,
Romeo Doubs,GB,WR,116,No,No,No,114,28,No,Yes,13,0.4643,0.2456,529,6,0.193,0.807,19,18.8929,8,39.6,-10.437,0.2143,69.6741,69.6741,0.3077,16,,10,4,6,,,
Chig Okonkwo,TEN,TE,153,No,Yes,No,135,21,No,No,6,0.2857,0.1556,146,5,0.4963,0.0815,14,6.9524,4,39.6,-7.6557,0.2381,36.6045,36.6045,0.1875,17,,1,1,2,0.4222,4,0.1905
Ke'Shawn Williams,CIN,WR,4,No,No,Yes,4,,No,No,,,,,,0.25,0.75,,,,,,,,,,11,,,,,,,
Lucas Krull,DEN,TE,10,No,No,No,10,2,No,No,,,0.2,8,,0.5,0.1,1,4,,39.6,-6.0667,,5.9532,5.9532,0.2222,3,,,,,0.4,,
Tyler Johnson,NYJ,WR,50,No,Yes,Yes,46,4,No,No,2,0.5,0.087,82,2,0.5217,0.4783,4,20.5,3,39.6,-10.6389,0.5,9.983,9.983,0.125,12,,1,,,,,
Nick Kallerup,SEA,TE,6,Yes,No,No,3,1,Yes,Yes,1,1,0.3333,7,,,,,7,,39.6,-7.3078,,4.0235,4.0235,0.1667,9,,1,,1,1,,
Zamir White,LV,RB,10,No,No,No,8,2,No,No,,,0.25,-4,,,,,-2,,39.6,-5.8003,,2.3491,2.3491,0.2222,5,1,,,,,,
Ameer Abdullah,IND,RB,20,No,No,Yes,17,,No,Yes,,,,,,0.0588,,,,,,,,,,,13,0.9412,,,,,,
David Sills,ATL,WR,120,No,Yes,No,113,15,No,No,3,0.2,0.1327,236,2,0.3628,0.6283,11,15.7333,5,39.6,-9.3752,0.1333,33.5421,33.5421,0.1685,17,,1,1,3,0.0088,,
Trayveon Williams,CLV,RB,18,No,No,Yes,15,1,No,No,,,0.0667,-6,,0.0667,,1,-6,,39.6,-5.0893,,1.3069,1.3069,0.0714,6,0.7333,,,,0.2,1,1
Devin Singletary,NYG,RB,44,No,No,Yes,30,1,No,No,1,1,0.0333,-2,1,0.0333,0.1333,1,-2,,39.6,-6.198,1,1.4591,1.4591,0.0294,17,0.8333,,,,,,
Gage Larvadain,CLV,WR,37,No,No,Yes,35,5,No,No,3,0.6,0.1429,53,2,0.2,0.8,5,10.6,1,39.6,-7.7268,0.4,7.9394,7.9394,0.1613,13,,1,1,,,,
Isaiah Hodgins,NYG,WR,65,No,No,Yes,63,7,No,No,1,0.1429,0.1111,85,,0.3651,0.6349,7,12.1429,1,39.6,-8.5131,,20.1343,20.1343,0.1373,7,,1,,2,,,
Tyler Allgeier,ATL,RB,46,No,Yes,No,30,2,No,No,1,0.5,0.0667,-4,1,0.0333,0.0333,,-2,,39.6,-5.6985,0.5,5.3171,5.3171,0.0526,17,0.9333,,,,,,
KeAndre Lambert-Smith,LAC,WR,23,No,Yes,No,20,6,No,No,,,0.3,169,,,1,6,28.1667,5,39.6,-12.0982,,15.7619,15.7619,0.3529,10,,,,,,,
Foster Moreau,NO,TE,28,No,No,No,16,2,No,No,1,0.5,0.125,2,1,0.4375,,1,1,,39.6,-5.6116,0.5,3.0453,3.0453,0.1,11,,,,,0.5625,,
Josh Downs,IND,WR,112,No,No,Yes,109,25,No,Yes,8,0.32,0.2294,261,5,0.7615,0.2294,23,10.44,6,39.6,-7.8985,0.2,42.3532,42.3532,0.2778,16,0.0092,5,1,4,,1,0.04
Tetairoa McMillan,CAR,WR,168,No,No,No,163,44,No,No,23,0.5227,0.2699,627,10,0.1718,0.8282,37,14.25,13,39.6,-9.1319,0.2273,87.5881,87.5881,0.3826,17,,15,7,5,,1,0.0227
Devaughn Vele,NO,WR,69,No,No,Yes,63,11,No,No,2,0.1818,0.1746,178,1,0.3968,0.5714,8,16.1818,5,39.6,-9.5272,0.0909,24.5035,24.5035,0.2115,13,,1,1,1,0.0317,,
Khalil Herbert,NYJ,RB,13,Yes,Yes,No,10,2,No,No,1,0.5,0.2,-8,1,,0.1,,-4,,39.6,-5.5699,0.5,3.0025,3.0025,0.2,5,0.9,,,1,,,
Quinshon Judkins,CLV,RB,57,No,No,No,49,7,No,No,3,0.4286,0.1429,-7,,0.0408,0.0612,4,-1,,39.6,-6.0683,,11.4773,11.4773,0.1522,14,0.8367,2,,,0.0612,4,0.5714
Brenden Bates,CLV,TE,14,No,No,Yes,7,1,No,No,1,1,0.1429,,1,,,1,,,39.6,-5.289,1,3.01,3.01,0.1,9,,1,,1,1,,
Rome Odunze,CHI,WR,150,No,No,No,141,42,No,No,15,0.3571,0.2979,765,9,0.4043,0.5957,26,18.2143,14,39.6,-10.0982,0.2143,93.901,93.901,0.3559,12,,12,8,6,,1,0.0238
Jacory Croskey-Merritt,WAS,RB,40,No,Yes,No,24,3,No,No,,,0.125,-10,,0.0417,0.0417,2,-3.3333,,39.6,-5.5982,,3.9635,3.9635,0.1071,17,0.9167,,,,,2,0.6667
Isaiah Davis,NYJ,RB,66,No,Yes,Yes,37,6,No,No,3,0.5,0.1622,40,2,0.0541,0.027,1,6.6667,1,39.6,-7.3761,0.3333,8.6362,8.6362,0.1176,16,0.9189,2,,,,,
Colby Parkinson,LA,TE,99,No,No,Yes,72,11,No,No,8,0.7273,0.1528,123,6,0.1667,0.1667,9,11.1818,2,39.6,-8.8662,0.5455,25.5656,25.5656,0.1294,15,,3,3,5,0.6667,1,0.0909
Isaiah Bond,CLV,WR,126,No,No,Yes,120,22,No,No,8,0.3636,0.1833,399,1,0.45,0.55,15,18.1364,8,39.6,-9.9487,0.0455,46.0165,46.0165,0.2472,16,,5,3,2,,,
Josh Oliver,MIN,TE,49,Yes,Yes,Yes,34,3,No,No,1,0.3333,0.0882,6,,0.1471,0.0294,2,2,,39.6,-6.1373,,4.5572,4.5572,0.075,15,,1,,,0.8235,,
Nick Chubb,HST,RB,42,No,Yes,No,33,7,No,Yes,2,0.2857,0.2121,16,2,,0.0303,1,2.2857,,39.6,-6.5355,0.2857,9.8819,9.8819,0.1842,15,0.9697,,,1,,,
Michael Carter,ARZ,RB,87,No,No,Yes,69,10,No,No,4,0.4,0.1449,73,3,0.0145,0.058,1,7.3,1,39.6,-6.2892,0.3,17.1895,17.1895,0.1562,13,0.913,1,1,2,0.0145,,
Tyjae Spears,TEN,RB,87,No,Yes,No,59,5,No,No,3,0.6,0.0847,-28,3,0.0339,0.0339,2,-5.6,,39.6,-5.4938,0.6,8.2206,8.2206,0.0746,13,0.9322,,,,,1,0.2
DJ Moore,CHI,WR,212,Yes,Yes,Yes,201,31,No,No,11,0.3548,0.1542,484,6,0.3532,0.6219,24,15.6129,9,39.6,-9.5679,0.1935,63.0481,63.0481,0.1987,17,0.0249,7,6,4,,3,0.0968
Keaton Mitchell,BLT,RB,14,No,Yes,Yes,13,2,No,No,,,0.1538,-10,,0.1538,,1,-5,,39.6,-5.3296,,4.7137,4.7137,0.1667,13,0.7692,,,,0.0769,1,0.5
Bucky Irving,TB,RB,60,No,No,No,46,5,No,No,2,0.4,0.1087,27,1,0.0435,0.1087,,5.4,,39.6,-7.4262,0.2,10.3163,10.3163,0.102,10,0.8478,1,,1,,,
KaVontae Turpin,DAL,WR,63,No,No,Yes,62,11,No,No,5,0.4545,0.1774,147,4,0.7581,0.2419,8,13.3636,3,39.6,-7.4968,0.3636,23.3048,23.3048,0.2075,15,,,2,1,,1,0.0909
John Metchie,NYJ,WR,77,Yes,Yes,No,71,13,No,No,9,0.6923,0.1831,97,4,0.338,0.662,11,7.4615,,39.6,-7.4383,0.3077,22.2011,22.2011,0.2063,16,,5,,3,,,
Jalen Nailor,MIN,WR,125,Yes,Yes,Yes,117,16,No,No,,,0.1368,244,,0.5897,0.4103,13,15.25,4,39.6,-9.6801,,38.1723,38.1723,0.1569,17,,,4,5,,,
Marquise Brown,KC,WR,126,No,No,No,119,21,No,No,5,0.2381,0.1765,376,2,0.3782,0.6134,16,17.9048,6,39.6,-9.2366,0.0952,47.1791,47.1791,0.2234,16,0.0084,3,2,2,,,
Kenneth Gainwell,PIT,RB,113,No,Yes,Yes,95,9,No,No,3,0.3333,0.0947,24,2,0.1263,0.1053,4,2.6667,,39.6,-6.6672,0.2222,19.7102,19.7102,0.1011,17,0.5053,1,1,2,0.2632,1,0.1111
Bhayshul Tuten,JAX,RB,32,No,Yes,No,26,3,No,No,2,0.6667,0.1154,5,1,0.1154,0.1538,1,1.6667,,39.6,-6.1729,0.3333,4.3722,4.3722,0.1111,15,0.7308,2,,,,,
Casey Washington,ATL,WR,32,No,No,No,31,8,No,No,3,0.375,0.2581,167,1,0.2581,0.7419,4,20.875,3,39.6,-11.1648,0.125,13.8558,13.8558,0.3333,7,,2,,,,,
Kevin Austin,NO,WR,38,No,Yes,No,35,10,No,No,7,0.7,0.2857,85,4,0.3143,0.6857,9,8.5,2,39.6,-7.3839,0.4,16.8316,16.8316,0.3226,8,,3,1,1,,,
Tyler Badie,DEN,RB,63,No,Yes,No,45,11,No,No,4,0.3636,0.2444,35,4,,0.0222,4,3.1818,1,39.6,-6.4341,0.3636,14.9557,14.9557,0.2157,16,0.9111,,1,,0.0667,1,0.0909
Andrew Ogletree,IND,TE,32,No,Yes,Yes,16,2,No,No,1,0.5,0.125,18,,0.25,0.1875,1,9,,39.6,-8.2225,,5.3912,5.3912,0.069,15,,1,,,0.5625,,
Jaylen Warren,PIT,RB,62,No,Yes,Yes,43,4,No,No,1,0.25,0.093,,1,0.0233,0.1163,,,,39.6,-4.6938,0.25,4.3957,4.3957,0.0909,16,0.814,,,1,0.0465,,
Kendrick Bourne,SF,WR,99,No,No,No,93,13,No,No,8,0.6154,0.1398,159,6,0.2581,0.7419,10,12.2308,4,39.6,-8.6982,0.4615,19.7787,19.7787,0.1667,16,,4,,1,,,
Jalen Brooks,ARZ,WR,26,No,No,Yes,26,3,No,No,1,0.3333,0.1154,32,1,0.1923,0.8077,2,10.6667,1,39.6,-8.1838,0.3333,4.2199,4.2199,0.1579,6,,,,,,,
Jack Bech,LV,WR,49,No,No,No,47,6,No,No,3,0.5,0.1277,79,1,0.1915,0.7872,6,13.1667,1,39.6,-9.3847,0.1667,12.7312,12.7312,0.1667,16,,3,,,0.0213,,
Hassan Haskins,LAC,RB,13,No,Yes,No,9,,No,No,,,,,,,,,,,,,,,,,11,1,,,,,,
Dareke Young,SEA,WR,1,No,No,No,1,1,No,No,,,1,8,,,1,1,8,,39.6,-7.5106,,1.5587,1.5587,1,9,,1,,,,,
Juwan Johnson,NO,TE,152,No,Yes,No,132,23,No,No,13,0.5652,0.1742,228,7,0.5303,0.2045,22,9.913,1,39.6,-7.7057,0.3043,40.3225,40.3225,0.1917,17,0.0303,5,1,2,0.2348,,
David Montgomery,DET,RB,63,Yes,Yes,Yes,41,4,No,No,,,0.0976,27,,,0.0244,1,6.75,,39.6,-7.3777,,5.7943,5.7943,0.0909,17,0.9756,,,1,,,
Mack Hollins,NE,WR,79,No,No,Yes,78,17,No,No,4,0.2353,0.2179,359,2,0.2051,0.7949,16,21.1176,7,39.6,-10.6477,0.1176,32.1608,32.1608,0.2615,15,,3,2,,,,
Tanner Conner,MIA,TE,33,No,No,No,29,5,Yes,Yes,4,0.8,0.1724,50,3,0.4483,0.1034,1,10,,39.6,-8.3217,0.6,10.0121,10.0121,0.1923,9,,2,1,2,0.4483,,
Quintin Morris,JAX,TE,25,No,Yes,No,21,1,No,No,,,0.0476,19,,0.1905,0.1905,1,19,,39.6,-10.5955,,5.5952,5.5952,0.0625,13,,,,,0.619,,
Moliki Matavao,NO,TE,3,No,Yes,No,3,,No,No,,,,,,0.3333,,,,,,,,,,,6,,,,,0.6667,,
Tahj Washington,MIA,WR,11,No,Yes,Yes,11,1,No,No,,,0.0909,43,,0.3636,0.6364,1,43,1,39.6,-15,,4.6029,4.6029,0.1111,6,,,,,,,
Ja'Tavion Sanders,CAR,TE,67,Yes,No,No,62,5,Yes,Yes,3,0.6,0.0806,69,1,0.6774,0.129,4,13.8,1,39.6,-10.0187,0.2,12.6297,12.6297,0.0962,13,0.0161,2,2,2,0.1774,,
Jahdae Walker,CHI,WR,24,Yes,Yes,Yes,22,4,No,No,1,0.25,0.1818,56,,0.3636,0.6364,1,14,1,39.6,-8.7193,,7.2604,7.2604,0.25,7,,,1,1,,,
Jauan Jennings,SF,WR,109,No,No,No,103,24,No,No,11,0.4583,0.233,289,5,0.3495,0.6505,23,12.0417,4,39.6,-8.433,0.2083,53.4385,53.4385,0.3,15,,7,3,6,,,
Teagan Quitoriano,ATL,TE,9,No,Yes,No,2,,No,No,,,,,,,,,,,,,,,,,15,,,,,1,,
Ashton Dulin,IND,WR,20,No,No,Yes,19,5,No,Yes,1,0.2,0.2632,101,,0.1579,0.8421,4,20.2,1,39.6,-11.3482,,9.8068,9.8068,0.3333,12,,1,,,,,
Pat Bryant,DEN,WR,103,No,Yes,No,95,13,No,No,5,0.3846,0.1368,190,2,0.6105,0.3684,9,14.6154,3,39.6,-8.7719,0.1538,20.2242,20.2242,0.1585,15,,3,2,2,0.0211,,
Marquez Valdes-Scantling,PIT,WR,79,No,Yes,Yes,74,15,No,No,6,0.4,0.2027,260,1,0.2568,0.7432,13,17.3333,5,39.6,-9.9166,0.0667,35.2523,35.2523,0.2381,10,,4,3,3,,,
Connor Heyward,PIT,TE,6,No,Yes,Yes,2,1,No,No,1,1,0.5,17,1,,,1,17,,39.6,-11.6807,1,2.9767,2.9767,0.25,16,1,,1,1,,,
Dylan Sampson,CLV,RB,50,No,No,Yes,42,5,No,No,1,0.2,0.119,-3,1,0.119,0.0476,2,-0.6,,39.6,-4.7628,0.2,5.5972,5.5972,0.1471,15,0.7857,,,1,0.0476,1,0.2
Jawhar Jordan,HST,RB,5,No,No,Yes,4,,No,Yes,,,,,,,0.25,,,,,,,,,,4,0.75,,,,,,
Adonai Mitchell,NYJ,WR,97,Yes,Yes,No,91,35,No,No,8,0.2286,0.3846,613,5,0.2308,0.7692,32,17.5143,12,39.6,-9.8857,0.1429,70.66,70.66,0.443,16,,5,4,4,,1,0.0286
Nick Westbrook-Ikhine,MIA,WR,60,No,Yes,Yes,54,6,No,No,4,0.6667,0.1111,30,3,0.4444,0.5556,4,5,,39.6,-6.3732,0.5,14.7142,14.7142,0.1364,15,,1,,2,,,
Jake Bobo,SEA,WR,15,No,No,No,15,,No,No,,,,,,0.2667,0.7333,,,,,,,,,,11,,,,,,,
Brevyn Spann-Ford,DAL,TE,32,No,No,Yes,21,3,No,No,1,0.3333,0.1429,37,,0.2381,,2,12.3333,1,39.6,-9.0659,,3.8443,3.8443,0.12,17,0.0476,1,,,0.7143,,
