Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentInlineRoutesPercentage,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsXfpPprTotal,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Travis Vokolek,ARZ,TE,2,No,Yes,No,1,No,No,1,3,,,,,,,,,,,,,,,,,
Jacory Croskey-Merritt,WAS,RB,24,Yes,Yes,Yes,20,No,No,,17,0.9,0.05,0.05,,,,,,,,,,,,,,
Brenden Bates,CLV,TE,6,No,Yes,No,4,No,No,1,9,,,,,,,,,,,,,,,,,
Rome Odunze,CHI,WR,25,No,Yes,No,25,No,No,,12,0.04,0.44,0.52,,,,,,,,,,,,,,
Isaiah Bond,CLV,WR,14,No,Yes,No,13,No,No,,16,,0.3846,0.6154,,,,,,,,,,,,,,
Isaiah Davis,NYJ,RB,15,No,Yes,No,15,No,No,,16,0.9333,0.0667,,,,,,,,,,,,,,,
Colby Parkinson,LA,TE,4,No,Yes,No,4,No,No,1,15,,,,,,,,,,,,,,,,,
Tyjae Spears,TEN,RB,5,Yes,Yes,No,5,No,No,,13,1,,,,,,,,,,,,,,,,
Josh Oliver,MIN,TE,6,Yes,Yes,Yes,5,No,No,0.6,15,,0.2,0.2,,,,,,,,,,,,,,
Nick Chubb,HST,RB,8,No,Yes,No,4,No,No,,15,1,,,,,,,,,,,,,,,,
Michael Carter,ARZ,RB,12,No,Yes,No,10,No,No,,13,1,,,,,,,,,,,,,,,,
Bucky Irving,TB,RB,12,No,Yes,No,7,No,No,,10,1,,,,,,,,,,,,,,,,
DJ Moore,CHI,WR,31,Yes,Yes,No,31,No,No,,17,,0.2581,0.7419,,,,,,,,,,,,,,
Keaton Mitchell,BLT,RB,4,No,Yes,No,2,No,No,,13,1,,,,,,,,,,,,,,,,
