teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingSackedFaultTotal
4,Buffalo,Bills,True,NYJ,AFC,AFC East,Open,Open,Cover 0,16,15,13,0.7692307692307693,6,8,0.6153846153846154,0.75,-0.01776472041666677,1,,1,0.07692307692307693,44,3.3846153846153846,0.36363636363636365,9.538461538461538,71,4,,,2,,,Yes,No,8,0.5333333333333333,0.3168566666666667,No,0.13333333333333333,0.15384615384615385,,,0.07692307692307693,0.7692307692307693,0.46153846153846156,2.023076923076923,,1.9125,5.916666666666667,107.1,Yes,Yes,5,,,2.05,
6,Chicago,Bears,True,DET,NFC,NFC North,Open,Open,Cover 0,16,29,27,0.6666666666666666,4,16,0.5925925925925926,0.7083333333333334,-0.027426612874999923,1,1,11,0.037037037037037035,184,6.814814814814815,0.30978260869565216,6,189,2,1,1,,-11,0.034482758620689655,Yes,Yes,9,0.3103448275862069,0.06305689655172413,Yes,0.06896551724137931,0.18518518518518517,1,0.037037037037037035,0.037037037037037035,0.7407407407407407,0.5555555555555556,2.1148148148148147,2.3,2.011111111111111,7.56,89.1,No,Yes,11,0.07407407407407407,0.037037037037037035,3.3,
13,Houston,Texans,True,IND,AFC,AFC South,Closed,Open,Cover 0,13,7,7,0.8571428571428571,1,3,0.42857142857142855,0.8333333333333334,0.01746249583333337,,1,11,0.2857142857142857,51,7.285714285714286,0.7254901960784313,10.142857142857142,27,1,,,,,,Yes,Yes,5,0.7142857142857143,0.39455714285714283,Yes,,,,,,0.5714285714285714,0.7142857142857143,2.4285714285714284,,1.9,4.5,107.7,No,Yes,2,,0.14285714285714285,,
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Open,Cover 0,13,14,13,0.6153846153846154,5,7,0.5384615384615384,0.5384615384615384,-0.2874186161538461,,,,,54,4.153846153846154,0.8703703703703703,3.857142857142857,38,3,1,1,1,-15,0.07142857142857142,No,No,4,0.2857142857142857,0.056239285714285714,No,0.14285714285714285,0.38461538461538464,,,0.15384615384615385,0.9230769230769231,0.38461538461538464,2.0076923076923077,3.2,2.425,2.923076923076923,71.8,No,No,6,,0.07692307692307693,,
11,Detroit,Lions,,CHI,NFC,NFC North,Open,Open,Cover 0,13,18,16,0.8125,5,11,0.6875,0.7333333333333333,-0.04422189440000013,1,,,,55,3.4375,0.43636363636363634,6.111111111111111,94,4,,2,1,-25,0.1111111111111111,Yes,Yes,9,0.5,0.2441361111111111,Yes,0.05555555555555555,0.125,1,0.0625,,0.75,0.6875,2.24375,2.8499999999999996,2.066666666666667,6.266666666666667,113.3,No,Yes,8,,,,
21,Minnesota,Vikings,True,GB,NFC,NFC North,Closed,Open,Cover 0,13,42,40,0.525,4,17,0.425,0.6451612903225806,-0.11225508509677418,1,8,27,0.075,168,4.2,0.5238095238095238,4.571428571428571,219,2,,2,,-16,0.047619047619047616,Yes,Yes,11,0.2619047619047619,0.05327380952380954,No,0.023809523809523808,0.25,2,0.05,,0.7,0.325,1.845,2.15,1.5818181818181818,7.064516129032258,71.7,Yes,No,10,0.025,,,
19,Las Vegas,Raiders,True,KC,AFC,AFC West,Open,Open,Cover 0,16,24,23,0.7391304347826086,5,13,0.5652173913043478,0.7619047619047619,-0.01692376719047628,1,1,14,0.13043478260869565,97,4.217391304347826,0.44329896907216493,5.739130434782608,122,4,1,,1,,,No,No,13,0.5416666666666666,0.2787958333333333,No,0.08333333333333333,0.17391304347826086,1,0.043478260869565216,0.043478260869565216,0.6956521739130435,0.6086956521739131,2.1652173913043478,,2.0076923076923077,5.809523809523809,88.2,No,Yes,10,0.08695652173913043,0.043478260869565216,5,
9,Dallas,Cowboys,,NYG,NFC,NFC East,Open,Open,Cover 0,15,20,19,0.7368421052631579,10,12,0.631578947368421,0.875,0.12360912843750005,2,1,14,0.10526315789473684,65,3.4210526315789473,0.26153846153846155,11.2,109,8,,1,1,-1,0.05,Yes,No,13,0.65,0.30867750000000005,No,0.15,0.10526315789473684,,,,0.5789473684210527,0.47368421052631576,2.6578947368421053,5.9,2.2846153846153845,6.8125,108.6,No,No,10,,,,1
20,Miami,Dolphins,,NE,AFC,AFC East,Open,Open,Cover 0,14,22,19,0.631578947368421,5,9,0.47368421052631576,0.6111111111111112,-0.03897969105555543,1,,56,0.10526315789473684,75,3.9473684210526314,0.37333333333333335,5.35,243,4,1,1,1,-3,0.045454545454545456,No,No,12,0.5454545454545454,0.22104772727272728,Yes,0.045454545454545456,0.3157894736842105,7,0.3684210526315789,0.10526315789473684,0.7894736842105263,0.42105263157894735,2.7526315789473683,2.7,2.216666666666667,13.5,75.7,No,No,7,0.21052631578947367,,5.65,1
12,Green Bay,Packers,,MIN,NFC,NFC North,Closed,Open,Cover 0,13,13,11,0.5454545454545454,4,6,0.5454545454545454,0.6666666666666666,-0.09738519722222228,2,,,,55,5,0.6181818181818182,10,57,5,1,,1,,,Yes,Yes,10,0.7692307692307693,0.5174576923076923,No,,0.2727272727272727,1,0.09090909090909091,0.18181818181818182,0.7272727272727273,0.45454545454545453,2.3000000000000003,,2.31,6.333333333333333,70.1,Yes,No,6,,,5.550000000000001,
3,Baltimore,Ravens,,PIT,AFC,AFC North,Open,Open,Cover 0,17,44,39,0.5384615384615384,12,16,0.41025641025641024,0.4722222222222222,-0.2027630280277778,3,,-5,0.02564102564102564,202,5.17948717948718,0.5099009900990099,4.255813953488372,429,5,2,4,4,-29,0.09090909090909091,Yes,No,20,0.45454545454545453,0.17983068181818182,No,0.022727272727272728,0.3076923076923077,7,0.1794871794871795,0.05128205128205128,0.7692307692307693,0.48717948717948717,2.371794871794872,2.775,2.16,11.916666666666666,76.1,No,Yes,12,,,5.5,
25,New York,Jets,,BUF,AFC,AFC East,Open,Open,Cover 0,17,28,26,0.8076923076923077,9,18,0.6923076923076923,0.75,0.0019718776249999515,1,1,,,145,5.576923076923077,0.45517241379310347,11,166,8,,1,3,-8,0.03571428571428571,Yes,No,11,0.39285714285714285,0.10670357142857144,No,0.03571428571428571,0.11538461538461539,2,0.07692307692307693,,0.7692307692307693,0.7692307692307693,2.3615384615384616,2.3,2.090909090909091,6.916666666666667,122.6,Yes,Yes,13,0.038461538461538464,,2.7,
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Closed,Open,Cover 0,14,25,21,0.5714285714285714,3,10,0.47619047619047616,0.5238095238095238,-0.25268406671428567,,,-2,0.047619047619047616,45,2.142857142857143,0.5777777777777777,2.2916666666666665,126,4,1,3,,-25,0.12,No,No,12,0.48,0.309408,Yes,0.04,0.42857142857142855,2,0.09523809523809523,0.047619047619047616,0.9047619047619048,0.5238095238095238,1.7523809523809522,2.1666666666666665,1.6916666666666667,6,74,No,Yes,7,0.047619047619047616,,0.4,
