teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingAverageTimeToSack,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingInterceptionsTotal,opponentStatsPassingTowThrowPercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingTouchdownsTotal
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Open,Cover 2 Man,7,5,5,0.8,2,0.4,0.6,-0.028594904600000026,,15,0.2,22,4.4,0.3181818181818182,4.4,69,No,No,2,0.4,0.10935000000000002,No,0.2,1,0.2,1,,0.2,2.2600000000000002,2.6,13.8,53.8,No,Yes,1,,,,,,,,0.4,,,,1,,
24,New York,Giants,True,MIN,NFC,NFC North,Open,Open,Cover 2 Man,7,11,9,0.7777777777777778,6,0.6666666666666666,0.875,0.167340478375,1,1,0.1111111111111111,78,8.666666666666666,0.2692307692307692,5.818181818181818,72,No,No,3,0.2727272727272727,-0.005222727272727253,No,0.1111111111111111,,,0.5555555555555556,,0.6666666666666666,2.5444444444444443,2.466666666666667,9,93.8,No,No,6,,2,,-14,0.18181818181818182,3.9,,,,,,,,
10,Denver,Broncos,True,LAC,AFC,AFC West,Open,Open,Cover 2 Man,10,23,17,0.7647058823529411,10,0.5882352941176471,0.8125,0.08899814143749996,,22,0.17647058823529413,126,7.411764705882353,0.5158730158730159,5.6,141,No,Yes,10,0.43478260869565216,0.14510434782608694,No,0.17647058823529413,3,0.17647058823529413,0.8235294117647058,0.058823529411764705,0.7058823529411765,2.847058823529412,2.35,8.8125,82,No,No,5,1,3,,-14,0.13043478260869565,2.9666666666666663,2,,4.533333333333333,,,,0.08695652173913043,
6,Chicago,Bears,True,DET,NFC,NFC North,Open,Open,Cover 2 Man,8,23,21,0.9523809523809523,18,0.8571428571428571,0.9047619047619048,0.16641405685714283,,12,0.047619047619047616,252,12,0.376984126984127,11.08695652173913,175,No,Yes,5,0.21739130434782608,-0.08728478260869565,No,0.047619047619047616,2,0.09523809523809523,0.9047619047619048,,0.8095238095238095,2.5095238095238095,2.94,8.333333333333334,132.5,No,No,13,,2,1,-17,0.08695652173913043,3.5,,0.09523809523809523,,,0.047619047619047616,,,1
14,Indianapolis,Colts,True,JAX,AFC,AFC South,Open,Open,Cover 2 Man,8,12,11,0.9090909090909091,10,0.9090909090909091,1,0.32646997879999995,,,,134,12.181818181818182,0.22388059701492538,12.25,104,No,No,5,0.4166666666666667,-0.055899999999999984,No,,1,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.5454545454545454,3.563636363636364,2.8600000000000003,9.454545454545455,147.7,Yes,No,8,,1,,-7,0.08333333333333333,3.6,1,,,,,1,,1
28,Seattle,Seahawks,,ATL,NFC,NFC South,Open,Open,Cover 2 Man,6,4,4,0.5,1,0.25,0.3333333333333333,-0.30563402433333337,,,,5,1.25,-0.2,-10,38,No,No,2,0.5,-0.082175,No,0.25,1,0.25,0.5,,0.25,3.9499999999999997,2.75,12.666666666666666,,No,No,,1,,,,,,,,,1,0.25,,,
17,Los Angeles,Rams,True,ARZ,NFC,NFC West,Open,Open,Cover 2 Man,7,4,2,1,2,1,1,0.11985171399999994,,,,11,5.5,0.8181818181818182,2.6666666666666665,2,No,No,2,0.5,0.4072875,No,,,,1,,1,1.65,3.5,1,89.6,No,Yes,,,1,1,-3,0.25,3.7,,,5.8,,,,,
30,Tampa Bay,Buccaneers,,MIA,AFC,AFC East,Open,Open,Cover 2 Man,11,22,18,0.7777777777777778,12,0.6666666666666666,0.7647058823529411,0.05133346129411753,,15,0.05555555555555555,125,6.944444444444445,0.472,5.3,152,No,No,11,0.5,0.1867659090909091,No,0.16666666666666666,2,0.1111111111111111,0.5,,0.6111111111111112,2.7944444444444443,2.3454545454545457,8.941176470588236,86.6,Yes,Yes,8,1,2,,-19,0.09090909090909091,3.25,5,0.05555555555555555,4.55,,,,,
31,Tennessee,Titans,True,NO,NFC,NFC South,Open,Open,Cover 2 Man,9,6,4,0.75,2,0.5,0.6666666666666666,-0.10406352866666668,,,,26,6.5,0.5384615384615384,1.3333333333333333,19,No,Yes,3,0.5,0.08600833333333331,No,,,,0.5,,0.5,4.175,2.9,6.333333333333333,70.8,No,No,1,1,2,,-18,0.3333333333333333,2.7,2,,,,,,,
22,New England,Patriots,True,BUF,AFC,AFC East,Open,Open,Cover 2 Man,7,4,4,1,4,1,1,0.1518101745,,,,44,11,0.7045454545454546,16,13,No,No,,,-0.202675,No,,,,1,,0.75,1.75,,3.25,152.1,No,Yes,1,,,,,,,,,,,,,,1
20,Miami,Dolphins,True,TB,NFC,NFC South,Open,Open,Cover 2 Man,11,10,9,0.6666666666666666,4,0.4444444444444444,0.6666666666666666,-0.12782429644444449,,-2,0.2222222222222222,39,4.333333333333333,0.8205128205128205,3.3,34,No,No,5,0.5,0.14250500000000002,No,0.2222222222222222,,,0.4444444444444444,0.2222222222222222,0.5555555555555556,2.8777777777777778,2.64,3.7777777777777777,57.2,Yes,Yes,2,,1,1,-6,0.1,4,1,,,,,,,
12,Green Bay,Packers,,DET,NFC,NFC North,Open,Open,Cover 2 Man,5,1,1,1,,,,-0.304932735,,,,,,,,35,No,Yes,1,1,0.5472,No,,1,1,1,,,3.2,3,35,39.6,No,Yes,,,,,,,,,,,,,1,,
25,New York,Jets,,BUF,AFC,AFC East,Open,Open,Cover 2 Man,10,20,14,0.6428571428571429,7,0.5,0.6666666666666666,-0.05852690666666671,,16,0.07142857142857142,64,4.571428571428571,0.421875,3.6666666666666665,100,No,No,12,0.6,0.35117750000000003,No,0.21428571428571427,,,0.6428571428571429,0.14285714285714285,0.42857142857142855,2.6357142857142857,2.783333333333333,7.923076923076923,62.8,No,No,5,1,1,,-9,0.05,3.3,1,,5.0600000000000005,,,,,
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Open,Open,Cover 2 Man,9,16,14,0.5,6,0.42857142857142855,0.5833333333333334,-0.08434126591666669,,6,0.07142857142857142,81,5.785714285714286,0.20987654320987653,4.4375,135,No,Yes,5,0.3125,0.06615937499999999,No,0.35714285714285715,2,0.14285714285714285,0.6428571428571429,0.07142857142857142,0.42857142857142855,2.207142857142857,2.32,11.25,61.9,No,No,4,2,2,1,-10,0.125,5.8,1,,,,0.14285714285714285,1,,
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Open,Open,Cover 2 Man,5,6,5,0.4,1,0.2,0.4,-0.11668557719999995,,4,0.2,14,2.8,0.35714285714285715,1.5,112,No,No,1,0.16666666666666666,-0.2336666666666667,No,0.4,2,0.4,0.6,,,3.3600000000000003,2,22.4,39.6,Yes,No,1,,1,1,-5,0.16666666666666666,4.4,1,,,,,,,
13,Houston,Texans,True,LV,AFC,AFC West,Open,Open,Cover 2 Man,4,1,1,,,,,-0.683655536,,,,,,,,9,No,No,1,1,0.6334500000000001,No,1,,,1,,,2.7,2.5,9,39.6,Yes,Yes,,,,,,,,,,,,,,,
11,Detroit,Lions,,CHI,NFC,NFC North,Open,Open,Cover 2 Man,15,30,26,0.6538461538461539,15,0.5769230769230769,0.6,-0.08334760376000006,,,,154,5.923076923076923,0.2597402597402597,7.107142857142857,265,No,Yes,12,0.4,0.09439833333333336,No,0.3076923076923077,3,0.11538461538461539,0.7307692307692307,0.038461538461538464,0.34615384615384615,2.619230769230769,2.591666666666667,10.6,113.3,No,No,10,1,2,1,-15,0.06666666666666667,3.75,2,0.07692307692307693,5.65,,,5,,3
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Open,Cover 2 Man,10,4,2,0.5,1,0.5,0.5,-0.050538895999999944,,,,14,7,0.5,2,36,No,No,2,0.5,0.2520375,No,0.5,1,0.5,1,,0.5,3.45,2.9,18,72.9,Yes,No,1,,1,,-8,0.25,3.5,,,4.3,,,,,
21,Minnesota,Vikings,,NYG,NFC,NFC East,Open,Open,Cover 2 Man,10,14,11,0.8181818181818182,9,0.8181818181818182,0.9,0.15916635860000006,1,,,98,8.909090909090908,0.2653061224489796,10.727272727272727,79,No,No,5,0.35714285714285715,0.08146071428571429,No,0.09090909090909091,1,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.5454545454545454,2.609090909090909,2.3600000000000003,7.9,134.1,No,No,4,,,,,,,,,4.6,,,,,1
