teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingInterceptionsTotal,opponentStatsPassingHeroThrowPercentage,teamIsHomeTeam
9,Dallas,Cowboys,NYG,NFC,NFC East,Open,Open,Cover 2,17,138,123,0.7967479674796748,6,93,0.7560975609756098,0.8584070796460177,0.09635496976106195,9,1,23,0.032520325203252036,957,7.780487804878049,0.4608150470219436,7.3076923076923075,785,5,7,4,3,-62,0.050724637681159424,No,No,61,0.4420289855072464,0.0925713768115942,No,0.036231884057971016,0.11382113821138211,15,0.12195121951219512,0.008130081300813009,0.4959349593495935,0.1951219512195122,0.6504065040650406,2.847967479674797,3.5285714285714285,5.35,2.637704918032787,6.946902654867257,107.7,No,Yes,35,1,0.08130081300813008,
19,Las Vegas,Raiders,KC,AFC,AFC West,Closed,Open,Cover 2,17,86,77,0.8571428571428571,,61,0.7922077922077922,0.8873239436619719,0.09604152459154935,3,2,30,0.025974025974025976,550,7.142857142857143,0.6145454545454545,5.975609756097561,334,1,5,3,5,-35,0.05813953488372093,No,Yes,27,0.313953488372093,-0.0038063953488371993,No,0.046511627906976744,0.06493506493506493,6,0.07792207792207792,,0.6233766233766234,0.16883116883116883,0.6883116883116883,2.6324675324675324,4.82,4.725,2.5814814814814815,4.930555555555555,95.3,No,No,23,1,0.012987012987012988,True
7,Cincinnati,Bengals,CLV,AFC,AFC North,Open,Open,Cover 2,17,66,59,0.8813559322033898,1,47,0.7966101694915254,0.8620689655172413,0.09540683744827583,,1,23,0.05084745762711865,593,10.05084745762712,0.5902192242833052,9.225806451612904,356,2,3,2,2,-16,0.045454545454545456,No,Yes,21,0.3181818181818182,-0.006878030303030288,No,0.06060606060606061,0.0847457627118644,8,0.13559322033898305,0.01694915254237288,0.6779661016949152,0.1694915254237288,0.6779661016949152,2.6830508474576273,4.8,4.75,2.8285714285714283,6.137931034482759,112.8,No,No,26,1,0.05084745762711865,True
26,Philadelphia,Eagles,BUF,AFC,AFC East,Open,Open,Cover 2,16,21,19,0.7894736842105263,1,11,0.5789473684210527,0.631578947368421,-0.04399246105263166,,,6,0.05263157894736842,141,7.421052631578948,0.36879432624113473,8,244,1,1,1,2,-1,0.047619047619047616,Yes,Yes,8,0.38095238095238093,0.043561904761904746,No,0.047619047619047616,0.21052631578947367,5,0.2631578947368421,0.05263157894736842,0.7368421052631579,0.10526315789473684,0.42105263157894735,2.736842105263158,5.8,4.2,2.5625,12.842105263157896,98.8,No,Yes,7,,0.05263157894736842,
8,Cleveland,Browns,CIN,AFC,AFC North,Open,Open,Cover 2,17,103,80,0.85,1,62,0.775,0.8533333333333334,0.06832649834666671,3,2,3,0.025,631,7.8875,0.6101426307448494,4.114583333333333,396,,16,,6,-101,0.1553398058252427,No,Yes,45,0.4368932038834951,0.18920631067961166,No,0.038834951456310676,0.0875,7,0.0875,0.05,0.575,0.1625,0.6875,2.42375,3.15,5.071428571428571,2.3933333333333335,5.28,83.9,No,No,23,3,0.05,
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Open,Cover 2,17,17,14,0.9285714285714286,,11,0.7857142857142857,0.8461538461538461,0.13983529223076918,1,,,,184,13.142857142857142,0.42934782608695654,11.294117647058824,113,1,3,2,4,-12,0.17647058823529413,Yes,Yes,5,0.29411764705882354,-0.04529117647058822,No,,,2,0.14285714285714285,,0.42857142857142855,,0.8571428571428571,2.9642857142857144,3.6333333333333333,,2.48,8.692307692307692,142.6,No,Yes,6,,0.14285714285714285,True
32,Washington,Commanders,DAL,NFC,NFC East,Open,Open,Cover 2,16,81,73,0.8493150684931506,,59,0.8082191780821918,0.8840579710144928,0.12149523184057975,2,2,13,0.0273972602739726,752,10.301369863013699,0.5345744680851063,10.157894736842104,493,2,3,2,3,-20,0.037037037037037035,No,No,29,0.35802469135802467,0.03321419753086418,No,0.024691358024691357,0.0821917808219178,6,0.0821917808219178,0.0136986301369863,0.6027397260273972,0.136986301369863,0.7123287671232876,2.664383561643836,4.3999999999999995,5.1,2.613793103448276,7.144927536231884,118.7,No,Yes,29,,0.0410958904109589,True
4,Buffalo,Bills,NYJ,AFC,AFC East,Closed,Open,Cover 2,17,86,68,0.7794117647058824,,43,0.6323529411764706,0.9137931034482759,0.1354032978965517,9,1,82,0.14705882352941177,324,4.764705882352941,0.5740740740740741,3.207792207792208,326,1,9,3,9,-52,0.10465116279069768,No,No,37,0.43023255813953487,0.1127220930232558,No,0.011627906976744186,0.058823529411764705,5,0.07352941176470588,0.029411764705882353,0.47058823529411764,0.1323529411764706,0.4852941176470588,2.902941176470588,3.8444444444444446,4.811111111111111,2.472972972972973,5.620689655172414,73.4,No,Yes,14,1,0.04411764705882353,True
1,Arizona,Cardinals,LA,NFC,NFC West,Open,Open,Cover 2,17,82,78,0.8589743589743589,,58,0.7435897435897436,0.8648648648648649,0.10029749921621622,2,2,49,0.07692307692307693,691,8.85897435897436,0.4905933429811867,8.341772151898734,489,1,1,,2,-7,0.012195121951219513,No,No,28,0.34146341463414637,0.005205487804878026,No,,0.08974358974358974,6,0.07692307692307693,0.02564102564102564,0.5641025641025641,0.11538461538461539,0.6794871794871795,2.6243589743589744,3.4,5.633333333333333,2.689285714285714,6.608108108108108,99.9,No,Yes,33,1,0.07692307692307693,
5,Carolina,Panthers,TB,NFC,NFC South,Closed,Open,Cover 2,17,65,56,0.6964285714285714,1,35,0.625,0.7755102040816326,0.01607884036734697,6,1,,0.05357142857142857,321,5.732142857142857,0.5046728971962616,3.9047619047619047,328,,7,2,7,-30,0.1076923076923077,No,Yes,18,0.27692307692307694,-0.04312000000000002,Yes,0.07692307692307693,0.125,4,0.07142857142857142,0.03571428571428571,0.44642857142857145,0.14285714285714285,0.5178571428571429,2.7285714285714286,3.1142857142857143,4.5,2.5555555555555554,6.6938775510204085,70.6,No,Yes,13,1,0.03571428571428571,
