teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedFaultTotal
2,Atlanta,Falcons,True,NO,NFC,NFC South,Open,Closed,Cover 3,16,25,24,0.625,2,15,0.625,0.7894736842105263,0.07165159452631575,3,2,145,6.041666666666667,0.3310344827586207,8.16,179,3,1,2,-1,0.04,Yes,No,6,0.24,-0.19537799999999997,No,0.16666666666666666,4,0.16666666666666666,0.625,0.041666666666666664,0.5,3.204166666666667,4.7,2.716666666666667,9.421052631578947,118.9,No,Yes,7,,,,,,,,
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 0,16,35,35,0.6285714285714286,3,18,0.5142857142857142,0.6333333333333333,-0.1300596292666667,4,,250,7.142857142857143,0.7,10,214,5,,1,,,Yes,No,13,0.37142857142857144,-0.032085714285714266,No,0.2571428571428571,3,0.08571428571428572,0.6571428571428571,0.08571428571428572,0.34285714285714286,2.914285714285714,,3.0384615384615383,6.967741935483871,114.3,No,Yes,12,2,0.02857142857142857,0.05714285714285714,0.02857142857142857,,,,
26,Philadelphia,Eagles,True,WAS,NFC,NFC East,Open,Open,Cover 0,17,24,22,0.7727272727272727,3,16,0.7272727272727273,0.85,0.05979905495000004,1,,161,7.318181818181818,0.7329192546583851,10.954545454545455,106,4,,,,,Yes,No,10,0.4166666666666667,0.048318749999999966,No,0.13636363636363635,2,0.09090909090909091,0.5454545454545454,,0.6818181818181818,2.9045454545454543,,2.88,5.0476190476190474,132.8,No,Yes,6,,0.045454545454545456,,,0.045454545454545456,5.05,,
7,Cincinnati,Bengals,True,CLV,AFC,AFC North,Closed,Open,Cover 2,16,37,35,0.7142857142857143,7,22,0.6285714285714286,0.7666666666666667,-0.028806270899999875,5,,255,7.285714285714286,0.7450980392156863,6.756756756756757,143,3,2,2,-20,0.05405405405405406,Yes,Yes,15,0.40540540540540543,-0.08958783783783784,Yes,0.14285714285714285,,,0.5428571428571428,0.11428571428571428,0.6285714285714286,3.6085714285714285,3.7,3.18,4.766666666666667,101.5,No,Yes,14,15,0.02857142857142857,0.02702702702702703,0.02857142857142857,,,1,1
8,Cleveland,Browns,,CIN,AFC,AFC North,Closed,Open,Cover 2,17,55,49,0.7755102040816326,7,31,0.6326530612244898,0.8780487804878049,0.11507936456097567,7,,403,8.224489795918368,0.6004962779156328,10.30188679245283,267,8,4,2,-17,0.07272727272727272,Yes,Yes,26,0.4727272727272727,0.06524636363636366,Yes,0.061224489795918366,3,0.061224489795918366,0.6326530612244898,0.02040816326530612,0.5306122448979592,3.226530612244898,3.725,2.776923076923077,6.357142857142857,128.7,No,Yes,24,27,0.10204081632653061,0.01818181818181818,0.02040816326530612,0.04081632653061224,5.5,,3
27,Pittsburgh,Steelers,True,BLT,AFC,AFC North,Open,Open,Cover 0,17,17,17,0.7647058823529411,2,10,0.5882352941176471,0.7857142857142857,-0.006590433357142933,3,,125,7.352941176470588,0.608,8.529411764705882,75,1,,,,,No,No,5,0.29411764705882354,-0.14650588235294115,No,0.058823529411764705,1,0.058823529411764705,0.47058823529411764,0.058823529411764705,0.7058823529411765,3.1294117647058823,,3.16,5.357142857142857,101.3,Yes,Yes,7,3,0.058823529411764705,,,,,,
16,Kansas City,Chiefs,,LV,AFC,AFC West,Closed,Closed,Cover 1,17,34,33,0.8484848484848485,2,26,0.7878787878787878,0.84375,0.05378261590625,1,,254,7.696969696969697,0.65748031496063,8.909090909090908,177,2,,1,,,Yes,Yes,7,0.20588235294117646,-0.18590882352941177,Yes,0.12121212121212122,2,0.06060606060606061,0.696969696969697,0.09090909090909091,0.7575757575757576,2.915151515151515,,3,5.53125,118.9,No,No,10,12,0.030303030303030304,0.029411764705882353,0.06060606060606061,0.06060606060606061,3.9,,
29,San Francisco,49ers,True,SEA,NFC,NFC West,Open,Open,Cover 4,17,29,26,0.7307692307692307,3,18,0.6923076923076923,0.782608695652174,-3.341773913045909e-05,2,1,113,4.346153846153846,0.5132743362831859,4.923076923076923,123,3,,,,,Yes,No,6,0.20689655172413793,-0.13006206896551725,No,0.15384615384615385,,,0.5769230769230769,0.11538461538461539,0.5384615384615384,2.753846153846154,,2.8000000000000003,5.3478260869565215,100.3,No,Yes,9,,,0.034482758620689655,0.038461538461538464,,4.866666666666667,1,
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Closed,Cover 3,16,30,28,0.7857142857142857,4,16,0.5714285714285714,0.7692307692307693,0.021489425307692378,2,,128,4.571428571428571,0.6328125,6,182,2,,2,,,Yes,No,8,0.26666666666666666,-0.16802166666666665,Yes,0.14285714285714285,2,0.07142857142857142,0.5714285714285714,0.03571428571428571,0.5714285714285714,3.275,,2.7375,7,92.6,No,Yes,7,74,0.14285714285714285,0.03333333333333333,,,5.2,,
6,Chicago,Bears,True,DET,NFC,NFC North,Open,Open,Red Zone,17,33,31,0.7741935483870968,1,21,0.6774193548387096,0.7931034482758621,-0.00022367331034478521,2,,248,8,0.6774193548387096,4.424242424242424,150,,2,,-12,0.06060606060606061,Yes,Yes,10,0.30303030303030304,-0.06744090909090909,No,0.16129032258064516,2,0.06451612903225806,0.8064516129032258,0.06451612903225806,0.5806451612903226,2.861290322580645,5.55,3.31,5.172413793103448,65,No,No,8,2,0.06451612903225806,0.09090909090909091,0.06451612903225806,0.03225806451612903,,2,1
