teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingIncompletionsBatted,opponentStatsPassingRunPassOptionPercentage
5,Carolina,Panthers,TB,NFC,NFC South,Open,Closed,Cover 1,17,30,17,0.5294117647058824,4,6,0.35294117647058826,0.46153846153846156,-0.15624610746153844,3,,,140,8.235294117647058,0.42142857142857143,5.5,178,1,1,1,1,13,-16,0.03333333333333333,No,Yes,30,1,0.48006333333333334,No,0.11764705882352941,0.058823529411764705,0.35294117647058826,5.894117647058824,10.3,5.533333333333334,2.8366666666666664,12.714285714285714,60.9,No,No,5,,0.23529411764705882,2,0.11764705882352941,0.11764705882352941,,,
4,Buffalo,Bills,NYJ,AFC,AFC East,Closed,Open,Cover 2,17,24,7,0.14285714285714285,1,1,0.14285714285714285,0.25,-0.32889242899999993,3,,,19,2.7142857142857144,0.05263157894736842,-0.9285714285714286,62,,,7,2,6,-32,0.2916666666666667,No,Yes,24,1,0.7586833333333334,No,,,,5.371428571428572,4.228571428571429,5.05,2.7541666666666664,15.5,39.6,No,No,1,True,0.42857142857142855,1,0.14285714285714285,,,,
1,Arizona,Cardinals,CIN,AFC,AFC North,Open,Open,Cover 6,14,26,14,0.35714285714285715,2,5,0.35714285714285715,0.625,-0.028393168125000035,5,,,71,5.071428571428571,0.09859154929577464,0.3888888888888889,95,1,1,4,,1,-39,0.15384615384615385,No,Yes,26,1,0.5677615384615384,No,0.07142857142857142,0.07142857142857142,0.35714285714285715,5.228571428571429,3.65,4.6875,2.6115384615384616,11.875,47,No,No,3,,0.21428571428571427,2,0.14285714285714285,0.07142857142857142,,1,
6,Chicago,Bears,DET,NFC,NFC North,Closed,Closed,Cover 1,17,18,8,0.25,2,2,0.25,0.2857142857142857,-0.24944297785714287,1,,,27,3.375,0.1111111111111111,-2.75,140,,1,4,2,1,-15,0.2222222222222222,No,Yes,18,1,0.6674638888888889,No,,,0.25,4.9125,5.825,5.883333333333333,3.033333333333333,20,1.6,No,No,2,True,0.625,4,0.5,0.375,,,
24,New York,Giants,DAL,NFC,NFC East,Closed,Closed,Prevent,17,32,11,0.45454545454545453,,4,0.36363636363636365,0.5714285714285714,-0.013534166000000014,2,,,75,6.818181818181818,0.22666666666666666,2.5294117647058822,111,,,6,2,5,-32,0.1875,No,Yes,32,1,0.6864046875,No,,,0.2727272727272727,5.863636363636363,3.9333333333333336,5.46,2.8375,12.333333333333334,60.8,No,No,4,True,0.18181818181818182,2,0.18181818181818182,,,,0.03125
2,Atlanta,Falcons,NO,NFC,NFC South,Closed,Closed,Cover 3,15,39,13,0.7692307692307693,1,9,0.6923076923076923,0.8333333333333334,0.19569396100000003,,9,0.07692307692307693,121,9.307692307692308,0.18181818181818182,5.2105263157894735,156,2,1,6,5,5,-17,0.15384615384615385,No,Yes,38,0.9743589743589743,0.7433679487179488,Yes,0.07692307692307693,0.07692307692307693,0.6153846153846154,4.592307692307693,3.8666666666666667,5.165,2.75,13,106.1,No,Yes,7,True,0.15384615384615385,1,0.07692307692307693,,0.07692307692307693,1,0.02564102564102564
32,Washington,Commanders,PHI,NFC,NFC East,Open,Open,Cover 0,17,42,18,0.3888888888888889,1,7,0.3888888888888889,0.5833333333333334,-0.050606382499999936,5,,,91,5.055555555555555,0.15384615384615385,0.5,175,,1,8,3,12,-33,0.19047619047619047,Yes,Yes,39,0.9285714285714286,0.5644785714285715,Yes,,0.1111111111111111,0.2222222222222222,5.5,5.775,4.40625,2.776923076923077,14.583333333333334,32.4,No,No,4,,0.2777777777777778,3,0.16666666666666666,0.1111111111111111,0.1111111111111111,1,
7,Cincinnati,Bengals,CLV,AFC,AFC North,Open,Open,Bracket,17,35,14,0.5714285714285714,2,7,0.5,0.6363636363636364,0.13357582563636372,2,,,182,13,0.34615384615384615,7.95,259,1,,6,4,13,-43,0.17142857142857143,No,Yes,35,1,0.6774300000000001,No,0.14285714285714285,,0.5,5.25,4.733333333333333,5.4399999999999995,2.702857142857143,23.545454545454547,119.6,No,No,6,True,0.21428571428571427,6,0.42857142857142855,,0.07142857142857142,1,
26,Philadelphia,Eagles,WAS,NFC,NFC East,Open,Open,Cover 0,17,40,12,0.6666666666666666,,6,0.5,0.6,-0.0011286613,2,,,115,9.583333333333334,0.25217391304347825,4.368421052631579,161,,,7,4,13,-32,0.175,Yes,Yes,40,1,0.7528975,Yes,0.25,,0.5,5.3500000000000005,6.042857142857143,5.5285714285714285,2.8649999999999998,16.1,83.7,No,No,5,True,0.16666666666666666,3,0.25,,,,
8,Cleveland,Browns,CIN,AFC,AFC North,Open,Open,Bracket,15,24,9,0.3333333333333333,1,3,0.3333333333333333,0.375,-0.24625645424999998,1,,,54,6,0.09259259259259259,-0.2,121,,,6,5,8,-57,0.25,No,Yes,24,1,0.6282312499999999,No,0.1111111111111111,,0.3333333333333333,6.322222222222222,4.133333333333334,5.6,2.725,15.125,54.9,No,No,2,,0.5555555555555556,2,0.2222222222222222,,,,
9,Dallas,Cowboys,NYG,NFC,NFC East,Closed,Closed,Prevent,17,33,13,0.6923076923076923,1,9,0.6923076923076923,1,0.2606362476666667,3,,,151,11.615384615384615,0.5827814569536424,10.6875,67,2,,3,2,2,-20,0.09090909090909091,No,Yes,32,0.9696969696969697,0.7160484848484848,No,,0.15384615384615385,0.5384615384615384,4.3076923076923075,4.766666666666667,5.411764705882353,2.81875,7.444444444444445,147.8,No,No,9,,,1,0.07692307692307693,,,1,
19,Las Vegas,Raiders,KC,AFC,AFC West,Open,Closed,Cover 1,17,36,18,0.5,4,5,0.2777777777777778,0.6923076923076923,0.06186522738461531,4,30,0.2222222222222222,59,3.2777777777777777,0.3050847457627119,2.375,198,1,,6,5,10,-22,0.16666666666666666,No,Yes,36,1,0.6370375,Yes,,0.1111111111111111,0.2222222222222222,4.783333333333333,6.016666666666667,4.733333333333333,2.772222222222222,14.142857142857142,59.3,No,No,4,True,0.16666666666666666,3,0.16666666666666666,,0.1111111111111111,,
13,Houston,Texans,IND,AFC,AFC South,Closed,Closed,Cover 1,17,35,10,0.6,1,4,0.4,0.5714285714285714,-0.12673513085714283,2,,,29,2.9,0.5517241379310345,-0.5,74,1,,6,2,9,-57,0.17142857142857143,Yes,Yes,35,1,0.8011357142857142,No,,0.1,0.5,4.61,5.316666666666666,5.110526315789474,2.7114285714285717,9.25,81.3,No,No,2,True,0.2,1,0.1,0.2,0.1,,
21,Minnesota,Vikings,GB,NFC,NFC North,Closed,Closed,Cover 3,16,34,15,0.4,1,5,0.3333333333333333,0.5555555555555556,-0.09651851877777773,6,,,67,4.466666666666667,0.13432835820895522,-0.08695652173913043,106,,1,8,2,10,-24,0.23529411764705882,Yes,Yes,34,1,0.6475220588235294,Yes,,,0.4,5.206666666666666,5.4625,5.4363636363636365,2.4794117647058824,11.777777777777779,20.7,No,No,2,True,0.2,1,0.06666666666666667,0.06666666666666667,,,
11,Detroit,Lions,CHI,NFC,NFC North,Closed,Closed,Cover 1,16,36,11,0.45454545454545453,,5,0.45454545454545453,0.5,-0.06108369690000004,,,,83,7.545454545454546,0.13253012048192772,1.7142857142857142,181,,,10,3,3,-47,0.2777777777777778,No,Yes,34,0.9444444444444444,0.7169638888888888,No,0.09090909090909091,,0.45454545454545453,4.8909090909090915,4.18,5.533333333333333,2.726470588235294,16.454545454545453,71.4,No,No,4,,0.45454545454545453,4,0.36363636363636365,0.18181818181818182,,,0.05555555555555555
23,New Orleans,Saints,ATL,NFC,NFC South,Closed,Closed,Cover 3,17,35,11,0.2727272727272727,1,2,0.18181818181818182,0.25,-0.341584992875,3,,,41,3.727272727272727,0.0975609756097561,1.3529411764705883,125,,,6,2,13,-18,0.17142857142857143,No,Yes,35,1,0.6782914285714287,Yes,0.09090909090909091,0.09090909090909091,0.2727272727272727,6.509090909090909,6.116666666666667,5.15,2.662857142857143,15.625,42.6,No,Yes,2,,0.45454545454545453,2,0.18181818181818182,0.18181818181818182,,,
18,Los Angeles,Chargers,DEN,AFC,AFC West,Open,Open,Cover 2 Man,17,37,12,0.16666666666666666,,2,0.16666666666666666,0.25,-0.37549811349999995,2,,,11,0.9166666666666666,0.09090909090909091,-0.42105263157894735,118,,,7,4,7,-19,0.1891891891891892,No,Yes,35,0.9459459459459459,0.719368918918919,No,,0.08333333333333333,0.16666666666666666,4.625,5.042857142857143,5.205555555555556,2.6599999999999997,13.11111111111111,39.6,No,No,,,0.5,2,0.16666666666666666,,0.08333333333333333,1,0.02702702702702703
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Closed,Open,Cover 4,17,32,12,0.3333333333333333,1,4,0.3333333333333333,0.5,-0.19830501187500005,4,,,64,5.333333333333333,0.421875,1.3529411764705883,86,,,5,2,9,-41,0.15625,No,Yes,32,1,0.7067546874999999,No,0.08333333333333333,0.08333333333333333,0.16666666666666666,5.108333333333333,4.16,5.373333333333333,2.553125,10.75,52.1,No,No,2,True,0.3333333333333333,2,0.16666666666666666,0.08333333333333333,0.08333333333333333,,0.03125
3,Baltimore,Ravens,PIT,AFC,AFC North,Closed,Open,Cover 2,17,37,19,0.5789473684210527,3,11,0.5789473684210527,0.6470588235294118,0.03449750900000004,1,,,241,12.68421052631579,0.31950207468879666,10.380952380952381,252,,,2,,8,-23,0.05405405405405406,No,Yes,37,1,0.5623459459459459,No,0.15789473684210525,0.05263157894736842,0.42105263157894735,5.515789473684211,4.75,5.45625,2.7810810810810813,14.823529411764707,102.4,No,No,7,,0.3157894736842105,6,0.3157894736842105,,,1,
12,Green Bay,Packers,MIN,NFC,NFC North,Closed,Closed,Cover 3,15,31,14,0.42857142857142855,1,5,0.35714285714285715,0.625,-0.052273258499999975,6,,,81,5.785714285714286,0.4074074074074074,5.823529411764706,83,1,,3,,6,-2,0.0967741935483871,Yes,Yes,31,1,0.6697516129032258,Yes,0.07142857142857142,,0.2857142857142857,4.814285714285715,4.333333333333333,5.264285714285714,2.541935483870968,10.375,79.8,No,No,3,,0.14285714285714285,1,0.07142857142857142,,,,
20,Miami,Dolphins,NE,AFC,AFC East,Open,Open,Red Zone,17,40,15,0.3333333333333333,3,4,0.26666666666666666,0.38461538461538464,-0.09927012092307691,2,22,0.06666666666666667,82,5.466666666666667,0.21951219512195122,2.238095238095238,294,,,6,4,12,-35,0.15,No,Yes,38,0.95,0.63918125,No,0.13333333333333333,,0.26666666666666666,5.38,4.3,4.815789473684211,2.7657894736842104,22.615384615384617,49.9,No,No,4,,0.5333333333333333,8,0.5333333333333333,0.06666666666666667,,,
25,New York,Jets,BUF,AFC,AFC East,Closed,Open,Cover 2,17,37,11,0.5454545454545454,3,4,0.36363636363636365,0.75,0.11380766712500001,3,18,0.18181818181818182,61,5.545454545454546,0.11475409836065574,3.5,102,1,,5,2,14,-25,0.13513513513513514,No,Yes,36,0.972972972972973,0.7651608108108108,No,0.09090909090909091,0.09090909090909091,0.45454545454545453,4.627272727272727,3.78,5.652380952380953,2.9194444444444443,12.75,85.8,No,No,2,,0.18181818181818182,1,0.09090909090909091,,0.09090909090909091,,
