teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingInterceptionsTotal,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingIncompletionsBatted
1,Arizona,Cardinals,HST,AFC,AFC South,Closed,Closed,Cover 3,11,17,17,0.7647058823529411,3,13,0.7647058823529411,0.8125,0.041793652562500005,1,,,151,8.882352941176471,0.5364238410596026,8.588235294117647,108,2,,,,,Yes,No,4,0.23529411764705882,-0.16169705882352942,No,,0.17647058823529413,0.7647058823529411,0.47058823529411764,2.876470588235294,,3.175,6.75,117.5,No,Yes,9,,1,1,0.058823529411764705,0.058823529411764705,,,0.11764705882352941,0.058823529411764705,
24,New York,Giants,WAS,NFC,NFC East,Open,Open,Cover 0,8,3,3,0.6666666666666666,1,2,0.6666666666666666,0.6666666666666666,-0.0005114066666667139,,,,3,1,,1,46,,,,,,Yes,No,1,0.3333333333333333,-0.1942166666666667,Yes,,0.3333333333333333,0.6666666666666666,0.3333333333333333,3.6333333333333333,,3.5,15.333333333333334,70.1,Yes,Yes,1,True,,1,0.3333333333333333,,,,0.3333333333333333,,
14,Indianapolis,Colts,HST,AFC,AFC South,Open,Open,Cover 4,15,17,16,0.875,1,11,0.6875,1,0.22041538371428582,2,22,0.1875,128,8,0.5390625,9.25,82,1,,,,,Yes,No,5,0.29411764705882354,-0.11276764705882351,No,,,0.5625,0.75,3.08125,,2.98,5.857142857142857,113.5,No,No,6,,,,,,6.8,1,0.0625,,
4,Buffalo,Bills,NYJ,AFC,AFC East,Closed,Closed,Cover 3,14,20,19,0.6842105263157895,1,9,0.47368421052631576,0.6875,-0.018136140062499972,2,6,0.10526315789473684,124,6.526315789473684,0.5241935483870968,6.526315789473684,149,,,,,,Yes,No,7,0.35,-0.08619750000000001,No,,0.15789473684210525,0.631578947368421,0.5789473684210527,3.236842105263158,,3.0714285714285716,9.3125,68.8,No,Yes,7,True,,3,0.15789473684210525,,5.7,1,0.05263157894736842,0.05263157894736842,1
10,Denver,Broncos,LAC,AFC,AFC West,Closed,Closed,Cover 3,15,17,13,0.8461538461538461,,9,0.6923076923076923,0.6923076923076923,-0.161862350923077,,,,68,5.230769230769231,0.7647058823529411,4,26,,1,,-12,0.058823529411764705,Yes,No,6,0.35294117647058826,0.10105000000000001,No,0.17647058823529413,0.15384615384615385,0.9230769230769231,0.6153846153846154,2.4846153846153842,3.5,2.983333333333333,2,81.6,No,Yes,5,True,,,,0.07692307692307693,5.466666666666666,1,,,
28,Seattle,Seahawks,SF,NFC,NFC West,Open,Closed,Cover 3,16,13,12,0.8333333333333334,,9,0.75,0.8333333333333334,0.019413137833333316,,-2,0.08333333333333333,121,10.083333333333334,0.7520661157024794,10.083333333333334,48,,,,,,Yes,No,3,0.23076923076923078,-0.12085384615384619,Yes,,0.16666666666666666,0.8333333333333334,0.6666666666666666,2.783333333333333,,2.733333333333333,4,106.6,No,No,4,,,,,,2.5,,0.16666666666666666,,
22,New England,Patriots,MIA,AFC,AFC East,Open,Open,Cover 2,14,21,20,0.65,3,12,0.6,0.7058823529411765,-0.03136389147058816,3,,,112,5.6,0.5803571428571429,2.1,156,1,,,,,Yes,No,6,0.2857142857142857,-0.18084523809523811,No,,0.2,0.5,0.5,3.415,,3.75,9.176470588235293,52.5,No,No,6,True,2,1,0.05,0.1,4.8,,0.05,,
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Closed,Closed,Cover 1,14,13,13,0.9230769230769231,1,11,0.8461538461538461,0.8461538461538461,0.09589283623076927,,,,153,11.76923076923077,0.43790849673202614,11.76923076923077,96,,,,,,Yes,No,3,0.23076923076923078,-0.26316538461538463,Yes,,0.07692307692307693,0.46153846153846156,0.9230769230769231,3.4384615384615387,,3.9000000000000004,7.384615384615385,115.7,No,Yes,8,True,,1,0.07692307692307693,,,,0.15384615384615385,,
17,Los Angeles,Rams,ATL,NFC,NFC South,Open,Open,Cover 4,16,11,11,1,2,11,1,1,0.2579437609090909,,,,136,12.363636363636363,0.375,16,85,2,,,,,Yes,No,1,0.09090909090909091,-0.3305272727272727,No,,,0.8181818181818182,0.7272727272727273,3.0181818181818185,,3.7,7.7272727272727275,157.8,No,Yes,8,,,1,0.09090909090909091,,,,0.09090909090909091,0.09090909090909091,
31,Tennessee,Titans,JAX,AFC,AFC South,Open,Open,Cover 4,14,19,18,0.7777777777777778,1,13,0.7222222222222222,0.8125,0.05090732912500007,2,,,152,8.444444444444445,0.4934210526315789,5.944444444444445,107,,,,,,Yes,Yes,7,0.3684210526315789,-0.03694210526315791,No,,0.1111111111111111,0.7222222222222222,0.6111111111111112,3.0555555555555554,,3.0142857142857147,6.6875,74.3,No,Yes,9,,1,2,0.1111111111111111,0.05555555555555555,5.1,,0.05555555555555555,0.05555555555555555,
12,Green Bay,Packers,BLT,AFC,AFC North,Open,Closed,Cover 3,13,9,8,0.5,1,4,0.5,0.5714285714285714,-0.11713800057142865,1,,,14,1.75,0.35714285714285715,-9.5,74,,,,,,Yes,No,7,0.7777777777777778,0.3522888888888889,No,,0.375,0.75,0.25,3.35,,2.942857142857143,10.571428571428571,16.7,No,Yes,1,True,2,2,0.25,0.25,4.7,,,,
3,Baltimore,Ravens,PIT,AFC,AFC North,Closed,Closed,Cover 3,12,18,18,0.8333333333333334,,15,0.8333333333333334,0.9375,0.10570508849999993,2,,,144,8,0.5972222222222222,9.11111111111111,60,1,,,,,Yes,Yes,5,0.2777777777777778,-0.14339722222222223,No,,0.05555555555555555,0.6666666666666666,0.5555555555555556,3.0166666666666666,,3.1399999999999997,3.5294117647058822,118.5,No,Yes,7,,,,,,,,0.2222222222222222,,
20,Miami,Dolphins,NE,AFC,AFC East,Open,Open,Cover 2,17,8,7,1,1,6,0.8571428571428571,1,0.20551213114285716,,13,0.14285714285714285,37,5.285714285714286,0.5945945945945946,11,35,2,,,,,Yes,No,2,0.25,-0.1505125,No,,,0.42857142857142855,1,3.2285714285714286,,3.55,5,128.3,No,No,4,,,,,,5.3,,,,
25,New York,Jets,BUF,AFC,AFC East,Closed,Closed,Cover 3,15,29,28,0.7857142857142857,1,20,0.7142857142857143,0.88,0.07825843751999995,2,28,0.07142857142857142,230,8.214285714285714,0.7217391304347827,8.214285714285714,106,,,,,,Yes,No,7,0.2413793103448276,-0.13632413793103448,No,0.034482758620689655,0.10714285714285714,0.7857142857142857,0.6428571428571429,2.8428571428571425,,2.7857142857142856,4.24,95.8,No,Yes,11,,,,,,4.5,,0.07142857142857142,,1
18,Los Angeles,Chargers,DEN,AFC,AFC West,Closed,Closed,Cover 3,13,15,14,0.9285714285714286,,11,0.7857142857142857,0.9230769230769231,0.07835020100000012,1,3,0.07142857142857142,83,5.928571428571429,0.6867469879518072,5.928571428571429,31,,,,,,Yes,No,2,0.13333333333333333,-0.24443,No,,,0.6428571428571429,0.7857142857142857,2.9214285714285713,,3.3,2.3846153846153846,91.4,No,Yes,4,,,,,,4.4,1,0.07142857142857142,,
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Open,Open,Cover 4,14,16,16,0.9375,1,13,0.8125,0.9333333333333333,0.20452326380000008,,2,0.0625,172,10.75,0.3430232558139535,10.75,126,,,,,,Yes,Yes,3,0.1875,-0.20923750000000002,No,,0.0625,0.8125,0.625,2.875,,2.9,7.75,111.5,No,Yes,8,True,,3,0.1875,,,1,0.0625,0.0625,
13,Houston,Texans,IND,AFC,AFC South,Open,Open,Cover 4,17,13,11,0.6363636363636364,1,6,0.5454545454545454,0.7777777777777778,0.1537968661111112,2,19,0.09090909090909091,117,10.636363636363637,0.27350427350427353,12.454545454545455,130,1,,,,,Yes,No,5,0.38461538461538464,0.004130769230769237,No,,0.09090909090909091,0.7272727272727273,0.36363636363636365,3.1818181818181817,,3.12,14.444444444444445,122.2,No,No,5,True,,2,0.18181818181818182,,4.9,,,0.18181818181818182,
21,Minnesota,Vikings,DET,NFC,NFC North,Open,Closed,Cover 3,12,5,5,0.6,1,2,0.4,0.75,-0.07620396974999999,1,-6,0.2,24,4.8,0.9166666666666666,4.8,11,,,,,,Yes,No,2,0.4,0.06105000000000001,No,,0.2,0.8,0.6,2.54,,2.5,2.75,55.4,Yes,Yes,1,True,,,,,,,,,
11,Detroit,Lions,CHI,NFC,NFC North,Closed,Open,Red Zone,15,15,14,0.7857142857142857,2,10,0.7142857142857143,0.9090909090909091,0.1428652035454545,2,,,91,6.5,0.27472527472527475,10.785714285714286,92,3,,,,,Yes,Yes,4,0.26666666666666666,-0.14444666666666664,No,,,0.6428571428571429,0.5,3.1285714285714286,,2.975,8.363636363636363,128.3,No,No,6,,,2,0.14285714285714285,,4.6,,0.07142857142857142,0.07142857142857142,1
23,New Orleans,Saints,NYJ,AFC,AFC East,Open,Open,Cover 2,13,18,17,0.7058823529411765,,11,0.6470588235294118,0.75,0.004443373750000035,1,7,0.058823529411764705,95,5.588235294117647,0.5052631578947369,6.888888888888889,121,2,1,,-11,0.05555555555555555,No,No,6,0.3333333333333333,-0.10389444444444444,No,,0.23529411764705882,0.7058823529411765,0.47058823529411764,3.2588235294117647,3,3.016666666666667,7.5625,118.5,No,Yes,6,True,,1,0.058823529411764705,0.058823529411764705,,,,,
9,Dallas,Cowboys,LAC,AFC,AFC West,Open,Open,Cover 6,13,11,11,0.6363636363636364,1,7,0.6363636363636364,0.7,-0.06686151220000003,1,,,89,8.090909090909092,0.449438202247191,9.909090909090908,66,1,,,,,Yes,No,4,0.36363636363636365,-0.026436363636363633,No,,0.2727272727272727,0.8181818181818182,0.36363636363636365,2.8363636363636364,,2.75,6.6,119.1,No,Yes,6,True,,1,0.09090909090909091,,,1,,0.09090909090909091,
19,Las Vegas,Raiders,HST,AFC,AFC South,Open,Open,Cover 4,13,17,17,0.6470588235294118,1,10,0.5882352941176471,0.7333333333333333,-0.029951719000000043,2,1,0.058823529411764705,96,5.647058823529412,0.625,3,93,,,,,,Yes,No,7,0.4117647058823529,-0.0055205882352941035,No,,0.23529411764705882,0.7647058823529411,0.5294117647058824,2.9941176470588236,,3.042857142857143,6.2,50.1,No,Yes,5,,1,2,0.11764705882352941,0.058823529411764705,,,0.058823529411764705,,
