teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsSpiked,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing
2,Atlanta,Falcons,True,NO,NFC,NFC South,Open,Open,Cover 4,17,491,451,0.7649667405764967,23,287,0.6363636363636364,0.7418604651162791,0.018761114018604585,9,1,6,201,0.07095343680709534,3302,7.321507760532151,0.45760145366444577,5.745417515274949,3827,22,14,40,10,8,-291,0.0814663951120163,No,Yes,138,0.28105906313645623,-0.010862016293279007,No,0.016293279022403257,0.17516629711751663,60,0.13303769401330376,0.04212860310421286,0.03991130820399113,0.7339246119733924,0.07538802660753881,0.5787139689578714,2.4170731707317072,3.0100000000000002,2.339130434782609,8.805045871559633,88.9,No,Yes,152
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 6,17,462,437,0.7803203661327232,24,301,0.6887871853546911,0.7692307692307693,0.033517179031250066,10,1,7,68,0.043478260869565216,3764,8.613272311212814,0.5260361317747078,8.136363636363637,3420,24,7,25,6,7,-170,0.05411255411255411,No,Yes,121,0.2619047619047619,-0.021392316017316025,No,0.049783549783549784,0.15560640732265446,45,0.10297482837528604,0.02288329519450801,0.043478260869565216,0.7345537757437071,0.08237986270022883,0.6292906178489702,2.3107551487414186,3.248,2.4809917355371898,8.174224343675418,107,No,No,181
26,Philadelphia,Eagles,True,WAS,NFC,NFC East,Open,Open,Cover 6,17,502,473,0.7357293868921776,20,274,0.5792811839323467,0.7255813953488373,-0.008682131588371944,14,5,18,375,0.080338266384778,3001,6.3446088794926006,0.48250583138953684,5.01195219123506,3647,8,10,29,4,6,-195,0.05776892430278884,No,Yes,161,0.3207171314741036,0.017857270916334652,No,0.03386454183266932,0.15010570824524314,51,0.10782241014799154,0.019027484143763214,0.03171247357293869,0.6807610993657506,0.07822410147991543,0.5095137420718816,2.4363636363636365,3.5448275862068965,2.4658385093167703,8.424311926605505,73.6,No,No,137
7,Cincinnati,Bengals,True,CLV,AFC,AFC North,Open,Open,Cover 0,17,467,443,0.7968397291196389,22,302,0.6817155756207675,0.7733644859813084,0.018993183684579362,4,1,5,276,0.0654627539503386,3528,7.963882618510158,0.6281179138321995,7.374732334047109,2965,27,11,24,6,11,-129,0.05139186295503212,No,No,114,0.24411134903640258,-0.06454839400428268,Yes,0.047109207708779445,0.1580135440180587,36,0.08126410835214447,0.024830699774266364,0.03160270880361174,0.7110609480812641,0.10158013544018059,0.6049661399548533,2.4607223476297966,3.420833333333333,2.6254385964912283,6.854503464203233,102,No,No,170
8,Cleveland,Browns,,CIN,AFC,AFC North,Open,Open,Cover 0,17,444,408,0.7524509803921569,23,264,0.6470588235294118,0.7416020671834626,0.0020687776950903958,9,2,8,219,0.056372549019607844,2640,6.470588235294118,0.5340909090909091,5.033783783783784,2996,17,11,36,9,6,-250,0.08108108108108109,No,No,146,0.32882882882882886,0.05414177927927928,Yes,0.03153153153153153,0.18872549019607843,53,0.12990196078431374,0.024509803921568627,0.056372549019607844,0.7279411764705882,0.10049019607843138,0.5784313725490197,2.307107843137255,3.261111111111111,2.3917808219178083,7.804627249357327,85.6,No,No,128
27,Pittsburgh,Steelers,True,BLT,AFC,AFC North,Closed,Closed,Cover 3,17,577,547,0.7696526508226691,28,362,0.6617915904936015,0.7801980198019802,0.028343984419802015,10,5,20,285,0.05850091407678245,3962,7.243144424131627,0.4876325088339223,6.461005199306759,3623,26,12,30,3,2,-214,0.05199306759098787,No,Yes,156,0.2703639514731369,-0.02360675909878685,Yes,0.03466204506065858,0.13893967093235832,37,0.06764168190127971,0.03290676416819013,0.014625228519195612,0.6892138939670932,0.08775137111517367,0.6270566727605119,2.3711151736745886,2.7866666666666666,2.34551282051282,7.091796875,94.1,Yes,Yes,182
16,Kansas City,Chiefs,,LV,AFC,AFC West,Open,Open,Cover 0,17,449,427,0.7681498829039812,18,288,0.6744730679156908,0.7878787878787878,0.02243942774747465,21,,5,211,0.05620608899297424,2838,6.646370023419204,0.5697674418604651,5.913140311804009,2604,15,8,22,8,12,-123,0.04899777282850779,No,No,140,0.311804008908686,0.013619487750556793,No,0.053452115812917596,0.14285714285714285,43,0.10070257611241218,0.02576112412177986,0.04449648711943794,0.7142857142857143,0.07728337236533958,0.5784543325526932,2.3927400468384077,3.0181818181818185,2.475714285714286,6.548628428927681,89.9,No,Yes,130
29,San Francisco,49ers,True,SEA,NFC,NFC West,Open,Closed,Cover 1,17,523,507,0.7850098619329389,21,357,0.7041420118343196,0.7863070539419087,0.04299765166390046,10,4,10,238,0.04339250493096647,3771,7.437869822485207,0.4775921506231769,7.533460803059273,3763,24,4,16,5,9,-131,0.030592734225621414,No,No,114,0.2179732313575526,-0.09155,No,0.032504780114722756,0.14398422090729784,57,0.11242603550295859,0.021696252465483234,0.04339250493096647,0.6863905325443787,0.1203155818540434,0.6015779092702169,2.42465483234714,3.175,2.4526315789473685,7.774793388429752,104.2,No,No,180
6,Chicago,Bears,True,DET,NFC,NFC North,Open,Open,Cover 0,17,479,458,0.7707423580786026,30,312,0.6812227074235808,0.795774647887324,0.06919532520892024,13,3,11,210,0.05895196506550218,3600,7.860262008733624,0.3988888888888889,6.77035490605428,3696,28,17,21,5,4,-152,0.04384133611691023,Yes,Yes,123,0.2567849686847599,-0.06384968684759917,Yes,0.022964509394572025,0.15065502183406113,56,0.1222707423580786,0.05021834061135371,0.05458515283842795,0.6834061135371179,0.09388646288209607,0.6091703056768559,2.5179039301310047,3.2809523809523813,2.6308943089430894,8.604166666666666,96.5,No,Yes,168
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Closed,Prevent,17,459,433,0.7736720554272517,19,298,0.6882217090069284,0.7911547911547911,0.04881349737346441,12,2,10,106,0.05542725173210162,3149,7.272517321016166,0.46808510638297873,5.806100217864924,3218,16,14,26,5,6,-174,0.05664488017429194,No,No,111,0.24183006535947713,-0.05722396514161223,No,0.037037037037037035,0.15242494226327943,38,0.08775981524249422,0.03695150115473441,0.046189376443418015,0.6766743648960739,0.11778290993071594,0.6166281755196305,2.412009237875289,3.1423076923076922,2.491891891891892,7.8679706601467,88.6,No,Yes,156
