teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingIncompletionsBatted
5,Carolina,Panthers,TB,NFC,NFC South,Closed,Closed,Cover 1,17,28,12,0.5833333333333334,,5,0.4166666666666667,0.45454545454545453,-0.19243707027272722,1,,,90,7.5,0.3888888888888889,6,141,,,3,,7,,0.10714285714285714,No,Yes,27,0.9642857142857143,0.6032732142857142,No,,0.3333333333333333,2,0.16666666666666666,,,0.08333333333333333,0.08333333333333333,0.5833333333333334,5.458333333333333,5.8,5.015384615384615,2.574074074074074,12.818181818181818,68.1,Yes,Yes,4,,
6,Chicago,Bears,DET,NFC,NFC North,Open,Open,Cover 4,17,44,16,0.3125,,3,0.1875,0.4444444444444444,-0.17788386533333334,7,8,0.0625,37,2.3125,,-5.125,133,,3,8,5,8,-25,0.18181818181818182,No,Yes,44,1,0.7169477272727273,No,,0.25,3,0.1875,0.1875,0.0625,0.0625,0.125,0.3125,5.0875,4.45,5.7,2.8795454545454544,14.777777777777779,,No,No,1,True,
10,Denver,Broncos,LAC,AFC,AFC West,Open,Open,Red Zone,17,61,37,0.40540540540540543,3,11,0.2972972972972973,0.5909090909090909,-0.008536579863636318,14,24,0.05405405405405406,162,4.378378378378378,0.1728395061728395,2.2666666666666666,326,,1,8,1,13,-15,0.13114754098360656,No,Yes,60,0.9836065573770492,0.537305737704918,No,0.01639344262295082,0.1891891891891892,8,0.21621621621621623,0.05405405405405406,0.10810810810810811,0.02702702702702703,0.02702702702702703,0.2702702702702703,4.84054054054054,5.6625,5.25625,2.631666666666667,14.173913043478262,34.1,No,No,8,True,
24,New York,Giants,DAL,NFC,NFC East,Open,Open,Cover 4,17,61,33,0.5151515151515151,3,10,0.30303030303030304,0.5909090909090909,-0.03814725327272728,10,48,0.09090909090909091,177,5.363636363636363,0.3050847457627119,3.4634146341463414,313,,,8,2,13,-35,0.13114754098360656,No,Yes,61,1,0.6043172131147541,No,0.01639344262295082,0.15151515151515152,4,0.12121212121212122,,0.12121212121212122,0.030303030303030304,0.09090909090909091,0.36363636363636365,4.815151515151515,4.5625,5.07,2.527868852459016,14.227272727272727,49.7,No,No,8,True,1
14,Indianapolis,Colts,HST,AFC,AFC South,Closed,Closed,Prevent,16,66,40,0.575,4,15,0.375,0.5151515151515151,-0.09975752587878794,6,21,0.05,242,6.05,0.28512396694214875,4.510204081632653,529,1,,9,1,9,-41,0.13636363636363635,No,Yes,57,0.8636363636363636,0.421155303030303,No,0.030303030303030304,0.25,9,0.225,,0.125,0.075,0.075,0.425,4.8075,4.344444444444445,4.882352941176471,2.729824561403509,16.03030303030303,66.9,No,Yes,8,,1
29,San Francisco,49ers,SEA,NFC,NFC West,Open,Open,Cover 2,17,39,26,0.5,2,9,0.34615384615384615,0.5263157894736842,-0.16358703242105266,6,11,0.038461538461538464,98,3.769230769230769,0.22448979591836735,2.75,200,2,1,2,1,5,-16,0.05128205128205128,No,Yes,37,0.9487179487179487,0.4049089743589744,No,,0.23076923076923078,2,0.07692307692307693,0.07692307692307693,0.07692307692307693,,0.11538461538461539,0.3076923076923077,5.303846153846154,4.65,5.2,3.1405405405405404,10,56.3,No,Yes,4,True,
28,Seattle,Seahawks,SF,NFC,NFC West,Open,Open,Cover 2,17,74,38,0.631578947368421,4,20,0.5263157894736842,0.71875,0.040563201750000055,5,54,0.07894736842105263,260,6.842105263157895,0.5384615384615384,4.645833333333333,349,3,1,10,5,19,-52,0.13513513513513514,No,Yes,66,0.8918918918918919,0.5418864864864864,No,0.013513513513513514,0.21052631578947367,6,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.42105263157894735,4.526315789473684,4.09,3.9538461538461536,2.415151515151515,10.575757575757576,89.8,No,Yes,14,,
17,Los Angeles,Rams,ARZ,NFC,NFC West,Open,Open,Cover 2 Man,17,44,28,0.42857142857142855,1,10,0.35714285714285715,0.5555555555555556,-0.10916807222222225,10,,,128,4.571428571428571,0.2265625,4.766666666666667,209,1,,2,2,13,-5,0.045454545454545456,No,Yes,43,0.9772727272727273,0.5185875,No,,0.17857142857142858,4,0.14285714285714285,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.35714285714285715,4.753571428571428,6.05,5.164285714285714,2.530232558139535,11.61111111111111,62.8,No,No,8,True,
31,Tennessee,Titans,JAX,AFC,AFC South,Closed,Open,Cover 4,17,48,22,0.6363636363636364,,10,0.45454545454545453,0.5882352941176471,-0.04483138923529406,5,,,186,8.454545454545455,0.3225806451612903,5.538461538461538,240,1,1,4,2,12,-17,0.08333333333333333,No,Yes,46,0.9583333333333334,0.6056125,No,,0.13636363636363635,5,0.22727272727272727,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.4090909090909091,5.036363636363636,4.825,5.259090909090909,2.8130434782608695,14.117647058823529,71.4,No,No,7,,
22,New England,Patriots,MIA,AFC,AFC East,Open,Open,Cover 2,17,36,19,0.631578947368421,4,7,0.3684210526315789,0.5714285714285714,-0.09223758000000004,5,12,0.05263157894736842,85,4.473684210526316,0.17647058823529413,4.125,161,2,,5,2,9,-26,0.1388888888888889,Yes,Yes,36,1,0.5976263888888889,No,,0.10526315789473684,2,0.10526315789473684,,0.05263157894736842,0.05263157894736842,,0.3684210526315789,4.9947368421052625,4.9,5.7250000000000005,2.8055555555555554,11.5,86.5,No,No,5,True,
