teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage
2,Atlanta,Falcons,1,CAR,NFC,NFC South,Open,Open,Red Zone,17,93,No,Yes,No,390,81,No,10,Yes,63,0.7778,13,0.2077,56,3,3,0.6914,718,320,88,809,8,6,3,11,0.1964,0.0988,0.2346,0.2346,0.4321,38,0.4691,9.9877,124.4,1.841,8.8642,0.9581,0.037,12.8214,5.7143,1.5714,35,20,,
32,Washington,Commanders,,DAL,NFC,NFC East,Open,Open,Cover 2,17,71,Yes,Yes,No,302,57,No,4,No,38,0.6667,6,0.1887,31,3,,0.5439,358,179,51,554,,,6,3,0.0968,0.0877,0.193,0.3333,0.3509,21,0.3684,9.7193,51.6,1.1854,6.2807,-1.6665,0.1053,11.5484,5.7742,1.6452,18,12,2,0.0351
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Closed,Closed,Cover 3,17,88,No,Yes,No,371,73,No,4,No,55,0.7534,12,0.1968,51,3,1,0.6986,580,186,63,656,12,11,3,8,0.1569,0.0548,0.2877,0.2877,0.3562,29,0.3973,8.9863,127.3,1.5633,7.9452,0.2354,0.0411,11.3725,3.6471,1.2353,33,11,,
8,Cleveland,Browns,,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,101,No,No,Yes,412,84,No,5,Yes,60,0.7143,9,0.2039,50,4,3,0.5952,719,346,94,1092,4,1,7,10,0.2,0.1071,0.1786,0.2619,0.4524,35,0.4167,13,103.2,1.7451,8.5595,0.2644,0.0833,14.38,6.92,1.88,35,12,2,0.0238
26,Philadelphia,Eagles,1,NYG,NFC,NFC East,Open,Closed,Cover 3,17,70,No,Yes,No,305,59,No,5,Yes,41,0.6949,3,0.1934,37,1,2,0.6271,462,249,75,465,4,2,3,8,0.2162,0.1864,0.1864,0.3051,0.3051,24,0.4068,7.8814,102.5,1.5148,7.8305,0.4154,0.0508,12.4865,6.7297,2.027,18,7,1,0.0169
27,Pittsburgh,Steelers,1,CIN,AFC,AFC North,Closed,Closed,Cover 3,17,63,No,Yes,No,276,54,No,7,No,38,0.7037,9,0.1957,31,3,1,0.5741,477,168,46,712,5,4,2,3,0.0968,0.0741,0.3148,0.2407,0.3704,19,0.3519,13.1852,117.6,1.7283,8.8333,0.2611,0.037,15.3871,5.4194,1.4839,21,7,1,0.0185
29,San Francisco,49ers,,ARZ,NFC,NFC West,Closed,Closed,Cover 1,17,70,No,Yes,No,293,55,No,3,No,40,0.7273,3,0.1877,37,1,1,0.6727,298,155,45,461,2,1,,5,0.1351,0.1273,0.3455,0.2727,0.2545,27,0.4909,8.3818,77.7,1.0171,5.4182,-2.1346,,8.0541,4.1892,1.2162,18,6,,
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Closed,Closed,Cover 3,17,84,Yes,No,No,357,73,No,6,Yes,50,0.6849,13,0.2045,44,3,4,0.6027,481,223,49,734,6,4,3,5,0.1136,0.1233,0.2192,0.1644,0.4932,29,0.3973,10.0548,95.7,1.3473,6.589,-1.3858,0.0411,10.9318,5.0682,1.1136,22,16,4,0.0548
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Red Zone,17,67,No,Yes,No,277,52,No,3,Yes,43,0.8269,8,0.1877,37,2,3,0.7115,490,180,36,546,7,7,4,2,0.0541,0.1731,0.2692,0.1731,0.3846,22,0.4231,10.5,116.2,1.769,9.4231,1.3841,0.0769,13.2432,4.8649,0.973,29,11,1,0.0192
6,Chicago,Bears,,GB,NFC,NFC North,Closed,Closed,Cover 1,17,70,No,Yes,Yes,294,54,No,6,No,39,0.7222,3,0.1837,32,3,1,0.5926,532,203,60,680,2,1,3,4,0.125,0.0926,0.2778,0.2593,0.3704,26,0.4815,12.5926,89.4,1.8095,9.8519,1.2177,0.0556,16.625,6.3438,1.875,24,4,1,0.0185
