Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,IncompletionsBatted,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,ScramblesTotal,ScramblesYards,ScramblesTouchdowns,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed
Jalen Hurts,PHI,QB,218,218,38,0.6486,4,80,0.5405,0.7131,0.0149,218,20,1,90,0.0473,980,6.6216,0.3429,4.1056,1211,6,4,32,8,0.1468,-181,0.1468,38,255,2,No,Yes,218,1,78.6064,0.6394,Yes,0.0138,0.1554,18,0.1216,0.027,0.0676,0.4595,0.1014,0.4324,3.6541,4.2438,5.5737,2.5078,9.7559,77,No,No,49,95.7,95.7,95.7,95.7,95.7,101.7,100.7,90.7,90.7,90.7,90.7,105.5,100.5,16
Cooper Rush,BLT,QB,18,18,17,0.5294,,7,0.4118,0.4667,-0.2805,18,,,,,77,4.5294,0.6104,-1.6111,104,,2,1,,0.0556,-16,0.0556,,,,No,Yes,18,1,7.0421,0.6088,Yes,,0.3529,,,0.1176,,0.2941,0.0588,0.2941,2.9765,5.7,,2.2556,6.1176,15.7,No,Yes,4,1.08,1.08,1.08,1.08,1.08,1.08,1.08,-0.92,-0.92,-0.92,-0.92,1.85,-0.15,4
Davis Mills,HST,QB,58,57,7,0.5,3,15,0.3571,0.5294,-0.1584,57,6,,9,0.0714,168,4,0.2679,2.56,377,1,,8,2,0.1404,-60,0.1404,7,58,1,No,Yes,57,1,18.1379,0.6818,No,0.0351,0.2857,7,0.1667,0.0952,0.0238,0.381,0.1667,0.3571,3.0786,3.4875,4.5857,2.3456,10.5278,56.4,No,Yes,7,22.52,22.52,22.52,22.52,22.52,22.52,22.52,22.52,22.52,22.52,22.52,24.2,24.2,6
Riley Leonard,IND,QB,27,27,2,0.5217,2,11,0.4783,0.6471,-0.0131,27,3,1,,,236,10.2609,0.3644,5.96,240,1,2,2,,0.0741,-17,0.0741,2,15,1,Yes,Yes,27,1,10.6214,0.6066,No,0.0741,0.2609,5,0.2174,0.087,0.087,0.3913,0.1304,0.4348,3.2522,3.95,5.5,2.7148,12.5263,63,No,Yes,6,17.94,17.94,17.94,17.94,17.94,17.94,16.94,14.94,14.94,14.94,14.94,20.3,17.3,5
Malik Willis,GB,QB,25,25,9,0.9231,1,12,0.9231,0.9231,0.2908,25,,,,,190,14.6154,0.3158,13.4375,175,2,,3,,0.12,-15,0.12,9,67,1,Yes,Yes,25,1,6.1969,0.7521,No,,0.0769,4,0.3077,,0.0769,0.5385,0.1538,0.9231,3.3385,4.4,5.6889,2.688,13.4615,158.3,No,No,9,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,30.2,30.2,4
Tyler Shough,NO,QB,138,138,20,0.5632,7,44,0.5057,0.6,-0.0648,138,6,,19,0.046,599,6.8851,0.3756,3.339,963,4,2,31,13,0.2246,-195,0.2246,20,125,2,No,Yes,138,1,40.4459,0.7069,No,0.0072,0.3103,21,0.2414,0.023,0.1034,0.4138,0.1379,0.4023,3.2701,3.6258,4.63,2.45,11.8889,78.7,No,Yes,22,61.46,61.46,61.46,61.46,61.46,67.46,66.46,58.46,58.46,58.46,58.46,67.45,64.45,11
Trey Lance,LAC,QB,29,29,7,0.3529,,4,0.2353,0.4167,-0.2806,29,2,,2,0.0588,51,3,0.4706,-1.5455,125,,1,5,1,0.1724,-40,0.1724,7,75,,No,Yes,29,1,8.0426,0.7227,No,,0.3529,3,0.1765,0.0588,0.0588,0.3529,0.1765,0.2941,3.3176,3.52,6.0714,2.269,8.3333,15.1,No,No,2,8.54,8.54,8.54,8.54,8.54,8.54,8.54,7.54,7.54,7.54,7.54,9.05,8.05,4
Kenny Pickett,LV,QB,21,21,3,0.9091,2,7,0.6364,0.8182,0.1027,21,,,6,0.1818,73,6.6364,0.1233,2.6111,102,1,,7,3,0.3333,-46,0.3333,3,23,,No,Yes,21,1,5.1533,0.7546,No,,0.0909,2,0.1818,,0.0909,0.3636,0.2727,0.5455,3.2909,3.8286,5.3,2.5571,9.2727,113.1,No,No,2,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.95,9.95,6
Chris Oladokun,KC,QB,32,32,4,0.65,,10,0.5,0.6471,-0.0674,32,2,1,4,0.05,111,5.55,0.4505,0.6429,152,,,8,5,0.25,-93,0.25,4,18,,No,Yes,32,1,11.8505,0.6297,No,,0.15,2,0.1,0.05,,0.35,0.05,0.45,4.01,4.3875,5.25,2.4656,8.9412,66.9,No,No,6,5.24,5.24,5.24,5.24,5.24,5.24,4.24,4.24,4.24,4.24,4.24,6.35,5.35,3
Lamar Jackson,BLT,QB,165,164,30,0.5859,12,52,0.5253,0.6951,0.0102,164,11,3,80,0.0505,769,7.7677,0.355,3.5448,901,6,4,35,12,0.2134,-234,0.2134,30,219,1,No,Yes,164,1,57.3852,0.6501,Yes,,0.2323,13,0.1313,0.0303,0.0404,0.2222,0.1616,0.404,3.9354,4.0714,5.43,2.6835,10.8235,81.6,Yes,Yes,30,76.66,76.66,76.66,76.66,76.66,82.66,80.66,70.66,70.66,70.66,70.66,84.35,78.35,13
Trevor Lawrence,JAX,QB,225,225,38,0.6438,12,75,0.5137,0.625,-0.0571,225,8,4,21,0.0342,1009,6.911,0.3191,3.4064,1408,5,5,41,11,0.1822,-247,0.1822,38,281,4,No,Yes,225,1,70.0418,0.6887,Yes,,0.2192,31,0.2123,0.0411,0.0753,0.4521,0.1096,0.4247,3.3562,3.6439,5.4737,2.6547,10.5448,70.8,No,No,43,105.46,105.46,105.46,105.46,105.46,111.46,109.46,98.46,98.46,98.46,98.46,115.55,108.55,17
Bo Nix,DEN,QB,247,246,34,0.5842,11,87,0.4579,0.671,-0.0477,246,25,5,150,0.0895,900,4.7368,0.46,3.2594,1475,9,6,22,10,0.0894,-119,0.0894,34,296,2,No,Yes,246,1,96.451,0.6079,No,0.0122,0.2263,21,0.1105,0.0421,0.0368,0.2632,0.1842,0.4211,3.5179,4.1273,4.9765,2.5419,9.2312,62.6,No,No,40,106.6,106.6,106.6,106.6,106.6,112.6,111.6,99.6,99.6,99.6,99.6,115.6,108.6,17
Brandon Allen,TEN,QB,13,13,12,0.25,,3,0.25,0.2727,-0.3944,13,,1,,,27,2.25,0.5185,-1.9231,61,,1,1,,0.0769,-7,0.0769,,,,No,Yes,13,1,5.3301,0.59,No,,0.6667,,,0.25,,0.5,0.1667,0.0833,3.15,3.6,,2.4615,5.5455,4.9,No,No,1,0.08,0.08,0.08,0.08,0.08,0.08,0.08,-0.92,-0.92,-0.92,-0.92,0.35,-0.65,1
Jayden Daniels,WAS,QB,103,103,32,0.4906,3,24,0.4528,0.65,-0.0479,103,10,2,26,0.0377,317,5.9811,0.3281,3.5634,393,3,1,18,6,0.1748,-79,0.1748,32,214,,No,Yes,103,1,23.4119,0.7727,No,0.0097,0.283,7,0.1321,0.0189,0.0377,0.3019,0.1321,0.3396,3.1358,3.9722,4.7375,2.4437,9.9512,75.7,No,No,17,44.08,44.08,44.08,44.08,44.08,50.08,49.08,42.08,42.08,42.08,42.08,47.25,45.25,7
Sam Darnold,SEA,QB,164,164,13,0.576,10,67,0.536,0.7188,0.0273,164,15,8,9,0.016,923,7.384,0.3998,4.0199,954,9,7,26,6,0.1585,-181,0.1585,13,81,,No,Yes,164,1,61.6025,0.6244,No,,0.184,14,0.112,0.048,0.064,0.352,0.12,0.456,3.432,2.9115,4.8462,2.4726,9.4216,78.2,No,Yes,42,70.02,70.02,70.02,70.02,70.02,73.02,69.02,59.02,59.02,59.02,59.02,79.25,68.25,17
Andy Dalton,CAR,QB,20,20,1,0.7273,,5,0.4545,0.5,-0.1071,20,1,,,,82,7.4545,0.1585,1.4737,146,,,8,3,0.4,-54,0.4,1,1,,No,Yes,20,1,5.3086,0.7346,No,,0.1818,1,0.0909,,0.0909,0.4545,,0.6364,3.3727,3.325,5.6,2.6,14.6,71,No,No,5,1.38,1.38,1.38,1.38,1.38,1.38,-0.62,-0.62,-0.62,-0.62,-0.62,2.2,0.2,4
Joshua Dobbs,NE,QB,2,2,1,1,,1,1,1,0.3547,2,,,,,12,12,,12,12,,,,,,,,1,2,,No,Yes,2,1,0.746,0.627,Yes,,,,,,,,,1,4.9,,7,3,12,116.7,No,No,1,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.8,0.8,4
Mac Jones,SF,QB,93,93,8,0.6522,3,38,0.5507,0.6949,-0.0513,93,7,,5,0.0435,334,4.8406,0.3862,1.5412,446,2,3,16,3,0.172,-108,0.172,8,55,,No,No,93,1,28.397,0.6947,No,,0.1739,5,0.0725,0.029,0.0145,0.4928,0.1739,0.4203,2.9609,3.4312,5.1625,2.5183,7.2097,59.7,No,No,18,21.86,21.86,21.86,21.86,21.86,24.86,22.86,16.86,16.86,16.86,16.86,25.2,20.2,11
Kirk Cousins,ATL,QB,99,99,2,0.5765,3,36,0.4235,0.6029,-0.1017,99,13,1,53,0.0588,448,5.2706,0.5603,3.8351,632,2,1,12,3,0.1212,-71,0.1212,2,8,,No,Yes,99,1,33.2612,0.664,No,,0.2,10,0.1176,0.0235,,0.4235,0.1647,0.4471,2.8435,3.0667,4,2.4364,8.9014,62.3,No,No,23,25.72,25.72,25.72,25.72,25.72,28.72,28.72,24.72,24.72,24.72,24.72,30.2,29.2,10
Russell Wilson,NYG,QB,64,64,12,0.4524,4,16,0.381,0.6296,-0.0848,64,11,1,4,0.0238,151,3.5952,0.3576,1.1538,281,1,1,10,3,0.1562,-66,0.1562,12,91,,No,Yes,64,1,18.7071,0.7077,Yes,,0.1905,5,0.119,0.0476,0.0238,0.2857,0.2143,0.3095,3.1571,3.17,4.3167,2.4422,9.3667,46.8,No,No,5,18.14,18.14,18.14,18.14,18.14,18.14,18.14,17.14,17.14,17.14,17.14,19.65,18.65,6
Joe Burrow,CIN,QB,94,94,8,0.6286,9,36,0.5143,0.7018,0.0074,94,10,2,24,0.0571,442,6.3143,0.3122,4.0233,561,5,2,16,5,0.1702,-106,0.1702,8,26,,No,Yes,94,1,35.698,0.6202,No,,0.1857,9,0.1286,0.0429,0.0571,0.3429,0.1429,0.4714,3.5314,3.4937,5.6125,2.5255,9.6724,83.2,No,No,27,38.28,38.28,38.28,38.28,38.28,41.28,41.28,36.28,36.28,36.28,36.28,42.7,40.7,8
Jacoby Brissett,ARZ,QB,218,218,20,0.5355,13,76,0.4903,0.6311,-0.0841,218,27,1,2,0.0065,874,5.6387,0.4691,2.9091,1140,4,2,43,16,0.1972,-288,0.1972,20,139,,No,Yes,218,1,76.5837,0.6487,No,0.0046,0.2452,19,0.1226,0.0129,0.0258,0.3806,0.1677,0.3742,3.4394,3.6767,5.33,2.5899,8.9291,69.7,No,No,43,58.86,58.86,58.86,58.86,58.86,64.86,60.86,52.86,52.86,52.86,52.86,67.6,61.6,14
Brett Rypien,CIN,QB,1,1,,,,,,,,1,,,,,,,,-2,,,,1,1,1,-2,1,,,,No,Yes,1,1,,1,No,,,,,,,,,,,4.1,,2.1,,,No,No,,,,,,,,,,,,,,,1
Joe Flacco,CIN,QB,151,151,4,0.5231,2,52,0.4,0.6327,-0.0768,151,26,,129,0.0769,549,4.2231,0.3825,1.5578,912,3,6,17,3,0.1126,-110,0.1126,4,30,,No,No,151,1,58.4155,0.6131,No,,0.2077,15,0.1154,0.0538,0.0538,0.3769,0.1385,0.3846,3.18,3.3,5,2.5331,8.7333,41.5,No,No,27,28.96,28.96,28.96,28.96,28.96,31.96,29.96,20.96,20.96,20.96,20.96,34.45,26.45,13
Daniel Jones,IND,QB,148,147,20,0.6698,8,62,0.5849,0.7283,-0.0038,147,8,2,8,0.0472,785,7.4057,0.4178,5.7795,770,5,,21,4,0.1429,-151,0.1429,20,138,1,No,Yes,147,1,40.9243,0.7216,No,0.0068,0.1981,8,0.0755,,0.0472,0.6226,0.1226,0.5,2.8132,3.5619,5.515,2.4578,8.0208,97.4,No,Yes,37,69.2,69.2,69.2,69.2,69.2,75.2,73.2,67.2,67.2,67.2,67.2,77.05,75.05,13
C.J. Stroud,HST,QB,184,184,25,0.6277,4,69,0.5036,0.6239,-0.0779,184,18,,65,0.0292,808,5.8978,0.4963,3.1258,1104,5,5,22,6,0.1196,-186,0.1196,25,194,,No,Yes,184,1,65.7768,0.6425,No,0.0054,0.219,18,0.1314,0.0365,0.0219,0.4088,0.1314,0.4161,3.3584,3.2091,4.984,2.5245,9.3782,65.6,No,Yes,39,66.72,66.72,66.72,66.72,66.72,72.72,72.72,61.72,61.72,61.72,61.72,74.8,69.8,14
Philip Rivers,IND,QB,23,23,18,0.5556,,7,0.3889,0.5333,-0.2171,23,2,1,-4,0.0556,82,4.5556,0.4512,1.9565,123,,,5,3,0.2174,-37,0.2174,,,,No,Yes,23,1,6.1839,0.7311,No,,0.2778,1,0.0556,,,0.6111,0.1667,0.3333,2.5667,3.76,,2.2913,8.2,53.5,Yes,No,3,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,4.1,4.1,3
Kyler Murray,ARZ,QB,72,72,16,0.65,2,22,0.55,0.75,0.0394,72,5,1,46,0.05,247,6.175,0.5061,1.625,292,,1,16,2,0.2222,-111,0.2222,16,142,1,Yes,Yes,72,1,20.1648,0.7199,No,,0.15,6,0.15,0.05,,0.25,0.175,0.5,3.4975,3.8875,5.9,2.475,8.5882,63.2,No,No,12,29.08,29.08,29.08,29.08,29.08,32.08,32.08,28.08,28.08,28.08,28.08,31.55,30.55,5
Tanner McKee,PHI,QB,19,19,3,0.2308,1,2,0.1538,0.5,-0.1645,19,7,,3,0.0769,43,3.3077,0.6977,1.8125,77,,,3,2,0.1579,-14,0.1579,3,12,,No,Yes,19,1,7.5424,0.603,No,0.1053,0.2308,1,0.0769,,,,0.0769,0.1538,3.9385,3.7667,5.2,2.7632,12.8333,40.9,No,No,2,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,3.35,3.35,4
Jared Goff,DET,QB,202,200,5,0.5535,7,73,0.4591,0.664,-0.0351,200,27,4,68,0.0629,1007,6.3333,0.4022,3.2154,1292,,3,36,3,0.18,-245,0.18,5,48,,Yes,Yes,200,1,71.2535,0.6437,Yes,,0.2264,15,0.0943,0.0314,0.044,0.3962,0.0818,0.434,3.173,3.1639,5.18,2.498,10.5234,58.9,No,Yes,43,40.08,40.08,40.08,40.08,40.08,43.08,41.08,35.08,35.08,35.08,35.08,50.15,45.15,17
Cam Ward,TEN,QB,237,237,23,0.5188,7,68,0.425,0.6724,-0.0292,237,37,3,85,0.0625,769,4.8063,0.42,1.1542,1055,3,4,54,16,0.2278,-402,0.2278,23,151,,Yes,Yes,237,1,96.9603,0.5909,No,0.0127,0.1938,18,0.1125,0.0187,0.0563,0.2437,0.1812,0.3375,4.0881,3.7037,5.5826,2.6857,8.719,53.4,No,No,37,46.86,46.86,46.86,46.86,46.86,52.86,45.86,35.86,35.86,35.86,35.86,54.55,43.55,17
Jake Browning,CIN,QB,61,61,4,0.625,3,26,0.5417,0.6585,-0.0719,61,6,1,1,0.0208,289,6.0208,0.3702,2.2632,349,4,4,9,1,0.1475,-60,0.1475,4,31,,No,Yes,61,1,23.7699,0.6103,No,0.0164,0.2292,6,0.125,0.0833,0.0417,0.4167,0.1875,0.4583,3.4458,3.6,6.3,2.3623,8.5122,65.4,No,Yes,10,26.66,26.66,26.66,26.66,26.66,26.66,26.66,22.66,22.66,22.66,22.66,29.55,25.55,5
Josh Johnson,WAS,QB,27,27,8,0.4706,,5,0.2941,0.4167,-0.2943,27,3,2,,,68,4,0.2059,-1.8947,109,,2,2,1,0.0741,-14,0.0741,8,54,1,Yes,Yes,27,1,8.9396,0.6689,Yes,,0.2353,,,0.1765,,0.2941,0.1176,0.2941,3.6235,3.7,4.6875,2.7963,9.0833,4.2,No,No,3,12.12,12.12,12.12,12.12,12.12,12.12,12.12,10.12,10.12,10.12,10.12,12.8,10.8,5
Gardner Minshew,KC,QB,3,3,1,,,,,,,3,2,,,,,,,,,,,,,,,,1,8,,Yes,Yes,3,1,1.5611,0.4796,Yes,,,,,,,,,,5.1,,5.1,2.9333,,39.6,No,No,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,4
Tua Tagovailoa,MIA,QB,135,135,10,0.6632,4,51,0.5368,0.7125,-0.028,135,12,2,73,0.0632,485,5.1053,0.567,0.76,622,6,7,30,11,0.2222,-195,0.2222,10,37,,No,Yes,135,1,43.0678,0.681,No,0.0296,0.1789,8,0.0842,0.0632,0.0211,0.2842,0.1789,0.5368,3.2032,3.8167,4.89,2.3741,7.679,58.4,No,Yes,31,39.1,39.1,39.1,39.1,39.1,42.1,41.1,31.1,31.1,31.1,31.1,43.95,35.95,14
Caleb Williams,CHI,QB,242,240,43,0.4798,15,67,0.3873,0.6016,-0.0663,240,41,4,111,0.0578,880,5.0867,0.3386,4.2132,1509,8,1,24,8,0.1,-165,0.1,43,363,2,Yes,Yes,240,1,110.8162,0.5383,Yes,,0.2428,27,0.1561,0.0289,0.0694,0.2543,0.0809,0.3179,4.2884,4.4375,5.6163,2.7217,11.6977,68.6,No,No,42,121.7,123.7,122.7,123.7,123.7,129.7,127.7,121.7,121.7,121.7,120.7,132.5,130.5,17
Zach Wilson,MIA,QB,3,3,3,,,,,,-0.5704,3,1,,,,,,,,16,,,,,,,,,,,No,Yes,3,1,0.9272,0.6909,Yes,,0.3333,,,,,0.6667,,,2.3667,,,2.0333,12,39.6,No,No,,,,,,,,,,,,,,,4
Teddy Bridgewater,TB,QB,5,5,1,,,,,,-0.7846,5,1,,,,,,,-5.25,6,,,2,1,0.4,-21,0.4,1,6,,Yes,Yes,5,1,1.1299,0.774,No,,0.5,,,,,,0.5,,3.85,3.85,6,2.34,6,39.6,No,No,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,4
Brock Purdy,SF,QB,122,121,16,0.6489,12,52,0.5532,0.7051,-0.0084,121,13,1,21,0.0319,539,5.734,0.3006,5.1048,685,7,2,11,4,0.0909,-53,0.0909,16,122,1,No,Yes,121,1,52.1197,0.5693,No,,0.1809,8,0.0851,0.0213,0.0532,0.3511,0.1489,0.4681,3.7894,3.5818,5.35,2.7562,8.5625,88,No,No,37,63.76,63.76,63.76,63.76,63.76,69.76,67.76,59.76,59.76,59.76,59.76,69.15,65.15,9
Justin Fields,NYJ,QB,126,126,28,0.5915,3,37,0.5211,0.7069,-0.0089,126,8,2,38,0.0563,402,5.662,0.4552,3.3673,527,6,,27,11,0.2143,-192,0.2143,28,242,1,No,Yes,126,1,33.1148,0.7372,No,0.0079,0.2113,5,0.0704,0.0141,0.0282,0.3944,0.0563,0.3944,3.2789,3.6296,5.225,2.5619,8.6393,97.3,No,No,18,68.28,68.28,68.28,68.28,68.28,74.28,72.28,66.28,66.28,66.28,66.28,72.3,70.3,9
Dillon Gabriel,CLV,QB,85,84,11,0.5818,6,29,0.5273,0.6522,-0.0798,84,5,1,18,0.0182,317,5.7636,0.5016,3.1781,375,4,1,18,6,0.2143,-120,0.2143,11,89,,No,Yes,84,1,24.076,0.7134,No,,0.2364,6,0.1091,0.0364,0.0364,0.4182,0.1455,0.4,3.1127,3.4,5.4909,2.5167,7.5,86.7,No,No,14,36.58,36.58,36.58,36.58,36.58,39.58,39.58,35.58,35.58,35.58,35.58,39.75,38.75,10
