Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,IncompletionsBatted,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,ScramblesTotal,ScramblesYards,ScramblesTouchdowns,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed
Bryce Young,CAR,QB,224,224,33,0.5868,14,84,0.503,0.7258,0.0088,224,36,3,69,0.0359,980,5.8683,0.4306,4.644,1085,9,2,24,9,0.1071,-183,0.1071,33,220,2,No,Yes,224,1,80.9823,0.6385,Yes,0.0045,0.1317,20,0.1198,0.012,0.0599,0.3413,0.1257,0.3832,3.3862,3.2458,5.2061,2.5455,8.5391,81.4,No,Yes,52,104.2,104.2,104.2,104.2,104.2,110.2,107.2,99.2,99.2,99.2,99.2,114,109,16
Jordan Love,GB,QB,203,203,23,0.5849,3,69,0.434,0.6614,-0.033,203,27,2,118,0.0943,899,5.6541,0.4227,3.1667,1373,1,4,21,7,0.1034,-169,0.1034,23,178,,Yes,Yes,203,1,74.6345,0.6323,Yes,0.0099,0.2201,26,0.1635,0.0377,0.0629,0.3333,0.1635,0.3836,3.2962,3.7095,5.4304,2.5271,10.6846,53.4,No,No,41,51.76,51.76,51.76,51.76,51.76,57.76,55.76,45.76,45.76,45.76,45.76,60.75,54.75,15
Clayton Tune,GB,QB,13,13,2,0.5714,,3,0.4286,0.6667,-0.1427,13,1,,5,0.1429,15,2.1429,1.2,-1.4545,20,,,4,2,0.3077,-31,0.3077,2,17,,Yes,Yes,13,1,3.1351,0.7588,Yes,0.0769,0.2857,,,0.1429,,0.2857,0.4286,0.1429,3.1714,3.275,5.5,2.2769,3.3333,50.3,No,No,1,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.45,2.45,2
Jameis Winston,NYG,QB,28,27,1,0.5652,2,12,0.5217,0.7222,0.0455,27,3,1,11,0.0435,236,10.2609,0.3517,7.6923,214,1,1,3,,0.1111,-11,0.1111,1,11,,Yes,Yes,27,1,11.0354,0.5913,Yes,,0.2174,3,0.1304,0.087,0.1739,0.5217,0.087,0.4348,3.3565,4.9,5.4,2.7852,11.2632,84.7,No,No,8,21.84,22.84,22.34,22.84,22.84,22.84,21.34,20.84,20.84,20.84,20.34,25.2,23.2,3
Max Brosmer,MIN,QB,30,30,2,0.6667,,9,0.6,0.8333,0.0013,30,2,,9,0.0667,52,3.4667,1,-3.1786,33,,1,13,,0.4333,-96,0.4333,2,16,,No,Yes,30,1,5.274,0.8242,No,,0.1333,1,0.0667,0.0667,,0.4,0.0667,0.3333,2.6133,3.2,5.55,2.2133,2.5385,38.8,No,No,4,1.68,1.68,1.68,1.68,1.68,1.68,0.68,-0.32,-0.32,-0.32,-0.32,2.2,0.2,7
Josh Allen,BUF,QB,209,209,45,0.629,12,62,0.5,0.6381,-0.019,209,14,4,45,0.0403,906,7.3065,0.2837,2.7927,1322,6,6,40,12,0.1914,-298,0.1914,45,408,2,No,No,209,1,74.0527,0.6457,No,,0.2177,24,0.1935,0.0403,0.0645,0.3065,0.0968,0.4516,4.0371,4.02,5.3933,2.6024,12.4717,70.2,No,No,42,106.04,106.04,106.04,106.04,106.04,112.04,111.04,99.04,99.04,99.04,99.04,115.1,108.1,17
Drew Lock,SEA,QB,1,1,1,1,,1,1,1,0.181,1,,,,,11,11,0.5455,11,5,,,,,,,,,,,No,No,1,1,0.4701,0.5299,No,,,,,,,,1,1,3.3,,,3.2,5,112.5,No,No,1,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,5
Tyrod Taylor,NYJ,QB,85,85,22,0.7143,1,28,0.5714,0.8095,0.0963,85,4,3,58,0.1224,269,5.4898,0.3643,2.8889,387,2,1,14,2,0.1647,-82,0.1647,22,141,1,Yes,Yes,85,1,25.0507,0.7053,Yes,,0.1429,5,0.102,0.0204,0.0204,0.4286,0.1429,0.5714,3.5388,3.8714,5.4182,2.6118,9.2143,77.7,No,No,18,36.86,36.86,36.86,36.86,36.86,39.86,38.86,34.86,34.86,34.86,34.86,39.55,37.55,6
Michael Penix,ATL,QB,115,115,13,0.5056,4,40,0.4494,0.6056,-0.0771,115,13,2,4,0.0337,484,5.4382,0.2872,3.951,771,1,,13,1,0.113,-101,0.113,13,77,1,No,Yes,115,1,41.179,0.6419,Yes,,0.2921,10,0.1124,0.0337,0.0112,0.382,0.0449,0.3483,3.2573,3.6923,5.2462,2.5991,10.4189,65.9,No,No,24,35.06,35.06,35.06,35.06,35.06,38.06,36.06,33.06,33.06,33.06,33.06,39.9,37.9,9
Shedeur Sanders,CLV,QB,129,129,18,0.5455,3,35,0.3977,0.5797,-0.1455,129,15,1,58,0.0568,416,4.7273,0.5601,0.4234,617,1,5,23,9,0.1783,-164,0.1783,18,167,1,No,Yes,129,1,48.7129,0.6224,No,,0.2386,12,0.1364,0.0795,0.0341,0.3409,0.125,0.4091,3.7841,4.1478,5.1889,2.7946,8.4167,35,Yes,Yes,19,37.34,37.34,37.34,37.34,37.34,43.34,42.34,31.34,31.34,31.34,31.34,41.5,35.5,8
