Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,SackedTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsBatted,ScramblesTotal,ScramblesYards,ScramblesTouchdowns,AverageTimeToScramble,SackedFaultTotal,DropsYardsLost,DropsPercentage,HeroThrowPercentage
Brady Cook,NYJ,QB,36,36,2,0.7097,2,20,0.6452,0.8148,-0.0145,36,2,163,5.2581,0.8466,3.4118,79,1,1,3,0.25,-22,0.0833,Yes,No,12,0.3333,13.0363,-0.0288,No,0.0556,0.1613,1,0.0323,0.0323,0.5161,0.1613,0.5806,3.0129,3,3.1583,2.8214,75.1,No,Yes,8,11.12,11.12,11.12,11.12,11.12,11.12,11.12,10.12,10.12,10.12,10.12,12.75,11.75,5,1,2,16,,5,,-4,0.0645,
Carson Wentz,MIN,QB,50,50,2,0.6957,4,29,0.6304,0.7805,0.0127,50,4,347,7.5435,0.6023,7.7917,263,2,,2,0.1053,-13,0.04,Yes,No,19,0.38,16.4991,0.05,No,0.18,0.1957,4,0.087,,0.6304,0.0217,0.3913,2.6543,3.15,2.5474,6.4146,100.5,No,Yes,16,22.28,22.28,22.28,22.28,22.28,25.28,25.28,22.28,22.28,22.28,22.28,25.75,25.75,5,1,2,4,,4.45,,13,0.0652,0.0217
Joe Milton,DAL,QB,8,8,1,0.7143,,5,0.7143,0.7143,0.0263,8,,61,8.7143,0.623,2.2857,69,,1,,,,,Yes,Yes,4,0.5,2.7556,0.1555,No,,0.2857,1,0.1429,0.1429,1,,0.5714,2.8571,,2.525,9.8571,58.3,No,No,3,1.74,1.74,1.74,1.74,1.74,1.74,1.74,0.74,0.74,0.74,0.74,2.35,1.35,4,,1,3,,3.5,,,,
Dak Prescott,DAL,QB,190,190,11,0.8363,14,130,0.7602,0.8303,0.0652,190,6,1462,8.5497,0.5328,9.6089,1099,15,,8,0.1127,-42,0.0421,Yes,No,71,0.3737,66.8373,0.0219,No,0.0526,0.1228,18,0.1053,0.0234,0.655,0.1228,0.6082,2.8409,4.375,2.8592,6.6606,130.3,No,Yes,68,123.08,123.08,123.08,123.08,123.08,126.08,125.08,122.08,122.08,122.08,122.08,137.7,136.7,17,,11,56,,5.4273,2,55,0.0409,0.0585
Spencer Rattler,NO,QB,76,75,7,0.8,5,45,0.6923,0.8065,0.0683,75,2,471,7.2462,0.5563,5.7206,471,4,3,3,0.1,-27,0.04,No,No,30,0.4,24.395,0.0747,No,0.16,0.1538,10,0.1538,0.0769,0.7077,0.0769,0.6462,2.7508,3.5333,2.6733,7.5968,91.3,No,No,20,35.44,36.44,35.94,36.44,36.44,39.44,37.94,32.44,32.44,32.44,31.94,41.15,37.15,9,1,7,46,,4.1143,2,43,0.0769,0.0615
Aaron Rodgers,PIT,QB,145,145,5,0.797,10,88,0.6617,0.8033,-0.0083,145,10,760,5.7143,0.9197,5.8857,515,8,1,7,0.1944,-51,0.0483,Yes,Yes,36,0.2483,42.8862,-0.0475,No,0.2897,0.1203,8,0.0602,0.015,0.7218,0.0902,0.6165,2.4444,3.8714,2.9389,4.2213,97.9,No,Yes,35,67.2,67.2,67.2,67.2,67.2,70.2,69.2,65.2,65.2,65.2,65.2,74.8,72.8,16,1,5,8,1,5.88,1,85,0.0752,0.015
Baker Mayfield,TB,QB,139,139,9,0.776,10,85,0.68,0.7583,0.0215,139,4,960,7.68,0.5781,8.4769,971,8,,5,0.1316,-18,0.036,Yes,No,38,0.2734,44.9735,-0.0502,Yes,0.1367,0.192,13,0.104,0.024,0.76,0.064,0.592,2.6608,3.16,2.8658,8.0248,112.1,No,Yes,41,83.4,83.4,83.4,83.4,83.4,86.4,86.4,83.4,83.4,83.4,83.4,93,93,17,,9,70,1,6.2333,1,74,0.048,0.048
Mason Rudolph,PIT,QB,15,15,1,0.6667,1,7,0.5833,0.7,-0.0347,15,1,76,6.3333,0.8553,-0.4286,76,1,2,2,0.4,-12,0.1333,Yes,No,5,0.3333,5.1749,-0.0117,No,0.1333,0.1667,1,0.0833,0.25,0.75,,0.4167,3.075,3.8,3.72,7.6,65.3,No,No,4,4.34,4.34,4.34,4.34,4.34,4.34,3.34,1.34,1.34,1.34,1.34,5.1,2.1,5,1,1,3,,6.6,1,,,0.0833
Quinn Ewers,MIA,QB,37,37,1,0.7143,4,24,0.6857,0.7273,0.0079,37,1,272,7.7714,0.6728,6.5833,284,1,1,1,0.1,-10,0.027,Yes,Yes,10,0.2703,15.1235,-0.1385,No,0.0541,0.2,2,0.0571,0.0571,0.6857,0.1429,0.6,3.08,2.5,2.97,8.6061,89.2,No,No,16,14.18,15.18,14.68,15.18,15.18,15.18,14.68,14.18,14.18,14.18,13.68,17.9,16.9,4,1,1,9,,4.8,,,,
Tyrod Taylor,NYJ,QB,32,32,5,0.7407,2,18,0.6667,0.8,0.0798,32,2,202,7.4815,0.5198,6.5556,262,1,1,,,,,Yes,No,13,0.4062,14.1921,-0.0373,No,0.0625,0.1852,5,0.1852,0.1111,0.5556,0.2222,0.5185,3.6222,,3.2462,10.48,85.7,No,Yes,8,13.28,13.28,13.28,13.28,13.28,13.28,13.28,12.28,12.28,12.28,12.28,15.3,14.3,6,,5,22,,5.82,,36,0.0741,
