teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingSackedAvoidedTotal
10,Denver,Broncos,True,KC,AFC,AFC West,Closed,Closed,Cover 3,17,352,352,0.7528409090909091,25,233,0.6619318181818182,0.7045454545454546,-0.005907994767045399,104,0.04261363636363636,2682,7.619318181818182,0.3553318419090231,7.122159090909091,3360,16,11,Yes,No,38,0.10795454545454546,-0.1452453125,No,0.017045454545454544,0.22727272727272727,42,0.11931818181818182,0.03125,0.048295454545454544,1,0.5142045454545454,2.0428977272727273,2.0842105263157897,9.545454545454545,91.1,No,Yes,139,
14,Indianapolis,Colts,True,JAX,AFC,AFC South,Open,Closed,Cover 1,17,288,288,0.78125,19,201,0.6979166666666666,0.7317073170731707,0.03846608146341468,120,0.03125,2499,8.677083333333334,0.31412565026010403,7.895833333333333,3062,18,13,No,Yes,29,0.10069444444444445,-0.18511597222222223,No,0.017361111111111112,0.19791666666666666,41,0.1423611111111111,0.04513888888888889,0.059027777777777776,1,0.5173611111111112,2.2319444444444443,2.36551724137931,10.722222222222221,98.4,Yes,Yes,116,
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Open,Cover 2 Man,17,298,298,0.7583892617449665,26,199,0.6677852348993288,0.7046979865771812,-0.007800313496644229,134,0.03691275167785235,2355,7.902684563758389,0.34479830148619955,7.432885906040268,2821,20,12,No,No,50,0.16778523489932887,-0.13077197986577183,No,0.02348993288590604,0.23154362416107382,42,0.14093959731543623,0.04697986577181208,0.0738255033557047,1,0.47651006711409394,2.3058389261744967,2.178,9.466442953020135,96.3,No,No,124,2
17,Los Angeles,Rams,True,SEA,NFC,NFC West,Open,Open,Cover 2 Man,17,297,297,0.7744107744107744,28,192,0.6464646464646465,0.706081081081081,0.020562623287162185,233,0.05723905723905724,2562,8.626262626262626,0.35323965651834505,8.996632996632997,3323,19,6,No,No,48,0.16161616161616163,-0.13930252525252526,No,0.010101010101010102,0.1919191919191919,46,0.15488215488215487,0.03367003367003367,0.07744107744107744,1,0.5589225589225589,2.3195286195286196,2.2333333333333334,11.252525252525253,104.8,No,No,127,
22,New England,Patriots,True,BUF,AFC,AFC East,Closed,Closed,Cover 1,17,307,307,0.8045602605863192,30,200,0.6514657980456026,0.7418300653594772,0.05393838251633998,295,0.08794788273615635,2449,7.977198697068404,0.3401388321763985,8.889250814332248,3266,23,4,No,No,43,0.14006514657980457,-0.15652964169381106,No,0.019543973941368076,0.18241042345276873,49,0.15960912052117263,0.029315960912052116,0.06514657980456026,1,0.5700325732899023,2.294462540716612,2.3488372093023258,10.752442996742671,109.2,No,No,130,1
30,Tampa Bay,Buccaneers,True,NO,NFC,NFC South,Closed,Closed,Cover 1,17,373,373,0.8176943699731903,23,258,0.6916890080428955,0.7419354838709677,0.03993027163172047,262,0.04825737265415549,3107,8.32975871313673,0.37045381396845833,8.584450402144773,3707,16,5,No,No,74,0.19839142091152814,-0.08690321715817695,Yes,0.029490616621983913,0.17158176943699732,43,0.11528150134048257,0.02680965147453083,0.04289544235924933,1,0.5764075067024129,2.2289544235924934,2.2594594594594595,9.989276139410189,103.1,No,Yes,157,2
31,Tennessee,Titans,True,HST,AFC,AFC South,Open,Closed,Cover 3,17,267,267,0.7640449438202247,24,172,0.6441947565543071,0.704119850187266,0.0044514303595506455,137,0.0599250936329588,2048,7.670411985018727,0.357421875,7.932584269662922,2801,17,6,No,Yes,33,0.12359550561797752,-0.16665393258426967,No,0.0149812734082397,0.23595505617977527,38,0.14232209737827714,0.0299625468164794,0.0449438202247191,1,0.5393258426966292,2.257677902621723,2.278787878787879,10.49063670411985,99.6,No,Yes,106,
2,Atlanta,Falcons,True,CAR,NFC,NFC South,Open,Open,Cover 4,17,317,317,0.8201892744479495,28,228,0.7192429022082019,0.7602523659305994,0.06685939867507895,143,0.04100946372239748,2731,8.615141955835963,0.3108751373123398,8.914826498422713,3380,25,9,No,No,43,0.13564668769716087,-0.17980630914826498,No,0.00946372239747634,0.17350157728706625,47,0.14826498422712933,0.04416403785488959,0.05362776025236593,1,0.5394321766561514,2.4037854889589907,2.4930232558139536,10.662460567823343,112.4,No,Yes,139,1
32,Washington,Commanders,,DAL,NFC,NFC East,Open,Open,Cover 0,17,303,303,0.7722772277227723,30,193,0.636963696369637,0.693069306930693,0.012621132135313462,155,0.056105610561056105,2438,8.046204620462046,0.29286300246103364,8.953795379537954,3428,25,5,No,No,32,0.10561056105610561,-0.17081815181518153,Yes,0.013201320132013201,0.21122112211221122,47,0.1551155115511551,0.019801980198019802,0.039603960396039604,1,0.46204620462046203,2.1775577557755774,2.31875,11.313531353135314,109.3,Yes,Yes,126,
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Closed,Cover 3,17,304,304,0.7368421052631579,25,191,0.6282894736842105,0.6732673267326733,-0.017872819818481767,99,0.04276315789473684,2460,8.092105263157896,0.3329268292682927,7.779605263157895,3254,20,11,No,Yes,38,0.125,-0.17680575657894734,No,0.013157894736842105,0.24671052631578946,46,0.1513157894736842,0.046052631578947366,0.06578947368421052,1,0.48026315789473684,2.324671052631579,2.3368421052631576,10.736842105263158,95,No,No,121,
26,Philadelphia,Eagles,True,NYG,NFC,NFC East,Open,Open,Cover 6,17,311,311,0.7588424437299035,24,196,0.6302250803858521,0.6913183279742765,-0.0054811456720257334,194,0.06109324758842444,2210,7.106109324758842,0.3429864253393665,6.672025723472669,3240,18,11,No,No,51,0.1639871382636656,-0.12513199356913182,No,0.00964630225080386,0.2282958199356913,48,0.15434083601286175,0.04501607717041801,0.04501607717041801,1,0.5144694533762058,2.2511254019292606,2.3058823529411763,10.418006430868168,88.8,No,No,114,1
8,Cleveland,Browns,,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,296,296,0.7804054054054054,24,189,0.6385135135135135,0.6993243243243243,0.02837992343581086,180,0.060810810810810814,2689,9.08445945945946,0.36593529193008556,9.89527027027027,3630,21,4,No,No,68,0.22972972972972974,-0.05616486486486484,No,0.016891891891891893,0.20608108108108109,62,0.20945945945945946,0.037162162162162164,0.06418918918918919,1,0.527027027027027,2.2324324324324323,2.2205882352941178,12.263513513513514,111.2,No,Yes,124,2
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Closed,Closed,Cover 3,17,306,306,0.7941176470588235,32,214,0.6993464052287581,0.7377049180327869,0.04988518922950824,159,0.03594771241830065,2574,8.411764705882353,0.31313131313131315,8.493464052287582,3404,17,7,Yes,No,38,0.12418300653594772,-0.15735718954248368,No,0.026143790849673203,0.1895424836601307,55,0.17973856209150327,0.032679738562091505,0.08823529411764706,1,0.47058823529411764,2.20718954248366,2.0210526315789474,11.163398692810457,104.4,No,Yes,128,2
27,Pittsburgh,Steelers,True,CIN,AFC,AFC North,Open,Closed,Cover 3,17,323,323,0.7678018575851393,25,217,0.6718266253869969,0.719626168224299,0.015886433118380006,134,0.043343653250773995,2652,8.210526315789474,0.38838612368024134,7.204334365325077,3180,13,13,No,Yes,48,0.14860681114551083,-0.13489752321981424,No,0.02476780185758514,0.21362229102167182,38,0.11764705882352941,0.05572755417956656,0.04643962848297214,1,0.47987616099071206,2.218575851393189,2.277083333333333,9.922600619195046,88.9,No,No,129,2
29,San Francisco,49ers,,ARZ,NFC,NFC West,Open,Closed,Cover 3,17,287,287,0.8083623693379791,29,182,0.6341463414634146,0.6968641114982579,0.00439092022648091,270,0.0627177700348432,2147,7.480836236933798,0.36329762459245457,7.7770034843205575,3102,20,7,No,No,36,0.1254355400696864,-0.15666759581881534,No,0.010452961672473868,0.18466898954703834,42,0.14634146341463414,0.041811846689895474,0.0627177700348432,1,0.5261324041811847,2.2104529616724737,2.4527777777777775,10.80836236933798,99.2,Yes,Yes,119,
4,Buffalo,Bills,,NE,AFC,AFC East,Closed,Closed,Cover 1,17,315,315,0.8095238095238095,27,219,0.6952380952380952,0.7579617834394905,0.055862515461783446,175,0.06031746031746032,2679,8.504761904761905,0.3221351250466592,8.092063492063492,3164,16,10,No,No,60,0.19047619047619047,-0.11134523809523811,No,0.01904761904761905,0.16825396825396827,34,0.10793650793650794,0.050793650793650794,0.0761904761904762,1,0.6222222222222222,2.3247619047619046,2.295,10.18095238095238,99.2,No,No,141,
1,Arizona,Cardinals,True,SF,NFC,NFC West,Open,Closed,Cover 3,17,270,270,0.7814814814814814,28,184,0.6814814814814815,0.7296296296296296,0.029349652455555653,159,0.04814814814814815,2185,8.092592592592593,0.32219679633867276,8.277777777777779,2754,16,6,No,No,30,0.1111111111111111,-0.16944444444444445,No,0.02962962962962963,0.1925925925925926,37,0.13703703703703704,0.02962962962962963,0.06296296296296296,1,0.48518518518518516,2.2014814814814816,2.18,10.2,103.1,Yes,Yes,118,
24,New York,Giants,,PHI,NFC,NFC East,Open,Open,Cover 6,17,299,299,0.7892976588628763,22,207,0.6923076923076923,0.7449664429530202,0.04261965696979875,114,0.05016722408026756,2590,8.66220735785953,0.3138996138996139,9.481605351170568,3026,19,3,No,No,55,0.18394648829431437,-0.10177658862876256,No,0.026755852842809364,0.20066889632107024,41,0.13712374581939799,0.016722408026755852,0.05016722408026756,1,0.4983277591973244,2.231438127090301,2.190909090909091,10.240802675585284,112.9,No,No,119,1
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Cover 4,17,290,290,0.803448275862069,31,198,0.6827586206896552,0.7344827586206897,0.045267053555172465,168,0.05172413793103448,2362,8.144827586206896,0.281541066892464,9.110344827586207,3055,23,4,No,No,21,0.07241379310344828,-0.22103189655172414,No,0.02413793103448276,0.17586206896551723,32,0.1103448275862069,0.020689655172413793,0.03793103448275862,1,0.49310344827586206,2.276206896551724,2.0666666666666664,10.53448275862069,113.6,No,Yes,127,1
13,Houston,Texans,,TEN,AFC,AFC South,Open,Closed,Cover 3,17,327,327,0.7064220183486238,19,189,0.5779816513761468,0.6430769230769231,-0.018618633458461487,243,0.06116207951070336,2686,8.214067278287462,0.3484735666418466,7.755351681957187,4157,24,14,No,Yes,60,0.1834862385321101,-0.11777752293577981,No,0.01529051987767584,0.26605504587155965,62,0.18960244648318042,0.07033639143730887,0.0672782874617737,1,0.40978593272171254,2.3215290519877674,2.27,12.758409785932722,91.1,No,Yes,117,
6,Chicago,Bears,,GB,NFC,NFC North,Closed,Closed,Prevent,17,269,269,0.7509293680297398,24,176,0.654275092936803,0.7052238805970149,0.03627806332835826,142,0.048327137546468404,2541,9.446096654275093,0.30460448642266824,8.925650557620818,3215,11,8,No,No,47,0.17472118959107807,-0.15534089219330854,No,0.007434944237918215,0.24907063197026022,44,0.16356877323420074,0.06319702602230483,0.07063197026022305,1,0.483271375464684,2.4884758364312267,2.4829787234042553,12.003717472118959,97.2,No,Yes,109,
11,Detroit,Lions,True,MIN,NFC,NFC North,Open,Open,Cover 0,17,353,353,0.7308781869688386,32,219,0.6203966005665722,0.6685552407932012,-0.004558544439093426,147,0.04815864022662889,2862,8.107648725212465,0.31761006289308175,7.243626062322946,4119,14,13,No,Yes,57,0.16147308781869688,-0.14140339943342778,Yes,0.0113314447592068,0.2577903682719547,68,0.19263456090651557,0.059490084985835696,0.059490084985835696,1,0.43059490084985835,2.3308781869688384,2.3421052631578947,11.668555240793202,85.4,No,No,134,1
