teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingTouchdownsTotal,opponentStatsPassingRunPassOptionPercentage
26,Philadelphia,Eagles,True,NYG,NFC,NFC East,Closed,Closed,Cover 3,17,16,16,0.4375,,5,0.3125,0.375,-0.16873635462500003,177,11.0625,0.288135593220339,9.5,304,1,3,No,Yes,13,0.8125,0.07615312499999993,No,0.5625,6,0.375,0.125,0.125,0.25,4.84375,2.6384615384615384,19,69,No,Yes,5,13,0.0625,1,
32,Washington,Commanders,,DAL,NFC,NFC East,Open,Open,Cover 0,15,29,29,0.5517241379310345,6,10,0.3448275862068966,0.5517241379310345,-0.11256703696551729,154,5.310344827586207,0.2727272727272727,3.7586206896551726,340,1,10,No,Yes,26,0.896551724137931,0.15704482758620694,Yes,0.4482758620689655,4,0.13793103448275862,0.034482758620689655,0.034482758620689655,0.27586206896551724,4.862068965517241,2.6846153846153844,11.724137931034482,38.6,No,No,8,57,0.20689655172413793,,
6,Chicago,Bears,,GB,NFC,NFC North,Open,Closed,Cover 3,16,22,22,0.7272727272727273,2,13,0.5909090909090909,0.6363636363636364,0.0580974215454545,296,13.454545454545455,0.15202702702702703,15.272727272727273,403,,2,No,Yes,19,0.8636363636363636,0.1426772727272727,No,0.2727272727272727,7,0.3181818181818182,,0.13636363636363635,0.3181818181818182,4.754545454545454,2.6,18.318181818181817,133.7,No,Yes,13,5,0.045454545454545456,2,
4,Buffalo,Bills,,NE,AFC,AFC East,Open,Open,Cover 4,17,27,27,0.6666666666666666,3,15,0.5555555555555556,0.6153846153846154,-0.04062472453846144,173,6.407407407407407,0.35260115606936415,8.444444444444445,310,1,4,No,Yes,24,0.8888888888888888,0.12750555555555557,No,0.2962962962962963,5,0.18518518518518517,0.037037037037037035,0.07407407407407407,0.4074074074074074,4.988888888888888,2.8791666666666664,11.962962962962964,99.2,No,No,11,14,0.037037037037037035,5,
1,Arizona,Cardinals,True,SF,NFC,NFC West,Closed,Closed,Cover 1,17,23,23,0.782608695652174,3,15,0.6521739130434783,0.6956521739130435,-0.01753532060869556,180,7.826086956521739,0.3111111111111111,9.565217391304348,229,,2,No,Yes,23,1,0.20069999999999996,No,0.21739130434782608,2,0.08695652173913043,,0.043478260869565216,0.5217391304347826,5.208695652173913,2.960869565217391,9.956521739130435,118,No,No,10,2,0.043478260869565216,2,
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Red Zone,17,18,18,0.6666666666666666,4,11,0.6111111111111112,0.6111111111111112,0.003742750444444498,130,7.222222222222222,0.17692307692307693,4.166666666666667,265,3,2,No,Yes,15,0.8333333333333334,0.07865833333333337,No,0.2777777777777778,4,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3888888888888889,4.949999999999999,3.0266666666666664,14.722222222222221,83.1,No,Yes,10,,,4,
24,New York,Giants,,PHI,NFC,NFC East,Closed,Closed,Cover 3,13,14,14,0.9285714285714286,3,12,0.8571428571428571,0.8571428571428571,0.21969125514285714,188,13.428571428571429,0.23404255319148937,14.857142857142858,179,,,No,Yes,12,0.8571428571428571,0.2096642857142857,No,0.07142857142857142,3,0.21428571428571427,,0.14285714285714285,0.21428571428571427,4.328571428571428,2.875,12.785714285714286,142.6,No,Yes,9,,,1,
27,Pittsburgh,Steelers,True,CIN,AFC,AFC North,Closed,Closed,Cover 3,17,28,28,0.6428571428571429,7,14,0.5,0.5714285714285714,-0.034387382535714384,242,8.642857142857142,0.29338842975206614,12.214285714285714,415,,4,No,Yes,23,0.8214285714285714,0.0599767857142857,No,0.35714285714285715,7,0.25,,0.10714285714285714,0.35714285714285715,4.989285714285714,2.8260869565217392,14.821428571428571,119.3,No,No,11,34,0.07142857142857142,5,
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Open,Open,Cover 6,16,30,30,0.5666666666666667,6,13,0.43333333333333335,0.4666666666666667,-0.16304812643333333,204,6.8,0.2549019607843137,6.633333333333334,408,1,3,No,No,23,0.7666666666666667,0.10916666666666662,Yes,0.43333333333333335,5,0.16666666666666666,0.03333333333333333,0.06666666666666667,0.3,4.386666666666667,2.4347826086956523,13.6,74.9,No,Yes,9,18,0.03333333333333333,2,
29,San Francisco,49ers,,ARZ,NFC,NFC West,Closed,Closed,Cover 1,14,18,18,0.5555555555555556,1,8,0.4444444444444444,0.4444444444444444,-0.19534190005555552,77,4.277777777777778,0.09090909090909091,1.7777777777777777,249,1,5,No,Yes,15,0.8333333333333334,0.024991666666666648,No,0.4444444444444444,6,0.3333333333333333,0.05555555555555555,0.1111111111111111,0.2222222222222222,5.261111111111111,2.8800000000000003,13.833333333333334,33.8,No,No,4,,,,
21,Minnesota,Vikings,,DET,NFC,NFC North,Closed,Closed,Cover 1,16,27,27,0.6296296296296297,5,15,0.5555555555555556,0.6538461538461539,0.06343166253846155,204,7.555555555555555,0.049019607843137254,7.185185185185185,418,2,9,No,Yes,27,1,0.23095,Yes,0.37037037037037035,9,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.3333333333333333,5.033333333333333,2.6518518518518515,15.814814814814815,88.6,No,No,12,15,0.07407407407407407,4,
11,Detroit,Lions,True,MIN,NFC,NFC North,Closed,Closed,Cover 1,13,25,25,0.64,5,13,0.52,0.52,-0.09585298312000001,248,9.92,0.23790322580645162,8.12,370,1,3,No,Yes,20,0.8,-0.05507000000000005,Yes,0.36,6,0.24,0.08,0.04,0.36,5.532,3.0300000000000002,14.8,70.1,No,No,12,,,,
23,New Orleans,Saints,,TB,NFC,NFC South,Closed,Closed,Cover 3,16,27,27,0.5185185185185185,4,14,0.5185185185185185,0.5185185185185185,-0.10994391066666664,177,6.555555555555555,0.1864406779661017,7.111111111111111,356,1,5,No,Yes,25,0.9259259259259259,0.13962592592592593,Yes,0.48148148148148145,6,0.2222222222222222,0.07407407407407407,0.1111111111111111,0.4074074074074074,5.133333333333333,2.9160000000000004,13.185185185185185,94.2,No,No,8,,,3,
13,Houston,Texans,True,BLT,AFC,AFC North,Open,Closed,Cover 1,16,24,24,0.5416666666666666,5,8,0.3333333333333333,0.43478260869565216,-0.14285400008695653,150,6.25,0.4666666666666667,6.875,406,1,3,No,No,23,0.9583333333333334,0.21731458333333334,No,0.4583333333333333,6,0.25,0.08333333333333333,0.125,0.25,4.870833333333334,2.630434782608696,16.833333333333332,78.1,Yes,Yes,7,30,0.08333333333333333,3,
9,Dallas,Cowboys,True,WAS,NFC,NFC East,Open,Open,Cover 0,17,23,23,0.6521739130434783,,10,0.43478260869565216,0.43478260869565216,-0.16765814660869566,142,6.173913043478261,0.30985915492957744,4.217391304347826,385,1,4,No,Yes,21,0.9130434782608695,0.07774347826086957,Yes,0.30434782608695654,8,0.34782608695652173,0.043478260869565216,,0.43478260869565216,5.4173913043478255,2.657142857142857,16.73913043478261,45.9,No,No,5,,,,
19,Las Vegas,Raiders,True,LAC,AFC,AFC West,Open,Closed,Cover 3,16,28,28,0.8928571428571429,4,19,0.6785714285714286,0.75,0.10091815992857145,247,8.821428571428571,0.18218623481781376,11.678571428571429,340,,5,No,Yes,24,0.8571428571428571,0.14128035714285708,No,0.10714285714285714,5,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.5357142857142857,4.7250000000000005,2.7125,12.142857142857142,135,No,Yes,15,24,0.07142857142857142,4,
25,New York,Jets,True,MIA,AFC,AFC East,Closed,Closed,Cover 3,17,33,33,0.6666666666666666,3,16,0.48484848484848486,0.6666666666666666,0.04965770212121212,267,8.090909090909092,0.06367041198501873,9.303030303030303,506,,8,No,Yes,30,0.9090909090909091,0.19074545454545452,No,0.30303030303030304,9,0.2727272727272727,,0.21212121212121213,0.42424242424242425,4.739393939393939,2.75,15.333333333333334,96.4,No,Yes,12,92,0.18181818181818182,2,
3,Baltimore,Ravens,True,CLV,AFC,AFC North,Open,Open,Cover 2,16,35,35,0.6571428571428571,4,20,0.5714285714285714,0.6,-0.028298481657142882,303,8.657142857142857,0.3069306930693069,7.942857142857143,451,1,6,No,No,30,0.8571428571428571,0.09926428571428565,No,0.3142857142857143,9,0.2571428571428571,0.08571428571428572,0.05714285714285714,0.37142857142857144,4.968571428571429,2.703333333333333,12.885714285714286,83.4,No,Yes,15,10,0.02857142857142857,1,
12,Green Bay,Packers,True,CHI,NFC,NFC North,Open,Closed,Cover 3,14,23,23,0.4782608695652174,2,8,0.34782608695652173,0.43478260869565216,-0.22856993830434785,73,3.1739130434782608,0.1095890410958904,1.2173913043478262,288,1,4,No,Yes,21,0.9130434782608695,0.21574347826086954,No,0.5217391304347826,4,0.17391304347826086,0.08695652173913043,,0.13043478260869565,4.6173913043478265,2.5047619047619047,12.521739130434783,26.2,No,Yes,4,22,0.08695652173913043,,
20,Miami,Dolphins,,NYJ,AFC,AFC East,Closed,Closed,Cover 3,15,31,31,0.7096774193548387,8,18,0.5806451612903226,0.6129032258064516,-0.025318348419354764,232,7.483870967741935,0.20689655172413793,10.548387096774194,405,1,7,No,Yes,28,0.9032258064516129,0.18778064516129037,No,0.2903225806451613,8,0.25806451612903225,0.03225806451612903,0.0967741935483871,0.45161290322580644,4.72258064516129,2.439285714285714,13.064516129032258,107.8,No,Yes,15,20,0.03225806451612903,7,
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Open,Open,Cover 2,14,24,24,0.75,3,17,0.7083333333333334,0.7083333333333334,0.02000091520833336,215,8.958333333333334,0.413953488372093,10.625,251,,7,No,Yes,23,0.9583333333333334,0.09297083333333338,No,0.25,2,0.08333333333333333,,0.08333333333333333,0.5416666666666666,5.591666666666666,2.6652173913043478,10.458333333333334,126.2,No,Yes,10,,,2,
18,Los Angeles,Chargers,,LV,AFC,AFC West,Open,Closed,Cover 3,14,22,22,0.7272727272727273,5,15,0.6818181818181818,0.6818181818181818,0.07872235031818176,277,12.590909090909092,0.26714801444043323,12.363636363636363,331,1,3,No,Yes,11,0.5,-0.3126977272727272,No,0.2727272727272727,8,0.36363636363636365,0.09090909090909091,0.045454545454545456,0.3181818181818182,5.286363636363636,3.209090909090909,15.045454545454545,122.3,No,Yes,11,,,2,
