teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingIncompletionsBatted
9,Dallas,Cowboys,True,WAS,NFC,NFC East,Open,Open,Cover 2,17,71,71,0.971830985915493,66,0.9295774647887324,0.971830985915493,0.039941485985915404,-8,0.04225352112676056,515,7.253521126760563,1.4194174757281552,6.830985915492958,-235,3,2,No,No,-0.1566345070422535,No,0.19718309859154928,0.028169014084507043,0.014084507042253521,1,0.8732394366197183,1.4830985915492958,-3.3098591549295775,99.2,No,Yes,18,,,,,,
2,Atlanta,Falcons,True,CAR,NFC,NFC South,Open,Open,Cover 6,17,69,69,0.9710144927536232,67,0.9710144927536232,0.9710144927536232,0.03444646597101453,,,376,5.449275362318841,1.699468085106383,6.318840579710145,-276,3,,No,No,-0.14880724637681159,No,0.2898550724637681,0.028985507246376812,0.014492753623188406,1,0.8840579710144928,1.5217391304347827,-4,103.9,No,Yes,20,1,0.014492753623188406,1.5,,,
26,Philadelphia,Eagles,True,NYG,NFC,NFC East,Closed,Closed,Cover 1,17,57,57,0.9649122807017544,49,0.8596491228070176,0.9473684210526315,0.011907013999999938,-17,0.08771929824561403,227,3.982456140350877,1.8149779735682818,3.982456140350877,-211,,,Yes,No,-0.12022543859649124,No,0.22807017543859648,0.03508771929824561,,1,0.7192982456140351,1.475438596491228,-3.7017543859649122,83.3,No,Yes,12,2,0.03508771929824561,2.2,,,
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Open,Cover 2,17,57,57,0.9298245614035088,50,0.8771929824561403,0.9298245614035088,-0.004732475736842101,-6,0.05263157894736842,354,6.2105263157894735,1.4858757062146892,6.56140350877193,-196,1,,Yes,No,-0.1491938596491228,No,0.2631578947368421,0.07017543859649122,0.017543859649122806,1,0.7368421052631579,1.5403508771929824,-3.43859649122807,98.4,No,Yes,14,1,0.017543859649122806,1.5,,,
8,Cleveland,Browns,,BLT,AFC,AFC North,Open,Closed,Cover 3,17,53,53,0.9056603773584906,47,0.8867924528301887,0.9056603773584906,-0.02826290650943397,-4,0.018867924528301886,315,5.943396226415095,1.5492063492063493,5.943396226415095,-195,,,No,No,-0.12718490566037735,Yes,0.07547169811320754,0.07547169811320754,,1,0.7735849056603774,1.5264150943396229,-3.6792452830188678,91.4,No,Yes,9,2,0.03773584905660377,2.25,,,
32,Washington,Commanders,,DAL,NFC,NFC East,Open,Open,Cover 2,17,47,47,0.9148936170212766,41,0.8723404255319149,0.8936170212765957,-0.00220210604255322,-2,0.02127659574468085,257,5.468085106382978,1.5875486381322956,4.51063829787234,-183,,1,No,No,-0.13928297872340425,No,0.1702127659574468,0.0851063829787234,0.02127659574468085,1,0.7659574468085106,1.502127659574468,-3.893617021276596,80.6,No,Yes,11,1,0.02127659574468085,1.8,,,
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Closed,Closed,Cover 3,17,60,60,0.9833333333333333,58,0.9666666666666667,0.9833333333333333,0.047726242249999884,-2,0.016666666666666666,319,5.316666666666666,1.664576802507837,5.983333333333333,-217,2,,Yes,No,-0.12161666666666668,No,0.2833333333333333,0.016666666666666666,,1,0.7833333333333333,1.4733333333333334,-3.6166666666666667,99.9,No,Yes,13,2,0.03333333333333333,2.1,,,
27,Pittsburgh,Steelers,True,CIN,AFC,AFC North,Open,Open,Cover 2,17,49,49,0.9183673469387755,44,0.8979591836734694,0.9183673469387755,-0.01422219312244899,-5,0.02040816326530612,247,5.040816326530612,1.562753036437247,4.122448979591836,-157,,1,Yes,No,-0.1475908163265306,No,0.22448979591836735,0.08163265306122448,0.02040816326530612,1,0.7755102040816326,1.5489795918367348,-3.204081632653061,79.2,No,Yes,10,1,0.02040816326530612,2.2,,,
1,Arizona,Cardinals,True,SF,NFC,NFC West,Open,Open,Cover 2,17,54,54,0.9444444444444444,50,0.9259259259259259,0.9444444444444444,0.013002058685185114,-4,0.018518518518518517,372,6.888888888888889,1.4327956989247312,7.62962962962963,-183,2,,No,No,-0.13656851851851853,No,0.12962962962962962,0.05555555555555555,,1,0.7777777777777778,1.5814814814814815,-3.388888888888889,107.7,No,Yes,15,2,0.037037037037037035,2.25,,,
4,Buffalo,Bills,,NE,AFC,AFC East,Open,Closed,Cover 3,17,79,79,0.9620253164556962,71,0.8987341772151899,0.9493670886075949,0.015553959151898722,-13,0.05063291139240506,493,6.2405063291139244,1.4442190669371198,6.177215189873418,-243,2,1,Yes,No,-0.1549835443037975,No,0.11392405063291139,0.0379746835443038,0.012658227848101266,1,0.759493670886076,1.6936708860759495,-3.0759493670886076,95.8,No,Yes,25,3,0.0379746835443038,2.1999999999999997,,,
24,New York,Giants,,PHI,NFC,NFC East,Closed,Closed,Cover 1,17,51,51,0.9803921568627451,49,0.9607843137254902,0.9803921568627451,0.04962272339215679,-3,0.0196078431372549,349,6.8431372549019605,1.4555873925501432,7.235294117647059,-170,1,,Yes,No,-0.14028039215686272,No,0.21568627450980393,0.0196078431372549,,1,0.7450980392156863,1.5019607843137255,-3.3333333333333335,101.7,No,Yes,21,1,0.0196078431372549,1.5,,,
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Cover 6,17,61,61,0.9672131147540983,57,0.9344262295081968,0.9672131147540983,0.03427578616393434,-3,0.03278688524590164,483,7.918032786885246,1.3457556935817805,7.918032786885246,-174,,,No,No,-0.1256237704918033,No,0.21311475409836064,0.03278688524590164,,1,0.7540983606557377,1.3983606557377048,-2.8524590163934427,99.7,No,Yes,22,1,0.01639344262295082,2.3,,,
