teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingIncompletionsThrownAway,teamIsHomeTeam
26,Philadelphia,Eagles,DAL,NFC,NFC East,Open,Closed,Cover 3,12,20,20,0.55,,5,0.25,0.3,-0.21998784205000005,28,0.05,130,6.5,0.26153846153846155,3,396,1,2,,Yes,No,6,0.3,-0.12519999999999998,No,0.45,7,0.35,0.2,0.15,0.8,0.25,3.04,2.35,19.8,31.3,No,Yes,5,,True
7,Cincinnati,Bengals,DEN,AFC,AFC West,Open,Open,Cover 4,14,16,16,0.5,5,6,0.375,0.375,-0.10417615593750001,,,181,11.3125,0.03867403314917127,10.6875,383,4,2,,Yes,Yes,3,0.1875,-0.236190625,No,0.5,8,0.5,0.125,0.25,0.875,0.375,3.03125,2.4,23.9375,80.5,Yes,Yes,6,,True
8,Cleveland,Browns,BLT,AFC,AFC North,Closed,Closed,Cover 3,16,27,27,0.4074074074074074,3,9,0.3333333333333333,0.38461538461538464,0.007136545153846152,50,0.037037037037037035,336,12.444444444444445,0.27380952380952384,10.592592592592593,865,2,2,,No,No,12,0.4444444444444444,-0.0422166666666667,Yes,0.5555555555555556,22,0.8148148148148148,0.18518518518518517,0.18518518518518517,0.7407407407407407,0.2962962962962963,3.3962962962962964,2.6333333333333333,32.03703703703704,75.5,No,No,9,,
32,Washington,Commanders,DAL,NFC,NFC East,Closed,Closed,Cover 3,14,19,19,0.6842105263157895,2,10,0.5263157894736842,0.5789473684210527,0.08095702384210529,20,0.05263157894736842,254,13.368421052631579,0.1889763779527559,16.526315789473685,417,3,,,Yes,No,6,0.3157894736842105,-0.06801052631578948,No,0.2631578947368421,8,0.42105263157894735,0.05263157894736842,0.21052631578947367,0.8421052631578947,0.2631578947368421,2.8000000000000003,2.5833333333333335,21.94736842105263,137.6,No,Yes,10,,
28,Seattle,Seahawks,LA,NFC,NFC West,Open,Open,Cover 6,17,16,16,0.5625,2,8,0.5,0.5,-0.026939543312500036,,,168,10.5,0.13690476190476192,8.9375,299,1,1,,Yes,No,4,0.25,-0.19956562500000002,No,0.4375,6,0.375,0.125,0.0625,0.5625,0.1875,3.18125,2.5,18.6875,82.3,No,No,8,,
17,Los Angeles,Rams,SEA,NFC,NFC West,Open,Open,Cover 6,14,19,19,0.631578947368421,2,9,0.47368421052631576,0.5263157894736842,0.031653378999999926,15,0.05263157894736842,202,10.631578947368421,0.19306930693069307,10.368421052631579,431,2,1,1,Yes,No,4,0.21052631578947367,-0.21049736842105266,No,0.3684210526315789,7,0.3684210526315789,0.05263157894736842,0.15789473684210525,0.5789473684210527,0.3684210526315789,3.015789473684211,2.5,22.68421052631579,99,No,No,9,,True
31,Tennessee,Titans,HST,AFC,AFC South,Open,Closed,Cover 3,15,14,14,0.5714285714285714,1,6,0.42857142857142855,0.42857142857142855,-0.0757020208571429,,,152,10.857142857142858,0.28289473684210525,-0.5714285714285714,292,1,4,,No,Yes,6,0.42857142857142855,-0.025460714285714264,No,0.42857142857142855,7,0.5,0.2857142857142857,,0.7857142857142857,0.5,3.207142857142857,2.716666666666667,20.857142857142858,67.3,No,Yes,5,,True
22,New England,Patriots,BUF,AFC,AFC East,Open,Open,Cover 6,17,21,21,0.6190476190476191,2,10,0.47619047619047616,0.5789473684210527,0.11804955031578951,17,0.047619047619047616,341,16.238095238095237,0.2404692082111437,12.904761904761905,513,1,2,1,No,No,8,0.38095238095238093,-0.07924047619047617,Yes,0.2857142857142857,11,0.5238095238095238,0.14285714285714285,0.09523809523809523,0.6666666666666666,0.3333333333333333,3.2428571428571424,2.8375,27.4,70.1,No,Yes,10,1,True
10,Denver,Broncos,CIN,AFC,AFC North,Open,Open,Cover 4,16,18,18,0.6666666666666666,1,11,0.6111111111111112,0.6470588235294118,0.1627609819411765,,,338,18.77777777777778,0.33727810650887574,16,398,2,2,,Yes,Yes,4,0.2222222222222222,-0.1567861111111111,No,0.16666666666666666,9,0.5,0.1111111111111111,0.16666666666666666,0.7222222222222222,0.4444444444444444,2.772222222222222,2.775,22.11111111111111,102.5,Yes,Yes,11,,
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Open,Open,Cover 6,14,20,20,0.75,1,12,0.6,0.7222222222222222,0.25002060255555547,48,0.05,386,19.3,0.2849740932642487,21.05,437,4,1,,Yes,No,8,0.4,-0.006224999999999969,No,0.15,8,0.4,0.1,0.3,0.75,0.55,2.93,2.5875,22.8,122.9,No,Yes,12,,True
