Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,CompletionsOverExpected,OpportunitiesTotal,IncompletionsBatted,YardsAdjustedNetPercentage,YardsAirTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsAdjustedPercentage,DropsYardsLost,DropsPercentage,HeroThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,TargetedReadCheckdownPercentage,RunPassOptionPercentage,IncompletionsThrownAway
Desmond Ridder,LV,QB,2,2,2,-0.3434,2,,-45,65,2,No,No,,,0.7676,-0.3838,No,1,2,1,0.5,1,2.8,,32.5,No,No,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,5,,1,,,,,,,,
Trey Lance,DAL,QB,1,1,1,-0.2943,1,,-45,32,1,No,No,1,1,0.3493,0.6507,No,1,1,1,1,1,2.6,2.5,32,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,4,,,,,,,,,,
Will Levis,TEN,QB,12,12,12,-0.5555,12,,-45,237,12,No,No,3,0.25,4.1226,-0.0936,No,0.8333,5,0.4167,0.8333,0.9167,2.5667,2.6,21.5455,No,No,-12,-12,-12,-12,-12,-12,-12,-24,-24,-24,-24,-12,-24,12,,,,,,,,,,1
Kenny Pickett,PHI,QB,1,1,1,-0.743,1,,-45,7,1,No,No,,,0.125,-0.125,No,1,,,1,1,1.3,,7,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,5,,,,,,,,,,
Lamar Jackson,BLT,QB,4,4,4,-0.5121,4,,-45,30,4,No,No,,,1.1557,-0.2889,No,0.5,,,0.25,1,2.25,,7.5,No,No,-4,-4,-4,-4,-4,-4,-4,-8,-8,-8,-8,-4,-8,17,0.5,,0.25,5,0.25,,0.5,,,
Dorian Thompson-Robinson,CLV,QB,6,6,6,-0.3948,6,,-45,99,6,No,No,2,0.3333,2.4753,-0.0792,No,0.6667,3,0.5,0.6667,0.6667,2.9667,1.7,16.5,No,No,-6,-6,-6,-6,-6,-6,-6,-12,-12,-12,-12,-6,-12,7,0.3333,1,0.1667,4,0.1667,,,,,
Bo Nix,DEN,QB,12,12,12,-0.4662,12,,-45,229,12,No,No,5,0.4167,4.7609,0.0199,No,0.9167,3,0.25,0.6667,0.9167,2.875,2.6,19.0833,No,No,-12,-12,-12,-12,-12,-12,-12,-24,-24,-24,-24,-12,-24,17,0.0833,2,0.0833,3,0.0833,,,,,
Trevor Lawrence,JAX,QB,7,7,7,-0.3851,7,,-45,159,7,No,No,1,0.1429,2.9108,-0.273,No,0.8571,3,0.4286,0.8571,0.8571,2.9857,1.7,22.7143,No,No,-7,-7,-7,-7,-7,-7,-7,-14,-14,-14,-14,-7,-14,10,0.1429,1,0.1429,4,0.1429,,0.1429,,,
Bailey Zappe,CLV,QB,2,2,2,-0.8257,2,,-45,7,2,No,No,,,0.6814,-0.3407,Yes,1,,,1,0.5,2.55,,3.5,No,No,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,1,,,,,,,,0.5,,
Andy Dalton,CAR,QB,6,6,6,-0.4566,6,,-45,68,6,Yes,No,1,0.1667,2.2856,-0.2143,No,0.6667,1,0.1667,0.6667,0.6667,2.7833,3.5,11.3333,No,No,-6,-6,-6,-6,-6,-6,-6,-12,-12,-12,-12,-6,-12,6,,,,,,,,,,
Sam Darnold,MIN,QB,12,12,12,-0.5694,12,,-45,176,12,No,No,5,0.4167,5.7441,-0.062,No,0.9167,4,0.3333,0.8333,0.75,3.35,2.88,14.6667,No,No,-12,-12,-12,-12,-12,-12,-12,-24,-24,-24,-24,-12,-24,17,,3,,,,,,,,
Jayden Daniels,WAS,QB,9,9,9,-0.4899,9,,-45,150,9,No,No,2,0.2222,3.4024,-0.1558,No,0.8889,2,0.2222,0.6667,0.6667,2.7667,2.7,16.6667,No,No,-9,-9,-9,-9,-9,-9,-9,-18,-18,-18,-18,-9,-18,17,0.1111,1,0.1111,-5,0.1111,,,,,
Brandon Allen,SF,QB,2,2,2,-0.0012,2,,-45,39,2,No,No,,,0.4743,-0.2372,Yes,0.5,1,0.5,0.5,1,1.95,,19.5,No,No,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,3,0.5,,0.5,14,0.5,,,,,
Kirk Cousins,ATL,QB,16,16,16,-0.6054,16,,-45,222,16,No,No,7,0.4375,6.4858,0.0321,No,0.875,3,0.1875,0.875,0.5625,2.925,2.3143,13.875,No,No,-16,-16,-16,-16,-16,-16,-16,-32,-32,-32,-32,-16,-32,14,,1,,,,,,,,
Mac Jones,JAX,QB,8,8,8,-0.4844,8,,-45,223,8,No,No,2,0.25,3.7259,-0.2157,Yes,1,6,0.75,0.875,0.875,3.275,2.4,27.875,No,No,-8,-8,-8,-8,-8,-8,-8,-16,-16,-16,-16,-8,-16,10,,,,,,,,,,
Joshua Dobbs,SF,QB,2,2,2,-0.7341,2,,-45,15,2,No,No,,,0.2673,-0.1337,Yes,0.5,,,,1,1.35,,7.5,No,No,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,2,,,,,,,,,,
Jimmy Garoppolo,LA,QB,1,1,1,-0.6453,1,,-45,12,1,No,No,,,0.2458,-0.2458,Yes,1,,,1,1,2,,12,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,1,,,,,,,,,,
Joe Burrow,CIN,QB,9,9,9,-0.6019,9,1,-45,120,9,No,No,3,0.3333,3.0747,-0.0083,No,0.6667,3,0.3333,0.5556,0.6667,2.5556,2.3667,15,Yes,Yes,-9,-9,-9,-9,-9,-9,-9,-18,-18,-18,-18,-9,-18,17,0.1111,,,,,,,,0.1111,
Russell Wilson,PIT,QB,5,5,5,-0.6025,5,,-45,91,5,No,No,2,0.4,2.6953,-0.1391,No,0.8,2,0.4,0.8,0.6,3.7,2.55,18.2,No,No,-5,-5,-5,-5,-5,-5,-5,-10,-10,-10,-10,-5,-10,11,,2,,,,,,,,
