Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,OpportunitiesTotal,YardsAdjustedNetPercentage,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredOverExpected,BlitzedLabel,AverageTimeToSack,AverageTimeToPressure,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage
Tua Tagovailoa,MIA,QB,21,21,21,-7.3333,21,7,1,-154,1,No,No,21,1,1,No,3.4476,2.3333,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,11,
Caleb Williams,CHI,QB,68,68,68,-6.8529,68,19,1.0303,-466,1,No,Yes,66,0.9706,0.9706,No,3.5926,2.6561,No,No,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-6,-3,-6,17,
Justin Fields,PIT,QB,16,16,16,-7.75,16,7,1,-124,1,No,No,16,1,1,No,3.5875,2.4312,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,10,
Brock Purdy,SF,QB,32,31,31,-5.0323,31,8,1.1071,-156,1,No,Yes,28,0.9032,0.9032,Yes,4.0194,2.5214,No,No,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-6,-3,-6,15,
Justin Herbert,LAC,QB,41,41,41,-5.9512,41,9,1.025,-244,1,No,Yes,40,0.9756,0.9756,No,3.4951,2.5425,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,17,
Geno Smith,SEA,QB,50,50,50,-6.76,50,12,1.0204,-338,1,No,Yes,49,0.98,0.98,No,3.284,2.4327,No,No,,,,,,,,,,,,,,17,
Drake Maye,NE,QB,34,34,34,-6.7353,34,8,1.0625,-229,1,No,No,32,0.9412,0.9412,No,3.4029,2.4594,No,No,-4,-4,-4,-4,-4,-4,-8,-8,-8,-8,-8,-4,-8,13,
Aidan O'Connell,LV,QB,10,10,10,-8.2,10,4,1,-82,1,Yes,Yes,10,1,1,No,3.28,2.39,No,No,,,,,,,,,,,,,,9,
Patrick Mahomes,KC,QB,36,36,36,-6.6389,36,14,1,-239,1,No,No,36,1,1,No,3.6111,2.6694,No,No,,,,,,,,,,,,,,16,
Matthew Stafford,LA,QB,28,28,28,-7.6071,28,3,1,-213,1,No,No,28,1,1,No,3.2143,2.5571,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,16,
Marcus Mariota,WAS,QB,3,3,3,-9.6667,3,2,1,-29,1,No,Yes,3,1,1,Yes,4.5667,2.6333,No,No,,,,,,,,,,,,,,3,
Hendon Hooker,DET,QB,1,1,1,-9,1,,1,-9,1,No,No,1,1,1,No,2.4,2.1,No,No,,,,,,,,,,,,,,3,
Tyler Huntley,MIA,QB,15,15,15,-6.1333,15,9,1.1538,-92,1,No,Yes,13,0.8667,0.8667,No,3.0267,2.3538,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,5,
Mason Rudolph,TEN,QB,11,11,11,-6.4545,11,5,1,-71,1,No,Yes,11,1,1,No,3.3364,2.6,No,No,,,,,,,,,,,,,,8,
Aaron Rodgers,NYJ,QB,40,40,40,-7.55,40,10,1,-302,1,No,Yes,40,1,1,No,3.3225,2.495,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,17,
Baker Mayfield,TB,QB,40,40,40,-6.2,40,11,1.0256,-248,1,Yes,Yes,39,0.975,0.975,Yes,3.8225,2.5256,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,17,
Deshaun Watson,CLV,QB,33,33,33,-5.7879,33,7,1,-191,1,No,Yes,33,1,1,No,3.5788,2.303,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,7,
Dak Prescott,DAL,QB,21,21,21,-5.3333,21,3,1,-112,1,No,Yes,21,1,1,No,3.3857,2.4429,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,8,
Spencer Rattler,NO,QB,23,22,22,-6.1818,22,10,1,-136,1,No,Yes,22,1,1,Yes,3.3136,2.3091,No,No,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-6,-3,-6,7,
Carson Wentz,KC,QB,4,4,4,-5.5,4,2,1,-22,1,No,Yes,4,1,1,No,3.25,2.25,No,No,,,,,,,,,,,,,,3,
Tommy DeVito,NYG,QB,6,6,6,-5.1667,6,1,1,-31,1,No,Yes,6,1,1,No,2.8833,2.3167,No,No,,,,,,,,,,,,,,3,
Derek Carr,NO,QB,8,8,8,-6,8,2,1,-48,1,Yes,Yes,8,1,1,Yes,3.3,2.5125,No,No,,,,,,,,,,,,,,10,
Bryce Young,CAR,QB,29,29,29,-6.4138,29,6,1.0357,-186,1,No,Yes,28,0.9655,0.9655,Yes,3.6552,2.5071,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,14,
Tim Boyle,NYG,QB,2,2,2,-5.5,2,1,1,-11,1,No,Yes,2,1,1,No,4.75,4.4,No,No,,,,,,,,,,,,,,3,
Jordan Love,GB,QB,14,14,14,-7.1429,14,3,1,-100,1,No,No,14,1,1,No,3.3571,2.7071,No,No,,,,,,,,,,,,,,15,
Jameis Winston,CLV,QB,24,24,24,-5.4167,24,10,1,-130,1,No,Yes,24,1,1,Yes,3.775,2.5583,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,12,0.0417
Sam Howell,SEA,QB,4,4,4,-5.25,4,,1,-21,1,Yes,Yes,4,1,1,No,4,2.3,No,No,,,,,,,,,,,,,,2,
Skylar Thompson,MIA,QB,6,6,6,-7.3333,6,3,1,-44,1,No,No,6,1,1,No,3.35,2.85,No,No,,,,,,,,,,,,,,3,
Jake Haener,NO,QB,6,6,6,-9.1667,6,3,1,-55,1,No,Yes,6,1,1,Yes,2.9333,2.5,No,No,,,,,,,,,,,,,,8,
Josh Allen,BUF,QB,14,14,14,-4.5,14,4,1,-63,1,No,No,14,1,1,No,3.55,2.0786,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,17,
Michael Penix,ATL,QB,4,4,4,-3.5,4,1,1,-14,1,No,Yes,4,1,1,No,3.425,2.475,No,No,,,,,,,,,,,,,,5,
Drew Lock,NYG,QB,12,12,12,-7.3333,12,4,1,-88,1,No,No,12,1,1,No,3.1167,2.3583,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,7,
Taylor Heinicke,LAC,QB,3,3,3,-9.3333,3,,1,-28,1,No,No,3,1,1,No,3.3333,2.0667,No,No,,,,,,,,,,,,,,4,
Jalen Hurts,PHI,QB,38,38,38,-7.1316,38,9,1,-271,1,No,No,38,1,1,No,3.9026,2.7789,No,No,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-6,-3,-6,15,0.0263
Cooper Rush,DAL,QB,13,13,13,-7.3077,13,1,1,-95,1,Yes,Yes,13,1,1,Yes,2.7462,2.1231,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,12,
Malik Willis,GB,QB,8,8,8,-4.625,8,5,1.1429,-37,1,No,Yes,7,0.875,0.875,No,5.375,3.3714,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,7,
