Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TowThrowPercentage
Trey Lance,DAL,QB,25,25,25,1,,25,1,1,0.2034,25,266,10.64,0.5677,10.64,115,,Yes,No,5,0.2,8.3012,-0.132,No,,,,,0.8,0.08,0.76,2.5,2.36,4.6,111,No,Yes,13,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,13.3,13.3,4,
Kyle Trask,TB,QB,1,1,1,1,,1,1,1,0.0587,1,5,5,1.6,5,-3,,No,No,,,0.0388,-0.0388,No,,,,,1,,1,0.8,,-3,87.5,No,No,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,4,
Kenny Pickett,PHI,QB,25,25,25,1,1,25,1,1,0.2716,25,291,11.64,0.1924,13.24,239,2,No,Yes,6,0.24,7.2663,-0.0507,No,,4,0.16,0.08,0.68,0.08,0.76,2.26,2.3,9.56,141.8,Yes,Yes,12,19.64,19.64,19.64,19.64,19.64,19.64,19.64,19.64,19.64,19.64,19.64,22.55,22.55,5,
Mike White,BUF,QB,4,3,3,1,,3,1,1,0.0965,3,28,9.3333,1.1429,9.3333,-4,,No,No,,,0.5994,-0.1998,No,,,,,1,,1,1.7333,,-1.3333,105.6,No,Yes,1,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.4,1.4,1,
Dorian Thompson-Robinson,CLV,QB,61,61,61,1,,61,1,1,0.1701,61,440,7.2131,0.5864,7.2131,182,,No,No,4,0.0656,15.6838,-0.1915,No,0.0492,,,0.0164,0.6885,0.0656,0.6885,2.0656,3.775,2.9836,96.7,No,Yes,20,17.6,17.6,17.6,17.6,17.6,20.6,20.6,17.6,17.6,17.6,17.6,22,22,7,
Lamar Jackson,BLT,QB,316,316,316,1,26,316,1,1,0.2518,316,4172,13.2025,0.5026,15.7975,2228,41,Yes,No,59,0.1867,105.704,-0.1478,Yes,0.038,28,0.0886,0.0759,0.7089,0.0791,0.6962,2.5142,2.5169,7.0506,158.3,No,Yes,198,330.88,330.88,330.88,330.88,330.88,333.88,333.88,330.88,330.88,330.88,330.88,372.6,372.6,17,
Brandon Allen,SF,QB,17,17,17,1,1,17,1,1,0.2096,17,199,11.7059,0.5729,12.8824,94,1,No,No,1,0.0588,4.0751,-0.1809,No,,,,0.1176,0.7647,0.1176,0.8824,1.9647,1.9,5.5294,135,No,No,8,11.96,11.96,11.96,11.96,11.96,11.96,11.96,11.96,11.96,11.96,11.96,13.95,13.95,3,
Jayden Daniels,WAS,QB,331,331,331,1,20,331,1,1,0.2177,331,3568,10.7795,0.5078,12.29,1845,25,Yes,No,34,0.1027,93.314,-0.1792,No,0.0816,17,0.0514,0.0453,0.7523,0.0906,0.6888,2.2094,2.55,5.574,136.8,No,Yes,170,242.72,242.72,242.72,242.72,242.72,245.72,245.72,242.72,242.72,242.72,242.72,278.4,278.4,17,
Sam Darnold,MIN,QB,362,361,361,1,20,361,1,1,0.2456,361,4319,11.964,0.4193,13.903,2575,35,No,No,66,0.1828,128.7021,-0.1737,No,0.0471,35,0.097,0.0693,0.6898,0.0665,0.7202,2.6418,2.5758,7.133,148.8,No,Yes,207,312.76,312.76,312.76,312.76,312.76,315.76,315.76,312.76,312.76,312.76,312.76,355.95,355.95,17,
Andy Dalton,CAR,QB,106,106,106,1,6,106,1,1,0.2093,106,989,9.3302,0.4692,10.6509,549,7,Yes,No,17,0.1604,31.0573,-0.1326,No,0.0377,7,0.066,0.0472,0.6509,0.2642,0.7075,2.2736,2.5412,5.1792,127.6,No,Yes,50,67.56,67.56,67.56,67.56,67.56,70.56,70.56,67.56,67.56,67.56,67.56,77.45,77.45,6,
Trevor Lawrence,JAX,QB,172,172,172,1,8,172,1,1,0.2445,172,2045,11.8895,0.4244,13.1686,1222,11,No,No,22,0.1279,50.2126,-0.164,No,0.0523,19,0.1105,0.064,0.8081,0.093,0.7326,2.2674,2.3773,7.1047,137.5,No,Yes,97,125.3,125.3,125.3,125.3,125.3,128.3,128.3,125.3,125.3,125.3,125.3,145.75,145.75,10,
Bo Nix,DEN,QB,378,376,376,1,18,376,1,1,0.2048,376,3775,10.0399,0.5645,11.5824,1746,29,Yes,No,44,0.117,120.1243,-0.2025,No,0.0984,30,0.0798,0.0399,0.641,0.1516,0.7154,2.4271,2.5182,4.6436,134.2,No,Yes,170,273.2,274.2,273.7,274.2,274.2,277.2,276.7,274.2,274.2,274.2,273.7,311.95,311.95,17,0.0027
Bailey Zappe,CLV,QB,16,16,16,1,,16,1,1,0.1929,16,170,10.625,0.5882,11.875,70,1,No,No,2,0.125,4.4676,-0.1542,No,0.1875,,,,0.75,0.0625,0.9375,2.1938,2.75,4.375,131.8,No,Yes,8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,12.5,12.5,1,
Anthony Richardson,IND,QB,126,126,126,1,2,126,1,1,0.2677,126,1814,14.3968,0.4432,15.6667,1025,8,No,No,22,0.1746,38.453,-0.1306,No,0.0794,12,0.0952,0.0952,0.8333,0.0317,0.7063,2.3437,2.3273,8.1349,139.9,No,Yes,73,104.46,105.46,104.96,105.46,105.46,108.46,107.96,105.46,105.46,105.46,104.96,123.6,123.6,11,0.0079
Russell Wilson,PIT,QB,214,214,214,1,9,214,1,1,0.2254,214,2482,11.5981,0.4795,13.0935,1324,16,No,No,38,0.1776,64.0035,-0.1215,No,0.014,22,0.1028,0.0888,0.6822,0.1495,0.743,2.3089,2.3132,6.1869,139.9,No,Yes,112,163.28,163.28,163.28,163.28,163.28,166.28,166.28,163.28,163.28,163.28,163.28,188.1,188.1,11,
Joe Burrow,CIN,QB,460,460,460,1,24,460,1,1,0.2255,460,4918,10.6913,0.4585,12.5609,2777,43,Yes,No,90,0.1957,143.6178,-0.1166,No,0.0152,22,0.0478,0.0761,0.6783,0.1022,0.7326,2.385,2.4111,6.037,142.4,No,Yes,253,368.72,368.72,368.72,368.72,368.72,371.72,371.72,368.72,368.72,368.72,368.72,417.9,417.9,17,
Joshua Dobbs,SF,QB,32,32,32,1,,32,1,1,0.2702,32,361,11.2812,0.2798,12.5312,260,2,No,No,2,0.0625,6.1578,-0.1299,No,0.0312,3,0.0938,,0.6875,,0.7188,1.6906,2.1,8.125,134.5,No,Yes,18,22.44,22.44,22.44,22.44,22.44,25.44,25.44,22.44,22.44,22.44,22.44,26.05,26.05,2,
