Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TowThrowPercentage
Gardner Minshew,LV,QB,203,203,203,1,4,203,1,1,0.1969,203,2013,9.9163,0.5604,10.803,900,9,Yes,No,33,0.1626,57.8773,-0.1225,No,0.0542,8,0.0394,0.0099,0.7291,0.1133,0.665,2.2279,2.2636,4.4335,122.8,No,Yes,106,116.52,116.52,116.52,116.52,116.52,119.52,119.52,116.52,116.52,116.52,116.52,136.65,136.65,10,
Tua Tagovailoa,MIA,QB,291,291,291,1,8,291,1,1,0.1921,291,2867,9.8522,0.5999,11.1581,1175,19,No,No,47,0.1615,76.388,-0.101,No,0.0412,8,0.0275,0.0241,0.732,0.1168,0.7732,2.0966,2.2043,4.0378,129.5,No,Yes,161,190.68,190.68,190.68,190.68,190.68,193.68,193.68,190.68,190.68,190.68,190.68,219.35,219.35,11,
Brock Purdy,SF,QB,300,300,300,1,9,300,1,1,0.2545,300,3864,12.88,0.4273,14.2133,2249,20,No,No,64,0.2133,99.0932,-0.117,No,0.0167,21,0.07,0.0533,0.7267,0.0733,0.64,2.4893,2.6406,7.4967,141,No,Yes,178,234.56,234.56,234.56,234.56,234.56,237.56,237.56,234.56,234.56,234.56,234.56,273.2,273.2,15,
Justin Fields,PIT,QB,106,106,106,1,1,106,1,1,0.2116,106,1106,10.434,0.4783,11.3774,580,5,No,No,21,0.1981,37.2501,-0.1533,No,0.0189,6,0.0566,0.0189,0.6604,0.1887,0.7358,2.6123,2.5667,5.4717,125.9,No,No,45,64.24,64.24,64.24,64.24,64.24,67.24,67.24,64.24,64.24,64.24,64.24,75.3,75.3,10,
Nick Mullens,MIN,QB,3,2,2,1,,2,1,1,0.2895,2,38,19,0.4737,19,20,,No,No,1,0.5,0.5606,0.2197,No,,,,,1,,0.5,2.2,2,10,118.8,No,No,2,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.9,1.9,4,
Patrick Mahomes,KC,QB,392,392,392,1,15,392,1,1,0.1925,392,3928,10.0204,0.5922,11.3469,1667,26,No,No,63,0.1607,113.2284,-0.1281,No,0.1046,13,0.0332,0.0255,0.7015,0.0944,0.6735,2.2487,2.7349,4.2526,130.5,No,Yes,214,261.32,262.32,261.82,262.32,262.32,265.32,264.82,262.32,262.32,262.32,261.82,301.6,301.6,16,
Matthew Stafford,LA,QB,340,340,340,1,12,340,1,1,0.2257,340,3762,11.0647,0.4665,12.2412,2039,20,No,No,48,0.1412,108.6707,-0.1784,No,0.0265,24,0.0706,0.0676,0.7147,0.0794,0.7588,2.4279,2.3313,5.9971,132.4,No,Yes,176,230.48,230.48,230.48,230.48,230.48,233.48,233.48,230.48,230.48,230.48,230.48,268.1,268.1,16,
Aidan O'Connell,LV,QB,154,154,154,1,4,154,1,1,0.2207,154,1612,10.4675,0.456,11.5065,891,8,No,No,26,0.1688,45.5122,-0.1267,No,0.0325,14,0.0909,0.0714,0.6883,0.0649,0.7078,2.2883,2.2962,5.7857,127.6,No,Yes,78,96.48,96.48,96.48,96.48,96.48,99.48,99.48,96.48,96.48,96.48,96.48,112.6,112.6,9,
Tyson Bagent,CHI,QB,2,2,2,1,,2,1,1,0.1159,2,11,5.5,1,5.5,,,Yes,No,,,0.3191,-0.1595,No,0.5,,,,1,,1,1.5,,,89.6,No,Yes,1,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,4,
Geno Smith,SEA,QB,408,407,407,1,12,407,1,1,0.2155,407,4320,10.6143,0.5111,11.6462,2169,21,No,No,66,0.1622,128.0167,-0.1524,Yes,0.0319,28,0.0688,0.0541,0.6462,0.1081,0.7101,2.3981,2.503,5.3292,128.1,Yes,Yes,209,256.8,256.8,256.8,256.8,256.8,259.8,259.8,256.8,256.8,256.8,256.8,300,300,17,
