id,name,pos,team,avoidedTackles,jukes,openFieldYards,powerSuccessRate,secondLevelYards,stuffedAttempts,success,winYards,yardsAfterContact,yardsBeforeContact,adjustedLineYards,adjustedLineYardsAvg,dvoa,dyar,epa,goalLineAttempts,goalLineTouchdowns,redZoneAttempts
00-0032764,Derrick Henry,RB,BAL,77,4,1042,0.697,428,45,155,1204,1121,800,1571.6748300000015,4.8359,0.2919,536.8270000000002,32.78199999999999,20,7,56
00-0034796,Lamar Jackson,QB,BAL,20,5,591,0.9091,254,28,69,194,171,724,0,0,0.1316,97.58800000000004,6.666999999999996,1,0,20
00-0037197,Isiah Pacheco,RB,DET,6,1,55,0.4545,129,12,31,188,183,127,339.9340799999999,4.0956,-0.0232,23.163999999999987,-15.916000000000004,3,1,10
00-0039894,Xavier Worthy,WR,KC,7,1,42,0,32,2,12,57,51,53,0,0,0.2667,76.529,2.9600000000000004,1,0,7
00-0039064,Zay Flowers,WR,BAL,2,1,19,0,32,1,5,33,27,29,0,0,0.2202,29.522000000000002,3.583,0,0,2
00-0034975,Justice Hill,RB,BAL,11,3,131,1,36,12,20,135,128,95,166.51536000000007,3.5429,0.089,33.917,-3.852000000000001,1,0,6
00-0033873,Patrick Mahomes,QB,KC,1,1,192,1,130,20,28,25,20,287,0,0,-0.2073,-0.432,21.096999999999998,1,1,10
00-0039325,,,,6,0,0,0.6667,82,8,26,115,115,68,226.86759000000004,4.0512,-0.227,-37.93100000000002,-11.709000000000001,4,0,10
00-0035700,Josh Jacobs,RB,GB,74,6,539,0.6296,375,45,118,925,884,445,1278.5203199999992,4.2617,0.0646,197.24300000000014,-29.921000000000028,22,9,59
00-0034844,Saquon Barkley,RB,PHI,61,10,1072,0.5,575,59,152,1088,958,1047,1440.9297599999995,4.1766,0.0862,251.42800000000022,31.71399999999999,17,2,61
00-0036389,Jalen Hurts,QB,PHI,12,4,318,0.7727,214,44,85,139,99,531,0,0,-0.0445,46.87800000000001,41.10799999999999,19,11,49
00-0038797,Emanuel Wilson,RB,SEA,23,2,199,0.5,179,14,52,313,288,214,491.92080000000016,4.7759,0.1668,112.91499999999998,6.7989999999999995,5,2,14
00-0039146,Jayden Reed,WR,GB,5,2,132,0,17,5,10,99,61,102,0,0,0.1902,59.80600000000002,-2.8729999999999993,0,0,3
00-0036919,Kenneth Gainwell,RB,TB,16,2,152,0.25,42,12,17,188,184,106,265.37046,3.5383,-0.2562,-46.67100000000001,-11.499,3,0,23
00-0038542,Brian Robinson Jr.,RB,ATL,68,12,522,0.7143,553,42,150,948,862,594,1334.2223699999988,4.418,0.1711,346.0459999999999,9.920000000000002,17,6,60
00-0037263,Tyler Allgeier,RB,ARI,27,2,280,0.6111,198,23,67,415,391,253,594.1796399999996,4.3371,0.0712,100.18200000000006,-0.047999999999998655,6,1,25
00-0036945,Justin Fields,QB,KC,8,0,123,0.5833,107,15,34,109,109,180,0,0,0.0238,28.422000000000004,2.1909999999999985,7,1,17
00-0036893,,,,57,8,467,0.6429,282,50,93,816,689,354,1096.47381,4.1691,-0.0559,32.808999999999976,-23.186999999999998,12,3,51
00-0030578,,,,10,2,71,0,32,5,13,124,112,23,140.83644,4.4011,-0.2092,-15.002999999999998,-7.844,1,0,1
00-0037228,Jaylen Warren,RB,PIT,26,1,186,0.5714,169,21,43,366,344,167,539.24604,4.4937,0.0906,85.14599999999997,-18.068000000000005,4,0,17
00-0037247,George Pickens,WR,DAL,0,0,0,0,0,1,0,8,8,-14,0,0,-1.5075,-11.235,-1.805,0,0,0
00-0029604,Kirk Cousins,QB,LV,0,0,13,1,0,18,3,5,5,-5,0,0,-0.3268,-4.053000000000001,-17.233,0,0,3
00-0033553,James Conner,RB,ARI,66,3,549,0.55,354,43,100,753,719,375,966.3435000000005,4.0947,0.0479,136.452,-8.726,12,4,51
00-0035228,Kyler Murray,QB,MIN,5,0,360,0.5714,149,13,39,43,43,529,0,0,0.4752,90.714,17.759000000000007,1,1,13
00-0037248,James Cook III,RB,BUF,41,5,443,0.5833,285,33,88,596,548,461,932.7967800000001,4.5063,0.1806,239.14900000000006,7.919000000000001,15,5,48
