id,name,pos,team,catchableTargets,contestedReceptions,contestedTargets,createdCatches,drops,explosiveReceptions,explosiveTouchdowns,explosiveYards,firstReadTargets,missedTackles,success,dvoa,dyar,epa,endZoneTargets,endZoneTouchdowns,redZoneTargets,redZoneTouchdowns,airYards,catchableAirYards,droppedAirYards,prayerYards,deepReceptions,deepTargets,deepTouchdowns,deepYards,backfieldRoutes,backfieldYards,closingCoverage,emptyRouteCoverage,emptyRouteYards,inlineRoutes,inlineYards,manCoverage,manYards,offlineRoutes,offlineYards,openCoverage,outWideRoutes,outWideYards,singleHighRoutes,singleHighYards,slotRoutes,slotYards,stepSeparation,tightCoverage,twoHighRoutes,twoHighYards,wideOpen,zeroCoverageRoutes,zeroCoverageYards,zoneCoverage,zoneYards
00-0034975,Justice Hill,RB,BAL,42,1,2,0,0,3,1,73,5,7,24,0.4216,130.93499999999997,14.123999999999992,1,1,8,2,0,-55,0,21,1,2,0,24,244,344,3,1,0,0,0,113,172,3,13,18,8,6,143,142,11,20,0,3,103,182,26,19,59,152,211
00-0032764,Derrick Henry,RB,BAL,19,0,0,0,0,2,0,50,3,6,14,0.5795,95.44200000000001,9.009000000000002,1,0,5,2,0,-23,0,-2,0,0,0,0,205,193,3,1,0,1,0,113,84,1,0,12,3,0,143,113,0,0,0,0,50,75,7,16,5,96,109
00-0039064,Zay Flowers,WR,BAL,82,8,16,2,3,19,1,545,54,16,62,0.0742,176.56599999999995,45.604000000000006,9,3,7,3,0,655,26,552,8,23,1,268,9,-2,14,2,9,0,0,201,520,0,0,41,274,731,256,796,147,330,7,34,145,211,19,27,43,227,530
00-0039067,Rashee Rice,WR,KC,26,1,2,0,1,3,1,104,20,3,19,0.2219,81.936,16.471999999999994,0,0,2,1,0,120,3,31,2,2,1,71,1,0,0,0,0,0,0,40,103,0,0,16,40,149,44,145,41,139,5,3,37,143,5,1,0,42,185
00-0037838,Isaiah Likely,TE,NYG,44,3,9,0,0,4,1,142,31,6,37,0.1652,91.53700000000002,27.709000000000007,9,4,13,5,0,247,0,220,1,5,0,26,6,15,4,0,0,10,1,143,253,82,189,25,43,17,182,320,156,255,5,10,95,144,12,20,13,154,224
00-0037197,Isiah Pacheco,RB,DET,13,0,2,0,1,1,0,23,3,2,6,-0.1504,-1.0829999999999975,-1.8509999999999998,0,0,1,0,0,-29,11,7,0,0,0,0,96,79,1,0,0,0,0,50,67,0,0,8,9,0,63,40,4,0,0,2,43,39,5,3,0,59,12
00-0036637,Noah Gray,TE,KC,41,4,5,2,1,6,1,158,22,3,34,0.3062,131.92500000000004,23.174999999999997,6,4,10,4,0,227,0,82,1,2,1,35,10,1,4,3,0,73,182,147,172,117,70,25,42,32,176,205,86,152,2,9,131,185,9,18,47,178,265
00-0033857,,,,20,1,6,0,0,3,0,107,18,3,14,0.1429,52.704,1.283999999999999,2,0,6,2,0,91,0,52,0,0,0,0,2,0,1,3,0,0,0,130,112,2,0,8,140,137,132,135,101,94,3,7,99,96,7,11,0,112,119
00-0030506,Travis Kelce,TE,KC,107,5,14,0,6,10,0,240,77,2,75,-0.1348,-56.86599999999995,21.576,5,3,26,3,0,528,25,355,3,8,0,88,6,15,20,2,7,56,40,256,397,135,206,56,133,283,298,494,230,304,17,25,235,319,13,25,28,302,444
00-0039894,Xavier Worthy,WR,KC,70,3,9,2,3,4,2,141,57,6,52,-0.1055,16.586000000000006,20.300000000000004,9,2,18,4,0,395,24,509,3,17,2,120,17,23,7,3,11,0,0,220,369,0,0,42,291,422,251,431,167,193,13,21,202,162,15,19,34,252,258
00-0036550,Rashod Bateman,WR,BAL,52,3,8,4,3,11,4,373,41,6,38,0.2803,223.93699999999998,44.977999999999994,10,7,9,6,0,686,61,287,7,15,4,278,0,0,8,2,0,0,0,203,257,0,0,30,371,611,246,433,41,145,6,18,137,286,7,27,37,207,499
00-0034386,,,,26,2,5,2,3,2,0,74,19,0,20,0.1201,59.31899999999998,19.088,4,2,4,2,0,304,77,182,1,7,0,49,0,0,4,2,0,1,0,181,92,4,14,13,240,181,205,204,124,94,7,6,145,85,2,17,0,186,197
00-0034753,Mark Andrews,TE,BAL,59,7,10,8,1,6,0,205,42,5,49,0.5808,288.28399999999993,50.101,10,9,16,11,0,527,10,204,3,9,0,91,1,0,8,1,0,33,38,171,390,37,117,24,57,117,212,434,221,401,10,18,113,226,9,23,13,177,283
00-0033526,Samaje Perine,RB,CIN,29,0,1,0,1,5,0,137,2,5,17,0.361,99.57,14.763,2,1,3,1,0,5,-4,6,0,0,0,0,203,272,2,0,0,0,0,111,138,4,14,17,7,0,118,131,5,11,0,4,89,166,12,12,0,108,159
00-0031549,,,,18,2,10,1,1,5,0,156,13,2,12,-0.0955,6.608999999999994,7.087999999999999,2,2,2,2,0,225,15,162,2,9,0,55,0,0,6,1,0,0,0,83,124,8,0,6,83,94,106,152,104,137,2,10,72,62,4,16,17,111,107
00-0033873,Patrick Mahomes,QB,KC,0,0,0,0,0,0,0,0,0,0,0,-1.0927,-4.355,-0.403,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,2
00-0038124,Christian Watson,WR,GB,33,5,14,5,2,12,1,455,41,1,23,0.0809,85.313,18.764999999999993,7,1,8,1,0,582,45,362,7,17,1,288,1,0,8,1,0,0,0,145,491,2,0,8,166,450,155,425,89,170,10,24,85,183,2,17,12,112,129
00-0037816,Romeo Doubs,WR,NE,53,5,12,7,4,8,2,207,60,4,42,0.1408,151.56,28.680000000000007,7,3,11,3,0,560,56,326,5,15,1,144,0,0,10,1,0,0,0,177,400,1,0,26,293,515,185,375,48,86,9,24,135,166,2,21,60,164,201
00-0035676,A.J. Brown,WR,NE,71,10,21,2,2,17,4,522,86,16,60,0.3042,324.33200000000016,61.81,13,5,11,4,0,759,13,409,7,16,4,279,0,0,13,0,0,0,0,201,785,0,0,26,265,1008,217,768,59,71,18,38,94,306,2,13,5,123,294
00-0036912,DeVonta Smith,WR,PHI,71,5,10,4,2,14,5,414,66,10,51,0.2144,235.32200000000012,57.746,9,6,12,3,0,562,22,247,5,11,3,187,1,0,15,0,0,0,0,222,484,3,0,36,155,461,224,536,194,372,15,14,109,285,6,20,12,131,349
00-0038393,Dontayvion Wicks,WR,PHI,49,5,14,1,5,4,1,117,56,6,33,-0.2057,-47.242000000000026,-7.762999999999998,8,3,14,4,0,396,49,484,2,14,1,66,1,0,14,0,0,0,0,136,117,4,-1,24,184,298,161,245,96,118,8,25,106,166,3,18,4,149,298
00-0035700,Josh Jacobs,RB,GB,36,1,1,0,0,5,0,135,3,14,21,0.2828,103.876,3.261,1,0,4,1,0,-61,0,20,0,0,0,0,272,289,9,1,0,0,0,151,41,4,0,19,15,23,174,223,7,30,0,6,106,119,9,17,0,146,301
00-0034351,Dallas Goedert,TE,PHI,46,2,4,0,3,6,0,209,34,4,30,-0.1082,-12.965,19.363,5,1,9,2,0,286,38,57,2,2,0,75,1,0,14,0,0,43,60,131,378,57,129,25,27,135,129,415,83,172,7,6,70,79,0,12,2,80,118
00-0039146,Jayden Reed,WR,GB,63,3,7,5,6,15,1,553,36,4,41,0.2943,239.307,42.08099999999999,4,4,11,5,0,532,7,148,12,16,1,478,33,73,13,0,0,0,0,187,242,5,56,30,79,85,203,477,252,643,6,16,143,363,10,23,17,182,615
00-0038996,Tucker Kraft,TE,GB,55,2,6,2,4,11,1,357,27,13,42,0.3201,179.19200000000004,36.193999999999996,5,2,15,6,0,285,14,89,3,4,0,128,4,3,7,1,1,79,291,228,378,164,219,34,62,12,254,516,136,182,2,15,165,175,10,25,15,216,328
00-0034844,Saquon Barkley,RB,PHI,36,1,2,1,2,4,1,121,6,10,19,0.0386,43.99700000000001,12.200000000000006,2,2,11,2,0,60,23,38,1,3,1,20,297,272,5,0,0,0,0,204,169,1,0,24,13,0,204,139,14,6,4,3,102,140,7,19,-1,121,109
00-0039144,Luke Musgrave,TE,GB,7,0,1,0,0,0,0,0,7,0,3,-0.2419,-10.213000000000001,-4.7970000000000015,0,0,1,0,0,27,0,39,0,1,0,0,1,0,5,1,0,13,0,25,4,26,18,3,14,4,35,14,12,23,0,2,25,31,0,5,0,40,41
00-0039236,,,,7,0,3,0,0,0,0,0,8,1,5,-0.5753,-51.041000000000004,-1.1549999999999998,3,1,3,1,0,29,0,118,0,1,0,0,3,0,4,0,0,0,0,87,14,8,0,2,99,29,94,29,43,9,1,8,49,9,0,10,0,66,24
00-0036919,Kenneth Gainwell,RB,TB,16,0,1,0,0,0,0,0,3,8,9,-0.098,4.666,2.3479999999999994,0,0,3,0,0,8,0,15,0,0,0,0,118,96,4,0,0,0,0,76,52,1,0,13,17,20,94,55,3,0,1,2,41,61,2,4,0,63,64
00-0038797,Emanuel Wilson,RB,SEA,12,0,1,0,0,1,1,30,0,2,2,-0.4594,-19.615000000000002,-3.51,0,0,2,0,0,-54,0,-9,0,0,0,0,103,48,4,0,0,0,0,57,-1,1,0,6,11,0,67,45,4,0,0,2,47,3,2,5,0,62,49
00-0037086,,,,26,1,3,1,0,6,0,164,15,1,20,0.2079,54.82000000000002,15.895,1,1,2,1,0,180,0,40,2,3,0,56,7,0,6,0,0,63,105,166,127,69,49,12,22,10,182,206,118,134,4,6,81,88,2,16,4,113,171
00-0037741,Jahan Dotson,WR,ATL,21,1,5,1,0,2,0,63,17,4,14,-0.1597,-7.969,-1.146999999999999,2,0,1,0,0,156,0,171,2,6,0,63,6,14,7,0,0,0,0,215,131,1,0,11,258,193,231,171,100,9,3,10,118,42,1,16,3,150,85
00-0036309,Darnell Mooney,WR,NYG,70,10,23,4,2,21,4,577,84,7,57,0.1091,196.16399999999996,43.345,4,1,6,1,0,808,39,510,14,24,2,377,15,23,14,0,0,0,0,232,547,0,0,33,299,678,280,537,199,291,9,38,210,378,10,23,77,281,445
00-0037238,Drake London,WR,ATL,113,22,44,10,5,12,3,312,128,12,89,0.0697,239.43199999999993,38.229,18,6,26,7,0,1076,40,623,8,21,2,212,2,0,12,0,0,0,0,239,606,3,0,49,324,701,295,675,214,570,15,71,226,537,6,22,59,304,665
00-0038542,Brian Robinson Jr.,RB,ATL,63,0,2,2,2,3,0,81,9,15,34,0.067,76.832,7.649999999999995,0,0,7,1,0,-96,4,75,0,2,0,0,433,360,8,0,0,0,0,215,178,5,0,35,19,31,252,279,21,40,3,5,206,152,21,20,0,263,253
00-0036415,,,,25,3,7,1,1,4,0,135,32,5,18,-0.1543,-8.748000000000017,2.0730000000000004,4,2,8,2,0,202,4,263,2,9,0,71,2,1,6,2,0,0,0,195,154,0,0,12,270,241,198,129,83,34,1,18,138,101,3,17,46,158,122
00-0036893,,,,41,1,3,0,4,4,0,97,1,9,23,-0.0481,23.902000000000015,4.2299999999999995,0,0,4,0,0,-49,0,-21,0,0,0,0,205,206,9,2,5,0,0,112,58,16,77,17,6,0,123,104,1,0,1,5,93,157,15,10,17,114,220
00-0036894,Pat Freiermuth,TE,PIT,68,9,10,2,3,7,2,168,53,4,45,0.2502,154.18100000000007,35.902999999999984,4,2,14,6,0,407,33,70,1,1,0,21,2,7,12,2,0,24,20,234,313,105,146,27,68,89,240,302,234,393,17,15,173,350,6,18,3,197,342
00-0037247,George Pickens,WR,DAL,69,13,29,10,6,17,0,575,80,9,43,-0.0923,27.18599999999999,27.92000000000001,13,2,16,3,0,767,49,644,14,30,0,499,0,0,21,1,0,0,0,220,581,0,0,21,309,599,212,602,95,297,11,46,173,292,3,18,2,183,315
00-0036429,,,,8,1,2,0,0,0,0,0,4,0,5,-0.4154,-26.296999999999997,-5.706,0,0,0,0,0,27,0,8,0,0,0,0,4,0,2,0,0,46,11,50,24,32,9,3,13,0,79,36,30,26,2,3,44,10,1,2,0,75,22
00-0037228,Jaylen Warren,RB,PIT,39,0,1,0,1,3,0,76,2,8,22,0.0142,39.56099999999999,1.355,1,0,7,0,0,-6,-1,11,0,0,0,0,230,271,6,0,0,0,0,152,130,22,28,19,4,0,145,188,2,11,1,5,105,122,17,8,0,106,180
00-0034407,,,,72,4,14,5,3,8,0,233,36,6,45,-0.1233,2.144999999999976,5.6259999999999994,2,1,6,1,0,435,13,154,1,4,0,42,16,35,17,0,0,0,0,245,285,1,0,27,303,452,295,419,229,199,7,24,230,265,10,24,2,304,401
00-0036970,Kyle Pitts Sr.,TE,ATL,54,3,17,2,3,7,2,265,42,7,36,-0.0726,0.021000000000001462,6.942,9,2,13,2,0,378,20,245,2,7,0,73,2,0,6,0,0,66,82,204,184,110,173,28,100,130,240,421,183,217,5,27,200,181,7,21,0,257,418
00-0037837,Calvin Austin III,WR,NYG,41,4,9,2,4,10,4,332,33,1,28,0.0804,88.475,24.14,5,2,5,0,0,421,23,297,6,14,3,196,3,0,6,1,0,0,0,203,256,0,0,20,137,253,194,296,215,295,5,24,149,246,3,11,6,151,292
00-0031585,,,,6,0,0,0,0,0,0,0,4,0,4,-0.432,-25.802999999999997,-8,1,1,1,1,0,24,0,9,0,0,0,0,9,0,2,0,0,12,0,45,19,44,31,3,3,9,51,18,9,0,4,1,22,21,0,4,1,32,21
00-0038558,Darnell Washington,TE,PIT,19,2,3,0,0,3,0,74,12,4,15,0.1131,30.901000000000003,8.605000000000002,2,1,2,1,0,74,0,34,0,1,0,0,1,0,3,1,0,103,111,103,92,83,53,6,13,19,129,156,12,17,2,8,73,39,5,9,5,108,108
00-0033553,James Conner,RB,ARI,50,1,1,0,2,4,0,135,7,18,30,0.1125,79.57499999999997,5.555,0,0,5,1,0,-76,-1,-27,0,0,0,0,273,412,3,0,0,0,0,149,172,0,0,34,27,2,169,238,9,0,2,5,120,176,11,20,0,160,242
00-0035500,Greg Dortch,WR,DET,39,2,4,1,2,2,1,62,24,10,25,-0.1105,5.982000000000005,7.383000000000001,2,2,8,2,0,56,8,151,0,4,0,0,14,11,8,0,0,0,0,125,137,0,0,23,85,53,167,204,172,278,6,8,94,138,3,10,0,146,205
00-0039849,Marvin Harrison Jr.,WR,ARI,80,10,35,9,3,14,3,360,102,0,58,-0.0424,75.45200000000006,27.309999999999988,19,7,14,5,0,963,28,603,9,26,3,252,1,0,20,0,0,0,0,248,452,0,0,31,369,645,301,561,137,240,9,54,182,301,2,24,23,259,433
