id,name,pos,team,accurateThrows,adjustedCompletionPercentage,battedPasses,cleanPocketDropbacks,drops,explosiveInterceptions,explosiveThrows,explosiveTouchdowns,explosiveYards,highlightThrows,qbHits,spikes,successfulPlays,throwaways,yardsAfterCatch,dvoa,dyar,epa,turnover_battedPasses,brokenPasses,intWorthyThrows,pickSixes,turnover_throwaways,endZoneCompletions,endZoneInterceptions,endZoneThrows,endZoneTouchdowns,redZoneCompletions,redZoneInterceptions,redZoneThrows,redZoneTouchdowns,airYards,alex,catchableAirYards,droppedAirYards,prayerYards,twentyPlusCompletions,twentyPlusPassingYards,twentyPlusThrows,twentyPlusTouchdowns,closingCoverage,emptyRouteCoverage,manCoverage,manYards,openCoverage,singleHighRoutes,singleHighYards,stepSeparation,tightCoverage,twoHighRoutes,twoHighYards,wideOpen,zeroCoverageRoutes,zeroCoverageYards,zoneCoverage,zoneYards,adjustedSackRate,avoidedSacks,blitzes,pressures,qbFaultSacks,pressure_qbHits,sacks,scrambles,timeToPressure,timeToThrow
16,,,,403,0.7796,12,402,14,4,52,7,1589,12,109,3,276,20,2018,0.0646,510.7840000000007,3.7860000000000076,12,68,17,0,20,17,4,50,17,49,2,89,17,4289,-1.5202,2246,137,2043,25,884,74,5,43,4,378,2251,234,278,1862,60,150,333,1613,69,42,240,275,1464,0.0703,8,234,229,17,109,39,49,543.3000000000004,1490.4000000000003
3,,,,433,0.7433,10,474,21,2,58,11,1702,19,115,1,289,27,1941,-0.005,443.5920000000014,22.976000000000006,10,82,29,2,27,14,2,55,14,40,3,85,16,5119,-0.432,2951,151,2168,28,877,74,7,100,3,355,1924,175,408,2462,50,204,262,1536,69,34,144,349,2218,0.0848,10,179,210,17,115,53,28,522.6100000000001,1691.9700000000007
24,,,,375,0.7377,15,407,23,7,35,6,1076,5,80,2,227,18,1590,-0.1044,465.91400000000044,-52.08999999999999,15,86,21,1,18,15,1,33,15,47,1,75,16,4004,-1.6033,1994,149,2010,17,581,69,4,92,4,369,1645,209,366,1737,62,130,227,1109,33,23,107,247,1308,0.0756,7,150,189,14,80,41,37,444.4000000000002,1387.9999999999989
12,,,,415,0.7734,7,415,15,8,48,4,1239,8,87,3,292,22,1890,0.0038,510.063,-50.18199999999993,7,56,24,1,22,17,2,34,17,37,3,63,19,4156,-1.7257,2373,94,1783,16,470,52,3,99,4,209,1005,209,345,1867,38,135,285,1745,59,12,39,433,2646,0.0796,19,146,213,16,87,45,36,532.8000000000001,1479.1800000000003
25,,,,409,0.7638,21,426,19,5,47,3,1385,21,103,1,289,17,1965,-0.0124,463.16499999999985,-4.755000000000045,21,76,20,0,17,16,2,41,16,42,3,82,20,4209,-1.7801,2401,131,1808,17,597,54,2,74,5,282,1714,217,376,2234,45,162,244,1618,56,11,22,349,2160,0.0704,10,186,201,2,103,40,14,468.89999999999986,1527.300000000001
2,,,,426,0.7928,7,465,13,4,44,7,1310,23,73,3,280,22,1945,0.1557,346.3280000000002,26.33599999999997,7,64,15,3,22,17,2,48,17,73,1,104,27,4111,-2.0744,2272,118,1839,20,667,59,6,66,4,334,1916,187,369,2136,54,161,245,1586,89,36,95,316,1901,0.0571,10,184,155,14,73,31,45,369.6200000000002,1511.7099999999982
4,,,,437,0.8085,6,418,22,5,43,6,1200,21,92,4,289,23,2057,0.0426,432.10899999999975,18.035000000000064,6,56,23,2,23,15,1,40,15,55,3,92,23,3795,-2.391,2506,134,1289,18,617,48,5,63,6,241,1287,228,307,1799,68,126,308,1966,84,19,58,393,2536,0.0692,14,140,212,21,92,37,23,510.98000000000013,1495.1100000000004
1,,,,406,0.7847,13,446,20,1,46,4,1250,8,73,2,282,15,1937,0.0459,587.9590000000001,19.125000000000007,13,61,9,0,15,10,1,43,10,43,1,87,17,3711,-1.8145,2266,175,1445,19,593,48,2,66,2,251,1430,231,327,2248,54,134,252,1268,38,38,158,366,2244,0.0779,15,181,154,16,73,41,39,416.99999999999983,1467.1099999999997
6,,,,354,0.768,8,365,16,4,57,5,1721,17,97,0,249,29,1914,0.0421,556.377,-4.211999999999913,8,64,17,1,29,12,1,36,12,34,2,71,12,3979,-1.0099,2327,121,1652,25,890,60,4,77,2,229,1329,151,315,2323,38,139,236,1330,76,13,22,335,2346,0.0795,26,147,193,22,97,40,23,480.4700000000001,1368.0799999999988
31,,,,344,0.7832,8,366,22,6,42,6,1224,11,66,2,227,15,1707,0.1251,425.834,28.635000000000005,8,51,12,0,15,19,0,40,19,52,0,83,21,3377,-1.7146,1764,163,1613,14,462,51,4,92,3,274,1545,159,272,1655,41,121,241,1231,42,30,117,269,1458,0.0761,19,156,162,14,66,32,41,418.09000000000015,1163.0300000000002
19,,,,381,0.7485,9,424,20,3,45,5,1306,10,62,1,262,22,1686,0.2416,485.30600000000044,88.57599999999991,9,70,12,0,22,13,4,52,13,44,1,73,22,4563,-0.0432,2469,199,2094,21,704,73,4,68,2,323,1654,202,378,2069,46,147,180,1284,47,31,233,266,1932,0.0525,7,205,149,4,62,28,30,375.5999999999999,1394.4000000000003
7,,,,403,0.7638,12,439,16,3,48,12,1447,17,102,4,273,22,2011,0.137,201.94000000000057,35.42899999999997,12,72,20,2,22,21,1,35,21,35,3,55,18,4215,-1.4363,2294,126,1921,18,600,58,10,84,5,315,1733,206,317,1812,59,142,295,1786,58,35,192,332,2057,0.0663,17,183,194,14,102,36,43,460.66,1497.6799999999996
13,,,,368,0.7002,9,411,22,7,49,16,1681,14,96,1,234,17,2001,-0.0982,384.2740000000003,-38.986000000000054,9,83,29,1,17,11,0,30,11,31,3,53,16,4971,-0.0144,2271,175,2700,17,678,84,9,61,5,310,1609,225,357,1981,70,143,250,1339,46,24,98,321,1809,0.0903,24,159,207,29,96,49,33,513.4000000000001,1401.6699999999996
14,,,,405,0.7947,8,439,13,6,47,7,1523,14,79,3,275,22,2010,0.1178,323.01899999999966,35.47299999999998,8,54,22,0,22,12,2,27,12,49,2,74,21,3948,-1.611,2329,37,1619,23,860,55,3,92,3,255,1332,201,325,2065,32,145,272,1813,54,14,21,356,2567,0.0661,12,116,156,13,79,36,33,398.6500000000002,1395.5100000000014
15,,,,429,0.7708,9,466,18,1,71,14,2206,18,66,0,285,28,2287,0.3497,178.5609999999996,113.31200000000021,9,72,17,0,28,15,2,39,15,44,3,77,16,4528,-1.05,2671,102,1857,33,1151,74,8,64,2,384,2521,223,327,2347,60,156,318,1988,55,11,33,272,1847,0.0586,24,96,164,8,66,34,44,442.46999999999974,1588.9400000000007
17,,,,398,0.7764,18,411,24,0,42,5,1230,15,78,6,279,29,1976,0.065,273.05400000000003,-12.604000000000013,18,64,11,0,29,12,0,38,12,43,1,83,17,3697,-2.6259,2098,133,1599,21,651,45,3,64,8,251,1488,250,304,1821,59,124,288,1602,55,30,131,371,2066,0.0682,22,206,213,17,78,35,23,523.7599999999996,1498.2700000000007
5,,,,394,0.7769,10,448,16,2,51,8,1516,16,61,2,273,20,1893,0.245,445.6189999999996,83.61699999999996,10,65,11,0,20,25,0,49,25,61,1,96,28,4005,-1.2208,2458,92,1547,21,651,48,6,95,7,310,1697,167,373,2420,38,148,188,1304,57,25,82,276,2109,0.0604,10,171,134,11,61,32,31,373.5099999999998,1407.390000000001
20,,,,402,0.7247,17,461,13,3,56,7,1772,19,79,3,269,27,2136,0.0371,351.33699999999993,-24.503,17,87,17,0,27,13,2,40,13,30,2,66,12,4911,-0.6379,2516,104,2395,28,920,79,4,76,3,390,2389,200,351,2267,73,175,299,1732,45,22,56,282,1666,0.0677,10,157,189,17,79,39,45,517.5299999999999,1647.9200000000003
18,,,,456,0.7871,19,479,25,10,51,5,1424,16,112,3,297,20,2039,-0.1277,502.44200000000046,-58.421000000000014,19,88,29,2,20,13,2,43,13,52,1,85,19,4930,-1.4725,2740,102,2190,29,880,79,4,114,5,225,1044,234,263,1551,46,160,402,2344,55,42,218,482,3069,0.0769,21,312,218,17,112,48,26,498.2800000000002,1611.74
21,,,,383,0.8074,10,379,20,2,49,9,1442,19,88,1,262,13,1748,0.2417,381.9529999999999,59.71999999999999,10,56,9,0,13,14,1,34,14,41,1,66,15,3636,-1.7773,2335,99,1301,28,864,46,7,87,2,284,1475,168,388,2442,52,124,172,1072,54,15,50,291,2089,0.0934,12,172,179,9,88,45,29,403.7000000000002,1265.3
23,,,,414,0.7867,20,432,21,1,47,7,1368,6,78,7,281,19,1989,0.0826,534.8150000000004,24.656,20,76,14,1,19,18,1,42,18,42,1,72,22,3772,-2.426,2412,214,1360,17,544,50,5,96,10,251,1457,202,322,2004,33,125,244,1360,75,52,302,367,2209,0.066,8,202,181,7,78,37,29,417.0600000000001,1415.7399999999993
26,,,,412,0.7495,18,431,16,2,48,11,1462,11,92,0,254,13,1709,-0.0218,302.1420000000001,-50.36999999999992,18,81,20,1,13,13,2,36,13,32,2,60,13,4156,-1.5044,2515,87,1641,20,658,53,9,89,3,251,1291,206,295,1565,62,161,326,1848,33,26,115,396,2237,0.0814,10,170,197,22,92,45,39,493.4700000000003,1491.0899999999992
10,,,,427,0.7635,12,419,17,4,47,6,1380,14,134,2,279,27,2003,-0.0518,347.134,-81.185,12,68,16,3,27,14,3,36,14,46,3,82,17,4310,-1.8977,2444,115,1866,22,689,61,4,102,6,427,2339,198,392,2243,51,169,264,1234,60,42,224,271,1362,0.1056,15,245,271,31,134,63,35,667.1800000000002,1557.7100000000023
28,,,,401,0.7544,11,418,13,5,48,7,1405,14,109,0,272,18,2157,0.0093,628.1049999999996,-22.644999999999992,11,69,19,2,18,13,0,43,13,47,1,92,20,3772,-2.2267,2062,126,1710,22,711,61,6,72,0,325,1642,194,311,1734,65,165,303,1743,60,31,126,320,1961,0.0773,6,176,206,16,109,44,31,509.3999999999998,1549.3999999999994
8,,,,347,0.7461,8,330,16,2,56,12,1728,21,105,5,234,24,1856,0.1672,641.9380000000002,22.99300000000001,8,56,13,0,24,17,0,38,17,37,1,55,15,4738,0.4207,2303,131,2435,30,1032,86,8,73,6,330,1779,145,388,2615,33,171,154,923,71,35,80,247,1839,0.0822,10,177,239,11,105,41,31,556.2900000000004,1336.6699999999994
9,,,,385,0.7948,7,353,19,6,47,11,1626,13,98,2,249,17,2115,0.0602,375.04299999999944,-9.955000000000034,7,68,18,1,17,15,2,30,15,46,1,66,18,4230,-0.7422,2385,174,1845,22,867,70,7,69,11,317,2073,209,316,2336,55,115,247,1315,46,24,83,270,1661,0.0996,16,190,224,15,98,51,34,534.8100000000001,1376.3600000000001
32,,,,346,0.7371,10,382,21,4,47,8,1364,14,83,1,233,23,1561,0.0949,252.31600000000012,43.16999999999998,10,59,18,1,23,16,0,44,16,32,1,64,17,4248,-0.381,2271,148,1977,20,625,63,8,73,3,329,1922,176,324,1944,56,135,220,1249,39,24,34,239,1305,0.0887,10,214,170,12,83,43,32,422.9000000000001,1303.9999999999982
30,,,,452,0.7796,6,451,17,2,54,9,1609,11,111,4,313,39,2089,0.1238,481.3279999999998,24.679999999999957,6,62,16,0,39,13,0,37,13,49,1,76,18,4905,-1.3016,2712,103,2193,21,719,65,5,96,7,233,1467,239,404,2191,63,145,282,1730,59,19,210,472,2664,0.0746,7,324,244,12,111,46,36,573.9899999999998,1596.1700000000023
11,,,,411,0.7355,4,460,19,4,62,5,1877,11,106,2,277,32,1928,-0.07,528.2339999999992,-58.08900000000008,4,79,24,1,32,7,6,52,7,36,4,91,13,5483,0.1885,2879,164,2604,29,967,84,4,86,3,416,2199,216,386,2412,66,186,260,1533,40,36,203,266,1949,0.0656,12,239,200,22,106,37,38,514.9000000000001,1723.5999999999983
29,,,,388,0.7596,11,407,21,4,57,12,1708,17,68,0,279,22,1991,0.125,493.5930000000004,38.21200000000001,11,71,15,2,22,18,3,42,18,43,3,75,19,4409,-0.8987,2378,140,2031,24,748,69,8,72,0,308,1811,198,321,2283,60,142,274,1484,53,17,21,304,1977,0.0718,8,173,187,19,68,38,31,475.79000000000013,1459.1399999999994
27,,,,368,0.7608,4,391,15,5,39,5,1162,15,77,2,252,17,1792,0.0075,549.599,20.415999999999993,4,69,16,1,17,14,0,37,14,52,0,78,21,3784,-0.9612,1914,105,1870,18,626,59,3,88,3,228,1366,177,329,2021,40,152,227,1225,42,11,21,339,1901,0.0736,11,111,168,12,77,36,17,415.2,1377.3000000000006
22,,,,360,0.7393,6,372,19,6,49,3,1459,13,79,1,233,24,1706,0.1159,372.8860000000001,46.75100000000002,6,56,11,0,24,12,1,41,12,40,1,78,15,4358,-0.7812,2125,119,2233,24,760,79,2,78,1,322,1697,184,354,2054,58,149,209,1168,34,32,53,273,1578,0.0806,14,164,205,16,79,42,32,531.8500000000001,1426.9299999999969
