id,name,pos,team,accurateThrows,adjustedCompletionPercentage,battedPasses,cleanPocketDropbacks,drops,explosiveInterceptions,explosiveThrows,explosiveTouchdowns,explosiveYards,highlightThrows,qbHits,spikes,successfulPlays,throwaways,yardsAfterCatch,dvoa,dyar,epa,turnover_battedPasses,brokenPasses,intWorthyThrows,pickSixes,turnover_throwaways,endZoneCompletions,endZoneInterceptions,endZoneThrows,endZoneTouchdowns,redZoneCompletions,redZoneInterceptions,redZoneThrows,redZoneTouchdowns,airYards,alex,catchableAirYards,droppedAirYards,prayerYards,twentyPlusCompletions,twentyPlusPassingYards,twentyPlusThrows,twentyPlusTouchdowns,closingCoverage,emptyRouteCoverage,manCoverage,manYards,openCoverage,singleHighRoutes,singleHighYards,stepSeparation,tightCoverage,twoHighRoutes,twoHighYards,wideOpen,zeroCoverageRoutes,zeroCoverageYards,zoneCoverage,zoneYards,adjustedSackRate,avoidedSacks,blitzes,pressures,qbFaultSacks,pressure_qbHits,sacks,scrambles,timeToPressure,timeToThrow
00-0038550,,,,8,0.6667,0,8,0,0,1,0,21,0,1,0,4,0,30,-0.2857,-10.266000000000002,-2.0759999999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,58,-2.6667,42,0,16,1,21,1,0,5,0,6,28,1,9,51,0,2,2,2,1,0,0,5,25,0.1111,0,0,2,1,1,1,1,5.800000000000001,23.4
00-0038543,,,,1,1,0,0,0,0,1,0,35,0,1,0,1,0,0,2.8814,20.86,2.244,0,0,0,0,0,0,0,0,0,0,0,0,0,35,25,35,0,0,1,35,1,0,0,0,1,35,0,1,35,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.2
00-0039917,Michael Penix Jr.,QB,ATL,72,0.7083,1,83,7,1,12,2,317,5,11,0,53,2,271,-0.1096,1.1389999999999558,19.456000000000007,1,16,3,0,2,2,1,9,2,8,1,16,2,1073,0.7238,612,40,461,7,198,19,1,9,0,59,401,42,66,551,14,29,44,196,8,3,14,54,360,0.0381,3,36,27,1,11,4,4,67.70000000000002,262.79999999999995
00-0038583,,,,70,0.7083,2,83,7,3,1,0,29,0,27,0,35,11,251,-0.9144,-634.961,-65.83699999999999,2,16,8,0,11,0,1,6,0,2,1,11,0,710,-3.3983,208,18,502,0,0,10,0,11,1,51,152,38,66,219,11,34,60,169,15,5,0,80,236,0.1102,3,41,47,6,27,8,6,120.20000000000002,311.0000000000001
00-0035704,,,,120,0.7582,9,120,9,1,11,4,343,3,36,1,79,7,611,-0.3208,-254.06000000000006,-45.790000000000006,9,31,9,3,7,2,0,9,2,7,0,16,2,1147,-3.0055,604,80,543,4,121,19,1,25,1,95,454,58,105,567,15,65,92,380,14,5,36,107,529,0.0718,2,49,77,0,36,12,10,175.90000000000006,491.49999999999983
00-0038102,,,,29,0.8182,2,28,2,0,4,1,150,3,10,0,17,3,57,-0.1729,-18.12499999999998,11.244,2,8,1,0,3,2,0,3,2,4,0,7,1,347,-0.5952,285,31,62,4,150,5,1,14,0,37,217,6,36,244,7,11,11,30,0,2,-16,12,41,0.0952,0,27,18,1,10,4,3,42.400000000000006,110.69999999999999
00-0029263,,,,232,0.8172,10,238,14,1,40,6,1172,13,76,2,152,27,1122,-0.0149,228.18400000000014,4.627000000000016,10,34,6,2,27,10,2,31,10,25,2,49,11,2668,-1.0744,1467,74,1201,21,681,45,4,47,3,232,1307,104,211,1423,37,88,163,768,40,12,67,154,951,0.1012,11,100,139,9,76,33,20,345.5,917.4999999999997
00-0035685,David Montgomery,RB,HOU,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1.9073,19.595,1.519,0,0,0,0,0,1,0,1,1,1,0,1,1,3,0,3,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1.6
00-0033357,,,,2,0.6667,0,2,0,1,0,0,0,0,1,0,1,0,9,-0.9085,-22.430999999999997,-3.217,0,1,1,0,0,0,0,0,0,0,0,0,0,53,5.75,12,0,41,0,0,1,0,0,0,1,0,2,3,3,0,2,1,18,0,0,0,3,21,0,0,1,2,0,1,0,0,6.6,14.799999999999999
00-0032943,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,8,-1.4737,-6.386,-1.899,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-13,-5,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1.1
00-0034348,Courtland Sutton,WR,DEN,2,1,0,1,0,0,1,0,28,1,0,0,2,0,11,2.2629,38.385,7.491,0,0,0,0,0,1,0,1,1,1,0,1,1,19,7.5,19,0,0,0,0,0,0,0,0,2,30,1,1,28,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1.3,4.2
00-0033897,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.11,-7.965,-0.726,0,0,0,0,0,0,0,1,0,0,0,1,0,10,3,0,0,10,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2.6,3
00-0029692,,,,1,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.3369,-17.384999999999998,-5.686999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,7,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
00-0038122,,,,55,0.7297,1,61,2,2,7,1,163,4,18,1,36,3,201,-0.3485,-154.7369999999999,-21.508999999999997,1,11,3,0,3,1,1,5,1,4,0,8,1,683,-0.3294,266,11,417,2,44,11,1,6,1,49,248,35,60,301,10,24,34,89,6,6,4,51,146,0.1176,0,26,37,2,18,10,6,85.60000000000002,212.79999999999998
00-0036322,Justin Jefferson,WR,MIN,1,1,0,1,0,0,1,0,22,0,0,0,1,0,27,5.8276,14.987,3.051,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-21,-5,0,0,0,0,0,0,0,0,2,22,0,2,22,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3.9,3.8
00-0032399,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.2967,0.404,-2.678,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,14,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0037012,Trey Lance,QB,LAC,28,0.6667,1,31,1,1,4,0,124,0,4,0,16,1,149,-0.2633,-44.041000000000004,-10.989999999999995,1,8,2,0,1,0,0,5,0,1,0,8,0,268,-2.7805,127,0,141,0,0,2,0,2,0,25,110,18,23,108,5,10,19,131,6,5,4,22,133,0.0976,0,18,16,1,4,4,2,43.099999999999994,108.89999999999998
00-0034827,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.8522,-4.941,-0.447,0,1,0,0,0,0,0,1,0,0,0,0,0,33,23,0,0,33,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.2
00-0033009,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.8967,-5.243,-0.434,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.98
00-0033307,Kendrick Bourne,WR,ARI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.1273,-2.431,-1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.9
00-0038476,,,,33,0.8205,0,30,1,0,2,0,44,0,11,0,19,5,116,-0.1555,-14.926000000000002,-0.998,0,3,0,0,5,0,0,2,0,0,0,3,0,266,-2.6818,153,2,113,0,0,1,0,5,0,19,77,9,36,136,0,13,18,90,12,0,0,35,149,0.1364,1,27,21,0,11,6,4,47.7,102.79999999999998
00-0035190,,,,1,1,0,1,0,0,1,0,34,0,0,0,1,0,30,2.8391,25.272,4.334,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0032434,,,,19,0.72,0,21,1,1,5,0,116,0,3,0,11,4,116,-0.434,-66.179,-17.476000000000003,0,4,2,0,4,1,0,2,1,3,0,4,1,241,-1.2333,99,11,142,0,0,2,0,4,0,7,35,9,18,84,0,11,15,113,2,0,0,26,162,0.0667,1,9,11,2,3,2,1,29.3,78.59999999999998
