team,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,proe_season
ARI,10.0,8.6,4.3,12.3,4.2,6.9,6.4,,6.7,3.8,14.4,14.3,12.0,10.7,1.5,-7.5,1.1,11.7,7.3
KC,13.1,3.6,10.2,7.3,19.0,11.6,3.7,14.8,1.1,,19.4,-2.4,5.4,1.7,4.7,8.4,-5.3,-1.2,6.8
LAR,2.3,10.4,-0.1,3.6,13.1,8.1,10.8,,-1.9,8.6,6.3,15.4,1.1,1.9,7.9,3.7,1.0,9.7,5.8
DEN,7.5,7.5,6.6,7.5,1.2,-5.2,3.8,7.4,1.6,1.0,7.7,,13.3,12.2,0.7,9.6,4.6,4.2,5.5
NE,14.3,-2.7,7.3,-5.5,10.2,1.1,8.9,3.8,5.5,5.5,8.0,6.8,9.8,,-1.9,13.7,-5.6,5.5,5.4
CIN,2.7,9.3,-8.3,3.6,9.1,4.7,10.4,8.3,9.7,,-3.3,-1.9,5.8,9.2,-6.3,9.1,5.8,4.0,4.3
JAX,5.8,7.7,10.3,-2.8,4.9,6.4,6.3,,-5.5,1.8,-9.0,1.9,3.5,3.8,11.4,10.2,5.1,13.4,4.3
LAC,13.5,10.5,4.0,14.8,-4.6,5.0,10.3,2.6,7.5,4.8,1.6,,-8.9,-5.9,-1.8,0.4,3.7,3.5,3.4
SF,-3.9,10.2,9.2,-0.7,4.5,5.6,-10.6,12.9,-6.5,0.6,4.5,-3.0,-1.2,,5.6,4.8,2.1,8.9,2.2
HOU,-2.6,3.7,7.3,-1.9,8.0,,8.2,1.8,5.1,2.1,11.1,0.3,-1.9,-4.2,3.8,3.9,-9.3,-7.3,1.7
DAL,2.5,5.9,4.4,1.4,4.2,3.0,3.7,-0.2,5.8,,6.2,-2.2,3.7,2.7,-5.0,4.1,-1.4,-11.4,1.7
PIT,0.6,0.4,-6.7,1.1,,0.2,0.0,3.2,14.4,0.4,3.0,-12.0,-7.1,12.7,-1.5,7.3,-3.7,8.4,1.4
IND,-2.4,-3.6,1.9,3.3,6.0,1.8,7.8,15.1,12.6,-5.5,,14.2,-11.3,-4.1,-11.4,1.1,-1.3,-3.7,1.0
LV,11.0,6.7,-14.0,-7.4,-2.8,-3.0,-4.5,,15.9,-2.4,17.9,4.2,-4.6,14.6,0.4,-14.1,-4.6,-9.6,0.5
PHI,1.5,-8.6,-9.4,-3.2,22.2,3.6,-2.3,0.3,,-8.2,-7.1,14.6,-1.1,4.7,-12.3,5.0,-4.5,14.0,0.4
MIN,-10.8,2.8,-1.3,9.0,6.7,,2.7,5.3,-1.9,7.8,-3.4,-7.1,-1.7,0.4,-1.9,-8.6,-4.9,3.7,0.2
DET,-2.6,-0.5,-7.6,-0.9,-0.3,-1.2,-2.6,,-0.1,3.4,-0.2,5.5,-14.8,11.9,-0.9,12.7,-14.1,8.1,-0.1
TB,8.0,6.4,-4.0,-2.2,6.8,-1.6,8.7,-3.5,,4.5,-11.4,-9.1,1.9,-11.3,14.0,-13.7,15.6,-11.6,-0.3
NO,3.6,-5.8,-4.0,-12.2,-4.0,-4.1,2.6,16.3,-7.0,-8.0,,0.2,-0.5,-12.5,1.8,16.8,0.8,-2.5,-0.6
CHI,6.7,-4.4,-1.6,-0.9,,-4.2,-9.1,0.1,3.9,-0.4,-3.0,5.3,-6.0,-6.3,-1.9,-6.0,9.6,2.6,-1.0
TEN,-3.9,-2.2,2.3,-5.2,-5.1,5.4,11.4,-5.8,-5.2,,7.8,4.5,3.7,-10.7,-7.0,-6.5,2.2,-5.4,-1.1
CLE,4.5,-0.2,-1.6,-7.7,-3.1,6.2,-7.7,3.3,,-4.1,-0.7,-9.3,-11.6,9.7,2.3,-3.0,-2.0,-1.5,-1.3
NYG,6.3,10.3,-7.1,-9.0,1.7,0.1,-2.0,-5.9,3.7,5.8,-18.3,-4.7,-11.7,,0.2,-24.1,7.2,7.2,-2.0
GB,0.5,2.7,-2.9,-1.3,,2.2,0.6,8.7,-3.6,-2.8,-0.2,-9.9,-0.1,-4.2,7.5,-7.8,6.0,-34.0,-2.1
WAS,6.7,10.0,-2.4,-7.2,8.2,6.4,-3.0,4.7,-13.2,-17.3,-8.3,,1.8,2.7,-5.1,-14.9,1.0,-12.6,-2.3
ATL,0.3,-9.5,0.2,-9.1,,3.8,7.7,-4.0,7.9,-3.8,-0.4,-6.8,-4.6,-12.3,1.8,-5.0,-18.2,4.3,-2.7
SEA,-8.4,-1.6,-4.2,-5.8,2.9,-1.0,0.1,,-1.5,-23.0,-8.1,6.0,0.7,9.7,1.4,2.4,-6.9,-6.7,-2.8
BUF,1.6,-8.1,3.9,0.1,3.3,1.3,,-8.3,-4.5,0.6,3.0,1.7,-14.3,2.3,-10.0,-4.6,-9.6,-4.1,-3.0
CAR,-1.4,7.4,1.9,-7.9,-14.0,-11.9,-1.6,-14.6,-13.5,-5.9,1.0,12.9,-20.4,,-3.8,7.7,-4.0,4.0,-4.0
MIA,5.7,5.2,-6.2,-3.3,15.0,-2.0,-8.8,-6.2,1.6,-12.1,-12.7,,-3.0,-14.2,0.5,-13.7,-3.7,-7.9,-4.2
BAL,-8.3,10.2,8.1,11.4,-14.8,-13.2,,-9.1,0.5,-1.8,-8.9,0.3,-1.4,-13.9,-6.1,-16.3,-17.7,-20.5,-6.3
NYJ,-17.8,-7.6,5.5,-6.0,6.3,-12.7,5.1,-7.5,,-22.4,-8.6,-6.6,1.6,-3.7,-9.6,-0.6,-19.9,-20.0,-6.7
