teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam
1,Arizona,Cardinals,LA,NFC,NFC West,Open,Open,Cover 0,17,338,No,No,Yes,1526,338,No,63,No,276,0.8166,29,0.2215,235,38,8,0.6953,2731,946,353,3290,25,12,23,25,0.1064,0.0533,0.1598,0.3402,0.4467,338,1,9.7337,112.2,1.7896,8.0799,0.1439,0.068,11.6213,4.0255,1.5021,150,69,
6,Chicago,Bears,DET,NFC,NFC North,Open,Open,Cover 0,17,314,Yes,Yes,Yes,1386,314,No,51,Yes,254,0.8089,29,0.2266,221,34,8,0.7038,2972,998,320,3422,28,13,19,16,0.0724,0.051,0.1433,0.3662,0.4395,314,1,10.8981,108.7,2.1443,9.465,1.2903,0.0605,13.448,4.5158,1.448,141,42,1
24,New York,Giants,DAL,NFC,NFC East,Closed,Closed,Cover 3,17,328,No,No,Yes,1451,328,No,60,No,259,0.7896,24,0.2261,215,35,7,0.6555,2554,796,313,3391,21,9,28,11,0.0512,0.0732,0.1037,0.3201,0.503,328,1,10.3384,100.3,1.7602,7.7866,-0.2802,0.0854,11.8791,3.7023,1.4558,133,51,1
13,Houston,Texans,IND,AFC,AFC South,Open,Open,Prevent,17,294,No,No,No,1316,295,No,53,Yes,226,0.7661,20,0.2242,179,30,5,0.6068,2340,644,235,3626,17,12,24,11,0.0615,0.0373,0.1119,0.3695,0.478,295,1,12.2915,83.7,1.7781,7.9322,-0.6933,0.0814,13.0726,3.5978,1.3128,116,36,1
21,Minnesota,Vikings,GB,NFC,NFC North,Open,Closed,Cover 3,17,222,Yes,No,Yes,916,222,No,28,Yes,173,0.7793,17,0.2424,145,15,3,0.6532,1767,655,253,2136,12,6,16,18,0.1241,0.0405,0.1171,0.3514,0.491,222,1,9.6216,98.3,1.929,7.9595,0.0086,0.0721,12.1862,4.5172,1.7448,80,35,1
11,Detroit,Lions,CHI,NFC,NFC North,Open,Open,Cover 0,17,343,Yes,Yes,Yes,1517,343,No,82,Yes,273,0.7959,28,0.2261,216,37,8,0.6297,2897,783,287,4267,22,11,21,18,0.0833,0.0437,0.105,0.3382,0.5131,343,1,12.4402,101.4,1.9097,8.4461,-0.2203,0.0612,13.412,3.625,1.3287,142,50,
23,New Orleans,Saints,ATL,NFC,NFC South,Open,Open,Cover 4,17,268,No,Yes,No,1197,268,No,41,Yes,206,0.7687,19,0.2239,175,23,1,0.653,2183,655,237,3037,18,8,14,19,0.1086,0.0224,0.1493,0.3246,0.5037,268,1,11.3321,103.5,1.8237,8.1455,-0.2169,0.0522,12.4743,3.7429,1.3543,106,32,
9,Dallas,Cowboys,NYG,NFC,NFC East,Closed,Closed,Cover 3,17,291,No,No,Yes,1305,291,No,36,No,224,0.7698,37,0.223,199,25,3,0.6838,2713,837,332,3383,25,21,15,17,0.0854,0.0412,0.1237,0.3024,0.5326,291,1,11.6254,120.8,2.0789,9.323,0.8998,0.0515,13.6332,4.206,1.6683,131,48,
19,Las Vegas,Raiders,KC,AFC,AFC West,Open,Open,Cover 0,17,288,No,No,No,1274,288,No,48,Yes,238,0.8264,20,0.2261,209,30,1,0.7257,2508,832,307,2948,13,8,14,27,0.1292,0.0625,0.0903,0.3229,0.5208,288,1,10.2361,106.7,1.9686,8.7083,0.767,0.0486,12,3.9809,1.4689,133,38,1
3,Baltimore,Ravens,PIT,AFC,AFC North,Closed,Closed,Cover 3,17,353,No,Yes,Yes,1571,353,Yes,74,Yes,270,0.7649,34,0.2247,232,48,,0.6572,2844,848,301,3872,19,11,17,20,0.0862,0.0765,0.0822,0.3059,0.5354,353,1,10.9688,100.1,1.8103,8.0567,-0.2006,0.0482,12.2586,3.6552,1.2974,134,62,
12,Green Bay,Packers,MIN,NFC,NFC North,Open,Closed,Cover 3,17,261,Yes,No,Yes,1171,261,No,54,Yes,199,0.7625,25,0.2229,176,33,8,0.6743,1909,495,213,2626,17,11,8,15,0.0852,0.0421,0.1264,0.272,0.5594,261,1,10.0613,100.9,1.6302,7.3142,-0.6837,0.0307,10.8466,2.8125,1.2102,103,42,
20,Miami,Dolphins,NE,AFC,AFC East,Closed,Closed,Cover 1,17,282,Yes,No,Yes,1252,282,No,49,Yes,233,0.8262,22,0.2252,205,29,4,0.727,2440,940,290,2698,21,12,16,28,0.1366,0.0355,0.1986,0.3262,0.4397,282,1,9.5674,114.7,1.9489,8.6525,0.7696,0.0567,11.9024,4.5854,1.4146,121,42,
25,New York,Jets,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,305,Yes,No,No,1322,305,No,53,Yes,240,0.7869,26,0.2307,201,27,3,0.659,2622,1025,304,3133,27,13,17,12,0.0597,0.059,0.1148,0.3836,0.4426,305,1,10.2721,122.3,1.9834,8.5967,0.5118,0.0557,13.0448,5.0995,1.5124,152,49,
18,Los Angeles,Chargers,DEN,AFC,AFC West,Closed,Closed,Red Zone,17,286,No,No,No,1300,286,No,39,No,204,0.7133,19,0.22,178,22,3,0.6224,2220,839,288,3151,14,7,12,17,0.0955,0.0559,0.0979,0.3112,0.535,286,1,11.0175,79.3,1.7077,7.7622,-0.4696,0.042,12.4719,4.7135,1.618,107,32,
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Closed,Closed,Cover 1,17,370,No,No,No,1625,370,Yes,95,Yes,282,0.7622,32,0.2277,231,52,6,0.6243,2676,858,273,3935,19,11,21,20,0.0866,0.0432,0.127,0.3081,0.5216,370,1,10.6351,84.5,1.6468,7.2324,-0.8402,0.0568,11.5844,3.7143,1.1818,138,52,1
14,Indianapolis,Colts,HST,AFC,AFC South,Open,Open,Prevent,17,346,No,No,No,1545,346,No,55,Yes,270,0.7803,29,0.2239,233,35,3,0.6734,3107,1089,385,3790,13,7,18,28,0.1202,0.0376,0.1185,0.3497,0.4942,346,1,10.9538,97.3,2.011,8.9798,0.7606,0.052,13.3348,4.6738,1.6524,152,54,
10,Denver,Broncos,LAC,AFC,AFC West,Closed,Closed,Red Zone,17,363,No,No,No,1607,363,No,66,No,276,0.7603,24,0.2259,222,32,5,0.6116,2641,956,283,3940,13,8,22,19,0.0856,0.0386,0.124,0.3499,0.4876,363,1,10.854,89.6,1.6434,7.2755,-0.8338,0.0606,11.8964,4.3063,1.2748,128,42,1
28,Seattle,Seahawks,SF,NFC,NFC West,Open,Open,Cover 4,17,302,No,No,No,1350,302,Yes,62,Yes,231,0.7649,23,0.2237,178,29,2,0.5894,2103,743,284,3009,14,7,25,19,0.1067,0.0563,0.1258,0.351,0.4669,302,1,9.9636,80.5,1.5578,6.9636,-1.0315,0.0828,11.8146,4.1742,1.5955,107,47,
22,New England,Patriots,MIA,AFC,AFC East,Closed,Closed,Cover 1,17,278,Yes,No,Yes,1233,279,No,48,Yes,209,0.7491,22,0.2263,180,29,6,0.6452,1989,683,223,2893,21,14,15,21,0.1167,0.0645,0.1111,0.3262,0.4946,279,1,10.3692,98.7,1.6131,7.129,-1.0255,0.0538,11.05,3.7944,1.2389,103,34,1
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Closed,Closed,Prevent,17,327,No,No,No,1448,327,No,66,Yes,253,0.7737,27,0.2258,209,39,4,0.6391,2721,1018,304,3482,19,9,21,25,0.1196,0.052,0.1254,0.318,0.5046,327,1,10.6483,95.4,1.8791,8.3211,0.1715,0.0642,13.0191,4.8708,1.4545,136,39,1
17,Los Angeles,Rams,ARZ,NFC,NFC West,Open,Open,Cover 0,17,320,No,No,Yes,1476,321,No,66,No,245,0.7632,27,0.2175,207,39,7,0.6449,2535,733,354,3341,16,11,10,20,0.0966,0.0623,0.0966,0.352,0.486,321,1,10.4081,92.4,1.7175,7.8972,-0.1422,0.0312,12.2464,3.5411,1.7101,129,50,1
31,Tennessee,Titans,JAX,AFC,AFC South,Closed,Closed,Cover 1,17,294,No,No,No,1311,294,Yes,51,Yes,241,0.8197,26,0.2243,212,26,6,0.7211,2851,1048,300,3118,26,17,6,18,0.0849,0.0646,0.1327,0.2857,0.517,294,1,10.6054,126.4,2.1747,9.6973,1.5926,0.0204,13.4481,4.9434,1.4151,138,45,
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Open,Cover 4,17,313,No,Yes,No,1391,313,No,66,Yes,239,0.7636,22,0.225,196,33,4,0.6262,2538,724,262,3743,18,8,19,17,0.0867,0.0447,0.099,0.3195,0.5367,313,1,11.9585,89.9,1.8246,8.1086,-0.265,0.0607,12.949,3.6939,1.3367,119,40,1
32,Washington,Commanders,PHI,NFC,NFC East,Closed,Closed,Cover 3,17,313,No,No,No,1383,313,No,60,No,249,0.7955,22,0.2263,217,36,5,0.6933,2993,1223,480,3274,25,11,11,26,0.1198,0.0351,0.1342,0.3514,0.4792,313,1,10.4601,117,2.1641,9.5623,1.3351,0.0351,13.7926,5.6359,2.212,155,50,
7,Cincinnati,Bengals,CLV,AFC,AFC North,Open,Open,Cover 0,17,275,No,No,Yes,1232,275,No,51,No,218,0.7927,22,0.2232,179,24,,0.6509,2552,1163,450,2881,20,11,19,35,0.1955,0.0473,0.1564,0.3273,0.4691,275,1,10.4764,107.1,2.0714,9.28,1.0683,0.0691,14.257,6.4972,2.514,123,38,1
26,Philadelphia,Eagles,WAS,NFC,NFC East,Closed,Closed,Cover 3,17,302,No,No,No,1349,302,No,68,No,231,0.7649,17,0.2239,180,38,5,0.596,2022,658,290,3241,8,4,24,14,0.0778,0.0795,0.0927,0.2815,0.5464,302,1,10.7318,81.6,1.4989,6.6954,-1.417,0.0795,11.2333,3.6556,1.6111,99,32,1
