teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingAlignmentInlineTargetsPercentage,teamIsHomeTeam
24,New York,Giants,DAL,NFC,NFC East,Closed,Closed,Cover 1,16,19,No,Yes,No,87,19,Yes,4,Yes,11,0.5789,3,0.2184,8,0.4211,136,33,14,275,1,1,,1,0.125,,0.3158,0.6316,14.4737,84.5,1.5632,7.1579,-2.0078,,17,4.125,1.75,7,5,1,,0.0526,1
16,Kansas City,Chiefs,LV,AFC,AFC West,Open,Closed,Cover 1,17,23,Yes,Yes,Yes,101,23,Yes,7,Yes,19,0.8261,1,0.2277,14,0.6087,301,78,20,325,,,1,,,0.087,0.2174,0.5217,14.1304,68.7,2.9802,13.087,4.2996,0.0435,21.5,5.5714,1.4286,13,2,5,3,0.1739,
27,Pittsburgh,Steelers,CLV,AFC,AFC North,Open,Closed,Cover 3,15,22,No,Yes,Yes,97,22,No,4,No,14,0.6364,4,0.2268,12,0.5455,202,72,21,258,1,1,,3,0.25,0.1818,0.4091,0.3182,11.7273,63.1,2.0825,9.1818,1.249,,16.8333,6,1.75,9,5,2,,0.0909,
29,San Francisco,49ers,SEA,NFC,NFC West,Open,Open,Cover 2,15,19,No,Yes,No,89,19,No,2,Yes,10,0.5263,3,0.2135,6,0.3158,87,15,9,265,1,1,2,2,0.3333,0.1579,0.3684,0.4211,13.9474,65,0.9775,4.5789,-4.593,0.1053,14.5,2.5,1.5,4,3,,,0.0526,1
5,Carolina,Panthers,TB,NFC,NFC South,Closed,Closed,Cover 1,16,20,No,Yes,No,90,20,Yes,5,Yes,12,0.6,5,0.2222,6,0.3,131,59,26,288,,,,2,0.3333,0.05,0.55,0.3,14.4,54.4,1.4556,6.55,-2.8367,,21.8333,9.8333,4.3333,4,9,1,,0.1,
10,Denver,Broncos,KC,AFC,AFC West,Closed,Closed,Cover 3,15,30,Yes,Yes,No,142,30,No,4,Yes,19,0.6333,5,0.2113,15,0.5,203,26,5,457,1,1,1,2,0.1333,0.1,0.3333,0.4667,15.2333,69.2,1.4296,6.7667,-2.7145,0.0333,13.5333,1.7333,0.3333,9,5,4,,0.1,
14,Indianapolis,Colts,HST,AFC,AFC South,Open,Open,Cover 2,13,33,Yes,Yes,No,151,33,No,6,No,23,0.697,8,0.2185,15,0.4545,230,24,3,557,3,2,2,1,0.0667,0.1212,0.3636,0.4242,16.8788,86.7,1.5232,6.9697,-2.7237,0.0606,15.3333,1.6,0.2,10,9,3,1,0.0909,
17,Los Angeles,Rams,ATL,NFC,NFC South,Open,Closed,Cover 3,11,24,No,Yes,No,114,24,Yes,3,Yes,14,0.5833,2,0.2105,12,0.5,168,33,7,401,1,,,2,0.1667,0.0417,0.2917,0.5417,16.7083,52.1,1.4737,7,-2.5632,,14,2.75,0.5833,9,5,1,1,0.125,
22,New England,Patriots,MIA,AFC,AFC East,Closed,Open,Cover 4,13,12,Yes,Yes,No,59,12,Yes,3,Yes,7,0.5833,1,0.2034,6,0.5,77,20,4,127,1,1,,,,0.1667,0.25,0.4167,10.5833,63.5,1.3051,6.4167,-2.0354,,12.8333,3.3333,0.6667,4,2,2,1,0.1667,1
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Closed,Closed,Cover 1,17,21,No,Yes,No,90,21,Yes,2,Yes,14,0.6667,5,0.2333,13,0.619,193,17,1,301,5,3,,4,0.3077,0.1429,0.2381,0.4762,14.3333,111.7,2.1444,9.1905,0.5078,,14.8462,1.3077,0.0769,10,6,1,,0.1429,1
28,Seattle,Seahawks,SF,NFC,NFC West,Open,Open,Cover 2,16,23,No,Yes,No,110,23,No,2,Yes,18,0.7826,4,0.2091,14,0.6087,235,114,64,305,4,3,3,4,0.2857,0.1304,0.4348,0.3478,13.2609,98.7,2.1364,10.2174,1.1515,0.1304,16.7857,8.1429,4.5714,12,4,1,,0.087,
31,Tennessee,Titans,NO,NFC,NFC South,Open,Closed,Cover 3,14,15,No,Yes,Yes,66,15,Yes,,Yes,11,0.7333,1,0.2273,8,0.5333,136,27,3,191,1,,,,,0.0667,0.2667,0.4,12.7333,78.8,2.0606,9.0667,0.2063,,17,3.375,0.375,7,2,,,0.2667,1
