teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingReceptionsContested
9,Dallas,Cowboys,NYG,NFC,NFC East,Open,Closed,Cover 1,15,38,Yes,No,No,79,38,No,Yes,36,0.9474,0.481,35,0.9211,311,419,103,-119,3,1,11,0.3143,0.3684,0.1316,0.3158,0.1842,38,1,38,1,-3.1316,127.1,3.9367,8.1842,2.8112,0.0263,8.8857,11.9714,2.9429,14,6,,,
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Closed,Cover 3,17,36,Yes,No,No,74,36,No,Yes,35,0.9722,0.4865,32,0.8889,198,322,57,-137,2,3,4,0.125,0.5,0.0556,0.1667,0.2778,36,1,36,1,-3.8056,108.1,2.6757,5.5,0.2212,0.0833,6.1875,10.0625,1.7812,8,6,1,1,
32,Washington,Commanders,PHI,NFC,NFC East,Open,Closed,Cover 1,17,32,No,No,Yes,64,32,No,Yes,32,1,0.5,30,0.9375,190,289,69,-105,,2,4,0.1333,0.2812,0.0625,0.375,0.25,32,1,32,1,-3.2812,91.4,2.9688,5.9375,0.92,0.0625,6.3333,9.6333,2.3,9,2,,,
7,Cincinnati,Bengals,CLV,AFC,AFC North,Closed,Closed,Cover 1,17,44,No,Yes,No,92,44,No,No,42,0.9545,0.4783,38,0.8636,270,405,103,-161,2,4,12,0.3158,0.3864,0.0909,0.2727,0.2273,44,1,44,1,-3.6591,107.4,2.9348,6.1364,0.8605,0.0909,7.1053,10.6579,2.7105,10,10,1,,
8,Cleveland,Browns,CIN,AFC,AFC North,Closed,Closed,Cover 1,17,42,No,Yes,No,94,42,No,No,42,1,0.4468,37,0.881,246,401,110,-170,2,5,7,0.1892,0.3571,0.0952,0.3333,0.2143,42,1,42,1,-4.0476,97,2.617,5.8571,0.5448,0.119,6.6486,10.8378,2.973,8,2,,,
26,Philadelphia,Eagles,WAS,NFC,NFC East,Open,Closed,Cover 1,16,25,No,No,Yes,54,25,No,Yes,22,0.88,0.463,20,0.8,191,257,68,-90,,2,13,0.65,0.32,0.2,0.28,0.2,25,1,25,1,-3.6,98.5,3.537,7.64,2.1496,0.08,9.55,12.85,3.4,8,3,1,1,1
16,Kansas City,Chiefs,LV,AFC,AFC West,Open,Closed,Cover 1,17,39,No,No,No,93,39,No,Yes,38,0.9744,0.4194,37,0.9487,267,390,83,-134,1,1,4,0.1081,0.4359,0.0769,0.2821,0.2051,39,1,39,1,-3.4359,93.1,2.871,6.8462,1.2927,0.0256,7.2162,10.5405,2.2432,12,6,,1,1
29,San Francisco,49ers,SEA,NFC,NFC West,Open,Closed,Cover 3,16,44,Yes,No,Yes,97,44,No,Yes,42,0.9545,0.4536,42,0.9545,253,389,129,-140,2,,14,0.3333,0.3409,0.1591,0.2045,0.2955,44,1,44,1,-3.1818,105.8,2.6082,5.75,0.2481,,6.0238,9.2619,3.0714,14,6,1,,
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,27,No,No,No,58,27,No,Yes,25,0.9259,0.4655,24,0.8889,175,242,44,-76,,1,4,0.1667,0.2963,0.0741,0.1481,0.4815,27,1,27,1,-2.8148,93.7,3.0172,6.4815,1.037,0.037,7.2917,10.0833,1.8333,5,4,1,,
1,Arizona,Cardinals,LA,NFC,NFC West,Closed,Open,Cover 2,17,27,Yes,No,No,52,27,No,Yes,27,1,0.5192,26,0.963,241,328,92,-89,,1,6,0.2308,0.2963,0.1111,0.4074,0.1852,27,1,27,1,-3.2963,103.9,4.6346,8.9259,3.3943,0.037,9.2692,12.6154,3.5385,8,4,,1,
4,Buffalo,Bills,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,27,No,No,Yes,58,27,No,Yes,25,0.9259,0.4655,24,0.8889,174,262,51,-91,1,1,10,0.4167,0.3333,,0.2963,0.3704,27,1,27,1,-3.3704,90.4,3,6.4444,0.9417,0.037,7.25,10.9167,2.125,6,4,1,,
5,Carolina,Panthers,TB,NFC,NFC South,Closed,Closed,Cover 3,17,35,No,No,Yes,81,35,No,Yes,34,0.9714,0.4321,29,0.8286,188,282,64,-114,,5,5,0.1724,0.3143,0.1429,0.2857,0.2571,35,1,35,1,-3.2571,89,2.321,5.3714,-0.0067,0.1429,6.4828,9.7241,2.2069,10,4,,,
10,Denver,Broncos,LAC,AFC,AFC West,Open,Open,Red Zone,17,37,No,No,No,75,37,No,Yes,35,0.9459,0.4933,32,0.8649,131,235,61,-120,1,2,9,0.2812,0.3243,0.1622,0.2162,0.2973,37,1,37,1,-3.2432,90.4,1.7467,3.5405,-1.8805,0.0541,4.0938,7.3438,1.9062,5,3,1,1,
6,Chicago,Bears,DET,NFC,NFC North,Open,Closed,Cover 1,16,25,No,No,No,59,25,No,Yes,24,0.96,0.4237,23,0.92,121,184,40,-71,,1,5,0.2174,0.4,0.16,0.04,0.4,25,1,25,1,-2.84,86.8,2.0508,4.84,-0.6653,0.04,5.2609,8,1.7391,4,4,1,,
14,Indianapolis,Colts,HST,AFC,AFC South,Open,Open,Cover 6,15,30,No,No,No,67,30,No,Yes,28,0.9333,0.4478,27,0.9,134,223,58,-99,,1,5,0.1852,0.2,0.1333,0.3,0.3667,30,1,30,1,-3.3,85.3,2,4.4667,-0.8971,0.0333,4.963,8.2593,2.1481,4,6,,1,1
24,New York,Giants,DAL,NFC,NFC East,Open,Closed,Cover 1,17,38,Yes,No,No,88,38,No,Yes,37,0.9737,0.4318,36,0.9474,220,347,94,-137,2,1,7,0.1944,0.5263,0.0789,0.2368,0.1579,38,1,38,1,-3.6053,108.3,2.5,5.7895,0.3711,0.0263,6.1111,9.6389,2.6111,15,6,1,1,1
28,Seattle,Seahawks,SF,NFC,NFC West,Open,Closed,Cover 3,17,54,Yes,No,Yes,99,54,No,Yes,52,0.963,0.5455,50,0.9259,301,442,137,-131,,2,11,0.22,0.3148,0.1481,0.2407,0.2963,54,1,54,1,-2.4259,82.2,3.0404,5.5741,-0.2048,0.037,6.02,8.84,2.74,11,5,,1,
17,Los Angeles,Rams,ARZ,NFC,NFC West,Closed,Open,Cover 2,17,39,Yes,No,No,69,39,No,Yes,36,0.9231,0.5652,35,0.8974,230,343,102,-40,1,1,16,0.4571,0.2821,0.1282,0.359,0.2308,39,1,39,1,-1.0256,99.8,3.3333,5.8974,0.3228,0.0256,6.5714,9.8,2.9143,7,2,1,,
31,Tennessee,Titans,JAX,AFC,AFC South,Closed,Closed,Cover 3,17,34,No,No,No,72,34,No,Yes,33,0.9706,0.4722,32,0.9412,257,285,83,-37,,1,5,0.1562,0.2941,0.2647,0.2059,0.2353,34,1,34,1,-1.0882,98.2,3.5694,7.5588,1.7551,0.0294,8.0312,8.9062,2.5938,8,2,,,
22,New England,Patriots,MIA,AFC,AFC East,Open,Closed,Cover 3,17,34,Yes,No,Yes,68,34,No,Yes,34,1,0.5,32,0.9412,190,306,70,-125,,1,3,0.0938,0.5,,0.2353,0.2647,34,1,34,1,-3.6765,90,2.7941,5.5882,0.2985,0.0294,5.9375,9.5625,2.1875,7,2,1,,
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Closed,Closed,Cover 3,17,37,No,No,Yes,66,37,No,Yes,37,1,0.5606,37,1,255,359,123,-104,2,,7,0.1892,0.2162,0.1622,0.2973,0.3243,37,1,37,1,-2.8108,113.4,3.8636,6.8919,1.5141,,6.8919,9.7027,3.3243,8,4,1,1,1
20,Miami,Dolphins,NE,AFC,AFC East,Open,Closed,Cover 3,17,38,Yes,No,Yes,78,38,No,Yes,34,0.8947,0.4872,34,0.8947,265,388,84,-134,1,,8,0.2353,0.3158,0.0526,0.1316,0.4737,38,1,38,1,-3.5263,104.5,3.3974,6.9737,1.6498,,7.7941,11.4118,2.4706,12,5,,,
12,Green Bay,Packers,MIN,NFC,NFC North,Closed,Closed,Cover 3,17,35,No,No,Yes,78,35,No,Yes,31,0.8857,0.4487,29,0.8286,200,317,120,-136,1,1,8,0.2759,0.4286,0.1143,0.3143,0.1429,35,1,35,1,-3.8857,100,2.5641,5.7143,0.4176,0.0286,6.8966,10.931,4.1379,8,7,,2,1
