teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsFirstDownsPassing,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception
25,New York,Jets,,BUF,AFC,AFC East,Open,Open,Cover 0,10,13,No,No,No,54,13,Yes,3,Yes,7,0.5385,0.2407,4,0.3077,105,11,344,3,0.5385,12,0.9231,26.4615,101,1.9444,8.0769,-2.6197,26.25,2.75,4,6,,,,1,1,0.1538,0.0769,,5,0.2308,0.0769,,
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Closed,Closed,Red Zone,10,15,No,No,No,70,15,No,4,No,7,0.4667,0.2143,4,0.2667,174,15,568,1,0.8,14,0.9333,37.8667,97.6,2.4857,11.6,-2.4351,43.5,3.75,4,3,1,1,2,1,1,0.1333,0.0667,0.5,,,0.0667,,
15,Jacksonville,Jaguars,1,TEN,AFC,AFC South,Open,Open,Cover 4,8,10,No,No,No,40,10,Yes,1,No,2,0.2,0.25,2,0.2,36,5,228,1,0.4,10,1,22.8,75.4,0.9,3.6,-7.376,18,2.5,2,5,,,1,1,,0.6,,0.5,4,,,,
10,Denver,Broncos,1,LAC,AFC,AFC West,Closed,Closed,Red Zone,14,31,No,No,No,141,31,No,4,No,10,0.3226,0.2199,5,0.1613,204,36,1015,2,0.7419,28,0.9032,32.7419,62.6,1.4468,6.5806,-5.9043,40.8,7.2,5,3,1,,8,1,1,0.1935,0.0323,1.6,1,0.0645,,,
14,Indianapolis,Colts,,SEA,NFC,NFC West,Open,Closed,Cover 3,11,19,No,No,No,87,19,No,3,No,8,0.4211,0.2184,5,0.2632,194,82,536,2,0.7368,17,0.8947,28.2105,104.7,2.2299,10.2105,-1.3186,38.8,16.4,5,2,,,9,,,0.2105,,1.8,1,0.0526,,,
28,Seattle,Seahawks,,SF,NFC,NFC West,Closed,Closed,Cover 1,13,16,No,No,Yes,71,16,Yes,3,Yes,5,0.3125,0.2254,4,0.25,157,22,405,,0.5,14,0.875,25.3125,68,2.2113,9.8125,-0.8637,39.25,5.5,4,3,1,,40,,,0.3125,,10,3,0.1875,,,
17,Los Angeles,Rams,,ATL,NFC,NFC South,Closed,Closed,Cover 1,12,11,No,No,Yes,51,11,No,3,Yes,4,0.3636,0.2157,3,0.2727,131,62,311,1,1,11,1,28.2727,69.1,2.5686,11.9091,0.3431,43.6667,20.6667,2,1,3,2,46,,,,,15.3333,1,,,2,0.6667
31,Tennessee,Titans,,JAX,AFC,AFC South,Open,Open,Cover 4,12,10,No,No,No,40,10,Yes,1,No,5,0.5,0.25,3,0.3,146,55,265,1,0.7,9,0.9,26.5,112.5,3.65,14.6,4.3736,48.6667,18.3333,3,1,,,4,,1,0.1,0.1,1.3333,1,,0.2,1,0.3333
22,New England,Patriots,,NYJ,AFC,AFC East,Closed,Closed,Cover 3,12,10,No,No,No,46,10,No,4,Yes,4,0.4,0.2174,2,0.2,54,4,296,1,0.7,9,0.9,29.6,43.3,1.1739,5.4,-7.3805,27,2,2,3,1,1,4,1,1,0.2,0.1,2,2,,0.1,,
30,Tampa Bay,Buccaneers,,MIA,AFC,AFC East,Open,Open,Cover 4,10,23,No,No,No,96,23,No,2,No,6,0.2609,0.2396,6,0.2609,134,18,585,5,0.6522,19,0.8261,25.4348,90.9,1.3958,5.8261,-5.5296,22.3333,3,6,7,2,2,1,4,,0.2174,,0.1667,4,0.0435,0.087,,
