teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingReceptionsHero
9,Dallas,Cowboys,NYG,NFC,NFC East,Closed,Closed,Cover 3,17,128,No,No,Yes,592,128,No,19,No,112,0.875,3,0.2162,102,12,0.7969,955,281,170,951,3,3,4,11,0.1078,0.0156,0.1562,0.3047,0.5234,85,0.6641,1,0.0078,7.4297,102.3,1.6132,7.4609,0.0923,0.0312,9.3627,2.7549,1.6667,51,9,,
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Open,Cover 4,17,65,No,No,No,298,65,Yes,14,Yes,55,0.8462,2,0.2181,47,7,0.7231,472,141,49,454,2,,2,5,0.1064,0.0462,0.0769,0.2615,0.6154,46,0.7077,,,6.9846,83.6,1.5839,7.2615,0.2123,0.0308,10.0426,3,1.0426,29,8,1,
26,Philadelphia,Eagles,WAS,NFC,NFC East,Open,Open,Cover 6,17,82,No,No,No,379,82,No,21,Yes,70,0.8537,1,0.2164,57,12,0.6951,616,259,136,560,2,,5,10,0.1754,0.0122,0.061,0.2805,0.6463,56,0.6829,1,0.0122,6.8293,84.2,1.6253,7.5122,0.3986,0.061,10.807,4.5439,2.386,31,5,1,
7,Cincinnati,Bengals,CLV,AFC,AFC North,Open,Closed,Cover 3,17,85,No,No,No,397,85,No,17,No,75,0.8824,4,0.2141,60,7,0.7059,669,312,128,578,4,2,9,10,0.1667,0.0471,0.2235,0.2118,0.5176,50,0.5882,,,6.8,94.7,1.6851,7.8706,0.8038,0.1059,11.15,5.2,2.1333,29,11,1,
8,Cleveland,Browns,CIN,AFC,AFC North,Open,Closed,Cover 3,17,54,No,No,No,248,54,No,3,No,49,0.9074,1,0.2177,46,1,0.8519,494,226,98,346,1,1,1,9,0.1957,0.0741,0.1667,0.2222,0.537,34,0.6296,,,6.4074,111,1.9919,9.1481,2.1092,0.0185,10.7391,4.913,2.1304,29,3,,1
32,Washington,Commanders,PHI,NFC,NFC East,Open,Open,Cover 6,17,90,No,No,No,413,90,No,10,Yes,78,0.8667,4,0.2179,72,8,0.8,772,277,112,657,3,3,4,6,0.0833,0.0333,0.0889,0.4222,0.4556,63,0.7,,,7.3,104.3,1.8692,8.5778,1.2665,0.0444,10.7222,3.8472,1.5556,44,7,,1
16,Kansas City,Chiefs,LV,AFC,AFC West,Open,Open,Cover 0,17,66,No,No,No,292,66,No,7,Yes,54,0.8182,,0.226,45,3,0.6818,400,138,55,429,1,,6,3,0.0667,0.0303,0.1364,0.3485,0.4848,42,0.6364,,,6.5,82.9,1.3699,6.0606,-0.9505,0.0909,8.8889,3.0667,1.2222,22,6,,1
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Closed,Open,Cover 2,17,104,Yes,No,No,494,104,No,14,Yes,91,0.875,1,0.2105,80,12,0.7692,707,222,87,660,1,,6,8,0.1,0.0288,0.1923,0.3654,0.4135,72,0.6923,,,6.3462,93.7,1.4312,6.7981,-0.1202,0.0577,8.8375,2.775,1.0875,31,6,1,
1,Arizona,Cardinals,LA,NFC,NFC West,Open,Open,Cover 2,17,118,No,No,No,553,118,No,23,Yes,99,0.839,,0.2134,84,11,0.7119,856,317,189,850,,,7,14,0.1667,0.0254,0.1017,0.322,0.5508,81,0.6864,,,7.2034,84.6,1.5479,7.2542,0.1113,0.0593,10.1905,3.7738,2.25,48,12,,1
4,Buffalo,Bills,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,82,No,No,No,375,82,No,20,Yes,70,0.8537,2,0.2187,56,10,0.6829,557,152,103,624,2,1,6,3,0.0536,0.0244,0.0976,0.439,0.4268,58,0.7073,,,7.6098,90.3,1.4853,6.7927,-0.6374,0.0732,9.9464,2.7143,1.8393,29,5,1,
6,Chicago,Bears,DET,NFC,NFC North,Open,Open,Cover 2,17,85,Yes,No,No,396,85,No,17,Yes,76,0.8941,1,0.2146,66,9,0.7765,489,122,73,494,2,1,5,7,0.1061,0.0588,0.1529,0.3294,0.4588,62,0.7294,,,5.8118,98.5,1.2348,5.7529,-1.0134,0.0588,7.4091,1.8485,1.1061,21,9,1,1
