Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,DropsYardsLost,DropsPercentage,TouchdownsTotal,OffTargetThrowAttemptsPercentage,TowThrowPercentage,InterceptionsTotal
Sam Darnold,SEA,QB,21,21,21,0.8095,16,0.7619,0.7619,0.1064,21,301,14.3333,0.4252,16.2381,249,No,Yes,19,0.9048,15.7878,0.153,No,3,0.1429,0.0476,0.5714,4.9333,2.7579,11.8571,149.4,No,Yes,12,20.04,20.04,20.04,20.04,20.04,23.04,23.04,20.04,20.04,20.04,20.04,23.05,23.05,17,1,,,2,0.1905,,
Andy Dalton,CAR,QB,3,3,3,1,1,0.3333,0.3333,-0.2324,3,17,5.6667,,5.6667,55,Yes,Yes,3,1,1.9621,0.346,No,1,0.3333,,0.6667,4.3667,2.4333,18.3333,53.5,No,Yes,1,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.85,0.85,4,,,,,,,
Trevor Lawrence,JAX,QB,21,21,21,0.6667,12,0.5714,0.5714,0.096,21,272,12.9524,0.1176,12.7143,486,No,No,19,0.9048,15.8741,0.1489,No,13,0.619,0.2857,0.4286,4.9571,2.6316,23.1429,113.7,No,No,11,17.88,17.88,17.88,17.88,17.88,17.88,17.88,16.88,16.88,16.88,16.88,20.6,19.6,17,3,,,2,0.3333,0.1429,1
Bo Nix,DEN,QB,39,39,39,0.6923,17,0.4359,0.6154,-0.0259,39,265,6.7949,0.2679,6.1538,567,No,No,39,1,27.9575,0.2831,No,9,0.2308,0.0513,0.4103,4.7308,2.4077,14.5385,64.6,No,No,12,13.6,13.6,13.6,13.6,13.6,13.6,13.6,12.6,12.6,12.6,12.6,16.25,15.25,17,3,67,0.1795,1,0.2564,0.0513,1
Russell Wilson,NYG,QB,3,3,3,1,2,0.6667,0.6667,-0.0307,3,30,10,0.4667,10,31,No,No,3,1,1.7551,0.4149,No,,,,1,3.9667,2,10.3333,99.3,No,No,2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,6,,,,,,,
Joe Burrow,CIN,QB,16,16,16,0.5625,9,0.5625,0.5625,-0.0669,16,138,8.625,0.2246,12.375,217,No,Yes,16,1,12.4888,0.2195,No,5,0.3125,0.125,0.5,5.1,2.7313,13.5625,124.5,No,No,9,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,17.52,18.9,18.9,8,5,,,3,0.4375,0.0625,
Joshua Dobbs,NE,QB,1,1,1,1,1,1,1,0.3547,1,12,12,,12,12,No,No,1,1,0.746,0.254,No,,,,1,4.9,2.4,12,116.7,No,No,1,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.6,0.6,4,,,,,,,
Mac Jones,SF,QB,4,4,4,0.75,3,0.75,0.75,0.1027,4,25,6.25,0.12,6.25,54,No,No,2,0.5,2.6392,-0.1598,No,1,0.25,,0.5,4.4,2.4,13.5,90.6,No,No,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,11,,,,,0.25,0.25,
C.J. Stroud,HST,QB,20,20,20,0.85,12,0.6,0.65,-0.0176,20,153,7.65,0.4248,8.65,221,No,Yes,20,1,14.2483,0.2876,No,3,0.15,,0.6,4.705,2.44,11.05,100.6,No,Yes,9,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,11.65,11.65,14,1,25,0.05,1,0.1,,
Philip Rivers,IND,QB,1,1,1,1,1,1,1,0.1756,1,10,10,0.6,10,4,No,No,1,1,0.746,0.254,No,,,,,4.9,3.1,4,108.3,No,No,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,3,,,,,,,
Jacoby Brissett,ARZ,QB,13,13,13,0.6154,7,0.5385,0.5385,-0.1226,13,67,5.1538,0.2687,8.2308,155,No,No,13,1,9.9919,0.2314,No,3,0.2308,0.0769,0.5385,5.0308,2.5231,11.9231,108,No,No,4,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,10.68,11.35,11.35,14,2,,,2,0.3846,,
Joe Flacco,CIN,QB,8,8,8,0.375,3,0.375,0.375,-0.1907,8,53,6.625,0.3962,1,130,No,No,8,1,6.3134,0.2108,No,3,0.375,,0.375,5.15,3.0125,16.25,21.4,No,No,3,1.12,1.12,1.12,1.12,1.12,1.12,1.12,0.12,0.12,0.12,0.12,1.65,0.65,13,,,,,0.625,0.125,1
Daniel Jones,IND,QB,3,3,3,0.6667,2,0.6667,0.6667,0.0099,3,14,4.6667,0.1429,18,34,No,No,3,1,1.8931,0.369,No,,,,0.6667,4.2333,2.4333,11.3333,116.7,No,No,2,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.7,8.7,13,1,,,2,0.3333,,
Jake Browning,CIN,QB,8,8,8,0.625,5,0.625,0.625,-0.0244,8,55,6.875,0.3091,3.75,99,No,Yes,8,1,5.8649,0.2669,No,3,0.375,0.125,0.625,4.825,2.2875,12.375,82.8,No,Yes,2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,4.2,4.2,4.2,4.2,5.75,4.75,5,1,,,1,0.375,0.25,1
Josh Johnson,WAS,QB,1,1,1,1,,,,-0.9238,1,,,,-45,-1,Yes,Yes,1,1,0.5908,0.4092,No,,,,,4,2.7,-1,,Yes,Yes,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,5,,,,,,1,1
Kyler Murray,ARZ,QB,7,7,7,0.5714,2,0.2857,0.2857,-0.335,7,41,5.8571,0.2439,5.8571,98,No,Yes,7,1,4.6186,0.3402,No,1,0.1429,,0.4286,4.4,2.3857,14,51.5,No,Yes,2,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,2.05,2.05,5,2,,,,0.4286,,
Tanner McKee,PHI,QB,4,4,4,0.25,1,0.25,0.25,-0.32,4,12,3,,3,73,No,Yes,4,1,2.6737,0.3316,No,1,0.25,,0.25,4.45,2.575,18.25,39.6,No,No,1,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.6,0.6,4,1,,,,0.75,,
Jared Goff,DET,QB,8,8,8,0.75,4,0.5,0.5,-0.184,8,67,8.375,0.2836,8.375,81,No,No,8,1,5.6924,0.2884,No,,,0.125,0.75,4.7,2.7,10.125,78.6,No,No,3,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,3.35,3.35,17,1,,,,0.25,,
