Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed
Tanner McKee,PHI,QB,22,22,22,0.7273,1,16,0.7273,0.7273,0.0675,22,,,193,8.7727,0.1762,7.6364,256,1,1,No,No,,,6.2184,-0.2827,No,,0.2727,3,0.1364,0.0455,,1,0.7273,2.2136,,11.6364,95.5,No,No,12,10.72,10.72,10.72,10.72,10.72,10.72,10.72,9.72,9.72,9.72,9.72,12.65,11.65,4
Jared Goff,DET,QB,337,335,335,0.8239,22,243,0.7254,0.7958,0.0779,335,212,0.0657,3094,9.2358,0.4169,9.8478,3074,26,7,Yes,Yes,63,0.1881,98.7477,-0.1067,Yes,0.009,0.1582,34,0.1015,0.0209,0.0537,1,0.6896,2.2839,2.4222,9.3403,118.2,No,Yes,155,220.76,220.76,220.76,220.76,220.76,223.76,223.76,213.76,213.76,213.76,213.76,251.7,244.7,17
Cam Ward,TEN,QB,256,256,256,0.7109,13,145,0.5664,0.6484,-0.0243,256,206,0.082,1787,6.9805,0.2949,7.1562,2935,9,3,No,No,38,0.1484,76.7075,-0.1512,No,0.0195,0.2812,41,0.1602,0.0391,0.0508,1,0.5156,2.3121,2.2474,11.4648,85.2,No,Yes,86,104.48,104.48,104.48,104.48,104.48,107.48,107.48,101.48,101.48,101.48,101.48,122.35,119.35,17
Jake Browning,CIN,QB,68,68,68,0.7353,4,39,0.5735,0.5882,-0.0927,68,1,0.0147,479,7.0441,0.2818,4.9118,766,4,5,No,No,20,0.2941,19.6469,0.0052,No,0.0147,0.2647,14,0.2059,0.0735,0.0294,1,0.4853,2.25,2.105,11.2647,68.2,No,No,20,30.16,30.16,30.16,30.16,30.16,33.16,33.16,25.16,25.16,25.16,25.16,34.95,29.95,5
Josh Johnson,WAS,QB,25,25,25,0.76,3,16,0.64,0.64,-0.0753,25,,,157,6.28,0.3885,7.08,220,1,,No,No,5,0.2,7.594,-0.1038,No,,0.24,2,0.08,,,1,0.6,2.336,2.36,8.8,94.9,No,No,10,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,10.28,11.85,11.85,5
Gardner Minshew,KC,QB,6,6,6,0.6667,,4,0.6667,0.6667,-0.102,6,,,37,6.1667,0.7027,-1.3333,35,,1,No,No,,,1.6128,-0.2688,No,0.1667,0.3333,1,0.1667,0.1667,,1,0.5,2.1333,,5.8333,43.8,No,No,2,0.48,0.48,0.48,0.48,0.48,0.48,0.48,-0.52,-0.52,-0.52,-0.52,0.85,-0.15,4
Tua Tagovailoa,MIA,QB,198,198,198,0.7778,17,140,0.7071,0.7525,0.0508,198,139,0.0455,1680,8.4848,0.3845,7.7273,1992,15,10,No,No,25,0.1263,55.2579,-0.1528,No,0.0455,0.197,25,0.1263,0.0657,0.0556,1,0.6111,2.1929,2.068,10.0606,100.6,No,Yes,94,117.2,117.2,117.2,117.2,117.2,120.2,120.2,107.2,107.2,107.2,107.2,134,124,14
Caleb Williams,CHI,QB,271,269,269,0.777,25,176,0.6543,0.7212,0.0355,269,203,0.0669,2416,8.9814,0.3613,9.8178,3008,18,3,No,No,41,0.1524,87.4584,-0.1727,No,0.0112,0.197,39,0.145,0.0372,0.0409,1,0.5911,2.4599,2.2317,11.1822,111.7,No,Yes,116,171.84,172.84,172.34,172.84,172.84,175.84,175.34,169.84,169.84,169.84,169.34,197,194,17
Zach Wilson,MIA,QB,4,4,4,0.5,,2,0.5,0.6667,0.001,4,,,16,4,,4,32,,,No,Yes,2,0.5,0.9315,0.2671,Yes,,0.25,,,,,1,0.25,1.925,2,10,60.4,No,No,2,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,4
Teddy Bridgewater,TB,QB,8,8,8,0.625,1,4,0.5,0.5,-0.1976,8,,,50,6.25,0.56,6.25,80,,,No,No,,,2.1389,-0.2674,No,,0.375,1,0.125,,,1,0.5,2.125,,10,69.8,No,Yes,2,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5,4
Nick Mullens,JAX,QB,1,1,1,1,,1,1,1,0.2154,1,,,8,8,0.25,8,6,,,No,No,,,0.2286,-0.2286,No,,,,,,,1,1,1.9,,6,100,Yes,Yes,1,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,5
Brock Purdy,SF,QB,143,143,143,0.8392,13,107,0.7483,0.7902,0.111,143,31,0.042,1418,9.9161,0.2821,8.9371,1520,11,8,No,No,30,0.2098,48.4836,-0.1293,No,,0.1538,22,0.1538,0.042,0.028,1,0.6224,2.5406,2.3267,10.6294,108.1,Yes,Yes,87,92.72,92.72,92.72,92.72,92.72,95.72,95.72,84.72,84.72,84.72,84.72,106.9,98.9,9
Justin Fields,NYJ,QB,106,104,104,0.7788,6,69,0.6635,0.7212,0.0079,104,89,0.0577,728,7,0.3613,7.5288,977,5,1,No,No,26,0.25,33.895,-0.0759,No,0.0096,0.2115,13,0.125,0.0192,0.0385,1,0.5865,2.4644,2.3462,9.3942,98.6,Yes,Yes,38,48.12,48.12,48.12,48.12,48.12,51.12,51.12,47.12,47.12,47.12,47.12,55.4,54.4,9
Dillon Gabriel,CLV,QB,107,107,107,0.757,9,64,0.5981,0.6636,-0.0691,107,78,0.0654,626,5.8505,0.3211,6.3178,904,7,2,No,No,21,0.1963,32.3036,-0.1056,No,,0.2243,6,0.0561,0.0561,0.0187,1,0.4579,2.3252,2.3238,8.4486,90.3,No,No,34,51.04,51.04,51.04,51.04,51.04,54.04,54.04,49.04,49.04,49.04,49.04,57.3,55.3,10
Drake Maye,NE,QB,304,304,304,0.8257,23,225,0.7401,0.7881,0.1093,304,162,0.0428,3130,10.2961,0.3288,11.1842,3468,27,6,Yes,Yes,66,0.2171,100.5292,-0.1136,Yes,0.0033,0.1513,47,0.1546,0.0329,0.0855,1,0.6414,2.4921,2.5,11.5066,128,No,Yes,152,227.4,228.4,227.9,228.4,228.4,231.4,230.9,222.4,222.4,222.4,221.9,259.7,253.7,17
Geno Smith,LV,QB,262,262,262,0.7672,22,177,0.6756,0.7176,0.0051,262,96,0.042,2127,8.1183,0.4128,7.3931,2527,13,10,No,No,59,0.2252,85.3411,-0.1005,No,0.0115,0.229,38,0.145,0.0458,0.0458,1,0.6107,2.4634,2.3305,9.645,92.8,No,No,104,127.08,127.08,127.08,127.08,127.08,130.08,130.08,117.08,117.08,117.08,117.08,148.35,138.35,15
Justin Herbert,LAC,QB,290,290,290,0.8069,19,198,0.6828,0.7604,0.0441,290,189,0.0724,2241,7.7276,0.3632,7.8138,2699,17,7,No,No,57,0.1966,81.3388,-0.0839,No,0.0103,0.1724,40,0.1379,0.0276,0.0517,1,0.6586,2.201,2.1982,9.3552,100.7,No,No,116,150.64,150.64,150.64,150.64,150.64,153.64,153.64,143.64,143.64,143.64,143.64,173.05,166.05,16
Patrick Mahomes,KC,QB,264,264,264,0.7311,19,163,0.6174,0.6818,-0.0165,264,158,0.0644,2048,7.7576,0.4146,7.3788,2934,13,8,Yes,No,52,0.197,73.1367,-0.0801,No,0.0871,0.2386,43,0.1629,0.0417,0.0455,1,0.5833,2.1811,2.4192,11.1136,89.6,No,Yes,105,125.92,125.92,125.92,125.92,125.92,128.92,128.92,117.92,117.92,117.92,117.92,146.4,138.4,14
J.J. McCarthy,MIN,QB,143,143,143,0.7133,17,78,0.5455,0.6761,0.0209,143,214,0.1259,1079,7.5455,0.2864,6.1119,1780,10,9,Yes,No,31,0.2168,51.8474,-0.1458,No,0.014,0.2587,27,0.1888,0.0559,0.1329,1,0.5035,2.6769,2.6194,12.5594,76.1,No,No,55,74.16,74.16,74.16,74.16,74.16,77.16,77.16,65.16,65.16,65.16,65.16,84.95,75.95,10
Matthew Stafford,LA,QB,362,362,362,0.7818,40,238,0.6575,0.725,0.0504,362,230,0.0635,3326,9.1878,0.3208,10.6657,4128,38,5,Yes,No,68,0.1878,110.5076,-0.1174,No,0.0276,0.1851,66,0.1823,0.0359,0.0939,1,0.5691,2.3448,2.2206,11.5884,124.4,No,Yes,170,280.04,280.04,280.04,280.04,280.04,283.04,283.04,275.04,275.04,275.04,275.04,313.3,308.3,17
Tyson Bagent,CHI,QB,3,3,3,0.6667,,2,0.6667,0.6667,0.0029,3,,,27,9,0.5185,9,35,,,No,No,,,1.2031,-0.401,No,,0.3333,1,0.3333,,,1,0.6667,2.9,,11.6667,95.1,No,No,1,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.35,1.35,3
Aidan O'Connell,LV,QB,13,13,13,0.6154,1,5,0.3846,0.4615,-0.1989,13,5,0.0769,67,5.1538,0.1343,5.1538,169,,,No,No,3,0.2308,3.8854,-0.0681,No,,0.3846,2,0.1538,,,1,0.1538,2.3077,2.4,13,55.6,No,No,4,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,3.35,3.35,1
Kedon Slovis,ARZ,QB,2,2,2,1,,1,0.5,1,0.1226,2,5,0.5,-2,-1,,-1,3,,,No,Yes,1,0.5,0.4743,0.2628,No,,,,,,,1,,1.95,2.5,1.5,56.3,Yes,Yes,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.1,-0.1,2
Marcus Mariota,WAS,QB,129,129,129,0.8062,9,83,0.6434,0.7054,0.0586,129,94,0.062,1179,9.1395,0.268,9.5271,1620,7,2,Yes,No,20,0.155,37.5215,-0.1358,No,0.031,0.1628,24,0.186,0.031,0.0853,1,0.5814,2.2612,2.395,12.5581,105.4,Yes,Yes,56,73.16,73.16,73.16,73.16,73.16,76.16,76.16,71.16,71.16,71.16,71.16,84.95,82.95,11
Tyler Huntley,BLT,QB,45,45,45,0.9111,1,39,0.8667,0.9111,0.1748,45,3,0.0444,376,8.3556,0.2473,9.2444,376,2,,No,Yes,10,0.2222,12.51,-0.0558,Yes,0.0222,0.0889,4,0.0889,,0.0444,1,0.5333,2.1867,2.29,8.3556,116.3,No,Yes,19,23.04,23.04,23.04,23.04,23.04,26.04,26.04,23.04,23.04,23.04,23.04,26.8,26.8,5
Aaron Rodgers,PIT,QB,257,257,257,0.8054,22,168,0.6537,0.7198,0.0096,257,179,0.0661,2163,8.4163,0.4443,8.7665,2521,18,6,No,No,23,0.0895,67.5003,-0.1732,No,0.0467,0.1751,37,0.144,0.0272,0.0545,1,0.6187,2.0977,2.2826,9.8093,105.2,No,Yes,93,152.52,152.52,152.52,152.52,152.52,155.52,155.52,146.52,146.52,146.52,146.52,174.15,168.15,16
Baker Mayfield,TB,QB,289,289,289,0.7336,26,173,0.5986,0.6574,-0.0239,289,212,0.0588,2107,7.2907,0.3128,7.481,3272,14,5,No,No,45,0.1557,86.1645,-0.1424,Yes,0.0311,0.2526,45,0.1557,0.0277,0.0657,1,0.5329,2.3035,2.3178,11.3218,91.3,No,Yes,101,135.28,135.28,135.28,135.28,135.28,138.28,138.28,130.28,130.28,130.28,130.28,156.35,151.35,17
Mason Rudolph,PIT,QB,26,26,26,0.7692,1,18,0.6923,0.6923,-0.02,26,,,137,5.2692,0.4015,3.3462,256,2,2,Yes,No,1,0.0385,8.3056,-0.281,No,,0.1923,4,0.1538,0.1538,0.0385,1,0.6154,2.4269,2.8,9.8462,75.3,No,No,8,11.48,11.48,11.48,11.48,11.48,11.48,11.48,9.48,9.48,9.48,9.48,12.85,10.85,5
Carson Wentz,MIN,QB,97,96,96,0.7292,8,61,0.6354,0.7083,0.0144,96,66,0.0729,741,7.7188,0.3023,7.6146,990,4,2,No,Yes,22,0.2292,27.4435,-0.0567,Yes,0.0521,0.2708,12,0.125,0.0417,0.0104,1,0.5104,2.2323,2.1727,10.3125,92.4,No,No,40,43.64,43.64,43.64,43.64,43.64,46.64,46.64,41.64,41.64,41.64,41.64,51.05,49.05,5
Dak Prescott,DAL,QB,344,344,344,0.8401,42,246,0.7151,0.7703,0.0674,344,139,0.0552,3072,8.9302,0.3376,9.4244,3550,22,6,Yes,No,79,0.2297,107.3252,-0.0823,No,0.0087,0.1453,51,0.1483,0.0407,0.0698,1,0.6599,2.3837,2.3899,10.3198,112.9,No,Yes,161,204.88,204.88,204.88,204.88,204.88,207.88,207.88,198.88,198.88,198.88,198.88,235.6,229.6,17
Spencer Rattler,NO,QB,159,157,157,0.8089,13,105,0.6688,0.7516,0.0459,157,123,0.0828,1108,7.0573,0.296,7.0892,1594,7,3,No,No,38,0.242,45.8701,-0.0501,No,0.0318,0.1847,24,0.1529,0.0701,0.0701,1,0.5669,2.2688,2.35,10.1529,94.1,No,No,53,69.32,69.32,69.32,69.32,69.32,72.32,72.32,66.32,66.32,66.32,66.32,80.4,77.4,9
Joe Milton,DAL,QB,16,16,16,0.625,3,10,0.625,0.625,-0.0346,16,,,129,8.0625,0.2636,3.6875,204,1,2,No,No,4,0.25,5.5198,-0.095,Yes,,0.375,3,0.1875,0.125,0.0625,1,0.5,2.575,2.325,12.75,69,No,No,7,7.16,7.16,7.16,7.16,7.16,7.16,7.16,5.16,5.16,5.16,5.16,8.45,6.45,4
Jaxson Dart,NYG,QB,185,184,184,0.7717,18,107,0.5815,0.6685,-0.0149,184,180,0.087,1253,6.8098,0.3623,6.837,2107,7,3,Yes,No,39,0.212,56.2499,-0.0937,No,0.0435,0.2011,32,0.1739,0.0489,0.0652,1,0.5707,2.3473,2.5436,11.4511,84.8,No,No,59,75.12,75.12,75.12,75.12,75.12,78.12,78.12,72.12,72.12,72.12,72.12,87.65,84.65,14
Quinn Ewers,MIA,QB,52,52,52,0.7115,3,30,0.5769,0.5962,-0.0614,52,15,0.0192,427,8.2115,0.3958,6.7692,654,3,3,Yes,Yes,10,0.1923,16.5766,-0.1265,No,0.0192,0.2692,8,0.1538,0.1154,0.0385,1,0.5,2.4231,2.33,12.5769,79.6,No,No,20,26.08,26.08,26.08,26.08,26.08,29.08,29.08,23.08,23.08,23.08,23.08,30.35,27.35,4
Brady Cook,NYJ,QB,92,92,92,0.75,7,53,0.5761,0.6739,-0.0656,92,25,0.0978,489,5.3152,0.3701,3.087,725,1,5,Yes,No,7,0.0761,27.0468,-0.2179,No,,0.2391,7,0.0761,0.0761,0.0109,1,0.4783,2.2793,2.2714,7.8804,53.2,No,Yes,25,18.56,18.56,18.56,18.56,18.56,21.56,21.56,13.56,13.56,13.56,13.56,23.45,18.45,5
Shane Buechele,KC,QB,7,7,7,0.5714,,4,0.5714,0.5714,-0.1056,7,,,71,10.1429,0.0845,10.1429,95,,,No,No,1,0.1429,2.1174,-0.1596,No,,0.4286,2,0.2857,,0.1429,1,0.4286,2.3286,2.8,13.5714,92,No,Yes,3,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,3.55,3.55,1
Mitchell Trubisky,BUF,QB,23,23,23,0.7826,2,16,0.6957,0.7391,0.0214,23,14,0.0435,215,9.3478,0.414,11.9565,198,3,,Yes,No,,,7.2404,-0.3148,No,0.0435,0.2174,,,0.0435,0.0435,1,0.6087,2.4,,8.6087,138.6,No,Yes,12,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,22.75,22.75,4
