Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,PressuredTotal,PressuredPercentage,OffTargetThrowAttemptsPercentage,TowThrowPercentage,AverageTimeToPressure,AttemptsInEndzoneTotal,YardsAfterCatchPercentage,ThrowAccuracyHighlyAccuratePercentage,playerStatsFirstDownsPassing,DropsYardsLost,DropsPercentage,TouchdownsTotal,InterceptionsTotal,HeroThrowPercentage,RunPassOptionPercentage
Trey Lance,LAC,QB,2,2,2,,,,,-0.4747,2,,,,50,No,Yes,1.3024,0.3488,No,1,0.5,4.35,25,39.6,No,No,,,,,,,,,,,,,,4,2,1,1,,2.35,,,,,,,,,,
Tyler Shough,NO,QB,41,41,41,0.8537,35,0.8537,0.8537,0.1442,41,405,9.878,10.8537,386,No,Yes,17.0641,0.0472,No,4,0.0976,2.9878,9.4146,124.1,No,No,24.2,24.2,24.2,24.2,24.2,27.2,27.2,24.2,24.2,24.2,24.2,28.25,28.25,11,19,0.4634,0.122,,2.5789,1,0.3062,0.6585,18,,,2,,0.0976,0.0244
Kenny Pickett,LV,QB,5,5,5,0.8,4,0.8,0.8,-0.0001,5,22,4.4,-4.6,23,No,No,2.195,-0.039,No,,,3.12,4.6,45.4,No,No,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-1.12,-1.12,-1.12,-1.12,0.1,-0.9,6,2,0.4,0.2,0.2,2.8,,0.1818,0.8,,,,,1,,
Chris Oladokun,KC,QB,2,2,2,1,2,1,1,0.1232,2,16,8,8,3,No,Yes,0.9919,0.0041,Yes,,,3.45,1.5,100,No,Yes,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,3,1,0.5,,,3.2,,0.8125,1,1,,,,,,
Lamar Jackson,BLT,QB,46,46,46,0.8478,35,0.7609,0.8478,0.1458,46,451,9.8043,9.587,458,Yes,No,22.4675,0.0768,No,5,0.1087,3.4065,9.9565,117.2,No,Yes,32.04,32.04,32.04,32.04,32.04,35.04,35.04,30.04,30.04,30.04,30.04,36.55,34.55,13,26,0.5652,0.1522,0.0217,2.7115,5,0.3947,0.6957,19,33,0.087,4,2,0.0217,
Bo Nix,DEN,QB,82,82,82,0.8049,59,0.7195,0.7805,0.0397,82,607,7.4024,7.5244,663,No,No,35.4391,-0.0297,Yes,8,0.0976,3.0805,8.0854,103,No,Yes,42.28,42.28,42.28,42.28,42.28,45.28,45.28,40.28,40.28,40.28,40.28,48.35,46.35,17,33,0.4024,0.1829,0.0488,2.6424,6,0.4745,0.6463,31,127,0.061,5,2,0.0488,
Trevor Lawrence,JAX,QB,79,79,79,0.8354,46,0.5823,0.7179,-0.0051,79,456,5.7722,6.5316,697,Yes,Yes,34.6327,-0.084,No,9,0.1139,3.1165,8.8861,87.3,No,Yes,30.24,30.24,30.24,30.24,30.24,33.24,33.24,30.24,30.24,30.24,30.24,34.8,34.8,17,28,0.3544,0.1392,,2.8286,4,0.4342,0.5443,24,83,0.1266,3,,0.0506,
Sam Darnold,SEA,QB,75,75,75,0.8667,58,0.7733,0.8,0.0605,75,582,7.76,7.36,592,No,No,29.6648,-0.1289,No,3,0.04,2.868,7.8933,101.1,No,No,33.28,33.28,33.28,33.28,33.28,36.28,36.28,31.28,31.28,31.28,31.28,39.1,37.1,17,20,0.2667,0.1333,0.04,2.715,4,0.3763,0.7467,36,9,0.0267,3,2,,
Andy Dalton,CAR,QB,4,4,4,0.75,3,0.75,0.75,0.0729,4,52,13,13,42,No,No,1.587,0.1033,No,,,2.875,10.5,116.7,No,Yes,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.6,2.6,4,2,0.5,0.25,,2.8,,0.5385,0.5,2,,,,,,
Brandon Allen,TEN,QB,4,4,4,0.5,2,0.5,0.5,-0.2421,4,15,3.75,3.75,31,No,Yes,2.1734,0.2066,No,,,3.725,7.75,59.4,No,No,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.75,1,3,0.75,0.5,0.5,2.4667,,0.4,0.25,,,,,,,
Jayden Daniels,WAS,QB,33,33,33,0.8182,23,0.697,0.8125,0.123,33,379,11.4848,11.9394,332,No,No,13.8729,-0.0568,No,7,0.2121,3.0121,10.5152,125.7,Yes,Yes,26.16,26.16,26.16,26.16,26.16,29.16,29.16,25.16,25.16,25.16,25.16,29.95,28.95,7,12,0.3636,0.1818,0.0303,2.4167,3,0.4301,0.5758,18,31,0.0909,3,1,0.1212,
Kirk Cousins,ATL,QB,52,52,52,0.8269,36,0.6923,0.7308,-0.0294,52,363,6.9808,8.1346,352,No,No,20.7166,-0.0522,Yes,2,0.0385,2.8846,6.7692,108.1,No,Yes,26.52,26.52,26.52,26.52,26.52,29.52,29.52,26.52,26.52,26.52,26.52,30.15,30.15,10,18,0.3462,0.1538,0.0385,2.5556,4,0.4904,0.6538,19,20,0.0385,3,,,
Mac Jones,SF,QB,45,45,45,0.9111,35,0.7778,0.8444,0.0644,45,365,8.1111,8.5556,268,No,No,17.5297,-0.1007,No,2,0.0444,2.8333,5.9556,107.9,No,No,18.6,18.6,18.6,18.6,18.6,21.6,21.6,18.6,18.6,18.6,18.6,22.25,22.25,11,13,0.2889,0.0667,,2.3154,,0.5151,0.7333,16,39,0.0667,1,,,
Joe Burrow,CIN,QB,26,26,26,0.8077,16,0.6154,0.6923,-0.0615,26,183,7.0385,7.0385,181,No,No,10.824,-0.1471,No,,,2.9885,6.9615,82.7,No,Yes,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,9.15,9.15,8,7,0.2692,0.1923,,2.4286,,0.4809,0.6154,10,21,0.0769,,,,
Philip Rivers,IND,QB,6,6,6,0.6667,4,0.6667,0.6667,-0.0277,6,41,6.8333,6.8333,64,No,No,2.1648,-0.3608,No,1,0.1667,2.6667,10.6667,86.1,Yes,No,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,2.05,2.05,3,,,0.3333,,,,0.3902,0.5,1,,,,,,
Russell Wilson,NYG,QB,13,13,13,0.7692,8,0.6154,0.6923,-0.0077,13,68,5.2308,1.7692,145,No,No,5.4379,-0.1875,No,3,0.2308,3,11.1538,43.1,No,No,1.72,1.72,1.72,1.72,1.72,1.72,1.72,0.72,0.72,0.72,0.72,2.4,1.4,6,3,0.2308,0.2308,0.0769,2.3667,2,0.4412,0.5385,2,4,0.0769,,1,,
Joe Flacco,CIN,QB,49,49,49,0.8163,33,0.6735,0.7551,-0.0208,49,311,6.3469,6.2449,310,No,No,19.7204,0.0873,No,1,0.0204,2.9082,6.3265,89.8,No,No,19.44,19.44,19.44,19.44,19.44,22.44,22.44,18.44,18.44,18.44,18.44,22.55,21.55,13,24,0.4898,0.1633,0.0408,2.6167,,0.4984,0.6122,12,55,0.0816,2,1,0.0408,
Daniel Jones,IND,QB,32,32,32,0.8438,23,0.7188,0.7812,0.0001,32,227,7.0938,5.6875,186,No,Yes,13.2649,-0.0708,No,,,2.9781,5.8125,78.5,No,Yes,8.08,8.08,8.08,8.08,8.08,8.08,8.08,7.08,7.08,7.08,7.08,10.35,9.35,13,11,0.3438,0.1562,0.0938,2.5273,1,0.4449,0.5312,10,1,0.0625,,1,,
C.J. Stroud,HST,QB,55,55,55,0.7273,37,0.6727,0.6909,-0.0257,55,455,8.2727,7.7273,495,Yes,No,24.628,-0.0114,No,4,0.0727,3.1709,9,95.6,No,Yes,28.2,28.2,28.2,28.2,28.2,31.2,31.2,26.2,26.2,26.2,26.2,32.75,30.75,14,24,0.4364,0.2727,0.0545,2.5458,3,0.4088,0.5273,20,19,0.0182,3,2,0.0545,
Jacoby Brissett,ARZ,QB,71,71,71,0.8169,51,0.7183,0.7606,-0.0249,71,525,7.3944,6.7606,399,No,No,29.9581,-0.0698,No,2,0.0282,3.0211,5.6197,86.9,No,Yes,20,20,20,20,20,23,23,19,19,19,19,25.25,24.25,14,25,0.3521,0.1831,0.0141,2.676,4,0.579,0.6338,23,7,0.0423,,1,,
Jared Goff,DET,QB,91,91,91,0.8022,63,0.6923,0.7802,0.0369,91,791,8.6923,9.1319,706,Yes,No,39.1693,0.0421,No,3,0.033,3.0703,7.7582,103.3,No,Yes,39.64,39.64,39.64,39.64,39.64,42.64,42.64,39.64,39.64,39.64,39.64,47.55,47.55,17,43,0.4725,0.1978,0.011,2.6581,3,0.4488,0.6484,38,59,0.0879,2,,0.033,
Kyler Murray,ARZ,QB,18,18,18,0.8333,14,0.7778,0.8333,0.0993,18,164,9.1111,8.8333,158,No,No,6.8567,0.0635,Yes,3,0.1667,2.7833,8.7778,118.5,No,Yes,13.56,13.56,13.56,13.56,13.56,13.56,13.56,12.56,12.56,12.56,12.56,15.2,14.2,5,8,0.4444,0.1111,0.0556,2.2125,2,0.5427,0.6111,8,26,0.0556,2,1,,
Cam Ward,TEN,QB,75,75,75,0.7867,55,0.7333,0.76,0.0478,75,576,7.68,7.88,699,Yes,Yes,34.7535,-0.1167,Yes,7,0.0933,3.2613,9.32,103,No,Yes,34.04,34.04,34.04,34.04,34.04,37.04,37.04,33.04,33.04,33.04,33.04,39.8,38.8,17,26,0.3467,0.2133,0.0267,2.7577,3,0.3351,0.56,34,17,0.0267,3,1,0.0267,
Tanner McKee,PHI,QB,3,3,3,0.6667,1,0.3333,0.6667,-0.1046,3,6,2,2,19,No,Yes,1.1859,-0.062,No,,,2.8667,6.3333,42.4,No,Yes,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,4,1,0.3333,0.3333,,2.6,,0.6667,0.3333,,3,0.3333,,,,
Josh Johnson,WAS,QB,10,10,10,0.8,8,0.8,0.8,0.1003,10,113,11.3,6.8,95,No,No,4.2348,-0.0235,No,,,3.03,9.5,74.2,No,Yes,3.52,3.52,3.52,3.52,3.52,3.52,3.52,2.52,2.52,2.52,2.52,4.65,3.65,5,4,0.4,0.2,0.2,2.975,,0.3363,0.7,7,,,,1,,
Jake Browning,CIN,QB,8,8,8,0.75,6,0.75,0.75,0.0285,8,97,12.125,0.875,70,No,No,3.7949,0.0256,No,,,3.325,8.75,75.5,No,No,1.88,1.88,1.88,1.88,1.88,1.88,1.88,-0.12,-0.12,-0.12,-0.12,2.85,0.85,5,4,0.5,0.25,0.125,2.4,,0.4536,0.5,5,,,,2,,
Gardner Minshew,KC,QB,1,1,1,,,,,-0.7119,1,,,,8,No,No,0.3838,-0.3838,Yes,,,2.8,8,39.6,No,No,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,
Tua Tagovailoa,MIA,QB,61,61,61,0.7869,39,0.6393,0.7377,0.0096,61,435,7.1311,4.8361,536,No,Yes,25.2058,-0.0362,No,6,0.0984,2.9705,8.7869,68.7,No,Yes,21.4,21.4,21.4,21.4,21.4,24.4,24.4,17.4,17.4,17.4,17.4,25.75,21.75,14,23,0.377,0.2131,0.0984,2.487,3,0.3931,0.6066,23,48,0.0984,2,4,0.0164,0.0328
Caleb Williams,CHI,QB,92,92,92,0.7609,58,0.6304,0.6957,0.0141,92,758,8.2391,9.2717,1016,No,No,44.5901,-0.1586,No,15,0.163,3.3848,11.0435,109.8,No,Yes,57.32,57.32,57.32,57.32,57.32,60.32,60.32,56.32,56.32,56.32,56.32,64.9,63.9,17,30,0.3261,0.2283,0.0435,2.9433,10,0.285,0.5652,33,97,0.0652,7,1,0.0435,
Zach Wilson,MIA,QB,2,2,2,0.5,1,0.5,0.5,-0.1784,2,6,3,3,24,No,No,0.9056,-0.4528,No,,,3.2,12,56.3,No,No,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,4,,,0.5,,,,0.1667,,,,,,,,
Justin Fields,NYJ,QB,40,40,40,0.825,28,0.7,0.775,0.0176,40,259,6.475,6.975,290,No,Yes,17.3702,0.0657,No,2,0.05,3.0925,7.25,95.7,No,Yes,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,14.36,16.95,16.95,9,20,0.5,0.15,,2.69,,0.278,0.625,11,12,0.075,1,,0.025,
Dillon Gabriel,CLV,QB,19,19,19,0.7368,11,0.5789,0.6842,-0.0503,19,105,5.5263,5.5263,148,No,No,9.7934,0.0109,No,1,0.0526,3.5632,7.7895,73.4,No,No,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,5.25,5.25,10,10,0.5263,0.2632,0.0526,2.72,2,0.6,0.6842,3,31,0.1053,,,0.0526,
Brock Purdy,SF,QB,50,50,50,0.84,35,0.7,0.8,0.0774,50,352,7.04,7.24,440,No,Yes,24.4513,-0.049,No,7,0.14,3.41,8.8,106.4,No,Yes,32.08,32.08,32.08,32.08,32.08,35.08,35.08,30.08,30.08,30.08,30.08,35.6,33.6,9,22,0.44,0.14,0.04,2.8909,5,0.2386,0.7,20,33,0.1,5,2,0.06,
Justin Herbert,LAC,QB,72,72,72,0.8611,51,0.7083,0.7746,0.0898,72,781,10.8472,10.4306,789,No,Yes,31.9461,0.0285,No,9,0.125,3.1472,11.0972,108.6,No,Yes,41.24,41.24,41.24,41.24,41.24,44.24,44.24,39.24,39.24,39.24,39.24,49.05,47.05,16,34,0.4722,0.125,0.0278,2.5412,7,0.3329,0.625,28,43,0.0556,3,2,0.0833,
Drake Maye,NE,QB,69,69,69,0.8841,57,0.8261,0.8696,0.1815,69,703,10.1884,11.058,719,Yes,No,32.5369,-0.0223,Yes,11,0.1594,3.3087,10.4203,123.6,No,Yes,40.12,40.12,40.12,40.12,40.12,43.12,43.12,40.12,40.12,40.12,40.12,47.15,47.15,17,31,0.4493,0.058,,2.7097,5,0.2945,0.5797,36,26,0.0435,3,,0.0145,
Geno Smith,LV,QB,59,59,59,0.8644,45,0.7627,0.8305,0.0548,59,448,7.5932,4.7966,335,Yes,Yes,24.1105,-0.1544,Yes,2,0.0339,2.9441,5.678,78.9,No,Yes,24.92,24.92,24.92,24.92,24.92,27.92,27.92,19.92,19.92,19.92,19.92,29.4,24.4,15,15,0.2542,0.1356,0.0847,2.6667,2,0.5625,0.6441,23,27,0.0678,3,5,,
Matthew Stafford,LA,QB,106,106,106,0.7925,71,0.6698,0.7264,0.0318,106,811,7.6509,8.3585,1099,No,No,47.5138,-0.0331,No,14,0.1321,3.1736,10.3679,104.7,No,Yes,55.44,55.44,55.44,55.44,55.44,58.44,58.44,54.44,54.44,54.44,54.44,63.55,62.55,17,44,0.4151,0.1887,0.0094,2.9477,12,0.3218,0.5566,43,50,0.0566,6,1,0.0566,
