Name,Team,POS,ATT,YDS,TD,YAC,MTF
Jahmyr Gibbs,DET,RB,105,679,5,258,32
Ameer Abdullah,LV,RB,19,74,1,39,2
Jeff Wilson,MIA,RB,3,7,,4,
Zamir White,LV,RB,18,45,,33,2
Deuce Vaughn,DAL,RB,7,28,,23,2
Kenny McIntosh,SEA,RB,5,21,,18,4
Devin Singletary,NYG,RB,20,56,,39,2
Jonathan Ward,PIT,RB,4,20,,12,
Christian McCaffrey,SF,RB,28,96,,54,5
MarShawn Lloyd,GB,RB,3,4,,6,
Ezekiel Elliott,DAL,RB,20,45,,34,
Tyler Allgeier,ATL,RB,78,367,1,223,18
Jermar Jefferson,DET,RB,1,5,,3,
Emanuel Wilson,GB,RB,32,144,,83,4
Khalil Herbert,CIN,RB,4,24,,10,1
C.J. Ham,MIN,FB,1,8,,3,
Trey Sermon,IND,RB,16,15,,21,3
Mike Boone,CAR,RB,3,6,,5,
Jonathan Taylor,IND,RB,48,238,2,86,8
Braelon Allen,NYJ,RB,32,128,1,91,6
Jordan Mason,SF,RB,77,451,2,286,22
Tyler Goodson,IND,RB,9,55,,20,2
Isaiah Davis,NYJ,RB,12,78,1,38,3
Tyjae Spears,TEN,RB,17,53,,42,1
Javonte Williams,DEN,RB,33,118,1,62,3
JaMycal Hasty,NE,RB,3,14,,7,
Cam Akers,MIN,RB,45,163,1,120,7
Nick Chubb,CLV,RB,40,151,1,80,5
Chris Rodriguez Jr.,WAS,RB,2,10,,7,1
Michael Carter,ARZ,RB,2,6,,1,
Bucky Irving,TB,RB,46,134,1,79,6
Audric Estime,DEN,RB,8,30,,20,1
Antonio Gibson,NE,RB,32,177,,132,7
Keaton Mitchell,BLT,RB,5,9,,6,1
Trey Benson,ARZ,RB,11,40,,27,2
Bijan Robinson,ATL,RB,193,981,8,566,38
Jaleel McLaughlin,DEN,RB,59,244,,112,10
Kenneth Walker,SEA,RB,39,140,,89,14
De'Von Achane,MIA,RB,81,405,3,198,14
Julius Chestnut,TEN,RB,3,10,,6,
D'Onta Foreman,CLV,RB,21,68,,34,
Cordarrelle Patterson,PIT,RB,9,37,,20,3
Sean Tucker,TB,RB,5,29,,9,
Isiah Pacheco,KC,RB,18,88,,32,1
Kenneth Gainwell,PHI,RB,13,48,,29,1
Tyler Badie,DEN,RB,2,19,,12,
Dalvin Cook,DAL,RB,1,1,,1,
Tank Bigsby,JAX,RB,18,73,,42,3
Jordan Mims,NO,RB,6,13,,14,
Clyde Edwards-Helaire,NO,RB,7,22,,15,1
Rachaad White,TB,RB,40,61,,71,6
Hassan Haskins,LAC,RB,1,,,1,
Jaylen Warren,PIT,RB,33,154,,115,9
Tyrone Tracy,NYG,RB,46,218,1,156,10
David Montgomery,DET,RB,75,333,4,208,15
Zach Charbonnet,SEA,RB,30,79,,60,4
Chuba Hubbard,CAR,RB,91,486,,236,13
Josh Jacobs,GB,RB,85,415,2,244,17
Kareem Hunt,KC,RB,46,154,,88,1
Ty Chandler,MIN,RB,22,53,,36,1
Jerome Ford,CLV,RB,30,104,,63,6
Jeremy McNichols,WAS,RB,6,22,1,12,2
Derrick Henry,BLT,RB,96,711,2,365,31
Rico Dowdle,DAL,RB,58,278,,173,7
Jaylen Wright,MIA,RB,36,141,,91,8
Ty Johnson,BUF,RB,22,126,,63,2
Chase Brown,CIN,RB,60,233,,120,12
Najee Harris,PIT,RB,94,307,2,221,13
Joe Mixon,HST,RB,115,442,6,240,11
Isaac Guerendo,SF,RB,39,204,,71,8
Aaron Jones,MIN,RB,98,429,1,262,15
Jamaal Williams,NO,RB,17,73,1,58,2
Ke'Shawn Vaughn,SF,RB,1,3,,2,
Darrynton Evans,CHI,RB,1,,,,
D'Ernest Johnson,JAX,RB,7,25,,16,2
Saquon Barkley,PHI,RB,72,381,2,152,4
Miles Sanders,CAR,RB,12,22,,20,1
J.J. Taylor,HST,RB,2,5,,1,
Austin Ekeler,WAS,RB,5,15,,10,1
Rasheen Ali,BLT,RB,4,5,,9,2
Craig Reynolds,DET,RB,15,73,,30,2
Emari Demercado,ARZ,RB,1,-1,,1,
J.K. Dobbins,LAC,RB,37,138,1,78,4
Zack Moss,CIN,RB,9,45,,21,
Tyrion Davis-Price,PHI,RB,1,5,,4,
Samaje Perine,KC,RB,5,27,,15,1
Myles Gaskin,MIN,RB,1,,,3,
Rhamondre Stevenson,NE,RB,58,170,,113,4
Travis Etienne,JAX,RB,21,84,,81,3
Hunter Luepke,DAL,FB,2,8,,9,
Ronnie Rivers,LA,RB,6,16,,13,1
Travis Homer,CHI,RB,1,1,,2,
Dare Ogunbowale,HST,RB,9,50,,12,
Blake Watson,DEN,RB,4,10,,5,
Kimani Vidal,LAC,RB,4,11,,10,
Chris Brooks,GB,RB,14,63,,48,7
Blake Corum,LA,RB,16,57,,21,2
James Cook,BUF,RB,58,275,5,157,14
Dameon Pierce,HST,RB,18,208,2,84,4
Pierre Strong,CLV,RB,8,50,,21,1
Raheem Mostert,MIA,RB,33,105,,70,7
Breece Hall,NYJ,RB,93,359,1,235,8
Roschon Johnson,CHI,RB,5,5,,6,
Jonathon Brooks,CAR,RB,5,13,,6,2
Jacob Kibodi,CLV,RB,4,21,,7,1
Sincere McCormick,LV,RB,4,23,,12,1
Justice Hill,BLT,RB,11,45,,22,3
Kendre Miller,NO,RB,20,78,,50,5
James Conner,ARZ,RB,31,89,,67,11
Alvin Kamara,NO,RB,123,553,2,288,14
Brian Robinson,WAS,RB,29,125,,70,3
Aaron Shampklin,PIT,RB,2,8,,4,
D'Andre Swift,CHI,RB,61,174,,114,7
Tony Pollard,TEN,RB,53,169,,128,5
Carson Steele,KC,RB,3,9,,6,
Ray Davis,BUF,RB,33,179,,115,13
Patrick Taylor,SF,RB,21,122,,65,5
Chris Collier,LV,RB,2,6,,6,
Raheem Blackshear,CAR,RB,1,5,,1,
Sione Vaki,DET,RB,5,9,,7,
Jase McClellan,ATL,RB,6,7,,7,
Alexander Mattison,LV,RB,31,97,,53,2
Kyren Williams,LA,RB,84,335,1,172,16
Dylan Laube,LV,RB,1,,,2,
Gus Edwards,LAC,RB,30,98,,72,6
Will Shipley,PHI,RB,7,12,,8,1
