Name,Team,POS,ATT,YDS,TD,YAC,MTF
Tank Bigsby,JAX,RB,1,65,1,56,1
Cordarrelle Patterson,PIT,RB,1,-2,,,
De'Von Achane,MIA,RB,4,10,,7,
Bijan Robinson,ATL,RB,2,-1,,1,
Jaylen Wright,MIA,RB,2,16,,9,
Zach Charbonnet,SEA,RB,1,1,1,,
Jaylen Warren,PIT,RB,1,18,,9,2
Bucky Irving,TB,RB,8,55,,33,5
Isaiah Davis,NYJ,RB,1,11,,1,
Justice Hill,BLT,RB,1,5,,3,
Breece Hall,NYJ,RB,1,7,,,
Raheem Mostert,MIA,RB,1,1,,3,
Will Shipley,PHI,RB,1,2,,2,
D'Andre Swift,CHI,RB,1,4,,2,1
Tony Pollard,TEN,RB,2,4,,5,
Carson Steele,KC,RB,1,-9,,1,
DeeJay Dallas,ARZ,RB,1,22,,,
Alvin Kamara,NO,RB,1,-7,,1,
Miles Sanders,CAR,RB,1,-3,,7,1
Austin Ekeler,WAS,RB,2,14,,7,1
Saquon Barkley,PHI,RB,3,10,,4,
Aaron Jones,MIN,RB,1,8,,1,
Jamaal Williams,NO,RB,1,2,,4,
Chase Brown,CIN,RB,1,8,,,1
Joe Mixon,HST,RB,4,17,,10,
