Name,Team,POS,ATT,YDS,TD,YAC,MTF
Jonathan Taylor,IND,RB,20,158,1,64,4
Jordan Mason,SF,RB,2,3,,3,
Tyler Goodson,IND,RB,1,6,,2,
Tyjae Spears,TEN,RB,4,15,,9,
Javonte Williams,DEN,RB,3,39,,18,1
JaMycal Hasty,NE,RB,1,6,,2,
Terrell Jennings,NE,RB,1,2,,2,
Nick Chubb,CLV,RB,4,29,,18,1
Chris Rodriguez Jr.,WAS,RB,3,10,,7,2
Michael Carter,ARZ,RB,1,3,,,
Bucky Irving,TB,RB,11,134,,52,4
Audric Estime,DEN,RB,2,13,,8,2
Antonio Gibson,NE,RB,2,-1,,2,
Keaton Mitchell,BLT,RB,1,7,,3,
Jahmyr Gibbs,DET,RB,10,69,,29,
Ameer Abdullah,LV,RB,2,24,,10,
Zamir White,LV,RB,1,2,,1,
Deuce Vaughn,DAL,RB,1,4,,4,1
Kenny McIntosh,SEA,RB,2,8,,6,
Devin Singletary,NYG,RB,2,10,1,9,2
Christian McCaffrey,SF,RB,1,1,,1,
Ezekiel Elliott,DAL,RB,2,4,,1,
Khalil Herbert,CIN,RB,2,10,,5,
Trey Sermon,IND,RB,4,36,,10,1
Rachaad White,TB,RB,3,26,,9,
Hassan Haskins,LAC,RB,1,1,,1,
Jaylen Warren,PIT,RB,3,15,,2,1
Tyrone Tracy,NYG,RB,3,14,,8,
David Montgomery,DET,RB,3,11,,5,1
Zach Charbonnet,SEA,RB,4,24,,19,2
Josh Jacobs,GB,RB,1,13,,4,
Ty Chandler,MIN,RB,2,8,,6,
Jerome Ford,CLV,RB,2,24,,4,
Jeremy McNichols,WAS,RB,4,10,,7,
Derrick Henry,BLT,RB,13,198,1,37,2
Rico Dowdle,DAL,RB,9,53,,37,1
Jaylen Wright,MIA,RB,1,-3,,,
Trey Benson,ARZ,RB,2,19,,4,1
Bijan Robinson,ATL,RB,2,8,,3,
Jaleel McLaughlin,DEN,RB,1,5,,5,
Kenneth Walker,SEA,RB,3,33,1,36,2
De'Von Achane,MIA,RB,4,18,,2,
D'Onta Foreman,CLV,RB,3,7,,7,
Cordarrelle Patterson,PIT,RB,1,12,,5,
Sean Tucker,TB,RB,1,4,,2,
Isiah Pacheco,KC,RB,2,5,,2,
Kenneth Gainwell,PHI,RB,3,40,1,9,
Tank Bigsby,JAX,RB,10,45,,23,1
J.K. Dobbins,LAC,RB,24,103,,55,3
Zack Moss,CIN,RB,3,6,,8,1
Rhamondre Stevenson,NE,RB,5,34,1,23,1
Travis Etienne,JAX,RB,10,21,,13,
Kyle Juszczyk,SF,FB,1,-1,,,
Hunter Luepke,DAL,FB,1,4,,2,
Kimani Vidal,LAC,RB,4,14,,12,1
Chase Brown,CIN,RB,14,83,,52,2
Najee Harris,PIT,RB,12,62,,41,3
Joe Mixon,HST,RB,9,102,1,28,3
Jamaal Williams,NO,RB,2,14,,9,1
Saquon Barkley,PHI,RB,3,12,,8,1
J.J. Taylor,HST,RB,1,4,,2,
Austin Ekeler,WAS,RB,5,58,1,31,1
Alvin Kamara,NO,RB,2,,,2,
Brian Robinson,WAS,RB,9,83,1,32,2
Tony Pollard,TEN,RB,11,51,1,32,2
Carson Steele,KC,RB,1,6,,4,
Kyren Williams,LA,RB,1,1,,,
Gus Edwards,LAC,RB,2,6,,2,
Blake Corum,LA,RB,3,12,,4,
James Cook,BUF,RB,4,26,,26,1
Dameon Pierce,HST,RB,1,2,,1,
Raheem Mostert,MIA,RB,3,-1,,,
James Conner,ARZ,RB,6,56,,32,6
