teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingDropsTotal,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,teamIsHomeTeam,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage
18,Los Angeles,Chargers,LV,AFC,AFC West,Open,Open,Cover 4,14,15,No,No,No,68,13,No,1,No,0.1912,175,,0.4615,0.4615,11,0.8462,13.4615,-9.6699,2,1,0.0769,,,0.0769,,2,,
25,New York,Jets,MIA,AFC,AFC East,Closed,Closed,Cover 1,11,7,No,Yes,Yes,28,6,No,,No,0.2143,196,,0.1667,0.8333,6,1,32.6667,-13.3734,,,,,,,1,,,
3,Baltimore,Ravens,CLV,AFC,AFC North,Open,Open,Cover 4,11,12,No,No,Yes,58,12,No,,No,0.2069,153,0.0833,0.6667,0.1667,5,0.4167,12.75,-8.8461,3,1,0.0833,1,0.0833,0.0833,1,2,,
12,Green Bay,Packers,CHI,NFC,NFC North,Closed,Closed,Cover 3,16,17,Yes,No,No,79,17,No,3,No,0.2152,366,0.1176,0.4706,0.2941,16,0.9412,21.5294,-10.667,3,3,0.1765,1,0.0588,0.1176,1,2,,
20,Miami,Dolphins,NYJ,AFC,AFC East,Closed,Closed,Cover 1,12,10,No,Yes,Yes,41,8,No,,No,0.1951,59,0.125,0.25,0.5,6,0.75,7.375,-7.5422,1,1,0.125,1,0.125,0.125,,,,
19,Las Vegas,Raiders,LAC,AFC,AFC West,Open,Open,Cover 4,15,10,No,No,No,39,8,No,1,No,0.2051,68,0.125,0.625,0.25,8,1,8.5,-7.7215,1,2,0.25,2,0.25,,1,1,1,0.125
9,Dallas,Cowboys,PHI,NFC,NFC East,Open,Open,Cover 4,14,13,No,No,No,55,12,No,3,No,0.2182,236,0.0833,0.4167,0.3333,10,0.8333,19.6667,-9.6679,1,4,0.3333,3,0.25,0.1667,,1,2,0.1667
21,Minnesota,Vikings,DET,NFC,NFC North,Closed,Closed,Cover 3,16,24,Yes,No,Yes,98,22,No,1,No,0.2245,422,0.0455,0.3636,0.5455,18,0.8182,19.1818,-10.0758,1,2,0.0909,1,0.0455,0.0455,,2,1,0.0455
23,New Orleans,Saints,TB,NFC,NFC South,Open,Open,Cover 4,15,14,No,No,No,65,13,No,3,No,0.2,154,,0.1538,0.7692,10,0.7692,11.8462,-8.6265,2,4,0.3077,1,0.0769,0.0769,,1,,
11,Detroit,Lions,MIN,NFC,NFC North,Closed,Closed,Cover 3,13,16,Yes,No,Yes,65,16,No,1,No,0.2462,243,0.0625,0.25,0.5,13,0.8125,15.1875,-9.505,4,1,0.0625,,,0.125,1,6,,
13,Houston,Texans,BLT,AFC,AFC North,Closed,Open,Cover 2,14,19,No,Yes,Yes,86,16,No,1,No,0.186,334,,0.5,0.5,14,0.875,20.875,-10.6696,3,,,,,,1,,,
