teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam
32,Washington,Commanders,DAL,NFC,NFC East,Open,Open,Cover 0,17,307,No,No,Yes,1256,307,Yes,29,Yes,307,1,16,0.2444,307,29,7,1,3492,1575,533,1974,25,16,36,0.1173,0.1401,0.0945,0.3485,0.4039,234,0.7622,41,0.1336,6.43,141.2,2.7803,11.3746,4.0786,11.3746,5.1303,1.7362,175,32,
22,New England,Patriots,BUF,AFC,AFC East,Closed,Closed,Cover 1,17,346,No,No,No,1399,346,No,19,Yes,346,1,13,0.2473,346,19,8,1,3749,1739,629,2075,27,13,47,0.1358,0.1329,0.1387,0.3353,0.3931,248,0.7168,48,0.1387,5.9971,137.8,2.6798,10.8353,3.6997,10.8353,5.026,1.8179,189,44,1
30,Tampa Bay,Buccaneers,NO,NFC,NFC South,Closed,Closed,Cover 1,17,417,No,No,Yes,1741,418,No,23,Yes,418,1,13,0.2401,418,23,6,1,4464,2102,718,2421,27,13,82,0.1962,0.1627,0.1124,0.3134,0.4091,303,0.7249,45,0.1077,5.7919,132.7,2.564,10.6794,3.6315,10.6794,5.0287,1.7177,212,49,1
17,Los Angeles,Rams,SEA,NFC,NFC West,Open,Open,Cover 2 Man,17,354,No,No,No,1466,354,Yes,27,Yes,354,1,15,0.2415,354,27,7,1,4104,2130,661,2046,29,15,53,0.1497,0.1977,0.161,0.2627,0.3757,249,0.7034,57,0.161,5.7797,142.3,2.7995,11.5932,4.4959,11.5932,6.0169,1.8672,196,43,1
31,Tennessee,Titans,HST,AFC,AFC South,Open,Closed,Cover 3,17,314,No,Yes,No,1244,314,No,27,Yes,314,1,17,0.2524,314,27,4,1,3216,1781,614,1511,27,17,39,0.1242,0.1465,0.1465,0.3567,0.3503,237,0.7548,65,0.207,4.8121,138,2.5852,10.242,3.3247,10.242,5.672,1.9554,157,52,1
28,Seattle,Seahawks,LA,NFC,NFC West,Open,Open,Cover 2 Man,17,371,No,No,No,1498,371,Yes,27,Yes,371,1,12,0.2477,371,27,15,1,3930,2234,732,1736,26,12,51,0.1375,0.1914,0.1348,0.3315,0.3342,259,0.6981,60,0.1617,4.6792,134.2,2.6235,10.593,3.9812,10.593,6.0216,1.973,193,47,
14,Indianapolis,Colts,JAX,AFC,AFC South,Closed,Closed,Prevent,17,378,No,No,No,1575,378,Yes,22,Yes,378,1,13,0.24,378,22,9,1,4142,2074,875,2130,27,12,77,0.2037,0.1984,0.1296,0.291,0.3783,263,0.6958,62,0.164,5.6349,136.1,2.6298,10.9577,3.9408,10.9577,5.4868,2.3148,191,49,1
10,Denver,Broncos,KC,AFC,AFC West,Closed,Closed,Cover 3,17,392,Yes,No,No,1644,393,No,30,Yes,393,1,13,0.2391,393,30,8,1,4112,2038,634,2123,22,13,50,0.1272,0.1679,0.1247,0.3282,0.3715,284,0.7226,51,0.1298,5.402,128.9,2.5012,10.4631,3.4768,10.4631,5.1858,1.6132,203,46,1
15,Jacksonville,Jaguars,IND,AFC,AFC South,Closed,Closed,Prevent,17,389,No,No,No,1642,389,Yes,30,Yes,389,1,14,0.2369,389,30,14,1,4605,2357,694,2318,29,14,61,0.1568,0.2108,0.1388,0.2905,0.3548,270,0.6941,53,0.1362,5.9589,140.8,2.8045,11.838,4.6793,11.838,6.0591,1.7841,219,44,
18,Los Angeles,Chargers,LV,AFC,AFC West,Closed,Closed,Cover 1,17,367,No,No,No,1559,367,No,27,Yes,367,1,13,0.2354,367,27,11,1,3762,1720,667,2095,24,13,42,0.1144,0.2071,0.1281,0.297,0.3678,256,0.6975,47,0.1281,5.7084,131.2,2.4131,10.2507,3.2059,10.2507,4.6866,1.8174,170,32,
25,New York,Jets,MIA,AFC,AFC East,Open,Open,Cover 4,17,327,No,No,No,1337,327,No,24,Yes,327,1,12,0.2446,327,24,11,1,3588,1764,664,1870,18,12,41,0.1254,0.1713,0.1437,0.3394,0.3456,243,0.7431,56,0.1713,5.7187,130.7,2.6836,10.9725,3.9001,10.9725,5.3945,2.0306,171,40,1
3,Baltimore,Ravens,CLV,AFC,AFC North,Closed,Closed,Cover 1,17,396,No,No,No,1682,396,No,44,Yes,396,1,14,0.2354,396,44,13,1,4468,1984,515,2538,27,14,50,0.1263,0.1843,0.1439,0.3056,0.3611,272,0.6869,53,0.1338,6.4091,136.4,2.6564,11.2828,4.0382,11.2828,5.0101,1.3005,218,40,1
12,Green Bay,Packers,CHI,NFC,NFC North,Closed,Closed,Prevent,17,381,No,No,No,1590,381,No,24,Yes,381,1,16,0.2396,381,24,7,1,3959,1962,585,2069,23,16,45,0.1181,0.2126,0.1181,0.3438,0.3255,265,0.6955,60,0.1575,5.4304,130.1,2.4899,10.3911,3.3697,10.3911,5.1496,1.5354,200,37,1
20,Miami,Dolphins,NYJ,AFC,AFC East,Open,Open,Cover 4,17,365,No,No,No,1505,365,No,18,Yes,365,1,12,0.2425,365,18,11,1,3829,2018,745,1869,22,12,63,0.1726,0.1781,0.1288,0.3205,0.3726,240,0.6575,56,0.1534,5.1205,130.5,2.5442,10.4904,3.54,10.4904,5.5288,2.0411,190,43,
9,Dallas,Cowboys,WAS,NFC,NFC East,Open,Open,Cover 0,17,349,No,No,Yes,1398,349,Yes,22,Yes,349,1,15,0.2496,349,22,4,1,4047,2157,718,1944,28,15,47,0.1347,0.1691,0.1089,0.3037,0.4155,277,0.7937,66,0.1891,5.5702,141.7,2.8948,11.596,4.5422,11.596,6.1805,2.0573,175,46,1
19,Las Vegas,Raiders,LAC,AFC,AFC West,Closed,Closed,Cover 1,17,370,No,No,No,1529,370,No,20,Yes,370,1,18,0.242,370,20,7,1,3989,2047,679,2028,29,18,55,0.1486,0.1865,0.1351,0.3459,0.3324,240,0.6486,53,0.1432,5.4811,137.7,2.6089,10.7811,3.7241,10.7811,5.5324,1.8351,194,42,1
21,Minnesota,Vikings,DET,NFC,NFC North,Open,Open,Cover 2,17,415,No,No,No,1661,415,No,36,Yes,415,1,13,0.2498,415,36,9,1,4459,2078,702,2451,24,12,41,0.0988,0.1687,0.1181,0.3277,0.3855,284,0.6843,64,0.1542,5.906,130.7,2.6845,10.7446,3.6165,10.7446,5.0072,1.6916,218,52,
11,Detroit,Lions,MIN,NFC,NFC North,Open,Open,Cover 2,17,373,No,No,No,1581,373,No,32,Yes,373,1,8,0.2359,373,32,13,1,4404,1937,655,2495,18,8,47,0.126,0.134,0.1072,0.3727,0.3807,269,0.7212,50,0.134,6.689,131.9,2.7856,11.807,4.5668,11.807,5.193,1.756,198,36,1
23,New Orleans,Saints,TB,NFC,NFC South,Closed,Closed,Cover 1,17,366,No,No,Yes,1543,366,No,30,Yes,366,1,13,0.2372,366,30,8,1,4295,2161,729,2192,19,13,58,0.1585,0.1585,0.123,0.3443,0.3716,237,0.6475,52,0.1421,5.9891,132.9,2.7835,11.735,4.579,11.735,5.9044,1.9918,194,30,
