teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsInside20ReceivingTargetsTotal
9,Dallas,Cowboys,1,WAS,NFC,NFC East,Open,Open,Miscellaneous,17,150,No,No,No,659,122,No,28,No,54,0.4426,10,0.1851,1915,29,0.0738,0.1066,0.2787,0.541,88,0.7213,3,0.0246,15.6967,39.6,-9.2815,0.2377,12
2,Atlanta,Falcons,1,CAR,NFC,NFC South,Open,Open,Cover 6,17,161,No,No,No,696,125,Yes,31,Yes,47,0.376,20,0.1796,1744,18,0.088,0.08,0.376,0.448,82,0.656,2,0.016,13.952,39.6,-8.9099,0.144,22
26,Philadelphia,Eagles,1,NYG,NFC,NFC East,Closed,Closed,Cover 3,17,192,No,Yes,No,846,155,No,26,No,58,0.3742,12,0.1832,1935,32,0.071,0.071,0.3226,0.529,112,0.7226,8,0.0516,12.4839,39.6,-8.6221,0.2065,19
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Open,Cover 6,17,185,No,No,No,772,141,No,23,Yes,43,0.305,12,0.1826,1745,19,0.0496,0.0851,0.2766,0.5745,109,0.773,7,0.0496,12.3759,39.6,-8.5902,0.1348,13
8,Cleveland,Browns,,BLT,AFC,AFC North,Open,Closed,Cover 1,17,191,No,No,Yes,780,148,No,33,No,55,0.3716,18,0.1897,2409,28,0.0743,0.0811,0.2905,0.5541,109,0.7365,6,0.0405,16.277,39.6,-9.2162,0.1892,14
32,Washington,Commanders,,DAL,NFC,NFC East,Open,Open,Miscellaneous,17,181,No,No,No,773,144,No,26,No,54,0.375,23,0.1863,2013,26,0.0556,0.0694,0.2986,0.5625,110,0.7639,5,0.0347,13.9792,39.6,-8.9526,0.1806,24
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Closed,Open,Cover 4,17,181,No,No,No,759,136,No,22,Yes,43,0.3162,24,0.1792,2078,18,0.1176,0.0735,0.2574,0.5515,87,0.6397,2,0.0147,15.2794,39.6,-9.0957,0.1324,27
27,Pittsburgh,Steelers,1,CIN,AFC,AFC North,Open,Open,Cover 6,17,183,No,No,No,797,138,No,14,Yes,40,0.2899,21,0.1731,1733,21,0.0652,0.1014,0.3478,0.4855,97,0.7029,4,0.029,12.558,39.6,-8.7369,0.1522,30
1,Arizona,Cardinals,1,SF,NFC,NFC West,Closed,Closed,Cover 1,17,160,No,Yes,No,705,120,No,23,No,36,0.3,28,0.1702,1577,16,0.0917,0.1,0.35,0.4583,84,0.7,4,0.0333,13.1417,39.6,-8.8226,0.1333,32
4,Buffalo,Bills,,NE,AFC,AFC East,Open,Closed,Cover 1,17,165,No,Yes,No,700,128,No,18,No,47,0.3672,18,0.1829,1514,25,0.1484,0.0625,0.3438,0.4453,93,0.7266,7,0.0547,11.8281,39.6,-8.8093,0.1953,25
24,New York,Giants,,PHI,NFC,NFC East,Closed,Closed,Cover 3,17,149,No,Yes,No,665,119,No,18,No,41,0.3445,13,0.1789,1373,22,0.1092,0.0504,0.2773,0.563,91,0.7647,2,0.0168,11.5378,39.6,-8.5388,0.1849,18
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Cover 6,17,161,No,No,No,714,125,Yes,30,Yes,51,0.408,18,0.1751,1620,23,0.064,0.096,0.304,0.536,92,0.736,4,0.032,12.96,39.6,-8.7515,0.184,25
