teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingReceptionsHero,opponentStatsReceivingTouchdownsInEndzone
25,New York,Jets,1,MIA,AFC,AFC East,Open,Open,Red Zone,13,16,Yes,No,Yes,61,13,No,1,No,11,0.8462,0.2131,10,1,0.7692,115,58,17,92,1,1,1,0.1,0.1538,0.5385,0.1538,0.1538,10,0.7692,7.0769,128.7,1.8852,8.8462,1.6501,0.0769,11.5,5.8,1.7,4,1,,,,,
20,Miami,Dolphins,,NYJ,AFC,AFC East,Open,Open,Red Zone,12,11,Yes,No,Yes,42,10,No,1,No,9,0.9,0.2381,7,,0.7,116,37,3,94,,1,1,0.1429,,0.2,0.1,0.7,9,0.9,9.4,108.7,2.7619,11.6,3.2449,0.1,16.5714,5.2857,0.4286,6,1,1,1,0.1,,
3,Baltimore,Ravens,,HST,AFC,AFC South,Open,Open,Cover 2,10,13,Yes,No,No,45,10,No,,Yes,7,0.7,0.2222,7,,0.7,46,29,4,70,1,,,,0.2,0.3,0.3,0.2,9,0.9,7,73.3,1.0222,4.6,-1.336,,6.5714,4.1429,0.5714,4,2,2,2,0.2,1,1
12,Green Bay,Packers,,MIN,NFC,NFC North,Open,Open,Cover 6,9,5,Yes,No,No,20,5,No,,Yes,4,0.8,0.25,4,,0.8,26,27,11,-1,,,2,0.5,0.4,0.2,0.2,0.2,4,0.8,-0.2,88.3,1.3,5.2,1.0883,,6.5,6.75,2.75,2,1,,,,,
15,Jacksonville,Jaguars,1,TEN,AFC,AFC South,Closed,Closed,Cover 3,12,13,Yes,No,Yes,46,9,No,2,Yes,9,1,0.1957,6,1,0.6667,62,20,7,59,1,2,,,,0.5556,0.3333,0.1111,5,0.5556,6.5556,123.4,1.3478,6.8889,-0.4078,0.2222,10.3333,3.3333,1.1667,4,1,1,,,,1
18,Los Angeles,Chargers,,NE,AFC,AFC East,Open,Open,Cover 6,8,7,Yes,Yes,No,27,7,No,,Yes,5,0.7143,0.2593,5,,0.7143,39,25,15,38,1,,1,0.2,0.1429,0.4286,,0.4286,4,0.5714,5.4286,124.4,1.4444,5.5714,-1.4448,,7.8,5,3,3,1,1,,,,1
11,Detroit,Lions,1,MIN,NFC,NFC North,Open,Open,Red Zone,13,15,Yes,No,No,56,15,No,1,Yes,15,1,0.2679,15,1,1,146,82,37,79,4,,2,0.1333,0.2,0.2,0.1333,0.4667,13,0.8667,5.2667,146.8,2.6071,9.7333,3.0702,,9.7333,5.4667,2.4667,9,5,3,2,0.1333,,3
23,New Orleans,Saints,,TB,NFC,NFC South,Closed,Open,Cover 0,14,7,Yes,No,Yes,22,4,No,,No,4,1,0.1818,4,,1,47,27,2,20,,,,,,0.5,0.25,0.25,2,0.5,5,115.6,2.1364,11.75,5.2706,,11.75,6.75,0.5,3,,,,,,
21,Minnesota,Vikings,,DET,NFC,NFC North,Open,Open,Red Zone,12,3,Yes,No,No,11,2,No,,Yes,1,0.5,0.1818,1,,0.5,18,8,4,21,,,,,,0.5,,0.5,1,0.5,10.5,81.3,1.6364,9,0.9581,,18,8,4,1,1,1,,,,
13,Houston,Texans,,TEN,AFC,AFC South,Open,Open,Cover 0,15,11,Yes,No,No,46,8,No,,No,5,0.625,0.1739,5,,0.625,61,29,11,85,,,5,1,,0.5,0.25,0.25,6,0.75,10.625,85.9,1.3261,7.625,-0.3904,,12.2,5.8,2.2,3,1,,,,,
9,Dallas,Cowboys,,PHI,NFC,NFC East,Open,Closed,Cover 3,15,13,Yes,No,No,53,8,No,1,No,7,0.875,0.1509,6,,0.75,33,24,5,12,1,,,,0.25,0.5,,0.25,6,0.75,1.5,121.4,0.6226,4.125,-0.9232,,5.5,4,0.8333,1,2,,2,0.25,,
19,Las Vegas,Raiders,,NO,NFC,NFC South,Open,Closed,Cover 3,11,11,Yes,No,Yes,41,10,No,,Yes,10,1,0.2439,9,,0.9,113,66,19,55,3,,2,0.2222,0.1,0.6,0.2,0.1,8,0.8,5.5,153.3,2.7561,11.3,4.9143,,12.5556,7.3333,2.1111,6,4,2,,,,2
7,Cincinnati,Bengals,,TEN,AFC,AFC South,Open,Open,Cover 4,11,9,Yes,Yes,No,34,9,Yes,,Yes,6,0.6667,0.2647,6,,0.6667,43,29,9,24,2,,4,0.6667,,0.4444,0.4444,0.1111,8,0.8889,2.6667,117.1,1.2647,4.7778,-0.5394,,7.1667,4.8333,1.5,4,2,2,,,,2
8,Cleveland,Browns,1,MIA,AFC,AFC East,Open,Open,Red Zone,13,8,Yes,No,No,28,8,No,,No,8,1,0.2857,8,,1,129,102,15,27,1,,3,0.375,,0.375,0.125,0.5,5,0.625,3.375,158.3,4.6071,16.125,9.6134,,16.125,12.75,1.875,5,1,,1,0.125,1,
26,Philadelphia,Eagles,1,NYG,NFC,NFC East,Open,Open,Cover 6,8,6,No,No,No,24,4,No,1,Yes,3,0.75,0.1667,2,,0.5,2,2,1,5,,1,,,0.25,0.25,0.25,0.25,2,0.5,1.25,56.3,0.0833,0.5,-5.4298,0.25,1,1,0.5,,1,,,,,
2,Atlanta,Falcons,1,CAR,NFC,NFC South,Closed,Open,Cover 4,9,18,Yes,No,No,71,17,No,1,Yes,12,0.7059,0.2394,12,,0.7059,218,120,26,180,2,,3,0.25,0.0588,0.3529,0.1176,0.4706,13,0.7647,10.5882,152.2,3.0704,12.8235,5.1065,,18.1667,10,2.1667,9,4,2,,,,1
32,Washington,Commanders,1,ATL,NFC,NFC South,Closed,Closed,Cover 1,11,9,Yes,No,Yes,37,8,No,1,Yes,7,0.875,0.2162,7,1,0.875,45,42,5,5,,,,,0.125,0.5,0.125,0.25,7,0.875,0.625,90.1,1.2162,5.625,0.0236,,6.4286,6,0.7143,3,3,,,,,
4,Buffalo,Bills,,NE,AFC,AFC East,Open,Closed,Cover 1,10,12,Yes,Yes,No,46,12,No,1,Yes,11,0.9167,0.2609,10,,0.8333,119,69,8,62,2,1,,,0.0833,0.5,0.1667,0.25,12,1,5.1667,147.6,2.587,9.9167,3.5368,0.0833,11.9,6.9,0.8,9,4,3,,,,1
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Open,Cover 6,10,14,Yes,No,No,50,13,Yes,1,Yes,11,0.8462,0.26,9,,0.6923,42,48,9,10,,1,2,0.2222,0.1538,0.6923,,0.1538,10,0.7692,0.7692,73.2,0.84,3.2308,-2.2916,0.0769,4.6667,5.3333,1,2,4,,2,0.1538,,
5,Carolina,Panthers,,ATL,NFC,NFC South,Closed,Open,Cover 4,12,12,Yes,No,No,45,7,No,,Yes,6,0.8571,0.1556,6,,0.8571,70,39,10,39,1,,,,0.2857,0.4286,0.1429,0.1429,5,0.7143,5.5714,147.9,1.5556,10,4.6433,,11.6667,6.5,1.6667,4,2,2,,,,1
24,New York,Giants,,PHI,NFC,NFC East,Open,Open,Cover 6,13,11,No,No,No,41,9,No,1,Yes,7,0.7778,0.2195,5,,0.5556,48,27,5,64,1,2,1,0.2,,0.2222,0.2222,0.5556,8,0.8889,7.1111,107.6,1.1707,5.3333,-2.2055,0.2222,9.6,5.4,1,4,1,,,,,
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Open,Open,Cover 4,15,9,Yes,No,No,35,8,No,1,Yes,7,0.875,0.2286,7,1,0.875,66,42,4,73,,,1,0.1429,,0.125,0.125,0.75,7,0.875,9.125,101,1.8857,8.25,0.9863,,9.4286,6,0.5714,3,,1,1,0.125,,
