teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero
13,Houston,Texans,TEN,AFC,AFC South,Open,Closed,Cover 3,17,34,No,Yes,No,153,12,No,1,No,6,0.5,1,0.0784,3,0.25,78,51,43,212,1,1,1,1,0.3333,0.1667,0.1667,0.25,0.4167,1,0.0833,17.6667,47.2,0.5098,6.5,-3.3197,0.0833,26,17,14.3333,2,2,,,
5,Carolina,Panthers,ATL,NFC,NFC South,Open,Open,Red Zone,17,21,No,Yes,No,99,4,No,,Yes,2,0.5,,0.0404,2,0.5,53,10,3,55,,,,,,0.25,0.25,,0.5,1,0.25,13.75,95.8,0.5354,13.25,5.4865,,26.5,5,1.5,2,,,,
4,Buffalo,Bills,NE,AFC,AFC East,Open,Open,Cover 4,17,32,No,Yes,No,145,6,No,1,Yes,2,0.3333,,0.0414,1,0.1667,6,,,100,,,,,,0.1667,0.1667,0.3333,0.3333,,,16.6667,39.6,0.0414,1,-7.8005,,6,,,,,,,
1,Arizona,Cardinals,SF,NFC,NFC West,Open,Open,Cover 4,17,30,No,Yes,No,137,6,No,,No,5,0.8333,2,0.0438,5,0.8333,41,19,13,48,2,2,,1,0.2,0.1667,0.1667,0.5,0.1667,1,0.1667,8,134.7,0.2993,6.8333,-0.7317,,8.2,3.8,2.6,4,2,1,,
27,Pittsburgh,Steelers,CIN,AFC,AFC North,Open,Closed,Cover 1,17,28,No,Yes,No,131,13,No,2,No,9,0.6923,2,0.0992,8,0.6154,122,20,8,172,2,1,,2,0.25,0.0769,0.2308,0.3846,0.3077,,,13.2308,132.1,0.9313,9.3846,0.2977,,15.25,2.5,1,6,2,1,1,
6,Chicago,Bears,GB,NFC,NFC North,Closed,Closed,Cover 1,16,33,No,Yes,Yes,156,9,No,2,No,5,0.5556,1,0.0577,4,0.4444,71,30,2,149,1,1,,,,,,0.4444,0.5556,1,0.1111,16.5556,69.4,0.4551,7.8889,-1.4966,,17.75,7.5,0.5,4,,,,
24,New York,Giants,IND,AFC,AFC South,Closed,Closed,Cover 3,16,28,Yes,Yes,No,124,5,No,2,No,4,0.8,,0.0403,4,0.8,72,8,3,79,,,,,,,0.4,0.2,0.4,1,0.2,15.8,118.8,0.5806,14.4,4.8567,,18,2,0.75,2,,1,2,3
16,Kansas City,Chiefs,DEN,AFC,AFC West,Open,Open,Cover 2 Man,17,37,No,Yes,No,168,9,No,1,No,6,0.6667,1,0.0536,4,0.4444,49,14,12,82,,,1,,,0.3333,0.1111,0.2222,0.3333,,,9.1111,61.8,0.2917,5.4444,-2.5957,0.1111,12.25,3.5,3,2,2,,1,1
29,San Francisco,49ers,ARZ,NFC,NFC West,Open,Open,Cover 4,17,20,No,Yes,No,93,5,No,,No,2,0.4,,0.0538,2,0.4,30,4,1,53,,,,,,,,0.8,0.2,,,10.6,20.8,0.3226,6,-1.8115,,15,2,0.5,2,,,,
8,Cleveland,Browns,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,34,No,Yes,No,149,14,No,,No,8,0.5714,1,0.094,6,0.4286,59,23,8,189,,,1,,,0.1429,0.1429,0.1429,0.5714,3,0.2143,13.5,55.4,0.396,4.2143,-4.4043,0.0714,9.8333,3.8333,1.3333,5,2,,,
