"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","Boom%","Bust%"
"[object Object]","2024","DT Sheffield","North Texas","WR","96","10.14","0.032","4.00","0.013","21.02","0.219","52.1%","35.4%","16.7%"
"[object Object]","2024","Kyrese White","Utah State","WR","74","9.98","0.038","4.57","0.017","3.95","0.053","47.3%","24.3%","23.0%"
"[object Object]","2024","Jacolby George","Miami FL","WR","77","9.90","0.034","3.16","0.011","45.33","0.589","59.7%","41.6%","10.4%"
"[object Object]","2024","Jahmal Banks","Nebraska","WR","74","9.74","0.030","1.88","0.006","11.96","0.162","51.4%","29.7%","23.0%"
"[object Object]","2024","Reggie Virgil","Miami OH","WR","84","9.25","0.026","-0.75","-0.002","24.67","0.294","46.4%","28.6%","19.0%"
"[object Object]","2024","Winston Wright Jr.","East Carolina","WR","75","9.06","0.033","2.75","0.010","-4.13","-0.055","46.7%","25.3%","22.7%"
"[object Object]","2024","Raylen Sharpe","Fresno State","WR","72","9.05","0.032","2.16","0.008","16.16","0.224","55.6%","31.9%","18.1%"
"[object Object]","2024","Max Klare","Purdue","TE","79","8.81","0.031","0.67","0.002","10.75","0.136","49.4%","31.6%","21.5%"
"[object Object]","2024","Dalen Cobb","Georgia Southern","WR","80","8.71","0.030","2.43","0.008","-2.41","-0.030","45.0%","23.8%","20.0%"
"[object Object]","2024","Emmett Mosley V","Stanford","WR","72","8.65","0.031","2.22","0.008","11.62","0.161","48.6%","29.2%","22.2%"
"[object Object]","2024","Yamir Knight","James Madison","WR","66","8.50","0.027","1.38","0.004","32.53","0.493","54.5%","33.3%","10.6%"
"[object Object]","2024","Zakhari Franklin","Illinois","WR","96","8.25","0.025","-0.17","-0.001","15.88","0.165","47.9%","30.2%","26.0%"
"[object Object]","2024","KC Concepcion","NC State","WR","91","8.12","0.024","-0.36","-0.001","-31.32","-0.344","41.8%","24.2%","30.8%"
"[object Object]","2024","Malik Rutherford","Georgia Tech","WR","88","8.12","0.031","2.91","0.011","31.16","0.354","53.4%","36.4%","20.5%"
"[object Object]","2024","Coy Eakin","Texas Tech","WR","83","8.03","0.020","-0.45","-0.001","11.55","0.139","43.4%","25.3%","16.9%"
"[object Object]","2024","Daniel Jackson","Minnesota","WR","116","7.92","0.021","-1.80","-0.005","16.76","0.144","51.7%","30.2%","17.2%"
"[object Object]","2024","Amare Thomas","UAB","WR","95","7.81","0.024","1.00","0.003","8.55","0.090","45.3%","30.5%","21.1%"
"[object Object]","2024","Kam Shanks","UAB","WR","91","7.81","0.026","1.90","0.006","15.02","0.165","49.5%","29.7%","16.5%"
"[object Object]","2024","Will Sheppard","Colorado","WR","70","7.81","0.018","-3.19","-0.007","23.11","0.330","52.9%","32.9%","15.7%"
"[object Object]","2024","Makai Jackson","Appalachian State","WR","82","7.80","0.023","0.10","0.000","23.07","0.281","43.9%","34.1%","15.9%"
"[object Object]","2024","Kyron Hudson","USC","WR","69","7.74","0.025","1.33","0.004","2.32","0.034","49.3%","31.9%","18.8%"
"[object Object]","2024","Kobe Hudson","UCF","WR","89","7.68","0.028","1.78","0.007","13.93","0.157","46.1%","30.3%","19.1%"
"[object Object]","2024","Jordan Moore","Duke","WR","103","7.57","0.022","-0.23","-0.001","29.82","0.290","46.6%","31.1%","20.4%"
"[object Object]","2024","Horatio Fields","Wake Forest","WR","72","7.26","0.021","-0.60","-0.002","0.83","0.012","48.6%","22.2%","20.8%"
"[object Object]","2024","Kaden Prather","Maryland","WR","93","7.25","0.016","-2.17","-0.005","1.40","0.015","43.0%","24.7%","22.6%"
"[object Object]","2024","Kamdyn Benjamin","Tulsa","WR","124","7.18","0.017","-1.69","-0.004","-0.90","-0.007","40.3%","27.4%","26.6%"
"[object Object]","2024","Matt Sykes","Rice","WR","104","7.09","0.015","-3.87","-0.008","11.62","0.112","51.9%","30.8%","21.2%"
"[object Object]","2024","Nick Cenacle","Hawaii","WR","95","6.74","0.015","-3.83","-0.009","17.54","0.185","48.4%","30.5%","14.7%"
"[object Object]","2024","Jaden Williams","Texas State","WR","78","6.52","0.020","-0.34","-0.001","53.13","0.681","66.7%","41.0%","11.5%"
"[object Object]","2024","Montorie Foster Jr.","Michigan State","WR","86","6.40","0.018","-2.53","-0.007","-10.40","-0.121","40.7%","25.6%","27.9%"
"[object Object]","2024","Omari Kelly","Middle Tennessee","WR","85","6.32","0.020","-1.73","-0.005","17.35","0.204","50.6%","31.8%","24.7%"
"[object Object]","2024","Derwin Burgess Jr.","Georgia Southern","WR","97","6.13","0.015","-2.94","-0.007","13.90","0.143","50.5%","28.9%","15.5%"
"[object Object]","2024","Kole Wilson","Texas State","WR","70","6.08","0.017","-1.10","-0.003","19.54","0.279","45.7%","27.1%","14.3%"
"[object Object]","2024","Terry Lockett Jr.","Eastern Michigan","WR","82","6.00","0.015","-2.90","-0.007","1.72","0.021","42.7%","26.8%","15.9%"
"[object Object]","2024","Ryan Davis","New Mexico","WR","89","5.87","0.018","-1.65","-0.005","11.48","0.129","55.1%","30.3%","14.6%"
"[object Object]","2024","Koby Drake","Memphis","WR","69","5.87","0.015","-3.10","-0.008","6.74","0.098","50.7%","29.0%","13.0%"
"[object Object]","2024","Skyler Bell","UCONN","WR","98","5.85","0.018","-1.82","-0.006","19.98","0.204","40.8%","29.6%","24.5%"
"[object Object]","2024","Luke Wysong","New Mexico","WR","112","5.72","0.018","-1.46","-0.005","26.88","0.240","47.3%","32.1%","15.2%"
"[object Object]","2024","Cade McDonald","Miami OH","WR","78","5.49","0.017","-3.00","-0.010","11.13","0.143","50.0%","28.2%","17.9%"
"[object Object]","2024","Ja'Shaun Poke","San Diego State","WR","74","5.19","0.024","0.42","0.002","13.63","0.184","48.6%","27.0%","18.9%"
"[object Object]","2024","Evan Stewart","Oregon","WR","70","4.99","0.015","-2.80","-0.008","28.78","0.411","54.3%","32.9%","18.6%"
"[object Object]","2024","Pofele Ashlock","Hawaii","WR","104","4.53","0.011","-4.91","-0.012","17.91","0.172","46.2%","27.9%","20.2%"
"[object Object]","2024","Cameron Camper","Boise State","WR","89","4.46","0.013","-3.65","-0.011","44.22","0.497","60.7%","36.0%","15.7%"
"[object Object]","2024","Victor Snow","Buffalo","WR","82","4.21","0.016","-1.92","-0.007","13.77","0.168","46.3%","30.5%","14.6%"
"[object Object]","2024","Zachariah Branch","USC","WR","78","4.10","0.014","-1.99","-0.007","-8.39","-0.108","44.9%","24.4%","26.9%"
"[object Object]","2024","Kris Hutson","Washington State","WR","94","3.97","0.011","-4.08","-0.012","29.68","0.316","48.9%","30.9%","10.6%"
"[object Object]","2024","Dillon Bell","Georgia","WR","78","3.92","0.013","-3.01","-0.010","-0.17","-0.002","41.0%","28.2%","17.9%"
"[object Object]","2024","Jaylin Noel","Iowa State","WR","121","3.70","0.009","-6.66","-0.015","35.20","0.291","52.9%","35.5%","17.4%"
"[object Object]","2024","Raphael Williams Jr.","Pittsburgh","WR","78","3.37","0.007","-7.73","-0.016","-25.24","-0.324","38.5%","25.6%","17.9%"
"[object Object]","2024","JP Richardson","TCU","WR","78","2.89","0.008","-5.43","-0.015","26.34","0.338","60.3%","41.0%","16.7%"
"[object Object]","2024","Trent Walker","Oregon State","WR","121","2.74","0.007","-5.64","-0.015","33.39","0.276","52.1%","29.8%","13.2%"
"[object Object]","2024","Justin Lockhart","San Jose State","WR","109","2.61","0.006","-9.25","-0.020","16.62","0.152","46.8%","33.0%","22.9%"
"[object Object]","2024","Jordan Napier","San Diego State","WR","66","2.12","0.011","-1.96","-0.010","7.48","0.113","37.9%","24.2%","27.3%"
"[object Object]","2024","Dean Connors","Rice","RB","83","1.71","0.008","-3.24","-0.015","-13.41","-0.162","34.9%","20.5%","16.9%"
"[object Object]","2024","Taylor Morin","Wake Forest","WR","87","1.47","0.004","-6.22","-0.018","21.49","0.247","55.2%","34.5%","18.4%"
"[object Object]","2024","Chase Hendricks","Ohio","WR","67","1.12","0.003","-7.54","-0.023","5.55","0.083","46.3%","25.4%","14.9%"
"[object Object]","2024","Jalen Moss","Fresno State","WR","69","0.87","0.002","-8.10","-0.023","10.18","0.148","47.8%","30.4%","14.5%"
"[object Object]","2024","Dymere Miller","Rutgers","WR","110","0.85","0.002","-8.80","-0.022","11.61","0.106","49.1%","37.3%","20.9%"
"[object Object]","2024","Jacory Barney Jr.","Nebraska","WR","78","0.73","0.003","-4.46","-0.018","-11.18","-0.143","39.7%","19.2%","19.2%"
"[object Object]","2024","Malcolm Johnson Jr.","Bowling Green","WR","77","0.27","0.001","-8.41","-0.024","32.25","0.419","58.4%","32.5%","13.0%"
"[object Object]","2024","Beaux Collins","Notre Dame","WR","68","-0.03","-0.000","-8.30","-0.026","5.40","0.079","51.5%","26.5%","19.1%"
"[object Object]","2024","Trey Goodman","UTEP","WR","76","-0.24","-0.001","-8.30","-0.024","-18.02","-0.237","44.7%","21.1%","19.7%"
"[object Object]","2024","Kam Thomas","UTEP","WR","70","-0.36","-0.001","-6.29","-0.025","6.54","0.093","45.7%","21.4%","18.6%"
"[object Object]","2024","Simeon Evans","Sam Houston State","WR","72","-1.35","-0.006","-6.52","-0.028","10.34","0.144","48.6%","30.6%","25.0%"
"[object Object]","2024","Oran Singleton","Eastern Michigan","WR","104","-1.79","-0.005","-9.97","-0.025","6.58","0.063","45.2%","23.1%","15.4%"
"[object Object]","2024","Otto Tia","Utah State","WR","68","-2.42","-0.006","-10.47","-0.028","6.69","0.098","48.5%","27.9%","17.6%"
"[object Object]","2024","TJ Sheffield","UCONN","WR","79","-2.65","-0.008","-9.72","-0.030","-5.67","-0.072","46.8%","21.5%","20.3%"
"[object Object]","2024","Cameron Ross","James Madison","WR","70","-2.99","-0.009","-11.14","-0.032","4.12","0.059","42.9%","24.3%","18.6%"
"[object Object]","2024","Will Pauling","Wisconsin","WR","74","-4.26","-0.022","-8.68","-0.044","-4.58","-0.062","43.2%","25.7%","16.2%"
