"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","Positive%","Boom%","Bust%"
"[object Object]","2024","Will Howard","Ohio State","423","157.71","0.360","89.03","0.203","161.74","55.0%","32.6%","15.1%"
"[object Object]","2024","Jaxson Dart","Ole Miss","398","141.79","0.333","85.01","0.200","157.94","52.6%","31.2%","16.4%"
"[object Object]","2024","Drew Allar","Penn State","394","141.28","0.341","77.90","0.188","88.47","50.5%","31.9%","17.1%"
"[object Object]","2024","Dillon Gabriel","Oregon","447","137.72","0.294","74.45","0.159","117.72","52.8%","31.4%","15.4%"
"[object Object]","2024","Cameron Ward","Miami FL","454","130.75","0.275","69.76","0.147","152.38","50.2%","35.9%","15.5%"
"[object Object]","2024","Garrett Nussmeier","LSU","525","130.58","0.242","62.02","0.115","82.39","47.0%","28.9%","16.7%"
"[object Object]","2024","Cade Klubnik","Clemson","485","130.21","0.257","64.52","0.127","83.89","46.2%","27.4%","18.5%"
"[object Object]","2024","Shedeur Sanders","Colorado","477","129.98","0.250","53.82","0.104","71.12","46.4%","27.0%","21.4%"
"[object Object]","2024","Seth Henigan","Memphis","477","124.63","0.251","62.52","0.126","75.44","46.0%","27.2%","17.5%"
"[object Object]","2024","Diego Pavia","Vanderbilt","298","115.65","0.366","63.71","0.202","23.00","46.8%","29.1%","23.7%"
"[object Object]","2024","Tyler Shough","Louisville","388","115.11","0.286","61.10","0.152","95.73","47.4%","31.3%","19.1%"
"[object Object]","2024","Sam Leavitt","Arizona State","350","112.76","0.306","59.65","0.162","57.45","44.8%","28.3%","19.6%"
"[object Object]","2024","Billy Edwards Jr.","Maryland","420","112.63","0.257","60.65","0.138","-4.05","43.4%","25.3%","21.0%"
"[object Object]","2024","Rocco Becht","Iowa State","456","111.86","0.237","48.57","0.103","51.27","44.7%","30.5%","23.3%"
"[object Object]","2024","Carson Beck","Georgia","448","111.52","0.239","49.19","0.105","36.14","47.5%","28.3%","18.4%"
"[object Object]","2024","Haynes King","Georgia Tech","269","105.62","0.384","70.06","0.255","93.80","54.9%","32.0%","14.9%"
"[object Object]","2024","Jalen Milroe","Alabama","319","104.46","0.305","53.75","0.157","14.75","46.5%","30.1%","23.1%"
"[object Object]","2024","Josh Hoover","TCU","471","103.55","0.213","40.51","0.083","123.01","49.3%","31.2%","17.5%"
"[object Object]","2024","Riley Leonard","Notre Dame","403","102.13","0.242","33.59","0.080","43.80","46.4%","26.1%","18.0%"
"[object Object]","2024","Avery Johnson","Kansas State","372","97.43","0.253","43.06","0.112","19.64","44.4%","26.5%","21.8%"
"[object Object]","2024","Kurtis Rourke","Indiana","321","94.17","0.276","45.35","0.133","118.18","56.6%","35.2%","18.5%"
"[object Object]","2024","Chandler Morris","North Texas","510","94.00","0.180","30.20","0.058","46.71","44.7%","29.1%","19.7%"
"[object Object]","2024","Ethan Garbers","UCLA","363","92.80","0.234","32.36","0.082","14.29","46.7%","28.3%","21.2%"
"[object Object]","2024","Jordan McCloud","Texas State","392","92.77","0.227","42.89","0.105","97.67","51.0%","29.9%","15.0%"
"[object Object]","2024","John Mateer","Washington State","346","89.79","0.237","37.39","0.099","75.98","49.3%","31.7%","18.5%"
"[object Object]","2024","Brendon Lewis","Nevada","313","89.58","0.267","40.60","0.121","17.85","44.0%","26.8%","20.8%"
"[object Object]","2024","Maddux Madsen","Boise State","396","89.25","0.218","33.23","0.081","64.04","49.1%","30.1%","21.3%"
"[object Object]","2024","Max Brosmer","Minnesota","401","87.20","0.204","23.75","0.055","8.28","47.4%","25.9%","19.4%"
"[object Object]","2024","Kyle McCord","Syracuse","592","87.19","0.141","15.44","0.025","152.91","51.9%","32.7%","17.3%"
"[object Object]","2024","Aidan Chiles","Michigan State","324","86.17","0.246","34.49","0.099","2.02","42.6%","26.3%","24.0%"
"[object Object]","2024","Jalon Daniels","Kansas","299","84.11","0.273","39.34","0.128","37.81","45.8%","28.2%","17.9%"
"[object Object]","2024","LaNorris Sellers","South Carolina","299","81.78","0.247","33.46","0.101","11.45","42.9%","28.7%","23.0%"
"[object Object]","2024","Taylen Green","Arkansas","381","80.52","0.194","23.17","0.056","17.39","45.4%","28.3%","22.5%"
"[object Object]","2024","Owen McCown","UTSA","468","80.39","0.163","20.34","0.041","-2.00","43.3%","24.9%","22.1%"
"[object Object]","2024","Kevin Jennings","SMU","382","78.49","0.198","26.18","0.066","96.14","47.6%","31.5%","16.6%"
"[object Object]","2024","Devon Dampier","New Mexico","389","74.70","0.189","23.65","0.060","38.84","44.8%","26.8%","19.5%"
"[object Object]","2024","Behren Morton","Texas Tech","466","73.78","0.151","20.03","0.041","49.17","43.2%","27.7%","20.3%"
"[object Object]","2024","Nico Iamaleava","Tennessee","334","73.47","0.203","23.88","0.066","23.37","45.3%","27.1%","20.2%"
"[object Object]","2024","Quinn Ewers","Texas","445","73.42","0.154","6.46","0.014","38.23","44.0%","27.9%","21.4%"
"[object Object]","2024","Jake Retzlaff","BYU","365","72.99","0.191","17.48","0.046","29.46","43.5%","29.1%","19.1%"
