"Rank","Season","Player","Team","Pos.","Snaps","Rush Snaps","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","Positive%"
"[object Object]","2025","Faletau Satuala","BYU","S","597","256","22.58","0.088","13.23","0.052","44.9%"
"[object Object]","2025","Drue Watts","Memphis","LB","778","377","22.33","0.059","8.46","0.022","37.9%"
"[object Object]","2025","Ahmaad Moses","SMU","S","886","349","22.27","0.064","11.23","0.032","39.8%"
"[object Object]","2025","Jelani McDonald","Texas","S","713","294","22.24","0.076","12.10","0.041","40.5%"
"[object Object]","2025","KP Price","Boston College","S","722","337","22.07","0.065","10.07","0.030","48.1%"
"[object Object]","2025","Bryce Llewellyn","Eastern Michigan","S","692","400","22.06","0.055","7.13","0.018","42.3%"
"[object Object]","2025","Brevin Hamblin","Utah State","S","915","400","22.01","0.055","8.95","0.022","47.8%"
"[object Object]","2025","C.J. Allen","Georgia","LB","556","232","21.92","0.094","13.18","0.057","43.1%"
"[object Object]","2025","Daniel Wingate","Maryland","LB","639","305","21.69","0.071","11.71","0.038","46.6%"
"[object Object]","2025","Owen Chambliss","San Diego State","LB","720","320","21.68","0.068","9.61","0.030","40.0%"
"[object Object]","2025","Jamel Johnson","TCU","S","860","389","21.27","0.055","7.68","0.020","40.4%"
"[object Object]","2025","Javin Wright","Nebraska","LB","541","275","21.16","0.077","10.46","0.038","48.0%"
"[object Object]","2025","Marcus Neal Jr.","Iowa State","S","676","296","21.13","0.071","9.87","0.033","40.9%"
"[object Object]","2025","Matt Rose","Stanford","LB","602","230","21.10","0.092","12.92","0.056","45.7%"
"[object Object]","2025","Oumar Diomande","UCONN","LB","827","425","20.90","0.049","5.99","0.014","51.8%"
"[object Object]","2025","Myles Rowser","Arizona State","S","772","318","20.79","0.065","9.72","0.031","43.7%"
"[object Object]","2025","Chris Jones","Southern Mississippi","LB","697","338","20.42","0.060","8.80","0.026","42.3%"
"[object Object]","2025","Blake Fletcher","Air Force","LB","677","310","20.41","0.066","7.72","0.025","49.4%"
"[object Object]","2025","Shad Banks Jr.","UTSA","LB","678","306","20.32","0.066","8.85","0.029","41.8%"
"[object Object]","2025","Matthew Bailey","Illinois","S","674","274","20.30","0.074","10.36","0.038","40.9%"
"[object Object]","2025","Jonathan Thompson","Cincinnati","LB","564","286","20.22","0.071","10.41","0.036","47.6%"
"[object Object]","2025","Corban Hondru","Miami OH","LB","480","192","20.12","0.105","13.10","0.068","47.4%"
"[object Object]","2025","Myles Graham","Florida","LB","598","293","20.09","0.069","10.07","0.034","48.1%"
"[object Object]","2025","A.J. Haulcy","LSU","S","671","282","19.72","0.070","9.82","0.035","37.2%"
"[object Object]","2025","Josiah Trotter","Missouri","LB","493","217","19.53","0.090","11.14","0.051","38.2%"
"[object Object]","2025","Emmanuel McNeil-Warren","Toledo","S","631","314","19.31","0.062","6.74","0.021","36.6%"
"[object Object]","2025","Bryun Parham","UCONN","LB","794","413","19.29","0.047","4.74","0.011","51.3%"
"[object Object]","2025","Davhon Keys","LSU","LB","549","247","19.23","0.078","10.56","0.043","37.2%"
"[object Object]","2025","Malachi McLean","UCONN","S","624","312","19.15","0.061","8.51","0.027","51.3%"
"[object Object]","2025","Jordan Kwiatkowski","Central Michigan","LB","699","301","19.09","0.063","7.54","0.025","48.8%"
"[object Object]","2025","Chris Bracy","Memphis","S","729","371","19.04","0.051","5.31","0.014","37.7%"
"[object Object]","2025","Noah Flemmings","Louisiana-Monroe","LB","550","264","18.94","0.072","9.28","0.035","42.4%"
"[object Object]","2025","Jalen Thomeson","Ohio","S","757","352","18.94","0.054","4.74","0.013","45.2%"
"[object Object]","2025","Jackson Kuwatch","Miami OH","LB","682","329","18.83","0.057","6.59","0.020","39.8%"
"[object Object]","2025","Max Harris","Arizona","LB","587","291","18.81","0.065","8.19","0.028","48.8%"
"[object Object]","2025","Coleman Cauley","Navy","LB","495","251","18.77","0.075","8.90","0.035","37.5%"
"[object Object]","2025","K'Von Sherman","Toledo","LB","666","339","18.76","0.055","5.27","0.016","36.0%"
"[object Object]","2025","Devon Williams","Minnesota","LB","647","292","18.62","0.064","6.96","0.024","46.6%"
"[object Object]","2025","Andrew Awe","Rice","LB","787","372","18.54","0.050","4.53","0.012","46.8%"
"[object Object]","2025","Trey Fields","North Texas","LB","853","476","18.51","0.039","1.83","0.004","49.2%"
"[object Object]","2025","Parker McKenna","Washington State","LB","627","311","18.44","0.059","5.91","0.019","45.3%"
"[object Object]","2025","Aiden Fisher","Indiana","LB","746","287","18.27","0.064","5.49","0.019","33.8%"
"[object Object]","2025","Ayden Jackson","Georgia Southern","S","705","367","18.26","0.050","5.36","0.015","53.1%"
"[object Object]","2025","TJ Quinn","Louisville","LB","703","290","18.25","0.063","7.40","0.026","43.4%"
"[object Object]","2025","Andon Thomas","Army","LB","777","402","18.12","0.045","2.68","0.007","49.0%"
"[object Object]","2025","Treylin Payne","Texas State","LB","571","263","17.79","0.068","8.57","0.033","39.9%"
"[object Object]","2025","Jordan Pollard","San Jose State","LB","764","390","17.59","0.045","3.22","0.008","45.6%"
"[object Object]","2025","Ray Coney","Tulsa","LB","792","424","17.36","0.041","3.21","0.008","45.3%"
"[object Object]","2025","Keyshaun Elliott","Arizona State","LB","640","304","17.23","0.057","6.63","0.022","42.4%"
"[object Object]","2025","Kamari Wilson","Memphis","S","771","372","17.21","0.046","3.50","0.009","38.4%"
"[object Object]","2025","Xamarion Gordon","Coastal Carolina","S","770","372","17.20","0.046","4.92","0.013","46.5%"
"[object Object]","2025","Xavier Atkins","Auburn","LB","677","296","17.17","0.058","6.80","0.023","36.1%"
"[object Object]","2025","Jeremiah Telander","Tennessee","LB","512","261","17.11","0.066","8.46","0.032","47.9%"
"[object Object]","2025","Isaiah Nwokobia","SMU","S","702","281","17.10","0.061","8.28","0.029","38.8%"
"[object Object]","2025","Kal-El Pascal","Bowling Green","S","700","346","17.05","0.049","3.06","0.009","42.5%"
"[object Object]","2025","Mike Montgomery","Southern Mississippi","LB","646","309","16.73","0.054","6.12","0.020","44.3%"
"[object Object]","2025","Dillon Thieneman","Oregon","S","783","368","16.69","0.045","2.26","0.006","42.1%"
"[object Object]","2025","Tyler Stolsky","Florida Atlantic","LB","519","284","16.62","0.059","7.21","0.025","45.4%"
"[object Object]","2025","Ben Roberts","Texas Tech","LB","759","288","16.61","0.058","5.85","0.020","29.9%"
"[object Object]","2025","Corey Myrick","Southern Mississippi","S","689","323","16.53","0.051","5.55","0.017","42.1%"
"[object Object]","2025","Ty Benefield","Boise State","S","809","394","16.45","0.042","1.34","0.003","40.1%"
"[object Object]","2025","Louis Moore","Indiana","S","761","270","16.12","0.060","3.90","0.014","30.7%"
"[object Object]","2025","DaShawn Stone","Duke","S","708","303","16.09","0.053","5.24","0.017","41.3%"
"[object Object]","2025","Mani Powell","Purdue","LB","727","380","15.92","0.042","2.33","0.006","47.6%"
"[object Object]","2025","Kyle Efford","Georgia Tech","LB","562","279","15.91","0.057","5.98","0.021","50.2%"
"[object Object]","2025","E.J. Lightsey","Georgia Tech","LB","648","287","15.83","0.055","5.49","0.019","48.4%"
"[object Object]","2025","Cole Kozlowski","UCF","LB","520","300","15.61","0.052","4.46","0.015","43.0%"
"[object Object]","2025","Koi Perich","Minnesota","S","764","335","15.47","0.046","2.34","0.007","45.1%"
"[object Object]","2025","Mohamed Toure","Miami FL","LB","658","268","15.37","0.057","5.00","0.019","37.7%"
"[object Object]","2025","Jasper Beeler","Northern Illinois","S","738","393","15.27","0.039","0.69","0.002","51.1%"
"[object Object]","2025","Jack Tchienchou","Tulane","S","669","280","15.26","0.054","5.38","0.019","47.9%"
"[object Object]","2025","Brayden Johnson","Wyoming","LB","621","321","15.20","0.047","3.43","0.011","40.5%"
"[object Object]","2025","Lewis Carter","UCF","LB","666","335","14.95","0.045","2.94","0.009","45.7%"
"[object Object]","2025","Dalton Johnson","Arizona","S","741","364","14.87","0.041","1.82","0.005","46.4%"
"[object Object]","2025","Luke Mergott","Duke","LB","744","331","14.83","0.045","2.90","0.009","42.9%"
"[object Object]","2025","Dion Crawford","Buffalo","LB","611","303","14.25","0.047","3.81","0.013","41.9%"
"[object Object]","2025","Aiden Hall","Wake Forest","LB","611","275","14.05","0.051","4.62","0.017","36.7%"
"[object Object]","2025","Deontae Lawson","Alabama","LB","670","293","13.93","0.048","2.46","0.008","44.7%"
"[object Object]","2025","Tory Gethers","New Mexico State","LB","659","306","13.92","0.045","3.36","0.011","43.1%"
"[object Object]","2025","Kyle Taylor","Arkansas State","LB","469","213","13.91","0.065","6.33","0.030","44.1%"
"[object Object]","2025","Will Jones II","North Texas","S","852","485","13.61","0.028","-3.17","-0.007","50.3%"
"[object Object]","2025","John Miller","Utah State","LB","906","389","13.47","0.035","0.86","0.002","47.8%"
"[object Object]","2025","Jordan Hall","Michigan State","LB","626","261","13.31","0.051","3.56","0.014","46.0%"
"[object Object]","2025","Caleb Weaver","Duke","S","741","334","13.24","0.040","1.22","0.004","41.9%"
"[object Object]","2025","Isaiah Chisom","UCLA","LB","524","306","13.06","0.043","1.90","0.006","50.3%"
"[object Object]","2025","Colton Phares","Appalachian State","LB","688","305","13.05","0.043","2.57","0.008","46.6%"
"[object Object]","2025","Leon Hart Jr.","Florida Atlantic","LB","615","316","12.92","0.041","2.35","0.007","47.8%"
"[object Object]","2025","AG McGhee","Arkansas State","S","875","411","12.85","0.031","-2.04","-0.005","45.3%"
"[object Object]","2025","Kenny Soares Jr.","NC State","DE","621","250","12.73","0.051","4.11","0.016","44.0%"
"[object Object]","2025","D'Angelo Hutchinson","Louisville","S","733","305","12.58","0.041","1.10","0.004","42.6%"
"[object Object]","2025","Mac Sanders","Jacksonville State","LB","598","286","12.23","0.043","1.76","0.006","42.7%"
"[object Object]","2025","Jaden Dugger","Louisiana","LB","864","440","12.01","0.027","-4.01","-0.009","50.7%"
"[object Object]","2025","James Camden","Western Michigan","LB","624","307","11.97","0.039","-0.37","-0.001","43.6%"
"[object Object]","2025","Aaron Alexander","Arkansas State","LB","555","260","11.92","0.046","2.80","0.011","43.1%"
"[object Object]","2025","Walker O'Steen","Jacksonville State","LB","507","225","11.77","0.052","3.55","0.016","41.3%"
"[object Object]","2025","Parker Hughes","Middle Tennessee","LB","766","358","11.67","0.033","-1.31","-0.004","44.1%"
"[object Object]","2025","Jordan Stringer","Troy","LB","758","395","11.60","0.029","-3.24","-0.008","42.0%"
"[object Object]","2025","Trey Lathan","Kansas","LB","686","327","11.58","0.035","-0.24","-0.001","43.1%"
"[object Object]","2025","Gavin Moul","Delaware","LB","832","363","11.50","0.032","-1.99","-0.005","39.9%"
"[object Object]","2025","Edwin Spillman","Tennessee","LB","510","242","11.47","0.047","3.44","0.014","51.7%"
"[object Object]","2025","Marco Notarainni","Boise State","LB","747","365","11.40","0.031","-2.33","-0.006","40.5%"
"[object Object]","2025","Desman Stephens II","USC","LB","683","326","11.32","0.035","-1.19","-0.004","52.5%"
"[object Object]","2025","Derrell Farrar","Liberty","LB","585","302","11.15","0.037","0.42","0.001","48.7%"
"[object Object]","2025","Peter Manuma","Hawaii","S","748","312","10.81","0.035","-1.37","-0.004","47.4%"
"[object Object]","2025","Tyler Martin","UMASS","LB","665","405","10.27","0.025","-4.83","-0.012","48.9%"
"[object Object]","2025","CJ Young","Kent State","LB","542","233","10.09","0.043","2.09","0.009","43.8%"
"[object Object]","2025","Karson Sharar","Iowa","LB","730","328","10.04","0.031","-2.54","-0.008","44.8%"
"[object Object]","2025","Mason Woods","Kent State","LB","602","288","9.95","0.035","-0.01","-0.000","51.4%"
"[object Object]","2025","Brandon Tyson","Georgia Southern","LB","785","395","9.95","0.025","-3.94","-0.010","54.2%"
"[object Object]","2025","Nic Mitchell","Mississippi State","LB","580","301","9.82","0.033","-0.35","-0.001","49.5%"
"[object Object]","2025","Ty Morris","Rice","LB","788","373","9.74","0.026","-4.32","-0.012","46.6%"
"[object Object]","2025","Lento Smith Jr.","Tulsa","S","788","402","9.61","0.024","-4.01","-0.010","43.0%"
"[object Object]","2025","Dakota Cochran","Central Michigan","LB","657","284","9.57","0.034","-1.39","-0.005","47.9%"
"[object Object]","2025","Giuseppe Sessi","Navy","S","782","374","9.35","0.025","-5.03","-0.013","43.0%"
"[object Object]","2025","Terrence Williams","Louisiana","LB","737","386","9.25","0.024","-4.88","-0.013","51.0%"
"[object Object]","2025","Darrian Lewis","West Virginia","S","510","231","8.58","0.037","1.22","0.005","38.1%"
"[object Object]","2025","Derrieon Craig","UMASS","LB","610","342","8.57","0.025","-4.22","-0.012","48.0%"
"[object Object]","2025","Filip Maciorowski","Northern Illinois","LB","601","323","8.34","0.026","-3.55","-0.011","49.2%"
"[object Object]","2025","TJ Dottery","Ole Miss","LB","912","418","8.25","0.020","-6.95","-0.017","44.7%"
"[object Object]","2025","Justin Jefferson","Alabama","LB","586","235","8.21","0.035","-1.20","-0.005","43.4%"
"[object Object]","2025","Braydon Brus","Northwestern","LB","725","348","7.72","0.022","-6.39","-0.018","46.3%"
"[object Object]","2025","Josiah Robinson","Georgia State","LB","768","401","7.38","0.018","-6.69","-0.017","49.9%"
"[object Object]","2025","Tywon Christopher","Kennesaw State","LB","534","257","7.27","0.028","-2.38","-0.009","43.6%"
"[object Object]","2025","Luke Ferrelli","California","LB","708","318","7.13","0.022","-4.70","-0.015","45.9%"
"[object Object]","2025","Cade Uluave","California","LB","633","283","7.10","0.025","-3.85","-0.014","45.2%"
"[object Object]","2025","Jake Pope","UNLV","S","751","338","7.07","0.021","-5.64","-0.017","50.9%"
"[object Object]","2025","Earl Little Jr.","Florida State","CB","652","315","7.00","0.022","-4.57","-0.014","44.1%"
