"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","Boom%","Bust%"
"[object Object]","2025","Jackson Harris","Hawaii","WR","76","40.62","0.126","32.65","0.101","59.00","0.776","60.5%","36.8%","14.5%"
"[object Object]","2025","Malachi Toney","Miami FL","WR","141","38.36","0.089","27.92","0.064","49.80","0.353","56.7%","28.4%","11.3%"
"[object Object]","2025","Jeremiah Smith","Ohio State","WR","110","36.16","0.106","27.14","0.080","64.68","0.588","65.5%","29.1%","11.8%"
"[object Object]","2025","Cooper Barkate","Duke","WR","121","33.59","0.079","23.18","0.055","41.31","0.341","51.2%","29.8%","13.2%"
"[object Object]","2025","KJ Duff","Rutgers","WR","91","33.50","0.078","23.35","0.055","59.03","0.649","62.6%","45.1%","11.0%"
"[object Object]","2025","Duce Robinson","Florida State","WR","98","32.55","0.100","25.28","0.078","44.50","0.454","51.0%","30.6%","11.2%"
"[object Object]","2025","Cortez Braham Jr.","Memphis","WR","87","32.20","0.094","23.86","0.069","59.35","0.682","64.4%","35.6%","9.2%"
"[object Object]","2025","Chris Brazzell II","Tennessee","WR","91","32.19","0.091","24.53","0.069","48.12","0.529","58.2%","36.3%","9.9%"
"[object Object]","2025","Makai Lemon","USC","WR","110","31.46","0.100","24.03","0.076","46.52","0.423","58.2%","34.5%","12.7%"
"[object Object]","2025","Brenen Thompson","Mississippi State","WR","88","31.16","0.091","23.03","0.067","57.55","0.654","59.1%","36.4%","4.5%"
"[object Object]","2025","Eric McAlister","TCU","WR","120","31.02","0.079","21.57","0.055","32.93","0.274","50.0%","30.8%","13.3%"
"[object Object]","2025","Chris Bell","Louisville","WR","108","30.03","0.089","21.61","0.064","37.58","0.348","59.3%","26.9%","12.0%"
"[object Object]","2025","Amare Thomas","Houston","WR","102","29.71","0.079","20.69","0.055","27.02","0.265","55.9%","33.3%","16.7%"
"[object Object]","2025","Harrison Wallace III","Ole Miss","WR","100","29.25","0.077","19.83","0.052","41.80","0.418","54.0%","36.0%","16.0%"
"[object Object]","2025","KC Concepcion","Texas A&M","WR","104","29.05","0.084","20.85","0.061","28.57","0.275","54.8%","26.0%","14.4%"
"[object Object]","2025","Junior Vandeross III","Toledo","WR","118","28.90","0.077","19.95","0.053","42.68","0.362","53.4%","30.5%","12.7%"
"[object Object]","2025","De'Zhaun Stribling","Ole Miss","WR","76","28.02","0.083","19.66","0.058","42.19","0.555","57.9%","32.9%","10.5%"
"[object Object]","2025","Matthew Henry","Western Kentucky","WR","92","27.13","0.074","18.45","0.050","32.43","0.352","55.4%","35.9%","19.6%"
"[object Object]","2025","Parker Kingston","BYU","WR","101","27.09","0.089","19.69","0.065","38.81","0.384","50.5%","27.7%","9.9%"
"[object Object]","2025","Camden Brown","Georgia Southern","WR","107","27.07","0.067","17.50","0.043","46.49","0.434","57.0%","38.3%","12.1%"
